"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.75537,0,0,0,0.75537,0,1,0,0.5,0,0
0.7464,-0.00062674,6.5654e-06,0,0.7464,-4.8307e-06,1,0.001,0.5,0.001,0
0.73743,-0.0012535,1.3131e-05,0,0.73743,-9.6613e-06,1,0.002,0.5,0.002,0
0.72846,-0.0018802,1.9696e-05,0,0.72846,-1.4492e-05,1,0.003,0.5,0.003,0
0.71949,-0.002507,2.6261e-05,0,0.71949,-1.9323e-05,1,0.004,0.5,0.004,0
0.71052,-0.0031337,3.2827e-05,0,0.71052,-2.4153e-05,1,0.005,0.5,0.005,0
0.70155,-0.0037605,3.9392e-05,0,0.70155,-2.8984e-05,1,0.006,0.5,0.006,0
0.69257,-0.0043872,4.5958e-05,0,0.69257,-3.3815e-05,1,0.007,0.5,0.007,0
0.6836,-0.0050139,5.2523e-05,0,0.6836,-3.8645e-05,1,0.008,0.5,0.008,0
0.67463,-0.0056407,5.9088e-05,0,0.67463,-4.3476e-05,1,0.009,0.5,0.009,0
0.66566,-0.0062674,6.5654e-05,0,0.66566,-4.8307e-05,1,0.01,0.5,0.01,0
0.65669,-0.0068942,7.2219e-05,0,0.65669,-5.3137e-05,1,0.011,0.5,0.011,0
0.64772,-0.0075209,7.8784e-05,0,0.64772,-5.7968e-05,1,0.012,0.5,0.012,0
0.63874,-0.0081477,8.535e-05,0,0.63874,-6.2799e-05,1,0.013,0.5,0.013,0
0.62977,-0.0087744,9.1915e-05,0,0.62977,-6.7629e-05,1,0.014,0.5,0.014,0
0.6208,-0.0094011,9.848e-05,0,0.6208,-7.246e-05,1,0.015,0.5,0.015,0
0.61183,-0.010028,0.00010505,0,0.61183,-7.7291e-05,1,0.016,0.5,0.016,0
0.60286,-0.010655,0.00011161,0,0.60286,-8.2121e-05,1,0.017,0.5,0.017,0
0.59389,-0.011281,0.00011818,0,0.59389,-8.6952e-05,1,0.018,0.5,0.018,0
0.58492,-0.011908,0.00012474,0,0.58492,-9.1783e-05,1,0.019,0.5,0.019,0
0.57947,-0.012457,0.00011705,0,0.57947,-9.8773e-05,1,0.02,0.5,0.02,0
0.57838,-0.012911,9.1746e-05,0,0.57838,-0.00010843,1,0.021,0.5,0.021,0
0.57678,-0.013361,6.797e-05,0,0.57678,-0.00011991,1,0.022,0.5,0.022,0
0.57291,-0.013796,5.1039e-05,0,0.57291,-0.00013948,1,0.023,0.5,0.023,0
0.56903,-0.01423,3.4108e-05,0,0.56903,-0.00015904,1,0.024,0.5,0.024,0
0.56516,-0.014664,1.7178e-05,0,0.56516,-0.00017861,1,0.025,0.5,0.025,0
0.56128,-0.015099,2.4716e-07,0,0.56128,-0.00019818,1,0.026,0.5,0.026,0
0.5574,-0.015533,-1.6683e-05,0,0.5574,-0.00021775,1,0.027,0.5,0.027,0
0.55353,-0.015968,-3.3614e-05,0,0.55353,-0.00023732,1,0.028,0.5,0.028,0
0.54965,-0.016402,-5.0545e-05,0,0.54965,-0.00025689,1,0.029,0.5,0.029,0
0.54578,-0.016837,-6.7475e-05,0,0.54578,-0.00027646,1,0.03,0.5,0.03,0
0.5419,-0.017271,-8.4406e-05,0,0.5419,-0.00029603,1,0.031,0.5,0.031,0
0.53803,-0.017706,-0.00010134,0,0.53803,-0.0003156,1,0.032,0.5,0.032,0
0.53415,-0.01814,-0.00011827,0,0.53415,-0.00033517,1,0.033,0.5,0.033,0
0.53028,-0.018575,-0.0001352,0,0.53028,-0.00035474,1,0.034,0.5,0.034,0
0.5264,-0.019009,-0.00015213,0,0.5264,-0.00037431,1,0.035,0.5,0.035,0
0.52252,-0.019444,-0.00016906,0,0.52252,-0.00039388,1,0.036,0.5,0.036,0
0.51865,-0.019878,-0.00018599,0,0.51865,-0.00041345,1,0.037,0.5,0.037,0
0.51477,-0.020313,-0.00020292,0,0.51477,-0.00043302,1,0.038,0.5,0.038,0
0.5109,-0.020747,-0.00021985,0,0.5109,-0.00045259,1,0.039,0.5,0.039,0
0.50702,-0.021182,-0.00023678,0,0.50702,-0.00047216,1,0.04,0.5,0.04,0
0.50315,-0.021616,-0.00025371,0,0.50315,-0.00049173,1,0.041,0.5,0.041,0
0.49927,-0.02205,-0.00027064,0,0.49927,-0.0005113,1,0.042,0.5,0.042,0
0.4954,-0.022485,-0.00028757,0,0.4954,-0.00053087,1,0.043,0.5,0.043,0
0.49152,-0.022919,-0.0003045,0,0.49152,-0.00055044,1,0.044,0.5,0.044,0
0.48765,-0.023354,-0.00032143,0,0.48765,-0.00057001,1,0.045,0.5,0.045,0
0.48377,-0.023788,-0.00033837,0,0.48377,-0.00058958,1,0.046,0.5,0.046,0
0.47989,-0.024223,-0.0003553,0,0.47989,-0.00060915,1,0.047,0.5,0.047,0
0.47602,-0.024657,-0.00037223,0,0.47602,-0.00062872,1,0.048,0.5,0.048,0
0.47214,-0.025092,-0.00038916,0,0.47214,-0.00064829,1,0.049,0.5,0.049,0
0.46827,-0.025526,-0.00040609,0,0.46827,-0.00066786,1,0.05,0.5,0.05,0
0.46439,-0.025961,-0.00042302,0,0.46439,-0.00068743,1,0.051,0.5,0.051,0
0.46052,-0.026395,-0.00043995,0,0.46052,-0.000707,1,0.052,0.5,0.052,0
0.45767,-0.026906,-0.00043908,0,0.45767,-0.00072915,1,0.053,0.5,0.053,0
0.45514,-0.02744,-0.00043269,0,0.45514,-0.00075211,1,0.054,0.5,0.054,0
0.45262,-0.027975,-0.00042631,0,0.45262,-0.00077506,1,0.055,0.5,0.055,0
0.45009,-0.028509,-0.00041993,0,0.45009,-0.00079801,1,0.056,0.5,0.056,0
0.44774,-0.029002,-0.00041161,0,0.44774,-0.00082607,1,0.057,0.5,0.057,0
0.44564,-0.029436,-0.00040053,0,0.44564,-0.00086137,1,0.058,0.5,0.058,0
0.44355,-0.029869,-0.00038946,0,0.44355,-0.00089667,1,0.059,0.5,0.059,0
0.44145,-0.030302,-0.00037839,0,0.44145,-0.00093197,1,0.06,0.5,0.06,0
0.43936,-0.030736,-0.00036731,0,0.43936,-0.00096727,1,0.061,0.5,0.061,0
0.43724,-0.031166,-0.00035907,0,0.43724,-0.0010027,1,0.062,0.5,0.062,0
0.43501,-0.031579,-0.00036758,0,0.43501,-0.0010389,1,0.063,0.5,0.063,0
0.43277,-0.031991,-0.00037609,0,0.43277,-0.001075,1,0.064,0.5,0.064,0
0.43054,-0.032403,-0.00038459,0,0.43054,-0.0011112,1,0.065,0.5,0.065,0
0.4283,-0.032816,-0.0003931,0,0.4283,-0.0011474,1,0.066,0.5,0.066,0
0.42606,-0.033228,-0.00040161,0,0.42606,-0.0011836,1,0.067,0.5,0.067,0
0.42383,-0.033641,-0.00041012,0,0.42383,-0.0012197,1,0.068,0.5,0.068,0
0.42159,-0.034053,-0.00041862,0,0.42159,-0.0012559,1,0.069,0.5,0.069,0
0.41936,-0.034466,-0.00042713,0,0.41936,-0.0012921,1,0.07,0.5,0.07,0
0.41712,-0.034878,-0.00043564,0,0.41712,-0.0013283,1,0.071,0.5,0.071,0
0.41489,-0.03529,-0.00044415,0,0.41489,-0.0013644,1,0.072,0.5,0.072,0
0.41265,-0.035703,-0.00045265,0,0.41265,-0.0014006,1,0.073,0.5,0.073,0
0.41042,-0.036115,-0.00046116,0,0.41042,-0.0014368,1,0.074,0.5,0.074,0
0.40818,-0.036528,-0.00046967,0,0.40818,-0.0014729,1,0.075,0.5,0.075,0
0.40595,-0.03694,-0.00047818,0,0.40595,-0.0015091,1,0.076,0.5,0.076,0
0.40371,-0.037352,-0.00048668,0,0.40371,-0.0015453,1,0.077,0.5,0.077,0
0.40147,-0.037765,-0.00049519,0,0.40147,-0.0015815,1,0.078,0.5,0.078,0
0.39924,-0.038177,-0.0005037,0,0.39924,-0.0016176,1,0.079,0.5,0.079,0
0.397,-0.03859,-0.00051221,0,0.397,-0.0016538,1,0.08,0.5,0.08,0
0.39477,-0.039002,-0.00052071,0,0.39477,-0.00169,1,0.081,0.5,0.081,0
0.39253,-0.039414,-0.00052922,0,0.39253,-0.0017261,1,0.082,0.5,0.082,0
0.3903,-0.039827,-0.00053773,0,0.3903,-0.0017623,1,0.083,0.5,0.083,0
0.38806,-0.040239,-0.00054624,0,0.38806,-0.0017985,1,0.084,0.5,0.084,0
0.38583,-0.040652,-0.00055474,0,0.38583,-0.0018347,1,0.085,0.5,0.085,0
0.38359,-0.041064,-0.00056325,0,0.38359,-0.0018708,1,0.086,0.5,0.086,0
0.38135,-0.041477,-0.00057176,0,0.38135,-0.001907,1,0.087,0.5,0.087,0
0.37938,-0.041861,-0.0005675,0,0.37938,-0.0019502,1,0.088,0.5,0.088,0
0.37753,-0.042233,-0.00055759,0,0.37753,-0.0019965,1,0.089,0.5,0.089,0
0.37568,-0.042605,-0.00054767,0,0.37568,-0.0020428,1,0.09,0.5,0.09,0
0.37383,-0.042976,-0.00053776,0,0.37383,-0.0020891,1,0.091,0.5,0.091,0
