"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.439,0,0,0,0.439,0,1,0,0.5,0,0
0.43775,-0.0004225,-1.3601e-05,0,0.43775,-2.14e-05,1,0.001,0.5,0.001,0
0.43649,-0.00084499,-2.7202e-05,0,0.43649,-4.2799e-05,1,0.002,0.5,0.002,0
0.43524,-0.0012675,-4.0803e-05,0,0.43524,-6.4199e-05,1,0.003,0.5,0.003,0
0.43399,-0.00169,-5.4404e-05,0,0.43399,-8.5598e-05,1,0.004,0.5,0.004,0
0.43273,-0.0021125,-6.8006e-05,0,0.43273,-0.000107,1,0.005,0.5,0.005,0
0.43148,-0.002535,-8.1607e-05,0,0.43148,-0.0001284,1,0.006,0.5,0.006,0
0.43022,-0.0029575,-9.5208e-05,0,0.43022,-0.0001498,1,0.007,0.5,0.007,0
0.42897,-0.00338,-0.00010881,0,0.42897,-0.0001712,1,0.008,0.5,0.008,0
0.42772,-0.0038025,-0.00012241,0,0.42772,-0.0001926,1,0.009,0.5,0.009,0
0.42646,-0.004225,-0.00013601,0,0.42646,-0.000214,1,0.01,0.5,0.01,0
0.42521,-0.0046474,-0.00014961,0,0.42521,-0.0002354,1,0.011,0.5,0.011,0
0.42395,-0.0050699,-0.00016321,0,0.42395,-0.0002568,1,0.012,0.5,0.012,0
0.4227,-0.0054924,-0.00017681,0,0.4227,-0.0002782,1,0.013,0.5,0.013,0
0.42145,-0.0059149,-0.00019042,0,0.42145,-0.00029959,1,0.014,0.5,0.014,0
0.42019,-0.0063374,-0.00020402,0,0.42019,-0.00032099,1,0.015,0.5,0.015,0
0.41894,-0.0067599,-0.00021762,0,0.41894,-0.00034239,1,0.016,0.5,0.016,0
0.41768,-0.0071824,-0.00023122,0,0.41768,-0.00036379,1,0.017,0.5,0.017,0
0.41643,-0.0076049,-0.00024482,0,0.41643,-0.00038519,1,0.018,0.5,0.018,0
0.41518,-0.0080274,-0.00025842,0,0.41518,-0.00040659,1,0.019,0.5,0.019,0
0.41392,-0.0084499,-0.00027202,0,0.41392,-0.00042799,1,0.02,0.5,0.02,0
0.41267,-0.0088724,-0.00028562,0,0.41267,-0.00044939,1,0.021,0.5,0.021,0
0.41141,-0.0092949,-0.00029922,0,0.41141,-0.00047079,1,0.022,0.5,0.022,0
0.41016,-0.0097174,-0.00031283,0,0.41016,-0.00049219,1,0.023,0.5,0.023,0
0.4089,-0.01014,-0.00032643,0,0.4089,-0.00051359,1,0.024,0.5,0.024,0
0.40765,-0.010562,-0.00034003,0,0.40765,-0.00053499,1,0.025,0.5,0.025,0
0.4064,-0.010985,-0.00035363,0,0.4064,-0.00055639,1,0.026,0.5,0.026,0
0.40514,-0.011407,-0.00036723,0,0.40514,-0.00057779,1,0.027,0.5,0.027,0
0.40389,-0.01183,-0.00038083,0,0.40389,-0.00059919,1,0.028,0.5,0.028,0
0.40263,-0.012252,-0.00039443,0,0.40263,-0.00062059,1,0.029,0.5,0.029,0
0.40138,-0.012675,-0.00040803,0,0.40138,-0.00064199,1,0.03,0.5,0.03,0
0.40013,-0.013097,-0.00042163,0,0.40013,-0.00066339,1,0.031,0.5,0.031,0
0.39887,-0.01352,-0.00043524,0,0.39887,-0.00068479,1,0.032,0.5,0.032,0
0.39762,-0.013942,-0.00044884,0,0.39762,-0.00070619,1,0.033,0.5,0.033,0
0.39636,-0.014365,-0.00046244,0,0.39636,-0.00072759,1,0.034,0.5,0.034,0
0.39511,-0.014787,-0.00047604,0,0.39511,-0.00074899,1,0.035,0.5,0.035,0
0.39386,-0.01521,-0.00048964,0,0.39386,-0.00077039,1,0.036,0.5,0.036,0
0.3926,-0.015632,-0.00050324,0,0.3926,-0.00079179,1,0.037,0.5,0.037,0
0.39135,-0.016055,-0.00051684,0,0.39135,-0.00081319,1,0.038,0.5,0.038,0
0.39009,-0.016477,-0.00053044,0,0.39009,-0.00083459,1,0.039,0.5,0.039,0
0.38884,-0.0169,-0.00054404,0,0.38884,-0.00085598,1,0.04,0.5,0.04,0
0.38759,-0.017322,-0.00055765,0,0.38759,-0.00087738,1,0.041,0.5,0.041,0
0.38633,-0.017745,-0.00057125,0,0.38633,-0.00089878,1,0.042,0.5,0.042,0
0.38508,-0.018167,-0.00058485,0,0.38508,-0.00092018,1,0.043,0.5,0.043,0
0.38382,-0.01859,-0.00059845,0,0.38382,-0.00094158,1,0.044,0.5,0.044,0
0.38257,-0.019012,-0.00061205,0,0.38257,-0.00096298,1,0.045,0.5,0.045,0
0.38132,-0.019435,-0.00062565,0,0.38132,-0.00098438,1,0.046,0.5,0.046,0
0.38006,-0.019857,-0.00063925,0,0.38006,-0.0010058,1,0.047,0.5,0.047,0
0.37881,-0.02028,-0.00065285,0,0.37881,-0.0010272,1,0.048,0.5,0.048,0
0.37755,-0.020702,-0.00066645,0,0.37755,-0.0010486,1,0.049,0.5,0.049,0
0.3763,-0.021125,-0.00068006,0,0.3763,-0.00107,1,0.05,0.5,0.05,0
0.37505,-0.021547,-0.00069366,0,0.37505,-0.0010914,1,0.051,0.5,0.051,0
0.37379,-0.02197,-0.00070726,0,0.37379,-0.0011128,1,0.052,0.5,0.052,0
0.37254,-0.022392,-0.00072086,0,0.37254,-0.0011342,1,0.053,0.5,0.053,0
0.37128,-0.022815,-0.00073446,0,0.37128,-0.0011556,1,0.054,0.5,0.054,0
