"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.51349,0,0,0,0.51349,0,1,0,0.5,0,0
0.51174,-0.0004851,-4.9374e-06,0,0.51174,-2.5449e-05,1,0.001,0.5,0.001,0
0.51,-0.00097019,-9.8748e-06,0,0.51,-5.0898e-05,1,0.002,0.5,0.002,0
0.50825,-0.0014553,-1.4812e-05,0,0.50825,-7.6347e-05,1,0.003,0.5,0.003,0
0.5065,-0.0019404,-1.975e-05,0,0.5065,-0.0001018,1,0.004,0.5,0.004,0
0.50476,-0.0024255,-2.4687e-05,0,0.50476,-0.00012724,1,0.005,0.5,0.005,0
0.50301,-0.0029106,-2.9624e-05,0,0.50301,-0.00015269,1,0.006,0.5,0.006,0
0.50126,-0.0033957,-3.4562e-05,0,0.50126,-0.00017814,1,0.007,0.5,0.007,0
0.49952,-0.0038808,-3.9499e-05,0,0.49952,-0.00020359,1,0.008,0.5,0.008,0
0.49777,-0.0043659,-4.4436e-05,0,0.49777,-0.00022904,1,0.009,0.5,0.009,0
0.49602,-0.004851,-4.9374e-05,0,0.49602,-0.00025449,1,0.01,0.5,0.01,0
0.49428,-0.0053361,-5.4311e-05,0,0.49428,-0.00027994,1,0.011,0.5,0.011,0
0.49253,-0.0058212,-5.9249e-05,0,0.49253,-0.00030539,1,0.012,0.5,0.012,0
0.49078,-0.0063062,-6.4186e-05,0,0.49078,-0.00033084,1,0.013,0.5,0.013,0
0.48904,-0.0067913,-6.9123e-05,0,0.48904,-0.00035628,1,0.014,0.5,0.014,0
0.48729,-0.0072764,-7.4061e-05,0,0.48729,-0.00038173,1,0.015,0.5,0.015,0
0.48554,-0.0077615,-7.8998e-05,0,0.48554,-0.00040718,1,0.016,0.5,0.016,0
0.4838,-0.0082466,-8.3935e-05,0,0.4838,-0.00043263,1,0.017,0.5,0.017,0
0.48205,-0.0087317,-8.8873e-05,0,0.48205,-0.00045808,1,0.018,0.5,0.018,0
0.4803,-0.0092168,-9.381e-05,0,0.4803,-0.00048353,1,0.019,0.5,0.019,0
0.47855,-0.0097019,-9.8748e-05,0,0.47855,-0.00050898,1,0.02,0.5,0.02,0
0.47681,-0.010187,-0.00010368,0,0.47681,-0.00053443,1,0.021,0.5,0.021,0
0.47506,-0.010672,-0.00010862,0,0.47506,-0.00055988,1,0.022,0.5,0.022,0
0.47331,-0.011157,-0.00011356,0,0.47331,-0.00058532,1,0.023,0.5,0.023,0
0.47157,-0.011642,-0.0001185,0,0.47157,-0.00061077,1,0.024,0.5,0.024,0
0.46982,-0.012127,-0.00012343,0,0.46982,-0.00063622,1,0.025,0.5,0.025,0
0.46807,-0.012612,-0.00012837,0,0.46807,-0.00066167,1,0.026,0.5,0.026,0
0.46633,-0.013098,-0.00013331,0,0.46633,-0.00068712,1,0.027,0.5,0.027,0
0.46458,-0.013583,-0.00013825,0,0.46458,-0.00071257,1,0.028,0.5,0.028,0
0.46283,-0.014068,-0.00014318,0,0.46283,-0.00073802,1,0.029,0.5,0.029,0
0.46109,-0.014553,-0.00014812,0,0.46109,-0.00076347,1,0.03,0.5,0.03,0
0.45934,-0.015038,-0.00015306,0,0.45934,-0.00078892,1,0.031,0.5,0.031,0
0.45759,-0.015523,-0.000158,0,0.45759,-0.00081436,1,0.032,0.5,0.032,0
0.45585,-0.016008,-0.00016293,0,0.45585,-0.00083981,1,0.033,0.5,0.033,0
0.4541,-0.016493,-0.00016787,0,0.4541,-0.00086526,1,0.034,0.5,0.034,0
0.45235,-0.016978,-0.00017281,0,0.45235,-0.00089071,1,0.035,0.5,0.035,0
0.45061,-0.017463,-0.00017775,0,0.45061,-0.00091616,1,0.036,0.5,0.036,0
0.44886,-0.017949,-0.00018268,0,0.44886,-0.00094161,1,0.037,0.5,0.037,0
0.44711,-0.018434,-0.00018762,0,0.44711,-0.00096706,1,0.038,0.5,0.038,0
0.44537,-0.018919,-0.00019256,0,0.44537,-0.00099251,1,0.039,0.5,0.039,0
0.44362,-0.019404,-0.0001975,0,0.44362,-0.001018,1,0.04,0.5,0.04,0
0.44187,-0.019889,-0.00020243,0,0.44187,-0.0010434,1,0.041,0.5,0.041,0
0.44013,-0.020374,-0.00020737,0,0.44013,-0.0010689,1,0.042,0.5,0.042,0
0.43838,-0.020859,-0.00021231,0,0.43838,-0.0010943,1,0.043,0.5,0.043,0
0.43663,-0.021344,-0.00021724,0,0.43663,-0.0011198,1,0.044,0.5,0.044,0
0.43488,-0.021829,-0.00022218,0,0.43488,-0.0011452,1,0.045,0.5,0.045,0
0.43314,-0.022314,-0.00022712,0,0.43314,-0.0011706,1,0.046,0.5,0.046,0
0.43139,-0.0228,-0.00023206,0,0.43139,-0.0011961,1,0.047,0.5,0.047,0
0.42964,-0.023285,-0.00023699,0,0.42964,-0.0012215,1,0.048,0.5,0.048,0
0.4279,-0.02377,-0.00024193,0,0.4279,-0.001247,1,0.049,0.5,0.049,0
0.42615,-0.024255,-0.00024687,0,0.42615,-0.0012724,1,0.05,0.5,0.05,0
0.4244,-0.02474,-0.00025181,0,0.4244,-0.0012979,1,0.051,0.5,0.051,0
0.42266,-0.025225,-0.00025674,0,0.42266,-0.0013233,1,0.052,0.5,0.052,0
0.42091,-0.02571,-0.00026168,0,0.42091,-0.0013488,1,0.053,0.5,0.053,0
0.41916,-0.026195,-0.00026662,0,0.41916,-0.0013742,1,0.054,0.5,0.054,0
0.41742,-0.02668,-0.00027156,0,0.41742,-0.0013997,1,0.055,0.5,0.055,0
0.41567,-0.027165,-0.00027649,0,0.41567,-0.0014251,1,0.056,0.5,0.056,0
0.41392,-0.02765,-0.00028143,0,0.41392,-0.0014506,1,0.057,0.5,0.057,0
0.41218,-0.028136,-0.00028637,0,0.41218,-0.001476,1,0.058,0.5,0.058,0
0.41043,-0.028621,-0.00029131,0,0.41043,-0.0015015,1,0.059,0.5,0.059,0
0.40868,-0.029106,-0.00029624,0,0.40868,-0.0015269,1,0.06,0.5,0.06,0
0.40694,-0.029591,-0.00030118,0,0.40694,-0.0015524,1,0.061,0.5,0.061,0
0.40519,-0.030076,-0.00030612,0,0.40519,-0.0015778,1,0.062,0.5,0.062,0
0.40344,-0.030561,-0.00031105,0,0.40344,-0.0016033,1,0.063,0.5,0.063,0
0.4017,-0.031046,-0.00031599,0,0.4017,-0.0016287,1,0.064,0.5,0.064,0
0.39995,-0.031531,-0.00032093,0,0.39995,-0.0016542,1,0.065,0.5,0.065,0
0.3982,-0.032016,-0.00032587,0,0.3982,-0.0016796,1,0.066,0.5,0.066,0
0.39646,-0.032501,-0.0003308,0,0.39646,-0.0017051,1,0.067,0.5,0.067,0
0.39471,-0.032987,-0.00033574,0,0.39471,-0.0017305,1,0.068,0.5,0.068,0
0.39296,-0.033472,-0.00034068,0,0.39296,-0.001756,1,0.069,0.5,0.069,0
0.39122,-0.033957,-0.00034562,0,0.39122,-0.0017814,1,0.07,0.5,0.07,0
0.38947,-0.034442,-0.00035055,0,0.38947,-0.0018069,1,0.071,0.5,0.071,0
0.38772,-0.034927,-0.00035549,0,0.38772,-0.0018323,1,0.072,0.5,0.072,0
0.38597,-0.035412,-0.00036043,0,0.38597,-0.0018578,1,0.073,0.5,0.073,0
0.38423,-0.035897,-0.00036537,0,0.38423,-0.0018832,1,0.074,0.5,0.074,0
0.38248,-0.036382,-0.0003703,0,0.38248,-0.0019087,1,0.075,0.5,0.075,0
0.38073,-0.036867,-0.00037524,0,0.38073,-0.0019341,1,0.076,0.5,0.076,0
0.37899,-0.037352,-0.00038018,0,0.37899,-0.0019596,1,0.077,0.5,0.077,0
0.37724,-0.037837,-0.00038512,0,0.37724,-0.001985,1,0.078,0.5,0.078,0
0.37549,-0.038323,-0.00039005,0,0.37549,-0.0020105,1,0.079,0.5,0.079,0
0.37375,-0.038808,-0.00039499,0,0.37375,-0.0020359,1,0.08,0.5,0.08,0
0.372,-0.039293,-0.00039993,0,0.372,-0.0020614,1,0.081,0.5,0.081,0
0.37025,-0.039778,-0.00040487,0,0.37025,-0.0020868,1,0.082,0.5,0.082,0
0.36851,-0.040263,-0.0004098,0,0.36851,-0.0021123,1,0.083,0.5,0.083,0
0.36676,-0.040748,-0.00041474,0,0.36676,-0.0021377,1,0.084,0.5,0.084,0
0.36501,-0.041233,-0.00041968,0,0.36501,-0.0021632,1,0.085,0.5,0.085,0
0.36327,-0.041718,-0.00042461,0,0.36327,-0.0021886,1,0.086,0.5,0.086,0
0.36152,-0.042203,-0.00042955,0,0.36152,-0.0022141,1,0.087,0.5,0.087,0
0.35977,-0.042688,-0.00043449,0,0.35977,-0.0022395,1,0.088,0.5,0.088,0
0.35803,-0.043174,-0.00043943,0,0.35803,-0.002265,1,0.089,0.5,0.089,0
0.35628,-0.043659,-0.00044436,0,0.35628,-0.0022904,1,0.09,0.5,0.09,0
0.35453,-0.044144,-0.0004493,0,0.35453,-0.0023158,1,0.091,0.5,0.091,0
0.35279,-0.044629,-0.00045424,0,0.35279,-0.0023413,1,0.092,0.5,0.092,0
0.35104,-0.045114,-0.00045918,0,0.35104,-0.0023667,1,0.093,0.5,0.093,0
0.34943,-0.04557,-0.00045294,0,0.34943,-0.0024047,1,0.094,0.5,0.094,0
0.34803,-0.045982,-0.0004303,0,0.34803,-0.0024609,1,0.095,0.5,0.095,0
0.34663,-0.046395,-0.00040766,0,0.34663,-0.0025172,1,0.096,0.5,0.096,0
0.34523,-0.046807,-0.00038502,0,0.34523,-0.0025735,1,0.097,0.5,0.097,0
0.34383,-0.04722,-0.00036239,0,0.34383,-0.0026297,1,0.098,0.5,0.098,0
0.34242,-0.047632,-0.00033975,0,0.34242,-0.002686,1,0.099,0.5,0.099,0
