"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.54442,0,0,0,0.54442,0,1,0,0.5,0,0
0.54262,-0.00051133,9.8041e-06,0,0.54262,-3.2638e-05,1,0.001,0.5,0.001,0
0.54082,-0.0010227,1.9608e-05,0,0.54082,-6.5276e-05,1,0.002,0.5,0.002,0
0.53903,-0.001534,2.9412e-05,0,0.53903,-9.7915e-05,1,0.003,0.5,0.003,0
0.53723,-0.0020453,3.9216e-05,0,0.53723,-0.00013055,1,0.004,0.5,0.004,0
0.53544,-0.0025567,4.902e-05,0,0.53544,-0.00016319,1,0.005,0.5,0.005,0
0.53364,-0.003068,5.8824e-05,0,0.53364,-0.00019583,1,0.006,0.5,0.006,0
0.53184,-0.0035793,6.8628e-05,0,0.53184,-0.00022847,1,0.007,0.5,0.007,0
0.53005,-0.0040907,7.8432e-05,0,0.53005,-0.00026111,1,0.008,0.5,0.008,0
0.52825,-0.004602,8.8237e-05,0,0.52825,-0.00029374,1,0.009,0.5,0.009,0
0.52645,-0.0051133,9.8041e-05,0,0.52645,-0.00032638,1,0.01,0.5,0.01,0
0.52466,-0.0056247,0.00010784,0,0.52466,-0.00035902,1,0.011,0.5,0.011,0
0.52286,-0.006136,0.00011765,0,0.52286,-0.00039166,1,0.012,0.5,0.012,0
0.52106,-0.0066473,0.00012745,0,0.52106,-0.0004243,1,0.013,0.5,0.013,0
0.51927,-0.0071587,0.00013726,0,0.51927,-0.00045693,1,0.014,0.5,0.014,0
0.51747,-0.00767,0.00014706,0,0.51747,-0.00048957,1,0.015,0.5,0.015,0
0.51568,-0.0081813,0.00015686,0,0.51568,-0.00052221,1,0.016,0.5,0.016,0
0.51388,-0.0086927,0.00016667,0,0.51388,-0.00055485,1,0.017,0.5,0.017,0
0.51208,-0.009204,0.00017647,0,0.51208,-0.00058749,1,0.018,0.5,0.018,0
0.51029,-0.0097153,0.00018628,0,0.51029,-0.00062013,1,0.019,0.5,0.019,0
0.50849,-0.010227,0.00019608,0,0.50849,-0.00065276,1,0.02,0.5,0.02,0
0.50669,-0.010738,0.00020589,0,0.50669,-0.0006854,1,0.021,0.5,0.021,0
0.5049,-0.011249,0.00021569,0,0.5049,-0.00071804,1,0.022,0.5,0.022,0
0.5031,-0.011761,0.00022549,0,0.5031,-0.00075068,1,0.023,0.5,0.023,0
0.5013,-0.012272,0.0002353,0,0.5013,-0.00078332,1,0.024,0.5,0.024,0
0.49951,-0.012783,0.0002451,0,0.49951,-0.00081595,1,0.025,0.5,0.025,0
0.49771,-0.013295,0.00025491,0,0.49771,-0.00084859,1,0.026,0.5,0.026,0
0.49592,-0.013806,0.00026471,0,0.49592,-0.00088123,1,0.027,0.5,0.027,0
0.49412,-0.014317,0.00027451,0,0.49412,-0.00091387,1,0.028,0.5,0.028,0
0.49232,-0.014829,0.00028432,0,0.49232,-0.00094651,1,0.029,0.5,0.029,0
0.49053,-0.01534,0.00029412,0,0.49053,-0.00097915,1,0.03,0.5,0.03,0
0.48873,-0.015851,0.00030393,0,0.48873,-0.0010118,1,0.031,0.5,0.031,0
0.48693,-0.016363,0.00031373,0,0.48693,-0.0010444,1,0.032,0.5,0.032,0
0.48514,-0.016874,0.00032353,0,0.48514,-0.0010771,1,0.033,0.5,0.033,0
0.48334,-0.017385,0.00033334,0,0.48334,-0.0011097,1,0.034,0.5,0.034,0
0.48155,-0.017897,0.00034314,0,0.48155,-0.0011423,1,0.035,0.5,0.035,0
0.47975,-0.018408,0.00035295,0,0.47975,-0.001175,1,0.036,0.5,0.036,0
0.47795,-0.018919,0.00036275,0,0.47795,-0.0012076,1,0.037,0.5,0.037,0
