"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.553,0,0,0,0.553,0,1,0,0.5,0,0
0.55126,-0.00051998,-1.7104e-06,0,0.55126,-2.8653e-05,1,0.001,0.5,0.001,0
0.54951,-0.00104,-3.4207e-06,0,0.54951,-5.7305e-05,1,0.002,0.5,0.002,0
0.54776,-0.0015599,-5.1311e-06,0,0.54776,-8.5958e-05,1,0.003,0.5,0.003,0
0.54601,-0.0020799,-6.8414e-06,0,0.54601,-0.00011461,1,0.004,0.5,0.004,0
0.54427,-0.0025999,-8.5518e-06,0,0.54427,-0.00014326,1,0.005,0.5,0.005,0
0.54252,-0.0031199,-1.0262e-05,0,0.54252,-0.00017192,1,0.006,0.5,0.006,0
0.54077,-0.0036398,-1.1973e-05,0,0.54077,-0.00020057,1,0.007,0.5,0.007,0
0.53902,-0.0041598,-1.3683e-05,0,0.53902,-0.00022922,1,0.008,0.5,0.008,0
0.53728,-0.0046798,-1.5393e-05,0,0.53728,-0.00025787,1,0.009,0.5,0.009,0
0.53553,-0.0051998,-1.7104e-05,0,0.53553,-0.00028653,1,0.01,0.5,0.01,0
0.53378,-0.0057197,-1.8814e-05,0,0.53378,-0.00031518,1,0.011,0.5,0.011,0
0.53203,-0.0062397,-2.0524e-05,0,0.53203,-0.00034383,1,0.012,0.5,0.012,0
0.53029,-0.0067597,-2.2235e-05,0,0.53029,-0.00037249,1,0.013,0.5,0.013,0
0.52854,-0.0072797,-2.3945e-05,0,0.52854,-0.00040114,1,0.014,0.5,0.014,0
0.52679,-0.0077996,-2.5655e-05,0,0.52679,-0.00042979,1,0.015,0.5,0.015,0
0.52504,-0.0083196,-2.7366e-05,0,0.52504,-0.00045844,1,0.016,0.5,0.016,0
0.5233,-0.0088396,-2.9076e-05,0,0.5233,-0.0004871,1,0.017,0.5,0.017,0
0.52155,-0.0093596,-3.0786e-05,0,0.52155,-0.00051575,1,0.018,0.5,0.018,0
0.5198,-0.0098796,-3.2497e-05,0,0.5198,-0.0005444,1,0.019,0.5,0.019,0
0.51805,-0.0104,-3.4207e-05,0,0.51805,-0.00057305,1,0.02,0.5,0.02,0
0.5163,-0.01092,-3.5918e-05,0,0.5163,-0.00060171,1,0.021,0.5,0.021,0
0.51456,-0.011439,-3.7628e-05,0,0.51456,-0.00063036,1,0.022,0.5,0.022,0
0.51281,-0.011959,-3.9338e-05,0,0.51281,-0.00065901,1,0.023,0.5,0.023,0
0.51106,-0.012479,-4.1049e-05,0,0.51106,-0.00068766,1,0.024,0.5,0.024,0
0.50931,-0.012999,-4.2759e-05,0,0.50931,-0.00071632,1,0.025,0.5,0.025,0
0.50757,-0.013519,-4.4469e-05,0,0.50757,-0.00074497,1,0.026,0.5,0.026,0
0.50582,-0.014039,-4.618e-05,0,0.50582,-0.00077362,1,0.027,0.5,0.027,0
0.50407,-0.014559,-4.789e-05,0,0.50407,-0.00080228,1,0.028,0.5,0.028,0
0.50232,-0.015079,-4.96e-05,0,0.50232,-0.00083093,1,0.029,0.5,0.029,0
0.50058,-0.015599,-5.1311e-05,0,0.50058,-0.00085958,1,0.03,0.5,0.03,0
0.49883,-0.016119,-5.3021e-05,0,0.49883,-0.00088823,1,0.031,0.5,0.031,0
0.49708,-0.016639,-5.4731e-05,0,0.49708,-0.00091689,1,0.032,0.5,0.032,0
0.49533,-0.017159,-5.6442e-05,0,0.49533,-0.00094554,1,0.033,0.5,0.033,0
0.49359,-0.017679,-5.8152e-05,0,0.49359,-0.00097419,1,0.034,0.5,0.034,0
0.49184,-0.018199,-5.9863e-05,0,0.49184,-0.0010028,1,0.035,0.5,0.035,0
