"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.50205,0,0,0,0.50205,0,1,0,0.5,0,0
0.50069,-0.00048031,-1.2187e-06,0,0.50069,-2.861e-05,1,0.001,0.5,0.001,0
0.49933,-0.00096062,-2.4375e-06,0,0.49933,-5.7221e-05,1,0.002,0.5,0.002,0
0.49797,-0.0014409,-3.6562e-06,0,0.49797,-8.5831e-05,1,0.003,0.5,0.003,0
0.49661,-0.0019212,-4.8749e-06,0,0.49661,-0.00011444,1,0.004,0.5,0.004,0
0.49525,-0.0024015,-6.0937e-06,0,0.49525,-0.00014305,1,0.005,0.5,0.005,0
0.49389,-0.0028819,-7.3124e-06,0,0.49389,-0.00017166,1,0.006,0.5,0.006,0
0.49253,-0.0033622,-8.5312e-06,0,0.49253,-0.00020027,1,0.007,0.5,0.007,0
0.49117,-0.0038425,-9.7499e-06,0,0.49117,-0.00022888,1,0.008,0.5,0.008,0
0.48981,-0.0043228,-1.0969e-05,0,0.48981,-0.00025749,1,0.009,0.5,0.009,0
0.48845,-0.0048031,-1.2187e-05,0,0.48845,-0.0002861,1,0.01,0.5,0.01,0
0.48709,-0.0052834,-1.3406e-05,0,0.48709,-0.00031471,1,0.011,0.5,0.011,0
0.48573,-0.0057637,-1.4625e-05,0,0.48573,-0.00034332,1,0.012,0.5,0.012,0
0.48437,-0.006244,-1.5844e-05,0,0.48437,-0.00037193,1,0.013,0.5,0.013,0
0.48301,-0.0067243,-1.7062e-05,0,0.48301,-0.00040054,1,0.014,0.5,0.014,0
0.48165,-0.0072046,-1.8281e-05,0,0.48165,-0.00042916,1,0.015,0.5,0.015,0
0.48029,-0.007685,-1.95e-05,0,0.48029,-0.00045777,1,0.016,0.5,0.016,0
0.47893,-0.0081653,-2.0719e-05,0,0.47893,-0.00048638,1,0.017,0.5,0.017,0
0.47757,-0.0086456,-2.1937e-05,0,0.47757,-0.00051499,1,0.018,0.5,0.018,0
0.47621,-0.0091259,-2.3156e-05,0,0.47621,-0.0005436,1,0.019,0.5,0.019,0
0.47485,-0.0096062,-2.4375e-05,0,0.47485,-0.00057221,1,0.02,0.5,0.02,0
0.47349,-0.010087,-2.5593e-05,0,0.47349,-0.00060082,1,0.021,0.5,0.021,0
0.47213,-0.010567,-2.6812e-05,0,0.47213,-0.00062943,1,0.022,0.5,0.022,0
0.47077,-0.011047,-2.8031e-05,0,0.47077,-0.00065804,1,0.023,0.5,0.023,0
0.46941,-0.011527,-2.925e-05,0,0.46941,-0.00068665,1,0.024,0.5,0.024,0
0.46805,-0.012008,-3.0468e-05,0,0.46805,-0.00071526,1,0.025,0.5,0.025,0
0.46669,-0.012488,-3.1687e-05,0,0.46669,-0.00074387,1,0.026,0.5,0.026,0
0.46533,-0.012968,-3.2906e-05,0,0.46533,-0.00077248,1,0.027,0.5,0.027,0
