"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.50143,0,0,0,0.50143,0,1,0,0.5,0,0
0.49927,-0.00050283,-1.5203e-06,0,0.49927,-3.9693e-06,1,0.001,0.5,0.001,0
0.4971,-0.0010057,-3.0406e-06,0,0.4971,-7.9385e-06,1,0.002,0.5,0.002,0
0.49493,-0.0015085,-4.5609e-06,0,0.49493,-1.1908e-05,1,0.003,0.5,0.003,0
0.49276,-0.0020113,-6.0811e-06,0,0.49276,-1.5877e-05,1,0.004,0.5,0.004,0
0.49059,-0.0025141,-7.6014e-06,0,0.49059,-1.9846e-05,1,0.005,0.5,0.005,0
0.48842,-0.003017,-9.1217e-06,0,0.48842,-2.3816e-05,1,0.006,0.5,0.006,0
0.48625,-0.0035198,-1.0642e-05,0,0.48625,-2.7785e-05,1,0.007,0.5,0.007,0
0.48408,-0.0040226,-1.2162e-05,0,0.48408,-3.1754e-05,1,0.008,0.5,0.008,0
0.48191,-0.0045254,-1.3683e-05,0,0.48191,-3.5723e-05,1,0.009,0.5,0.009,0
0.47975,-0.0050283,-1.5203e-05,0,0.47975,-3.9693e-05,1,0.01,0.5,0.01,0
0.47758,-0.0055311,-1.6723e-05,0,0.47758,-4.3662e-05,1,0.011,0.5,0.011,0
0.47541,-0.0060339,-1.8243e-05,0,0.47541,-4.7631e-05,1,0.012,0.5,0.012,0
0.47324,-0.0065368,-1.9764e-05,0,0.47324,-5.16e-05,1,0.013,0.5,0.013,0
0.47107,-0.0070396,-2.1284e-05,0,0.47107,-5.557e-05,1,0.014,0.5,0.014,0
0.46853,-0.0074933,-2.5207e-05,0,0.46853,-6.4274e-05,1,0.015,0.5,0.015,0
0.46582,-0.0079256,-3.0186e-05,0,0.46582,-7.5056e-05,1,0.016,0.5,0.016,0
0.46311,-0.0083578,-3.5164e-05,0,0.46311,-8.5839e-05,1,0.017,0.5,0.017,0
0.4604,-0.00879,-4.0142e-05,0,0.4604,-9.6621e-05,1,0.018,0.5,0.018,0
0.45769,-0.0092222,-4.512e-05,0,0.45769,-0.0001074,1,0.019,0.5,0.019,0
0.45498,-0.0096544,-5.0098e-05,0,0.45498,-0.00011819,1,0.02,0.5,0.02,0
0.45227,-0.010087,-5.5076e-05,0,0.45227,-0.00012897,1,0.021,0.5,0.021,0
0.44956,-0.010519,-6.0054e-05,0,0.44956,-0.00013975,1,0.022,0.5,0.022,0
0.44685,-0.010951,-6.5032e-05,0,0.44685,-0.00015053,1,0.023,0.5,0.023,0
0.44414,-0.011383,-7.0011e-05,0,0.44414,-0.00016131,1,0.024,0.5,0.024,0
0.44143,-0.011816,-7.4989e-05,0,0.44143,-0.0001721,1,0.025,0.5,0.025,0
0.43872,-0.012248,-7.9967e-05,0,0.43872,-0.00018288,1,0.026,0.5,0.026,0
0.43601,-0.01268,-8.4945e-05,0,0.43601,-0.00019366,1,0.027,0.5,0.027,0
0.43344,-0.013119,-7.6662e-05,0,0.43344,-0.00020523,1,0.028,0.5,0.028,0
0.43091,-0.013559,-6.5612e-05,0,0.43091,-0.00021695,1,0.029,0.5,0.029,0
0.42838,-0.013999,-5.4562e-05,0,0.42838,-0.00022868,1,0.03,0.5,0.03,0
0.42588,-0.014427,-5.1617e-05,0,0.42588,-0.00024145,1,0.031,0.5,0.031,0
0.42352,-0.014793,-9.0911e-05,0,0.42352,-0.00025965,1,0.032,0.5,0.032,0
0.42116,-0.015159,-0.0001302,0,0.42116,-0.00027785,1,0.033,0.5,0.033,0
0.41879,-0.015525,-0.0001695,0,0.41879,-0.00029604,1,0.034,0.5,0.034,0
0.41636,-0.015912,-0.00015215,0,0.41636,-0.00031427,1,0.035,0.5,0.035,0
0.41391,-0.016299,-0.00013396,0,0.41391,-0.0003325,1,0.036,0.5,0.036,0
0.41147,-0.016686,-0.00011577,0,0.41147,-0.00035073,1,0.037,0.5,0.037,0
0.40903,-0.017074,-9.7581e-05,0,0.40903,-0.00036896,1,0.038,0.5,0.038,0
0.40659,-0.017461,-7.939e-05,0,0.40659,-0.00038719,1,0.039,0.5,0.039,0
0.40415,-0.017848,-6.1199e-05,0,0.40415,-0.00040542,1,0.04,0.5,0.04,0
0.40171,-0.018235,-4.3009e-05,0,0.40171,-0.00042365,1,0.041,0.5,0.041,0
0.39927,-0.018623,-2.4818e-05,0,0.39927,-0.00044188,1,0.042,0.5,0.042,0
0.39683,-0.01901,-6.6273e-06,0,0.39683,-0.00046011,1,0.043,0.5,0.043,0
0.39439,-0.019397,1.1563e-05,0,0.39439,-0.00047834,1,0.044,0.5,0.044,0
0.39195,-0.019785,2.9754e-05,0,0.39195,-0.00049657,1,0.045,0.5,0.045,0
0.38951,-0.020172,4.7945e-05,0,0.38951,-0.0005148,1,0.046,0.5,0.046,0
0.38708,-0.020562,6.4522e-05,0,0.38708,-0.00053335,1,0.047,0.5,0.047,0
0.38489,-0.020992,5.3888e-05,0,0.38489,-0.00055735,1,0.048,0.5,0.048,0
0.3827,-0.021423,4.3254e-05,0,0.3827,-0.00058135,1,0.049,0.5,0.049,0
0.3805,-0.021853,3.262e-05,0,0.3805,-0.00060535,1,0.05,0.5,0.05,0
0.37831,-0.022283,2.1986e-05,0,0.37831,-0.00062935,1,0.051,0.5,0.051,0
0.37612,-0.022714,1.1353e-05,0,0.37612,-0.00065336,1,0.052,0.5,0.052,0
0.37392,-0.023144,7.189e-07,0,0.37392,-0.00067736,1,0.053,0.5,0.053,0
0.37173,-0.023575,-9.9149e-06,0,0.37173,-0.00070136,1,0.054,0.5,0.054,0
0.36953,-0.023999,-2.7527e-05,0,0.36953,-0.00072539,1,0.055,0.5,0.055,0
0.36731,-0.02441,-5.9554e-05,0,0.36731,-0.00074949,1,0.056,0.5,0.056,0
0.36509,-0.02482,-9.1581e-05,0,0.36509,-0.00077358,1,0.057,0.5,0.057,0
0.36287,-0.025231,-0.00012361,0,0.36287,-0.00079768,1,0.058,0.5,0.058,0
0.36065,-0.025642,-0.00015563,0,0.36065,-0.00082177,1,0.059,0.5,0.059,0
0.35843,-0.026053,-0.00018766,0,0.35843,-0.00084587,1,0.06,0.5,0.06,0
0.35621,-0.026463,-0.00021969,0,0.35621,-0.00086996,1,0.061,0.5,0.061,0
0.35404,-0.026864,-0.00024249,0,0.35404,-0.00089553,1,0.062,0.5,0.062,0
0.35204,-0.027228,-0.00023407,0,0.35204,-0.00092611,1,0.063,0.5,0.063,0
0.35004,-0.027593,-0.00022565,0,0.35004,-0.00095668,1,0.064,0.5,0.064,0
0.34804,-0.027958,-0.00021723,0,0.34804,-0.00098725,1,0.065,0.5,0.065,0
0.34604,-0.028323,-0.00020881,0,0.34604,-0.0010178,1,0.066,0.5,0.066,0
0.34404,-0.028687,-0.00020039,0,0.34404,-0.0010484,1,0.067,0.5,0.067,0
