"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.6097,1.9779,0,0,0.6097,0.83379,1,0,5,0,0
0.6097,1.9776,3.1796e-06,0,0.6097,0.83381,1,0.001,5,0.001,0
0.6097,1.9774,6.3592e-06,0,0.6097,0.83383,1,0.002,5,0.002,0
0.6097,1.9772,9.5388e-06,0,0.6097,0.83385,1,0.003,5,0.003,0
0.6097,1.9769,1.2718e-05,0,0.6097,0.83387,1,0.004,5,0.004,0
0.6097,1.9767,1.5898e-05,0,0.6097,0.83389,1,0.005,5,0.005,0
0.6097,1.9765,1.9078e-05,0,0.6097,0.83391,1,0.006,5,0.006,0
0.6097,1.9762,2.2257e-05,0,0.6097,0.83393,1,0.007,5,0.007,0
0.6097,1.976,2.5437e-05,0,0.6097,0.83395,1,0.008,5,0.008,0
0.6097,1.9758,2.8616e-05,0,0.6097,0.83397,1,0.009,5,0.009,0
0.6097,1.9755,3.1796e-05,0,0.6097,0.83399,1,0.01,5,0.01,0
0.6097,1.9753,3.4975e-05,0,0.6097,0.83401,1,0.011,5,0.011,0
0.6097,1.9751,3.8155e-05,0,0.6097,0.83403,1,0.012,5,0.012,0
0.6097,1.9748,4.1335e-05,0,0.6097,0.83405,1,0.013,5,0.013,0
0.6097,1.9746,4.4514e-05,0,0.6097,0.83407,1,0.014,5,0.014,0
0.6097,1.9744,4.7694e-05,0,0.6097,0.83409,1,0.015,5,0.015,0
0.6097,1.9741,5.0873e-05,0,0.6097,0.8341,1,0.016,5,0.016,0
0.6097,1.9739,5.4053e-05,0,0.6097,0.83412,1,0.017,5,0.017,0
0.6097,1.9737,5.7233e-05,0,0.6097,0.83414,1,0.018,5,0.018,0
0.6097,1.9734,6.0412e-05,0,0.6097,0.83416,1,0.019,5,0.019,0
0.6097,1.9732,6.3592e-05,0,0.6097,0.83418,1,0.02,5,0.02,0
0.6097,1.973,6.6771e-05,0,0.6097,0.8342,1,0.021,5,0.021,0
0.6097,1.9727,6.9951e-05,0,0.6097,0.83422,1,0.022,5,0.022,0
0.6097,1.9725,7.3131e-05,0,0.6097,0.83424,1,0.023,5,0.023,0
0.6097,1.9723,7.631e-05,0,0.6097,0.83426,1,0.024,5,0.024,0
0.6097,1.972,7.949e-05,0,0.6097,0.83428,1,0.025,5,0.025,0
0.6097,1.9718,8.2669e-05,0,0.6097,0.8343,1,0.026,5,0.026,0
0.6097,1.9716,8.5849e-05,0,0.6097,0.83432,1,0.027,5,0.027,0
0.60969,1.9713,8.9029e-05,0,0.60969,0.83434,1,0.028,5,0.028,0
0.60969,1.9711,9.2208e-05,0,0.60969,0.83436,1,0.029,5,0.029,0
0.60969,1.9709,9.5388e-05,0,0.60969,0.83438,1,0.03,5,0.03,0
0.60969,1.9706,9.8567e-05,0,0.60969,0.8344,1,0.031,5,0.031,0
0.60969,1.9704,0.00010175,0,0.60969,0.83442,1,0.032,5,0.032,0
0.60969,1.9702,0.00010493,0,0.60969,0.83444,1,0.033,5,0.033,0
0.60969,1.9699,0.00010811,0,0.60969,0.83446,1,0.034,5,0.034,0
0.60969,1.9697,0.00011129,0,0.60969,0.83448,1,0.035,5,0.035,0
0.60969,1.9695,0.00011447,0,0.60969,0.8345,1,0.036,5,0.036,0
0.60969,1.9692,0.00011764,0,0.60969,0.83452,1,0.037,5,0.037,0
0.60969,1.969,0.00012082,0,0.60969,0.83454,1,0.038,5,0.038,0
