"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.69962,0,0,0,0.69962,0,1,0,0.5,0,0
0.69688,-0.0006557,-2.3788e-06,0,0.69688,-3.7904e-05,1,0.001,0.5,0.001,0
0.69414,-0.0013114,-4.7576e-06,0,0.69414,-7.5809e-05,1,0.002,0.5,0.002,0
0.6914,-0.0019671,-7.1363e-06,0,0.6914,-0.00011371,1,0.003,0.5,0.003,0
0.68866,-0.0026228,-9.5151e-06,0,0.68866,-0.00015162,1,0.004,0.5,0.004,0
0.68592,-0.0032785,-1.1894e-05,0,0.68592,-0.00018952,1,0.005,0.5,0.005,0
0.68318,-0.0039342,-1.4273e-05,0,0.68318,-0.00022743,1,0.006,0.5,0.006,0
0.68044,-0.0045899,-1.6651e-05,0,0.68044,-0.00026533,1,0.007,0.5,0.007,0
0.67771,-0.0052456,-1.903e-05,0,0.67771,-0.00030323,1,0.008,0.5,0.008,0
0.67497,-0.0059013,-2.1409e-05,0,0.67497,-0.00034114,1,0.009,0.5,0.009,0
0.67223,-0.006557,-2.3788e-05,0,0.67223,-0.00037904,1,0.01,0.5,0.01,0
0.66949,-0.0072127,-2.6167e-05,0,0.66949,-0.00041695,1,0.011,0.5,0.011,0
0.66675,-0.0078684,-2.8545e-05,0,0.66675,-0.00045485,1,0.012,0.5,0.012,0
0.66401,-0.0085241,-3.0924e-05,0,0.66401,-0.00049276,1,0.013,0.5,0.013,0
0.66127,-0.0091798,-3.3303e-05,0,0.66127,-0.00053066,1,0.014,0.5,0.014,0
0.65853,-0.0098355,-3.5682e-05,0,0.65853,-0.00056856,1,0.015,0.5,0.015,0
0.65579,-0.010491,-3.806e-05,0,0.65579,-0.00060647,1,0.016,0.5,0.016,0
0.65305,-0.011147,-4.0439e-05,0,0.65305,-0.00064437,1,0.017,0.5,0.017,0
0.65032,-0.011803,-4.2818e-05,0,0.65032,-0.00068228,1,0.018,0.5,0.018,0
0.64758,-0.012458,-4.5197e-05,0,0.64758,-0.00072018,1,0.019,0.5,0.019,0
0.64484,-0.013114,-4.7576e-05,0,0.64484,-0.00075809,1,0.02,0.5,0.02,0
0.6421,-0.01377,-4.9954e-05,0,0.6421,-0.00079599,1,0.021,0.5,0.021,0
0.63936,-0.014425,-5.2333e-05,0,0.63936,-0.00083389,1,0.022,0.5,0.022,0
0.63662,-0.015081,-5.4712e-05,0,0.63662,-0.0008718,1,0.023,0.5,0.023,0
0.63388,-0.015737,-5.7091e-05,0,0.63388,-0.0009097,1,0.024,0.5,0.024,0
0.63114,-0.016392,-5.9469e-05,0,0.63114,-0.00094761,1,0.025,0.5,0.025,0
0.6284,-0.017048,-6.1848e-05,0,0.6284,-0.00098551,1,0.026,0.5,0.026,0
0.62566,-0.017704,-6.4227e-05,0,0.62566,-0.0010234,1,0.027,0.5,0.027,0
