"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61229,0,0,0,0.61229,0,1,0,0.5,0,0
0.61014,-0.00058098,-4.9152e-06,0,0.61014,-3.3126e-05,1,0.001,0.5,0.001,0
0.60799,-0.001162,-9.8304e-06,0,0.60799,-6.6252e-05,1,0.002,0.5,0.002,0
0.60585,-0.0017429,-1.4746e-05,0,0.60585,-9.9378e-05,1,0.003,0.5,0.003,0
0.6037,-0.0023239,-1.9661e-05,0,0.6037,-0.0001325,1,0.004,0.5,0.004,0
0.60155,-0.0029049,-2.4576e-05,0,0.60155,-0.00016563,1,0.005,0.5,0.005,0
0.5994,-0.0034859,-2.9491e-05,0,0.5994,-0.00019876,1,0.006,0.5,0.006,0
0.59725,-0.0040669,-3.4406e-05,0,0.59725,-0.00023188,1,0.007,0.5,0.007,0
0.59511,-0.0046479,-3.9321e-05,0,0.59511,-0.00026501,1,0.008,0.5,0.008,0
0.59296,-0.0052288,-4.4237e-05,0,0.59296,-0.00029813,1,0.009,0.5,0.009,0
0.59081,-0.0058098,-4.9152e-05,0,0.59081,-0.00033126,1,0.01,0.5,0.01,0
0.58866,-0.0063908,-5.4067e-05,0,0.58866,-0.00036438,1,0.011,0.5,0.011,0
0.58651,-0.0069718,-5.8982e-05,0,0.58651,-0.00039751,1,0.012,0.5,0.012,0
0.58437,-0.0075528,-6.3897e-05,0,0.58437,-0.00043064,1,0.013,0.5,0.013,0
0.58222,-0.0081338,-6.8813e-05,0,0.58222,-0.00046376,1,0.014,0.5,0.014,0
0.58007,-0.0087147,-7.3728e-05,0,0.58007,-0.00049689,1,0.015,0.5,0.015,0
0.57792,-0.0092957,-7.8643e-05,0,0.57792,-0.00053001,1,0.016,0.5,0.016,0
0.57577,-0.0098767,-8.3558e-05,0,0.57577,-0.00056314,1,0.017,0.5,0.017,0
0.57363,-0.010458,-8.8473e-05,0,0.57363,-0.00059627,1,0.018,0.5,0.018,0
0.57148,-0.011039,-9.3388e-05,0,0.57148,-0.00062939,1,0.019,0.5,0.019,0
0.56933,-0.01162,-9.8304e-05,0,0.56933,-0.00066252,1,0.02,0.5,0.02,0
0.56718,-0.012201,-0.00010322,0,0.56718,-0.00069564,1,0.021,0.5,0.021,0
0.56503,-0.012782,-0.00010813,0,0.56503,-0.00072877,1,0.022,0.5,0.022,0
0.56289,-0.013363,-0.00011305,0,0.56289,-0.00076189,1,0.023,0.5,0.023,0
0.56074,-0.013944,-0.00011796,0,0.56074,-0.00079502,1,0.024,0.5,0.024,0
0.55859,-0.014525,-0.00012288,0,0.55859,-0.00082815,1,0.025,0.5,0.025,0
0.55644,-0.015106,-0.00012779,0,0.55644,-0.00086127,1,0.026,0.5,0.026,0
0.55429,-0.015687,-0.00013271,0,0.55429,-0.0008944,1,0.027,0.5,0.027,0
0.55215,-0.016268,-0.00013763,0,0.55215,-0.00092752,1,0.028,0.5,0.028,0
0.55,-0.016849,-0.00014254,0,0.55,-0.00096065,1,0.029,0.5,0.029,0
0.54785,-0.017429,-0.00014746,0,0.54785,-0.00099378,1,0.03,0.5,0.03,0
0.5457,-0.01801,-0.00015237,0,0.5457,-0.0010269,1,0.031,0.5,0.031,0
0.54355,-0.018591,-0.00015729,0,0.54355,-0.00106,1,0.032,0.5,0.032,0
0.54141,-0.019172,-0.0001622,0,0.54141,-0.0010932,1,0.033,0.5,0.033,0
0.53926,-0.019753,-0.00016712,0,0.53926,-0.0011263,1,0.034,0.5,0.034,0
0.53711,-0.020334,-0.00017203,0,0.53711,-0.0011594,1,0.035,0.5,0.035,0
0.53496,-0.020915,-0.00017695,0,0.53496,-0.0011925,1,0.036,0.5,0.036,0
0.53281,-0.021496,-0.00018186,0,0.53281,-0.0012257,1,0.037,0.5,0.037,0
0.53067,-0.022077,-0.00018678,0,0.53067,-0.0012588,1,0.038,0.5,0.038,0
0.52852,-0.022658,-0.00019169,0,0.52852,-0.0012919,1,0.039,0.5,0.039,0
0.52637,-0.023239,-0.00019661,0,0.52637,-0.001325,1,0.04,0.5,0.04,0
0.52422,-0.02382,-0.00020152,0,0.52422,-0.0013582,1,0.041,0.5,0.041,0
0.52207,-0.024401,-0.00020644,0,0.52207,-0.0013913,1,0.042,0.5,0.042,0
0.51993,-0.024982,-0.00021135,0,0.51993,-0.0014244,1,0.043,0.5,0.043,0
0.51778,-0.025563,-0.00021627,0,0.51778,-0.0014575,1,0.044,0.5,0.044,0
0.51563,-0.026144,-0.00022118,0,0.51563,-0.0014907,1,0.045,0.5,0.045,0
0.51348,-0.026725,-0.0002261,0,0.51348,-0.0015238,1,0.046,0.5,0.046,0
0.51133,-0.027306,-0.00023101,0,0.51133,-0.0015569,1,0.047,0.5,0.047,0
0.50919,-0.027887,-0.00023593,0,0.50919,-0.00159,1,0.048,0.5,0.048,0
0.50704,-0.028468,-0.00024084,0,0.50704,-0.0016232,1,0.049,0.5,0.049,0
0.50489,-0.029049,-0.00024576,0,0.50489,-0.0016563,1,0.05,0.5,0.05,0
0.50274,-0.02963,-0.00025067,0,0.50274,-0.0016894,1,0.051,0.5,0.051,0
0.50059,-0.030211,-0.00025559,0,0.50059,-0.0017225,1,0.052,0.5,0.052,0
0.49845,-0.030792,-0.0002605,0,0.49845,-0.0017557,1,0.053,0.5,0.053,0
0.4963,-0.031373,-0.00026542,0,0.4963,-0.0017888,1,0.054,0.5,0.054,0
0.49415,-0.031954,-0.00027033,0,0.49415,-0.0018219,1,0.055,0.5,0.055,0
