"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.74442,0,0,0,0.74442,0,1,0,0.5,0,0
0.73928,-0.00073216,1.8638e-05,0,0.73928,-3.701e-06,1,0.001,0.5,0.001,0
0.73414,-0.0014643,3.7276e-05,0,0.73414,-7.4019e-06,1,0.002,0.5,0.002,0
0.729,-0.0021965,5.5914e-05,0,0.729,-1.1103e-05,1,0.003,0.5,0.003,0
0.72386,-0.0029286,7.4552e-05,0,0.72386,-1.4804e-05,1,0.004,0.5,0.004,0
0.71872,-0.0036608,9.319e-05,0,0.71872,-1.8505e-05,1,0.005,0.5,0.005,0
0.71359,-0.004393,0.00011183,0,0.71359,-2.2206e-05,1,0.006,0.5,0.006,0
0.70845,-0.0051251,0.00013047,0,0.70845,-2.5907e-05,1,0.007,0.5,0.007,0
0.70331,-0.0058573,0.0001491,0,0.70331,-2.9608e-05,1,0.008,0.5,0.008,0
0.69817,-0.0065894,0.00016774,0,0.69817,-3.3309e-05,1,0.009,0.5,0.009,0
0.69303,-0.0073216,0.00018638,0,0.69303,-3.701e-05,1,0.01,0.5,0.01,0
0.68804,-0.0080671,0.00017964,0,0.68804,-4.1367e-05,1,0.011,0.5,0.011,0
0.68309,-0.0087826,0.00017177,0,0.68309,-5.208e-05,1,0.012,0.5,0.012,0
0.67815,-0.0094981,0.0001639,0,0.67815,-6.2793e-05,1,0.013,0.5,0.013,0
0.6732,-0.010214,0.00015603,0,0.6732,-7.3507e-05,1,0.014,0.5,0.014,0
0.66826,-0.010929,0.00014816,0,0.66826,-8.422e-05,1,0.015,0.5,0.015,0
0.66331,-0.011645,0.00014029,0,0.66331,-9.4934e-05,1,0.016,0.5,0.016,0
0.65837,-0.01236,0.00013241,0,0.65837,-0.00010565,1,0.017,0.5,0.017,0
0.65342,-0.013076,0.00012454,0,0.65342,-0.00011636,1,0.018,0.5,0.018,0
0.64848,-0.013791,0.00011667,0,0.64848,-0.00012707,1,0.019,0.5,0.019,0
0.64353,-0.014507,0.0001088,0,0.64353,-0.00013779,1,0.02,0.5,0.02,0
0.63859,-0.015222,0.00010093,0,0.63859,-0.0001485,1,0.021,0.5,0.021,0
0.63364,-0.015796,0.00010506,0,0.63364,-0.00016312,1,0.022,0.5,0.022,0
0.62914,-0.016279,8.4602e-05,0,0.62914,-0.00018012,1,0.023,0.5,0.023,0
0.62466,-0.016759,6.2245e-05,0,0.62466,-0.00019717,1,0.024,0.5,0.024,0
0.62019,-0.017239,3.9888e-05,0,0.62019,-0.00021423,1,0.025,0.5,0.025,0
0.61571,-0.017719,1.7531e-05,0,0.61571,-0.00023129,1,0.026,0.5,0.026,0
0.61124,-0.018199,-4.8265e-06,0,0.61124,-0.00024834,1,0.027,0.5,0.027,0
0.60676,-0.018679,-2.7184e-05,0,0.60676,-0.0002654,1,0.028,0.5,0.028,0
0.60228,-0.019159,-4.9541e-05,0,0.60228,-0.00028246,1,0.029,0.5,0.029,0
0.59781,-0.019639,-7.1898e-05,0,0.59781,-0.00029951,1,0.03,0.5,0.03,0
0.59333,-0.020119,-9.4255e-05,0,0.59333,-0.00031657,1,0.031,0.5,0.031,0
0.58886,-0.020599,-0.00011661,0,0.58886,-0.00033363,1,0.032,0.5,0.032,0
0.58528,-0.021191,-0.0001101,0,0.58528,-0.00035752,1,0.033,0.5,0.033,0
0.58175,-0.021789,-0.00010218,0,0.58175,-0.00038175,1,0.034,0.5,0.034,0
0.57822,-0.022386,-9.4249e-05,0,0.57822,-0.00040598,1,0.035,0.5,0.035,0
0.57469,-0.022983,-8.6322e-05,0,0.57469,-0.00043021,1,0.036,0.5,0.036,0
0.57116,-0.023581,-7.8396e-05,0,0.57116,-0.00045443,1,0.037,0.5,0.037,0
0.56763,-0.024178,-7.0469e-05,0,0.56763,-0.00047866,1,0.038,0.5,0.038,0
0.5641,-0.024775,-6.2543e-05,0,0.5641,-0.00050289,1,0.039,0.5,0.039,0
0.56057,-0.025373,-5.4616e-05,0,0.56057,-0.00052712,1,0.04,0.5,0.04,0
0.55707,-0.02597,-4.79e-05,0,0.55707,-0.00055155,1,0.041,0.5,0.041,0
0.55376,-0.026569,-4.8469e-05,0,0.55376,-0.00057716,1,0.042,0.5,0.042,0
0.55045,-0.027167,-4.9039e-05,0,0.55045,-0.00060277,1,0.043,0.5,0.043,0
0.54713,-0.027765,-4.9608e-05,0,0.54713,-0.00062839,1,0.044,0.5,0.044,0
0.54382,-0.028364,-5.0177e-05,0,0.54382,-0.000654,1,0.045,0.5,0.045,0
0.5405,-0.028962,-5.0746e-05,0,0.5405,-0.00067962,1,0.046,0.5,0.046,0
0.53719,-0.029561,-5.1315e-05,0,0.53719,-0.00070523,1,0.047,0.5,0.047,0
0.53458,-0.030129,-6.7312e-05,0,0.53458,-0.00073655,1,0.048,0.5,0.048,0
0.53235,-0.030681,-9.173e-05,0,0.53235,-0.00077097,1,0.049,0.5,0.049,0
0.53012,-0.031232,-0.00011615,0,0.53012,-0.0008054,1,0.05,0.5,0.05,0
0.5279,-0.031784,-0.00014057,0,0.5279,-0.00083982,1,0.051,0.5,0.051,0
0.52567,-0.032336,-0.00016498,0,0.52567,-0.00087425,1,0.052,0.5,0.052,0
0.52345,-0.032888,-0.0001894,0,0.52345,-0.00090867,1,0.053,0.5,0.053,0
0.52122,-0.03344,-0.00021382,0,0.52122,-0.0009431,1,0.054,0.5,0.054,0
0.519,-0.033991,-0.00023824,0,0.519,-0.00097752,1,0.055,0.5,0.055,0
0.51674,-0.034535,-0.00025651,0,0.51674,-0.001012,1,0.056,0.5,0.056,0
0.51446,-0.035069,-0.00026762,0,0.51446,-0.0010465,1,0.057,0.5,0.057,0
0.51218,-0.035603,-0.00027874,0,0.51218,-0.0010811,1,0.058,0.5,0.058,0
0.5099,-0.036137,-0.00028985,0,0.5099,-0.0011156,1,0.059,0.5,0.059,0
0.50762,-0.036672,-0.00030096,0,0.50762,-0.0011502,1,0.06,0.5,0.06,0
0.50534,-0.037206,-0.00031208,0,0.50534,-0.0011847,1,0.061,0.5,0.061,0
0.50306,-0.03774,-0.00032319,0,0.50306,-0.0012192,1,0.062,0.5,0.062,0
0.50078,-0.038274,-0.0003343,0,0.50078,-0.0012538,1,0.063,0.5,0.063,0
0.4985,-0.038808,-0.00034542,0,0.4985,-0.0012883,1,0.064,0.5,0.064,0
0.49622,-0.039342,-0.00035653,0,0.49622,-0.0013229,1,0.065,0.5,0.065,0
0.49405,-0.039867,-0.00035861,0,0.49405,-0.0013596,1,0.066,0.5,0.066,0
0.49228,-0.040357,-0.00032878,0,0.49228,-0.0014038,1,0.067,0.5,0.067,0
0.4905,-0.040847,-0.00029895,0,0.4905,-0.001448,1,0.068,0.5,0.068,0
0.48873,-0.041337,-0.00026912,0,0.48873,-0.0014923,1,0.069,0.5,0.069,0
0.48695,-0.041827,-0.00023929,0,0.48695,-0.0015365,1,0.07,0.5,0.07,0
0.48518,-0.042317,-0.00020946,0,0.48518,-0.0015808,1,0.071,0.5,0.071,0
0.4834,-0.042807,-0.00017963,0,0.4834,-0.001625,1,0.072,0.5,0.072,0
0.48163,-0.043297,-0.0001498,0,0.48163,-0.0016692,1,0.073,0.5,0.073,0
0.47986,-0.043787,-0.00011997,0,0.47986,-0.0017135,1,0.074,0.5,0.074,0
0.47808,-0.044277,-9.0137e-05,0,0.47808,-0.0017577,1,0.075,0.5,0.075,0
0.47633,-0.044764,-9.4656e-05,0,0.47633,-0.0018027,1,0.076,0.5,0.076,0
0.47458,-0.045249,-0.00010685,0,0.47458,-0.0018479,1,0.077,0.5,0.077,0
0.47283,-0.045735,-0.00011905,0,0.47283,-0.0018931,1,0.078,0.5,0.078,0
0.47108,-0.04622,-0.00013125,0,0.47108,-0.0019383,1,0.079,0.5,0.079,0
0.46933,-0.046706,-0.00014345,0,0.46933,-0.0019835,1,0.08,0.5,0.08,0
0.46758,-0.047192,-0.00015565,0,0.46758,-0.0020287,1,0.081,0.5,0.081,0
0.46583,-0.047677,-0.00016785,0,0.46583,-0.0020739,1,0.082,0.5,0.082,0
0.46409,-0.048163,-0.00018005,0,0.46409,-0.002119,1,0.083,0.5,0.083,0
0.46234,-0.048648,-0.00019225,0,0.46234,-0.0021642,1,0.084,0.5,0.084,0
0.4606,-0.049158,-0.00021357,0,0.4606,-0.0022116,1,0.085,0.5,0.085,0
0.4589,-0.049734,-0.00025919,0,0.4589,-0.0022649,1,0.086,0.5,0.086,0
0.4572,-0.050309,-0.00030482,0,0.4572,-0.0023181,1,0.087,0.5,0.087,0
