ghiaY,ghiaX,ghiaVX,ghiaVY,marchiX,marchiY,marchiVX,marchiVY
 1.0000,1.0000                        , 1.00000                                                    , 0.00000                                                    , 1.0000, 1.0000, 1.00000, 0.00000
 0.9766                                                     , 0.9688                                                     , 0.65928                                                    , -0.2138                                                    , 0.9375, 0.9375, 0.42229, -0.4561
 0.9688                                                     , 0.9609                                                     , 0.57492                                                    , -0.2766                                                    , 0.8750, 0.8750, 0.36254, -0.4677
 0.9609                                                     , 0.9531                                                     , 0.51117                                                    , -0.3371                                                    , 0.8125, 0.8125, 0.28844, -0.3315
 0.9531                                                     , 0.9453                                                     , 0.46604                                                    , -0.3918                                                    , 0.7500, 0.7500, 0.20791, -0.2533
 0.8516                                                     , 0.9063                                                     , 0.33304                                                    , -0.5155                                                    , 0.6875, 0.6875, 0.13357, -0.1816
 0.7344                                                     , 0.8594                                                     , 0.18719                                                    , -0.4266                                                    , 0.6250, 0.6250, 0.06524, -0.1107
0.6172                                                      ,0.8047                                                      ,0.05702                                                     ,-0.31966                                                    ,0.5625,0.5625,0.00056,-0.04184
0.5000                                                      ,0.5000                                                      ,-0.06080                                                    ,0.02526                                                     ,0.5000,0.5000,-0.06205,0.02579
0.4531                                                      ,0.2344                                                      ,-0.10648                                                    ,0.32235                                                     ,0.4375,0.4375,-0.12341,0.09296
0.2813                                                      ,0.2266                                                      ,-0.27805                                                    ,0.33075                                                     ,0.3750,0.3750,-0.18373,0.16056
0.1719                                                      ,0.1563                                                      ,-0.38289                                                    ,0.37095                                                     ,0.3125,0.3125,-0.24569,0.23126
0.1016                                                      ,0.0938                                                      ,-0.29730                                                    ,0.32627                                                     ,0.2500,0.2500,-0.31894,0.30710
0.0703                                                      ,0.0781                                                      ,-0.22220                                                    ,0.30353                                                     ,0.1875,0.1875,-0.38440,0.36785
0.0625                                                      ,0.0703                                                      ,-0.20196                                                    ,0.29012                                                     ,0.1250,0.1250,-0.34784,0.36504
0.0547                                                      ,0.0625                                                      ,-0.18109                                                    ,0.27485                                                     ,0.0625,0.0625,-0.20233,0.28070
0.0000 ,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.00000
