marchiY,marchiX,marchiVX,marchiVY
 1.0000           , 1.0000, 1.00000                                                    , 0.00000                                                    
 0.9375                                                     , 0.9375, 0.65052                                                    , -0.0964                                                    
 0.8750                                                     , 0.8750, 0.35443                                                    , -0.1598                                                    
 0.8125                                                     , 0.8125, 0.12691                                                    , -0.1870                                                    
 0.7500                                                     , 0.7500, -0.0318                                                    , -0.1816                                                    
 0.6875                                                     , 0.6875, -0.1313                                                    , -0.1516                                                    
 0.6250                                                     , 0.6250, -0.1849                                                    , -0.1056                                                    
0.5625                                                      ,0.5625,-0.20577                                                    ,-0.05104                                                    
0.5000                                                      ,0.5000,-0.20516                                                    ,0.00636                                                     
0.4375                                                      ,0.4375,-0.19167                                                    ,0.06210                                                     
0.3750                                                      ,0.3750,-0.17126                                                    ,0.11214                                                     
0.3125                                                      ,0.3125,-0.14763                                                    ,0.15205                                                     
0.2500                                                      ,0.2500,-0.12272                                                    ,0.17641                                                     
0.1875                                                      ,0.1875,-0.09698                                                    ,0.17878                                                     
0.1250                                                      ,0.1250,-0.06962                                                    ,0.15254                                                     
0.0625                                                      ,0.0625,-0.03854                                                    ,0.09297                                                     
0.0000,0.0000,0.00000,0.00000
