ghiaY,ghiaX,ghiaVX,ghiaVY,marchiY,marchiX,marchiVX,marchiVY
 1.0000, 1.0000, 1.00000, 0.00000                                                    , 1.0000, 1.0000, 1.00000, 0.00000
 0.9766, 0.9688                                                     , 0.75837, -0.1214                                                    , 0.9375, 0.9375, 0.46958, -0.2703
 0.9688, 0.9609                                                     , 0.68439, -0.1566                                                    , 0.8750, 0.8750, 0.31682, -0.4490
 0.9609, 0.9531                                                     , 0.61756, -0.1925                                                    , 0.8125, 0.8125, 0.25220, -0.4000
 0.9531, 0.9453                                                     , 0.55892, -0.2284                                                    , 0.7500, 0.7500, 0.18130, -0.2809
 0.8516, 0.9063                                                     , 0.29093, -0.2382                                                    , 0.6875, 0.6875, 0.10545, -0.1821
 0.7344, 0.8594                                                     , 0.16256, -0.4499                                                    , 0.6250, 0.6250, 0.03024, -0.1008
0.6172,0.8047                                                      ,0.02135,-0.38598                                                    ,0.5625,0.5625,-0.04256,-0.02471
0.5000,0.5000                                                      ,-0.11477,0.05186                                                     ,0.5000,0.5000,-0.11505,0.05205
0.4531,0.2344                                                      ,-0.17119,0.30174                                                     ,0.4375,0.4375,-0.19073,0.13057
0.2813,0.2266                                                      ,-0.32726,0.30203                                                     ,0.3750,0.3750,-0.26630,0.20657
0.1719,0.1563                                                      ,-0.24299,0.28124                                                     ,0.3125,0.3125,-0.32025,0.26831
0.1016,0.0938                                                      ,-0.14612,0.22965                                                     ,0.2500,0.2500,-0.32122,0.30096
0.0703,0.0781                                                      ,-0.10338,0.20920                                                     ,0.1875,0.1875,-0.26391,0.29747
0.0625,0.0703                                                      ,-0.09266,0.19713                                                     ,0.1250,0.1250,-0.17874,0.26225
0.0547,0.0625                                                      ,-0.08186,0.18360                                                     ,0.0625,0.0625,-0.09259,0.18513
0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.00000
