Y,X,VX,VY,mesh1Vx,mesh2Vx,mesh3Vx,mesh4Vx
1.0000, 1.0000         , 1.00000, 0.00000                                                    , 1.00000, 1.00000, 1.00000, 1.00000
0.9766, 1.0000         , 0.84123, 0.00000                                                    ,0.876149,0.861118,0.855972,0.934821
0.9688, 0.9688                                                     , 0.78871, -0.0739                                                    ,0.833071,0.82061,0.814606,0.879428
0.9609, 0.9609                                                     , 0.73722, -0.0886                                                    ,0.789992,0.768529,0.767267,0.827573
0.9531, 0.9531                                                     , 0.68717, -0.1031                                                    ,0.746913,0.72823,0.719725,0.780926
0.8516, 0.9453                                                     , 0.23151, -0.1691                                                    ,0.265792,0.235676,0.222285,0.35342
0.7344, 0.8594                                                     , 0.00332, -0.2244                                                    ,-0.0540347,-0.0873689,-0.10305,0.035324
0.6172,0.8047                                                      ,-0.13641,-0.24533                                                    ,-0.18861,-0.197612,-0.202432,-0.169402
0.5000,0.5000                                                      ,-0.20581,0.05454                                                     ,-0.205489,-0.196846,-0.182000,-0.256354
0.4531,0.2344                                                      ,-0.21090,0.17527                                                     ,-0.191618,-0.182946,-0.169795,-0.262722
0.2813,0.2266                                                      ,-0.15662,0.17507                                                     ,-0.13111,-0.11352,-0.0980547,-0.203894
0.1719,0.1563                                                      ,-0.10150,0.16077                                                     ,-0.0768255,-0.0725409,-0.0656539,-0.138579
0.1016,0.0938                                                      ,-0.06434,0.12317                                                     ,-0.0503097,-0.0458778,-0.0425675,-0.0881706
0.0703,0.0781                                                      ,-0.04775,0.10890                                                     ,-0.0348198,-0.0329302,-0.01311263,-0.0622649
0.0625,0.0703                                                      ,-0.04192,0.10091                                                     ,-0.00313378,-0.0300788,-0.0283013,-0.0554553
0.0547,0.0625                                                      ,-0.03717,0.09233                                                     ,-0.00273584,-0.02682,-0.0250585,-0.050008
0.0000,0.0000                                                      , 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000
