"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.5445,0,0,0,0.5445,0,1,0,0.5,0,0
0.5422,-0.00050227,8.817e-06,0,0.5422,-1.2219e-05,1,0.001,0.5,0.001,0
0.5399,-0.0010045,1.7634e-05,0,0.5399,-2.4438e-05,1,0.002,0.5,0.002,0
0.5376,-0.0015068,2.6451e-05,0,0.5376,-3.6656e-05,1,0.003,0.5,0.003,0
0.5353,-0.0020091,3.5268e-05,0,0.5353,-4.8875e-05,1,0.004,0.5,0.004,0
0.53301,-0.0025114,4.4085e-05,0,0.53301,-6.1094e-05,1,0.005,0.5,0.005,0
0.53071,-0.0030136,5.2902e-05,0,0.53071,-7.3313e-05,1,0.006,0.5,0.006,0
0.52841,-0.0035159,6.1719e-05,0,0.52841,-8.5532e-05,1,0.007,0.5,0.007,0
0.52611,-0.0040182,7.0536e-05,0,0.52611,-9.775e-05,1,0.008,0.5,0.008,0
0.52381,-0.0045205,7.9353e-05,0,0.52381,-0.00010997,1,0.009,0.5,0.009,0
0.52151,-0.0050227,8.817e-05,0,0.52151,-0.00012219,1,0.01,0.5,0.01,0
0.51922,-0.005525,9.6987e-05,0,0.51922,-0.00013441,1,0.011,0.5,0.011,0
0.51692,-0.0060273,0.0001058,0,0.51692,-0.00014663,1,0.012,0.5,0.012,0
0.51462,-0.0065296,0.00011462,0,0.51462,-0.00015884,1,0.013,0.5,0.013,0
0.51232,-0.0070318,0.00012344,0,0.51232,-0.00017106,1,0.014,0.5,0.014,0
0.51002,-0.0075341,0.00013226,0,0.51002,-0.00018328,1,0.015,0.5,0.015,0
0.50772,-0.0080364,0.00014107,0,0.50772,-0.0001955,1,0.016,0.5,0.016,0
0.50543,-0.0085386,0.00014989,0,0.50543,-0.00020772,1,0.017,0.5,0.017,0
0.50313,-0.0090409,0.00015871,0,0.50313,-0.00021994,1,0.018,0.5,0.018,0
0.50083,-0.0095432,0.00016752,0,0.50083,-0.00023216,1,0.019,0.5,0.019,0
0.49853,-0.010045,0.00017634,0,0.49853,-0.00024438,1,0.02,0.5,0.02,0
0.49623,-0.010548,0.00018516,0,0.49623,-0.00025659,1,0.021,0.5,0.021,0
0.49393,-0.01105,0.00019397,0,0.49393,-0.00026881,1,0.022,0.5,0.022,0
0.49164,-0.011552,0.00020279,0,0.49164,-0.00028103,1,0.023,0.5,0.023,0
0.48934,-0.012055,0.00021161,0,0.48934,-0.00029325,1,0.024,0.5,0.024,0
0.48704,-0.012557,0.00022043,0,0.48704,-0.00030547,1,0.025,0.5,0.025,0
0.48474,-0.013059,0.00022924,0,0.48474,-0.00031769,1,0.026,0.5,0.026,0
0.48244,-0.013561,0.00023806,0,0.48244,-0.00032991,1,0.027,0.5,0.027,0
0.48015,-0.014064,0.00024688,0,0.48015,-0.00034213,1,0.028,0.5,0.028,0
0.47785,-0.014566,0.00025569,0,0.47785,-0.00035434,1,0.029,0.5,0.029,0
0.47555,-0.015068,0.00026451,0,0.47555,-0.00036656,1,0.03,0.5,0.03,0
0.47325,-0.01557,0.00027333,0,0.47325,-0.00037878,1,0.031,0.5,0.031,0
0.47095,-0.016073,0.00028215,0,0.47095,-0.000391,1,0.032,0.5,0.032,0
0.46865,-0.016575,0.00029096,0,0.46865,-0.00040322,1,0.033,0.5,0.033,0
0.46636,-0.017077,0.00029978,0,0.46636,-0.00041544,1,0.034,0.5,0.034,0
0.46406,-0.01758,0.0003086,0,0.46406,-0.00042766,1,0.035,0.5,0.035,0
0.46176,-0.018082,0.00031741,0,0.46176,-0.00043988,1,0.036,0.5,0.036,0
0.45946,-0.018584,0.00032623,0,0.45946,-0.0004521,1,0.037,0.5,0.037,0
0.45716,-0.019086,0.00033505,0,0.45716,-0.00046431,1,0.038,0.5,0.038,0
0.45486,-0.019589,0.00034386,0,0.45486,-0.00047653,1,0.039,0.5,0.039,0
0.45257,-0.020091,0.00035268,0,0.45257,-0.00048875,1,0.04,0.5,0.04,0
