"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6934,0,0,0,1.6934,0,1,0,0,0.5,0
1.6859,-0.00015882,0.0015623,0,1.6859,-3.8815e-05,1,0.001,0.001,0.5,0
1.6784,-0.00031764,0.0031247,0,1.6784,-7.7629e-05,1,0.002,0.002,0.5,0
1.6709,-0.00047647,0.004687,0,1.6709,-0.00011644,1,0.003,0.003,0.5,0
1.6633,-0.00063529,0.0062494,0,1.6633,-0.00015526,1,0.004,0.004,0.5,0
1.6558,-0.00079411,0.0078117,0,1.6558,-0.00019407,1,0.005,0.005,0.5,0
1.6483,-0.00095293,0.009374,0,1.6483,-0.00023289,1,0.006,0.006,0.5,0
1.6407,-0.0011118,0.010936,0,1.6407,-0.0002717,1,0.007,0.007,0.5,0
1.6332,-0.0012706,0.012499,0,1.6332,-0.00031052,1,0.008,0.008,0.5,0
1.6257,-0.0014294,0.014061,0,1.6257,-0.00034933,1,0.009,0.009,0.5,0
1.6181,-0.0015882,0.015623,0,1.6181,-0.00038815,1,0.01,0.01,0.5,0
1.6106,-0.001747,0.017186,0,1.6106,-0.00042696,1,0.011,0.011,0.5,0
1.6031,-0.0019059,0.018748,0,1.6031,-0.00046577,1,0.012,0.012,0.5,0
1.5955,-0.0020647,0.02031,0,1.5955,-0.00050459,1,0.013,0.013,0.5,0
1.588,-0.0022235,0.021873,0,1.588,-0.0005434,1,0.014,0.014,0.5,0
1.5805,-0.0023823,0.023435,0,1.5805,-0.00058222,1,0.015,0.015,0.5,0
1.573,-0.0025412,0.024997,0,1.573,-0.00062103,1,0.016,0.016,0.5,0
1.5654,-0.0027,0.02656,0,1.5654,-0.00065985,1,0.017,0.017,0.5,0
1.5579,-0.0028588,0.028122,0,1.5579,-0.00069866,1,0.018,0.018,0.5,0
1.5504,-0.0030176,0.029684,0,1.5504,-0.00073748,1,0.019,0.019,0.5,0
1.5428,-0.0031764,0.031247,0,1.5428,-0.00077629,1,0.02,0.02,0.5,0
1.5353,-0.0033353,0.032809,0,1.5353,-0.00081511,1,0.021,0.021,0.5,0
1.5278,-0.0034941,0.034371,0,1.5278,-0.00085392,1,0.022,0.022,0.5,0
1.5202,-0.0036529,0.035934,0,1.5202,-0.00089274,1,0.023,0.023,0.5,0
1.5127,-0.0038117,0.037496,0,1.5127,-0.00093155,1,0.024,0.024,0.5,0
1.5052,-0.0039706,0.039059,0,1.5052,-0.00097036,1,0.025,0.025,0.5,0
1.4976,-0.0041294,0.040621,0,1.4976,-0.0010092,1,0.026,0.026,0.5,0
1.4901,-0.0042882,0.042183,0,1.4901,-0.001048,1,0.027,0.027,0.5,0
1.4826,-0.004447,0.043746,0,1.4826,-0.0010868,1,0.028,0.028,0.5,0
1.4751,-0.0046058,0.045308,0,1.4751,-0.0011256,1,0.029,0.029,0.5,0
1.4675,-0.0047647,0.04687,0,1.4675,-0.0011644,1,0.03,0.03,0.5,0
1.46,-0.0049235,0.048433,0,1.46,-0.0012033,1,0.031,0.031,0.5,0
1.4525,-0.0050823,0.049995,0,1.4525,-0.0012421,1,0.032,0.032,0.5,0
1.4449,-0.0052411,0.051557,0,1.4449,-0.0012809,1,0.033,0.033,0.5,0
1.4374,-0.0054,0.05312,0,1.4374,-0.0013197,1,0.034,0.034,0.5,0
1.4299,-0.0055588,0.054682,0,1.4299,-0.0013585,1,0.035,0.035,0.5,0
1.4223,-0.0057176,0.056244,0,1.4223,-0.0013973,1,0.036,0.036,0.5,0
1.4148,-0.0058764,0.057807,0,1.4148,-0.0014361,1,0.037,0.037,0.5,0
1.4073,-0.0060352,0.059369,0,1.4073,-0.001475,1,0.038,0.038,0.5,0
1.3997,-0.0061941,0.060931,0,1.3997,-0.0015138,1,0.039,0.039,0.5,0
1.3922,-0.0063529,0.062494,0,1.3922,-0.0015526,1,0.04,0.04,0.5,0
1.3847,-0.0065117,0.064056,0,1.3847,-0.0015914,1,0.041,0.041,0.5,0
1.3772,-0.0066705,0.065618,0,1.3772,-0.0016302,1,0.042,0.042,0.5,0
1.3696,-0.0068294,0.067181,0,1.3696,-0.001669,1,0.043,0.043,0.5,0
