mesh1Vx,mesh2Vx,mesh3Vx,mesh4Vx
 1.00000, 1.00000, 1.00000, 1.00000
0.863412,0.855859,0.847808,0.827952
0.823573,0.805723,0.795236,0.791131
0.778044,0.755587,0.742405,0.751274
0.732515,0.705752,0.688695,0.706016
0.251604,0.228705,0.211298,0.244276
-0.0371576,-0.0359388,-0.0445812,0.00189744
-0.171423,-0.170175,-0.171694,-0.144131
-0.210098,-0.212498,-0.196044,-0.213131
-0.200555,-0.20633,-0.190807,-0.216794
-0.133755,-0.129594,-0.113258,-0.15538
-0.0733998,-0.0779931,-0.0728516,-0.0990058
-0.0457828,-0.0475758,-0.0461884,-0.0647183
-0.0314931,-0.0336743,-0.0335691,-0.0484948
-0.0278939,-0.030672,-0.0304989,-0.0444732
-0.0247446,-0.0272408,-0.00269704,-0.0404623
 0.00000, 0.00000, 0.00000, 0.00000
