"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6763,0,0,0,1.6763,0,1,0,0,0.5,0
1.67,8.4655e-06,0.0017478,0,1.67,-1.213e-05,1,0.001,0.001,0.5,0
1.6637,1.6931e-05,0.0034956,0,1.6637,-2.4261e-05,1,0.002,0.002,0.5,0
1.6573,2.5396e-05,0.0052434,0,1.6573,-3.6391e-05,1,0.003,0.003,0.5,0
1.651,3.3862e-05,0.0069911,0,1.651,-4.8522e-05,1,0.004,0.004,0.5,0
1.6447,4.2327e-05,0.0087389,0,1.6447,-6.0652e-05,1,0.005,0.005,0.5,0
1.6383,5.0793e-05,0.010487,0,1.6383,-7.2783e-05,1,0.006,0.006,0.5,0
1.632,5.9258e-05,0.012235,0,1.632,-8.4913e-05,1,0.007,0.007,0.5,0
1.6256,6.7724e-05,0.013982,0,1.6256,-9.7044e-05,1,0.008,0.008,0.5,0
1.6193,7.6189e-05,0.01573,0,1.6193,-0.00010917,1,0.009,0.009,0.5,0
1.613,8.4655e-05,0.017478,0,1.613,-0.0001213,1,0.01,0.01,0.5,0
1.6057,1.9065e-05,0.019311,0,1.6057,-0.0001353,1,0.011,0.011,0.5,0
1.5979,-4.129e-05,0.02115,0,1.5979,-0.00016372,1,0.012,0.012,0.5,0
1.59,-0.00010165,0.022988,0,1.59,-0.00019215,1,0.013,0.013,0.5,0
1.5822,-0.000162,0.024826,0,1.5822,-0.00022058,1,0.014,0.014,0.5,0
1.5743,-0.00022236,0.026665,0,1.5743,-0.000249,1,0.015,0.015,0.5,0
1.5665,-0.00028271,0.028503,0,1.5665,-0.00027743,1,0.016,0.016,0.5,0
1.5586,-0.00034307,0.030341,0,1.5586,-0.00030586,1,0.017,0.017,0.5,0
1.5508,-0.00040342,0.032179,0,1.5508,-0.00033429,1,0.018,0.018,0.5,0
1.5429,-0.00046378,0.034018,0,1.5429,-0.00036271,1,0.019,0.019,0.5,0
1.5351,-0.00052413,0.035856,0,1.5351,-0.00039114,1,0.02,0.02,0.5,0
1.5273,-0.00058449,0.037694,0,1.5273,-0.00041957,1,0.021,0.021,0.5,0
1.5171,-0.00068361,0.039222,0,1.5171,-0.00045824,1,0.022,0.022,0.5,0
1.5076,-0.00091833,0.040449,0,1.5076,-0.00050142,1,0.023,0.023,0.5,0
1.4982,-0.0011609,0.041665,0,1.4982,-0.00054464,1,0.024,0.024,0.5,0
1.4889,-0.0014035,0.042881,0,1.4889,-0.00058787,1,0.025,0.025,0.5,0
1.4795,-0.0016461,0.044096,0,1.4795,-0.0006311,1,0.026,0.026,0.5,0
1.4702,-0.0018887,0.045312,0,1.4702,-0.00067432,1,0.027,0.027,0.5,0
1.4608,-0.0021313,0.046527,0,1.4608,-0.00071755,1,0.028,0.028,0.5,0
1.4515,-0.0023738,0.047743,0,1.4515,-0.00076077,1,0.029,0.029,0.5,0
1.4421,-0.0026164,0.048958,0,1.4421,-0.000804,1,0.03,0.03,0.5,0
1.4328,-0.002859,0.050174,0,1.4328,-0.00084723,1,0.031,0.031,0.5,0
1.4234,-0.0031016,0.051389,0,1.4234,-0.00089045,1,0.032,0.032,0.5,0
1.4126,-0.0033036,0.052825,0,1.4126,-0.00095149,1,0.033,0.033,0.5,0
1.4016,-0.0035035,0.054271,0,1.4016,-0.0010134,1,0.034,0.034,0.5,0
1.3907,-0.0037035,0.055717,0,1.3907,-0.0010753,1,0.035,0.035,0.5,0
1.3798,-0.0039035,0.057163,0,1.3798,-0.0011372,1,0.036,0.036,0.5,0
1.3689,-0.0041035,0.058609,0,1.3689,-0.0011991,1,0.037,0.037,0.5,0
1.358,-0.0043035,0.060056,0,1.358,-0.001261,1,0.038,0.038,0.5,0
1.347,-0.0045035,0.061502,0,1.347,-0.0013229,1,0.039,0.039,0.5,0
1.3361,-0.0047035,0.062948,0,1.3361,-0.0013848,1,0.04,0.04,0.5,0
1.3253,-0.004899,0.064388,0,1.3253,-0.0014468,1,0.041,0.041,0.5,0
1.3153,-0.0050672,0.065794,0,1.3153,-0.0015092,1,0.042,0.042,0.5,0
1.3053,-0.0052354,0.0672,0,1.3053,-0.0015716,1,0.043,0.043,0.5,0
1.2953,-0.0054037,0.068606,0,1.2953,-0.001634,1,0.044,0.044,0.5,0
1.2853,-0.0055719,0.070012,0,1.2853,-0.0016964,1,0.045,0.045,0.5,0
1.2753,-0.0057402,0.071418,0,1.2753,-0.0017588,1,0.046,0.046,0.5,0
1.2653,-0.0059084,0.072824,0,1.2653,-0.0018212,1,0.047,0.047,0.5,0
1.2554,-0.0061649,0.074075,0,1.2554,-0.0018961,1,0.048,0.048,0.5,0
1.2455,-0.00647,0.07524,0,1.2455,-0.0019777,1,0.049,0.049,0.5,0
1.2357,-0.0067752,0.076406,0,1.2357,-0.0020594,1,0.05,0.05,0.5,0
1.2259,-0.0070803,0.077572,0,1.2259,-0.002141,1,0.051,0.051,0.5,0
1.2161,-0.0073855,0.078737,0,1.2161,-0.0022227,1,0.052,0.052,0.5,0
1.2062,-0.0076906,0.079903,0,1.2062,-0.0023043,1,0.053,0.053,0.5,0
1.1964,-0.0079958,0.081069,0,1.1964,-0.002386,1,0.054,0.054,0.5,0
1.1866,-0.0083009,0.082234,0,1.1866,-0.0024677,1,0.055,0.055,0.5,0
1.1765,-0.0085945,0.083414,0,1.1765,-0.002551,1,0.056,0.056,0.5,0
1.1661,-0.0088742,0.084612,0,1.1661,-0.0026363,1,0.057,0.057,0.5,0
1.1558,-0.009154,0.085809,0,1.1558,-0.0027216,1,0.058,0.058,0.5,0
1.1454,-0.0094338,0.087006,0,1.1454,-0.002807,1,0.059,0.059,0.5,0
1.1351,-0.0097135,0.088203,0,1.1351,-0.0028923,1,0.06,0.06,0.5,0
1.1247,-0.0099933,0.0894,0,1.1247,-0.0029776,1,0.061,0.061,0.5,0
1.1144,-0.010273,0.090598,0,1.1144,-0.0030629,1,0.062,0.062,0.5,0
1.104,-0.010553,0.091795,0,1.104,-0.0031482,1,0.063,0.063,0.5,0
1.0936,-0.010833,0.092992,0,1.0936,-0.0032336,1,0.064,0.064,0.5,0
1.0833,-0.011112,0.094189,0,1.0833,-0.0033189,1,0.065,0.065,0.5,0
1.0731,-0.011391,0.095331,0,1.0731,-0.0034084,1,0.066,0.066,0.5,0
1.0634,-0.011668,0.09626,0,1.0634,-0.0035142,1,0.067,0.067,0.5,0
1.0537,-0.011944,0.097188,0,1.0537,-0.0036199,1,0.068,0.068,0.5,0
1.044,-0.01222,0.098117,0,1.044,-0.0037256,1,0.069,0.069,0.5,0
1.0343,-0.012496,0.099045,0,1.0343,-0.0038314,1,0.07,0.07,0.5,0
1.0247,-0.012773,0.099974,0,1.0247,-0.0039371,1,0.071,0.071,0.5,0
1.015,-0.013049,0.1009,0,1.015,-0.0040429,1,0.072,0.072,0.5,0
1.0053,-0.013325,0.10183,0,1.0053,-0.0041486,1,0.073,0.073,0.5,0
0.99563,-0.013602,0.10276,0,0.99563,-0.0042544,1,0.074,0.074,0.5,0
