"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61702,0,0,0,0.61702,0,1,0,0.5,0,0
0.61988,-0.00065602,7.1919e-06,0,0.61988,-9.4739e-06,1,0.001,0.5,0.001,0
0.62274,-0.001312,1.4384e-05,0,0.62274,-1.8948e-05,1,0.002,0.5,0.002,0
0.6256,-0.0019681,2.1576e-05,0,0.6256,-2.8422e-05,1,0.003,0.5,0.003,0
0.62846,-0.0026241,2.8768e-05,0,0.62846,-3.7896e-05,1,0.004,0.5,0.004,0
0.63132,-0.0032801,3.596e-05,0,0.63132,-4.7369e-05,1,0.005,0.5,0.005,0
0.63418,-0.0039361,4.3152e-05,0,0.63418,-5.6843e-05,1,0.006,0.5,0.006,0
0.63704,-0.0045922,5.0344e-05,0,0.63704,-6.6317e-05,1,0.007,0.5,0.007,0
0.6399,-0.0052482,5.7535e-05,0,0.6399,-7.5791e-05,1,0.008,0.5,0.008,0
0.64276,-0.0059042,6.4727e-05,0,0.64276,-8.5265e-05,1,0.009,0.5,0.009,0
0.64562,-0.0065602,7.1919e-05,0,0.64562,-9.4739e-05,1,0.01,0.5,0.01,0
0.64848,-0.0072163,7.9111e-05,0,0.64848,-0.00010421,1,0.011,0.5,0.011,0
0.65134,-0.0078723,8.6303e-05,0,0.65134,-0.00011369,1,0.012,0.5,0.012,0
0.6542,-0.0085283,9.3495e-05,0,0.6542,-0.00012316,1,0.013,0.5,0.013,0
0.65706,-0.0091843,0.00010069,0,0.65706,-0.00013263,1,0.014,0.5,0.014,0
0.65934,-0.009902,9.7371e-05,0,0.65934,-0.00014797,1,0.015,0.5,0.015,0
0.66127,-0.010658,8.743e-05,0,0.66127,-0.000167,1,0.016,0.5,0.016,0
0.6632,-0.011415,7.7489e-05,0,0.6632,-0.00018603,1,0.017,0.5,0.017,0
0.66512,-0.012171,6.7548e-05,0,0.66512,-0.00020506,1,0.018,0.5,0.018,0
0.66705,-0.012928,5.7607e-05,0,0.66705,-0.00022409,1,0.019,0.5,0.019,0
0.66898,-0.013685,4.7666e-05,0,0.66898,-0.00024312,1,0.02,0.5,0.02,0
0.6709,-0.014441,3.7725e-05,0,0.6709,-0.00026215,1,0.021,0.5,0.021,0
0.67283,-0.015198,2.7784e-05,0,0.67283,-0.00028118,1,0.022,0.5,0.022,0
0.67476,-0.015954,1.7843e-05,0,0.67476,-0.00030021,1,0.023,0.5,0.023,0
0.67668,-0.016711,7.9019e-06,0,0.67668,-0.00031925,1,0.024,0.5,0.024,0
0.67861,-0.017467,-2.0391e-06,0,0.67861,-0.00033828,1,0.025,0.5,0.025,0
0.68054,-0.018224,-1.198e-05,0,0.68054,-0.00035731,1,0.026,0.5,0.026,0
0.68246,-0.01898,-2.1921e-05,0,0.68246,-0.00037634,1,0.027,0.5,0.027,0
0.68483,-0.019822,-6.8681e-06,0,0.68483,-0.00039659,1,0.028,0.5,0.028,0
0.68724,-0.020673,1.0856e-05,0,0.68724,-0.00041698,1,0.029,0.5,0.029,0
0.68965,-0.021524,2.8581e-05,0,0.68965,-0.00043737,1,0.03,0.5,0.03,0
0.69206,-0.022376,4.6305e-05,0,0.69206,-0.00045775,1,0.031,0.5,0.031,0
0.69206,-0.023212,-2.886e-05,0,0.69206,-0.00048866,1,0.032,0.5,0.032,0
0.69206,-0.024049,-0.00010436,0,0.69206,-0.00051961,1,0.033,0.5,0.033,0
0.69205,-0.024886,-0.00017986,0,0.69205,-0.00055055,1,0.034,0.5,0.034,0
0.69185,-0.025744,-0.00019762,0,0.69185,-0.00058156,1,0.035,0.5,0.035,0
0.69149,-0.026618,-0.00016941,0,0.69149,-0.00061263,1,0.036,0.5,0.036,0
0.69113,-0.027493,-0.0001412,0,0.69113,-0.00064369,1,0.037,0.5,0.037,0
0.69077,-0.028368,-0.00011298,0,0.69077,-0.00067475,1,0.038,0.5,0.038,0
0.69041,-0.029242,-8.4769e-05,0,0.69041,-0.00070581,1,0.039,0.5,0.039,0
0.69005,-0.030117,-5.6555e-05,0,0.69005,-0.00073687,1,0.04,0.5,0.04,0
0.6897,-0.030991,-2.8342e-05,0,0.6897,-0.00076793,1,0.041,0.5,0.041,0
0.68934,-0.031866,-1.2878e-07,0,0.68934,-0.00079899,1,0.042,0.5,0.042,0
0.68898,-0.032741,2.8085e-05,0,0.68898,-0.00083005,1,0.043,0.5,0.043,0
0.68862,-0.033615,5.6298e-05,0,0.68862,-0.00086111,1,0.044,0.5,0.044,0
0.68826,-0.03449,8.4511e-05,0,0.68826,-0.00089217,1,0.045,0.5,0.045,0
0.6879,-0.035364,0.00011272,0,0.6879,-0.00092323,1,0.046,0.5,0.046,0
0.68754,-0.036239,0.00014094,0,0.68754,-0.00095429,1,0.047,0.5,0.047,0
0.68588,-0.037063,0.00012351,0,0.68588,-0.0009944,1,0.048,0.5,0.048,0
0.68406,-0.037881,0.00010023,0,0.68406,-0.0010357,1,0.049,0.5,0.049,0
0.68223,-0.038699,7.6959e-05,0,0.68223,-0.0010769,1,0.05,0.5,0.05,0
0.6804,-0.039516,5.3685e-05,0,0.6804,-0.0011182,1,0.051,0.5,0.051,0
0.67858,-0.040334,3.041e-05,0,0.67858,-0.0011594,1,0.052,0.5,0.052,0
0.67675,-0.041152,7.1357e-06,0,0.67675,-0.0012007,1,0.053,0.5,0.053,0
0.67493,-0.04197,-1.6139e-05,0,0.67493,-0.001242,1,0.054,0.5,0.054,0
0.6731,-0.042787,-3.9413e-05,0,0.6731,-0.0012832,1,0.055,0.5,0.055,0
0.67112,-0.043567,-9.1176e-05,0,0.67112,-0.0013246,1,0.056,0.5,0.056,0
0.66908,-0.044336,-0.00015162,0,0.66908,-0.0013661,1,0.057,0.5,0.057,0
0.66705,-0.045104,-0.00021206,0,0.66705,-0.0014075,1,0.058,0.5,0.058,0
0.66502,-0.045872,-0.0002725,0,0.66502,-0.001449,1,0.059,0.5,0.059,0
0.66299,-0.046641,-0.00033294,0,0.66299,-0.0014904,1,0.06,0.5,0.06,0
0.66095,-0.047409,-0.00039338,0,0.66095,-0.0015319,1,0.061,0.5,0.061,0
0.65891,-0.048176,-0.00045305,0,0.65891,-0.0015735,1,0.062,0.5,0.062,0
0.65595,-0.048826,-0.00044094,0,0.65595,-0.001627,1,0.063,0.5,0.063,0
0.65299,-0.049475,-0.00042883,0,0.65299,-0.0016806,1,0.064,0.5,0.064,0
0.65003,-0.050124,-0.00041672,0,0.65003,-0.0017341,1,0.065,0.5,0.065,0
0.64706,-0.050774,-0.00040462,0,0.64706,-0.0017876,1,0.066,0.5,0.066,0
0.6441,-0.051423,-0.00039251,0,0.6441,-0.0018412,1,0.067,0.5,0.067,0
0.64114,-0.052073,-0.0003804,0,0.64114,-0.0018947,1,0.068,0.5,0.068,0
0.63818,-0.052722,-0.00036829,0,0.63818,-0.0019483,1,0.069,0.5,0.069,0
0.63522,-0.053372,-0.00035618,0,0.63522,-0.0020018,1,0.07,0.5,0.07,0
0.63226,-0.054021,-0.00034408,0,0.63226,-0.0020553,1,0.071,0.5,0.071,0
0.62929,-0.05467,-0.00033197,0,0.62929,-0.0021089,1,0.072,0.5,0.072,0
0.62632,-0.05529,-0.00030238,0,0.62632,-0.0021617,1,0.073,0.5,0.073,0
0.62334,-0.055896,-0.00026402,0,0.62334,-0.0022141,1,0.074,0.5,0.074,0
0.62035,-0.056501,-0.00022565,0,0.62035,-0.0022666,1,0.075,0.5,0.075,0
0.61737,-0.057106,-0.00018728,0,0.61737,-0.0023191,1,0.076,0.5,0.076,0
0.61439,-0.057711,-0.00014891,0,0.61439,-0.0023715,1,0.077,0.5,0.077,0
0.61141,-0.058316,-0.00011055,0,0.61141,-0.002424,1,0.078,0.5,0.078,0
0.60843,-0.058921,-7.218e-05,0,0.60843,-0.0024764,1,0.079,0.5,0.079,0
0.60545,-0.059526,-3.3813e-05,0,0.60545,-0.0025289,1,0.08,0.5,0.08,0
0.60242,-0.060149,-1.8547e-05,0,0.60242,-0.0025849,1,0.081,0.5,0.081,0
0.59931,-0.060801,-4.1733e-05,0,0.59931,-0.0026469,1,0.082,0.5,0.082,0
0.59621,-0.061454,-6.4919e-05,0,0.59621,-0.0027089,1,0.083,0.5,0.083,0
0.59311,-0.062115,-0.0001167,0,0.59311,-0.0027719,1,0.084,0.5,0.084,0
0.59006,-0.062814,-0.00027927,0,0.59006,-0.002839,1,0.085,0.5,0.085,0
0.587,-0.063512,-0.00044184,0,0.587,-0.0029061,1,0.086,0.5,0.086,0
0.58395,-0.064211,-0.00060441,0,0.58395,-0.0029733,1,0.087,0.5,0.087,0
0.58089,-0.064909,-0.00076698,0,0.58089,-0.0030404,1,0.088,0.5,0.088,0
0.57784,-0.065608,-0.00092954,0,0.57784,-0.0031075,1,0.089,0.5,0.089,0
0.57474,-0.066253,-0.00096711,0,0.57474,-0.0031743,1,0.09,0.5,0.09,0
0.57162,-0.066881,-0.00096368,0,0.57162,-0.003241,1,0.091,0.5,0.091,0
0.56851,-0.067509,-0.00096024,0,0.56851,-0.0033077,1,0.092,0.5,0.092,0
0.56539,-0.068138,-0.00095681,0,0.56539,-0.0033744,1,0.093,0.5,0.093,0
0.56228,-0.068766,-0.00095337,0,0.56228,-0.0034411,1,0.094,0.5,0.094,0
0.55917,-0.069394,-0.00094993,0,0.55917,-0.0035078,1,0.095,0.5,0.095,0
0.55605,-0.070022,-0.0009465,0,0.55605,-0.0035745,1,0.096,0.5,0.096,0
0.55294,-0.07065,-0.00094306,0,0.55294,-0.0036412,1,0.097,0.5,0.097,0
0.54982,-0.071278,-0.00093963,0,0.54982,-0.0037079,1,0.098,0.5,0.098,0
0.54671,-0.071906,-0.00093619,0,0.54671,-0.0037746,1,0.099,0.5,0.099,0
0.54378,-0.072521,-0.00089863,0,0.54378,-0.0038479,1,0.1,0.5,0.1,0
0.54094,-0.073129,-0.00084533,0,0.54094,-0.0039243,1,0.101,0.5,0.101,0
0.5381,-0.073737,-0.00079203,0,0.5381,-0.0040006,1,0.102,0.5,0.102,0
0.53526,-0.074346,-0.00073873,0,0.53526,-0.004077,1,0.103,0.5,0.103,0
0.53242,-0.074954,-0.00068543,0,0.53242,-0.0041533,1,0.104,0.5,0.104,0
0.52957,-0.075562,-0.00063213,0,0.52957,-0.0042296,1,0.105,0.5,0.105,0
0.52673,-0.07617,-0.00057883,0,0.52673,-0.004306,1,0.106,0.5,0.106,0
0.52389,-0.076778,-0.00052553,0,0.52389,-0.0043823,1,0.107,0.5,0.107,0
0.52105,-0.077387,-0.00047223,0,0.52105,-0.0044586,1,0.108,0.5,0.108,0
0.51821,-0.077995,-0.00041893,0,0.51821,-0.004535,1,0.109,0.5,0.109,0
0.51537,-0.078603,-0.00036563,0,0.51537,-0.0046113,1,0.11,0.5,0.11,0
0.51252,-0.079206,-0.00030461,0,0.51252,-0.0046876,1,0.111,0.5,0.111,0
0.50966,-0.079769,-0.00017935,0,0.50966,-0.0047629,1,0.112,0.5,0.112,0
0.5068,-0.080331,-5.4084e-05,0,0.5068,-0.0048382,1,0.113,0.5,0.113,0
0.50403,-0.080918,-2.2791e-05,0,0.50403,-0.0049169,1,0.114,0.5,0.114,0
0.50141,-0.081544,-0.00014234,0,0.50141,-0.0050009,1,0.115,0.5,0.115,0
0.49878,-0.082159,-0.00022496,0,0.49878,-0.0050853,1,0.116,0.5,0.116,0
0.49613,-0.082757,-0.00025925,0,0.49613,-0.0051701,1,0.117,0.5,0.117,0
0.49348,-0.083355,-0.00029354,0,0.49348,-0.0052549,1,0.118,0.5,0.118,0
0.49083,-0.083953,-0.00032783,0,0.49083,-0.0053397,1,0.119,0.5,0.119,0
0.48818,-0.084551,-0.00036212,0,0.48818,-0.0054245,1,0.12,0.5,0.12,0
0.48552,-0.085149,-0.0003964,0,0.48552,-0.0055093,1,0.121,0.5,0.121,0
0.48287,-0.085748,-0.00043069,0,0.48287,-0.0055941,1,0.122,0.5,0.122,0
0.48022,-0.086346,-0.00046498,0,0.48022,-0.005679,1,0.123,0.5,0.123,0
0.47757,-0.086944,-0.00049927,0,0.47757,-0.0057638,1,0.124,0.5,0.124,0
0.47491,-0.087542,-0.00053356,0,0.47491,-0.0058486,1,0.125,0.5,0.125,0
0.47226,-0.08814,-0.00056785,0,0.47226,-0.0059334,1,0.126,0.5,0.126,0
0.46961,-0.088738,-0.00060214,0,0.46961,-0.0060182,1,0.127,0.5,0.127,0
0.46696,-0.089336,-0.00063643,0,0.46696,-0.006103,1,0.128,0.5,0.128,0
0.46446,-0.089918,-0.00063012,0,0.46446,-0.0061953,1,0.129,0.5,0.129,0
0.46198,-0.090497,-0.00061731,0,0.46198,-0.0062888,1,0.13,0.5,0.13,0
0.45951,-0.091076,-0.00060449,0,0.45951,-0.0063822,1,0.131,0.5,0.131,0
0.45703,-0.091655,-0.00059167,0,0.45703,-0.0064757,1,0.132,0.5,0.132,0
0.45456,-0.092234,-0.00057886,0,0.45456,-0.0065692,1,0.133,0.5,0.133,0
0.45208,-0.092813,-0.00056604,0,0.45208,-0.0066627,1,0.134,0.5,0.134,0
0.44961,-0.093392,-0.00055322,0,0.44961,-0.0067561,1,0.135,0.5,0.135,0
0.44713,-0.093971,-0.00054041,0,0.44713,-0.0068496,1,0.136,0.5,0.136,0
0.44465,-0.09455,-0.00052759,0,0.44465,-0.0069431,1,0.137,0.5,0.137,0
0.44218,-0.095129,-0.00051477,0,0.44218,-0.0070365,1,0.138,0.5,0.138,0
0.4397,-0.095708,-0.00050196,0,0.4397,-0.00713,1,0.139,0.5,0.139,0
0.43719,-0.096284,-0.00051116,0,0.43719,-0.0072245,1,0.14,0.5,0.14,0
0.43467,-0.096859,-0.00052711,0,0.43467,-0.0073194,1,0.141,0.5,0.141,0
0.43215,-0.097435,-0.00054305,0,0.43215,-0.0074143,1,0.142,0.5,0.142,0
0.42962,-0.09801,-0.000559,0,0.42962,-0.0075092,1,0.143,0.5,0.143,0
0.42711,-0.098585,-0.00057323,0,0.42711,-0.0076045,1,0.144,0.5,0.144,0
0.4247,-0.099176,-0.00055432,0,0.4247,-0.0077081,1,0.145,0.5,0.145,0
0.4223,-0.099766,-0.00053541,0,0.4223,-0.0078117,1,0.146,0.5,0.146,0
0.41989,-0.10036,-0.00051651,0,0.41989,-0.0079152,1,0.147,0.5,0.147,0
0.41748,-0.10095,-0.0004976,0,0.41748,-0.0080188,1,0.148,0.5,0.148,0
0.41508,-0.10154,-0.00047869,0,0.41508,-0.0081224,1,0.149,0.5,0.149,0
0.41267,-0.10213,-0.00045978,0,0.41267,-0.008226,1,0.15,0.5,0.15,0
0.41027,-0.10272,-0.00044088,0,0.41027,-0.0083296,1,0.151,0.5,0.151,0
0.40786,-0.10331,-0.00042197,0,0.40786,-0.0084332,1,0.152,0.5,0.152,0
0.40546,-0.1039,-0.00040306,0,0.40546,-0.0085368,1,0.153,0.5,0.153,0
0.40305,-0.10449,-0.00038415,0,0.40305,-0.0086404,1,0.154,0.5,0.154,0
0.40064,-0.10508,-0.00036525,0,0.40064,-0.008744,1,0.155,0.5,0.155,0
0.39824,-0.10567,-0.00034634,0,0.39824,-0.0088476,1,0.156,0.5,0.156,0
0.39583,-0.10626,-0.00032743,0,0.39583,-0.0089512,1,0.157,0.5,0.157,0
0.39343,-0.10685,-0.00030852,0,0.39343,-0.0090548,1,0.158,0.5,0.158,0
0.39102,-0.10744,-0.00028962,0,0.39102,-0.0091583,1,0.159,0.5,0.159,0
0.38861,-0.10803,-0.00027071,0,0.38861,-0.0092619,1,0.16,0.5,0.16,0
0.38616,-0.10864,-0.0002359,0,0.38616,-0.0093676,1,0.161,0.5,0.161,0
0.3837,-0.10925,-0.00020735,0,0.3837,-0.009474,1,0.162,0.5,0.162,0
0.3813,-0.10977,-0.00029943,0,0.3813,-0.0095884,1,0.163,0.5,0.163,0
0.37889,-0.1103,-0.0003915,0,0.37889,-0.0097027,1,0.164,0.5,0.164,0
0.37648,-0.11083,-0.00047449,0,0.37648,-0.0098169,1,0.165,0.5,0.165,0
0.3741,-0.11139,-0.00053073,0,0.3741,-0.0099305,1,0.166,0.5,0.166,0
0.37171,-0.11194,-0.00058697,0,0.37171,-0.010044,1,0.167,0.5,0.167,0
