"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.0589,0,0,0,2.0589,0,1,0,0,0.5,0
2.0567,-5.3047e-05,0.0021364,0,2.0567,-1.7142e-05,1,0.001,0.001,0.5,0
2.0544,-0.00010609,0.0042727,0,2.0544,-3.4285e-05,1,0.002,0.002,0.5,0
2.0522,-0.00015914,0.0064091,0,2.0522,-5.1427e-05,1,0.003,0.003,0.5,0
2.0499,-0.00021219,0.0085455,0,2.0499,-6.8569e-05,1,0.004,0.004,0.5,0
2.0477,-0.00026523,0.010682,0,2.0477,-8.5712e-05,1,0.005,0.005,0.5,0
2.0454,-0.00031828,0.012818,0,2.0454,-0.00010285,1,0.006,0.006,0.5,0
2.0432,-0.00037133,0.014955,0,2.0432,-0.00012,1,0.007,0.007,0.5,0
2.0409,-0.00042437,0.017091,0,2.0409,-0.00013714,1,0.008,0.008,0.5,0
2.0387,-0.00047742,0.019227,0,2.0387,-0.00015428,1,0.009,0.009,0.5,0
2.0365,-0.00053047,0.021364,0,2.0365,-0.00017142,1,0.01,0.01,0.5,0
2.0342,-0.00058351,0.0235,0,2.0342,-0.00018857,1,0.011,0.011,0.5,0
2.032,-0.00063656,0.025636,0,2.032,-0.00020571,1,0.012,0.012,0.5,0
2.0297,-0.00068961,0.027773,0,2.0297,-0.00022285,1,0.013,0.013,0.5,0
2.0275,-0.00074265,0.029909,0,2.0275,-0.00023999,1,0.014,0.014,0.5,0
2.0178,-0.00087213,0.031954,0,2.0178,-0.00027534,1,0.015,0.015,0.5,0
2.0034,-0.0010498,0.033941,0,2.0034,-0.00032217,1,0.016,0.016,0.5,0
1.989,-0.0012275,0.035928,0,1.989,-0.00036901,1,0.017,0.017,0.5,0
1.9747,-0.0014051,0.037916,0,1.9747,-0.00041584,1,0.018,0.018,0.5,0
1.9603,-0.0015828,0.039903,0,1.9603,-0.00046267,1,0.019,0.019,0.5,0
