"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.9918,0,0,1.1797,1.1797,1,0,1,0,0
0,1.991,1.6703e-05,0,1.1797,1.1797,1,0.001,1,0.001,0
0,1.9903,3.3405e-05,0,1.1796,1.1796,1,0.002,1,0.002,0
0,1.9896,5.0108e-05,0,1.1796,1.1796,1,0.003,1,0.003,0
0,1.9888,6.681e-05,0,1.1796,1.1796,1,0.004,1,0.004,0
0,1.9881,8.3513e-05,0,1.1796,1.1796,1,0.005,1,0.005,0
0,1.9874,0.00010022,0,1.1796,1.1796,1,0.006,1,0.006,0
0,1.9866,0.00011692,0,1.1795,1.1795,1,0.007,1,0.007,0
0,1.9859,0.00013362,0,1.1795,1.1795,1,0.008,1,0.008,0
0,1.9852,0.00015032,0,1.1795,1.1795,1,0.009,1,0.009,0
0,1.9844,0.00016703,0,1.1795,1.1795,1,0.01,1,0.01,0
0,1.9837,0.00018373,0,1.1794,1.1794,1,0.011,1,0.011,0
0,1.9829,0.00020043,0,1.1794,1.1794,1,0.012,1,0.012,0
0,1.9822,0.00021713,0,1.1794,1.1794,1,0.013,1,0.013,0
0,1.9815,0.00023384,0,1.1794,1.1794,1,0.014,1,0.014,0
0,1.9807,0.00025054,0,1.1794,1.1794,1,0.015,1,0.015,0
0,1.98,0.00026724,0,1.1793,1.1793,1,0.016,1,0.016,0
0,1.9793,0.00028394,0,1.1793,1.1793,1,0.017,1,0.017,0
0,1.9785,0.00030065,0,1.1793,1.1793,1,0.018,1,0.018,0
0,1.9778,0.00031735,0,1.1793,1.1793,1,0.019,1,0.019,0
0,1.9771,0.00033405,0,1.1793,1.1793,1,0.02,1,0.02,0
0,1.9763,0.00035075,0,1.1792,1.1792,1,0.021,1,0.021,0
0,1.9756,0.00036746,0,1.1792,1.1792,1,0.022,1,0.022,0
0,1.9749,0.00038416,0,1.1792,1.1792,1,0.023,1,0.023,0
0,1.9741,0.00040086,0,1.1792,1.1792,1,0.024,1,0.024,0
0,1.9734,0.00041756,0,1.1792,1.1792,1,0.025,1,0.025,0
0,1.9726,0.00043427,0,1.1791,1.1791,1,0.026,1,0.026,0
0,1.9719,0.00045097,0,1.1791,1.1791,1,0.027,1,0.027,0
0,1.9712,0.00046767,0,1.1791,1.1791,1,0.028,1,0.028,0
0,1.9704,0.00048437,0,1.1791,1.1791,1,0.029,1,0.029,0
0,1.9697,0.00050108,0,1.1791,1.1791,1,0.03,1,0.03,0
0,1.969,0.00051778,0,1.179,1.179,1,0.031,1,0.031,0
0,1.9682,0.00053448,0,1.179,1.179,1,0.032,1,0.032,0
0,1.9675,0.00055118,0,1.179,1.179,1,0.033,1,0.033,0
0,1.9668,0.00056789,0,1.179,1.179,1,0.034,1,0.034,0
0,1.966,0.00058459,0,1.179,1.179,1,0.035,1,0.035,0
0,1.9653,0.00060129,0,1.1789,1.1789,1,0.036,1,0.036,0
0,1.9645,0.00061799,0,1.1789,1.1789,1,0.037,1,0.037,0
0,1.9638,0.0006347,0,1.1789,1.1789,1,0.038,1,0.038,0
0,1.9631,0.0006514,0,1.1789,1.1789,1,0.039,1,0.039,0
0,1.9623,0.0006681,0,1.1789,1.1789,1,0.04,1,0.04,0
0,1.9616,0.0006848,0,1.1788,1.1788,1,0.041,1,0.041,0
0,1.9609,0.00070151,0,1.1788,1.1788,1,0.042,1,0.042,0
0,1.9601,0.00071821,0,1.1788,1.1788,1,0.043,1,0.043,0
0,1.9594,0.00073491,0,1.1788,1.1788,1,0.044,1,0.044,0
0,1.9587,0.00075161,0,1.1788,1.1788,1,0.045,1,0.045,0
0,1.9579,0.00076832,0,1.1787,1.1787,1,0.046,1,0.046,0
0,1.9572,0.00078502,0,1.1787,1.1787,1,0.047,1,0.047,0
0,1.9564,0.00080172,0,1.1787,1.1787,1,0.048,1,0.048,0
0,1.9557,0.00081842,0,1.1787,1.1787,1,0.049,1,0.049,0
0,1.955,0.00083513,0,1.1787,1.1787,1,0.05,1,0.05,0
0,1.9542,0.00085183,0,1.1786,1.1786,1,0.051,1,0.051,0
0,1.9535,0.00086853,0,1.1786,1.1786,1,0.052,1,0.052,0
0,1.9528,0.00088523,0,1.1786,1.1786,1,0.053,1,0.053,0
0,1.952,0.00090194,0,1.1786,1.1786,1,0.054,1,0.054,0
0,1.9513,0.00091864,0,1.1786,1.1786,1,0.055,1,0.055,0
0,1.9506,0.00093534,0,1.1785,1.1785,1,0.056,1,0.056,0
0,1.9498,0.00095204,0,1.1785,1.1785,1,0.057,1,0.057,0
0,1.9491,0.00096875,0,1.1785,1.1785,1,0.058,1,0.058,0
0,1.9484,0.00098545,0,1.1785,1.1785,1,0.059,1,0.059,0
0,1.9476,0.0010022,0,1.1785,1.1785,1,0.06,1,0.06,0
0,1.9469,0.0010189,0,1.1784,1.1784,1,0.061,1,0.061,0
0,1.9461,0.0010356,0,1.1784,1.1784,1,0.062,1,0.062,0
0,1.9454,0.0010523,0,1.1784,1.1784,1,0.063,1,0.063,0
0,1.9447,0.001069,0,1.1784,1.1784,1,0.064,1,0.064,0
0,1.9439,0.0010857,0,1.1784,1.1784,1,0.065,1,0.065,0
0,1.9432,0.0011024,0,1.1783,1.1783,1,0.066,1,0.066,0
0,1.9425,0.0011191,0,1.1783,1.1783,1,0.067,1,0.067,0
0,1.9417,0.0011358,0,1.1783,1.1783,1,0.068,1,0.068,0
0,1.941,0.0011525,0,1.1783,1.1783,1,0.069,1,0.069,0
0,1.9403,0.0011692,0,1.1782,1.1782,1,0.07,1,0.07,0
0,1.9395,0.0011859,0,1.1782,1.1782,1,0.071,1,0.071,0
0,1.9388,0.0012026,0,1.1782,1.1782,1,0.072,1,0.072,0
0,1.938,0.0012193,0,1.1782,1.1782,1,0.073,1,0.073,0
0,1.9373,0.001236,0,1.1782,1.1782,1,0.074,1,0.074,0
0,1.9366,0.0012527,0,1.1781,1.1781,1,0.075,1,0.075,0
0,1.9358,0.0012694,0,1.1781,1.1781,1,0.076,1,0.076,0
0,1.9351,0.0012861,0,1.1781,1.1781,1,0.077,1,0.077,0
0,1.9344,0.0013028,0,1.1781,1.1781,1,0.078,1,0.078,0
0,1.9336,0.0013195,0,1.1781,1.1781,1,0.079,1,0.079,0
0,1.9329,0.0013362,0,1.178,1.178,1,0.08,1,0.08,0
0,1.9322,0.0013529,0,1.178,1.178,1,0.081,1,0.081,0
0,1.9314,0.0013696,0,1.178,1.178,1,0.082,1,0.082,0
0,1.9307,0.0013863,0,1.178,1.178,1,0.083,1,0.083,0
0,1.9299,0.001403,0,1.178,1.178,1,0.084,1,0.084,0
0,1.9292,0.0014197,0,1.1779,1.1779,1,0.085,1,0.085,0
0,1.9285,0.0014364,0,1.1779,1.1779,1,0.086,1,0.086,0
0,1.9277,0.0014531,0,1.1779,1.1779,1,0.087,1,0.087,0
0,1.927,0.0014698,0,1.1779,1.1779,1,0.088,1,0.088,0
0,1.9263,0.0014865,0,1.1779,1.1779,1,0.089,1,0.089,0
0,1.9255,0.0015032,0,1.1778,1.1778,1,0.09,1,0.09,0
0,1.9248,0.0015199,0,1.1778,1.1778,1,0.091,1,0.091,0
0,1.9241,0.0015366,0,1.1778,1.1778,1,0.092,1,0.092,0
0,1.9233,0.0015533,0,1.1778,1.1778,1,0.093,1,0.093,0
0,1.9226,0.00157,0,1.1778,1.1778,1,0.094,1,0.094,0
0,1.9219,0.0015867,0,1.1777,1.1777,1,0.095,1,0.095,0
0,1.9211,0.0016034,0,1.1777,1.1777,1,0.096,1,0.096,0
0,1.9204,0.0016201,0,1.1777,1.1777,1,0.097,1,0.097,0
0,1.9196,0.0016368,0,1.1777,1.1777,1,0.098,1,0.098,0
0,1.9189,0.0016535,0,1.1777,1.1777,1,0.099,1,0.099,0
0,1.9182,0.0016703,0,1.1776,1.1776,1,0.1,1,0.1,0
0,1.9174,0.001687,0,1.1776,1.1776,1,0.101,1,0.101,0
0,1.9167,0.0017037,0,1.1776,1.1776,1,0.102,1,0.102,0
0,1.916,0.0017204,0,1.1776,1.1776,1,0.103,1,0.103,0
0,1.9152,0.0017371,0,1.1776,1.1776,1,0.104,1,0.104,0
0,1.9145,0.0017538,0,1.1775,1.1775,1,0.105,1,0.105,0
0,1.9138,0.0017705,0,1.1775,1.1775,1,0.106,1,0.106,0
0,1.913,0.0017872,0,1.1775,1.1775,1,0.107,1,0.107,0
0,1.9123,0.0018039,0,1.1775,1.1775,1,0.108,1,0.108,0
0,1.9115,0.0018206,0,1.1775,1.1775,1,0.109,1,0.109,0
0,1.9108,0.0018373,0,1.1774,1.1774,1,0.11,1,0.11,0
0,1.9101,0.001854,0,1.1774,1.1774,1,0.111,1,0.111,0
0,1.9093,0.0018707,0,1.1774,1.1774,1,0.112,1,0.112,0
0,1.9086,0.0018874,0,1.1774,1.1774,1,0.113,1,0.113,0
0,1.9079,0.0019041,0,1.1774,1.1774,1,0.114,1,0.114,0
0,1.9071,0.0019208,0,1.1773,1.1773,1,0.115,1,0.115,0
0,1.9064,0.0019375,0,1.1773,1.1773,1,0.116,1,0.116,0
0,1.9057,0.0019542,0,1.1773,1.1773,1,0.117,1,0.117,0
0,1.9049,0.0019709,0,1.1773,1.1773,1,0.118,1,0.118,0
0,1.9042,0.0019876,0,1.1773,1.1773,1,0.119,1,0.119,0
0,1.9034,0.0020043,0,1.1772,1.1772,1,0.12,1,0.12,0
0,1.9027,0.002021,0,1.1772,1.1772,1,0.121,1,0.121,0
0,1.902,0.0020377,0,1.1772,1.1772,1,0.122,1,0.122,0
0,1.9012,0.0020544,0,1.1772,1.1772,1,0.123,1,0.123,0
0,1.9005,0.0020711,0,1.1771,1.1771,1,0.124,1,0.124,0
0,1.8998,0.0020878,0,1.1771,1.1771,1,0.125,1,0.125,0
0,1.899,0.0021045,0,1.1771,1.1771,1,0.126,1,0.126,0
0,1.8983,0.0021212,0,1.1771,1.1771,1,0.127,1,0.127,0
0,1.8976,0.0021379,0,1.1771,1.1771,1,0.128,1,0.128,0
0,1.8968,0.0021546,0,1.177,1.177,1,0.129,1,0.129,0
0,1.8961,0.0021713,0,1.177,1.177,1,0.13,1,0.13,0
0,1.8954,0.002188,0,1.177,1.177,1,0.131,1,0.131,0
