"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.9857,0,0,0,-5.9857,0,1,0,5,0,0
-5.9738,0.0058777,-7.0662e-10,0,-5.9738,9.3685e-05,1,0.001,5,0.001,0
-5.9618,0.011755,-1.4132e-09,0,-5.9618,0.00018737,1,0.002,5,0.002,0
-5.9499,0.017633,-2.1198e-09,0,-5.9499,0.00028105,1,0.003,5,0.003,0
-5.9379,0.023511,-2.8265e-09,0,-5.9379,0.00037474,1,0.004,5,0.004,0
-5.9259,0.029389,-3.5331e-09,0,-5.9259,0.00046842,1,0.005,5,0.005,0
-5.914,0.035266,-4.2397e-09,0,-5.914,0.00056211,1,0.006,5,0.006,0
-5.902,0.041144,-4.9463e-09,0,-5.902,0.00065579,1,0.007,5,0.007,0
-5.8901,0.047022,-5.6529e-09,0,-5.8901,0.00074948,1,0.008,5,0.008,0
-5.8781,0.0529,-6.3595e-09,0,-5.8781,0.00084316,1,0.009,5,0.009,0
-5.8661,0.058777,-7.0662e-09,0,-5.8661,0.00093685,1,0.01,5,0.01,0
-5.8542,0.064655,-7.7728e-09,0,-5.8542,0.0010305,1,0.011,5,0.011,0
-5.8422,0.070533,-8.4794e-09,0,-5.8422,0.0011242,1,0.012,5,0.012,0
-5.8303,0.07641,-9.186e-09,0,-5.8303,0.0012179,1,0.013,5,0.013,0
-5.8183,0.082288,-9.8926e-09,0,-5.8183,0.0013116,1,0.014,5,0.014,0
-5.8064,0.088166,-1.0599e-08,0,-5.8064,0.0014053,1,0.015,5,0.015,0
-5.7944,0.094044,-1.1306e-08,0,-5.7944,0.001499,1,0.016,5,0.016,0
-5.7824,0.099921,-1.2012e-08,0,-5.7824,0.0015926,1,0.017,5,0.017,0
-5.7705,0.1058,-1.2719e-08,0,-5.7705,0.0016863,1,0.018,5,0.018,0
-5.7585,0.11168,-1.3426e-08,0,-5.7585,0.00178,1,0.019,5,0.019,0
-5.7466,0.11755,-1.4132e-08,0,-5.7466,0.0018737,1,0.02,5,0.02,0
-5.7346,0.12343,-1.4839e-08,0,-5.7346,0.0019674,1,0.021,5,0.021,0
-5.7226,0.12931,-1.5546e-08,0,-5.7226,0.0020611,1,0.022,5,0.022,0
-5.7107,0.13519,-1.6252e-08,0,-5.7107,0.0021547,1,0.023,5,0.023,0
-5.6987,0.14107,-1.6959e-08,0,-5.6987,0.0022484,1,0.024,5,0.024,0
-5.6868,0.14694,-1.7665e-08,0,-5.6868,0.0023421,1,0.025,5,0.025,0
-5.6748,0.15282,-1.8372e-08,0,-5.6748,0.0024358,1,0.026,5,0.026,0
-5.6628,0.1587,-1.9079e-08,0,-5.6628,0.0025295,1,0.027,5,0.027,0
-5.6509,0.16458,-1.9785e-08,0,-5.6509,0.0026232,1,0.028,5,0.028,0
-5.6389,0.17045,-2.0492e-08,0,-5.6389,0.0027169,1,0.029,5,0.029,0
-5.627,0.17633,-2.1198e-08,0,-5.627,0.0028105,1,0.03,5,0.03,0
-5.615,0.18221,-2.1905e-08,0,-5.615,0.0029042,1,0.031,5,0.031,0
-5.6031,0.18776,-8.3289e-08,0,-5.6031,0.0031194,1,0.032,5,0.032,0
-5.5911,0.19316,-1.7176e-07,0,-5.5911,0.0033888,1,0.033,5,0.033,0
-5.5792,0.19856,-2.6024e-07,0,-5.5792,0.0036583,1,0.034,5,0.034,0
-5.5672,0.20397,-3.4871e-07,0,-5.5672,0.0039277,1,0.035,5,0.035,0
-5.5553,0.20937,-4.3719e-07,0,-5.5553,0.0041971,1,0.036,5,0.036,0
-5.5433,0.21477,-5.2566e-07,0,-5.5433,0.0044665,1,0.037,5,0.037,0
-5.5313,0.22018,-6.1414e-07,0,-5.5313,0.004736,1,0.038,5,0.038,0
-5.5194,0.22558,-7.0262e-07,0,-5.5194,0.0050054,1,0.039,5,0.039,0
-5.5074,0.23098,-7.9109e-07,0,-5.5074,0.0052748,1,0.04,5,0.04,0
-5.4955,0.23638,-8.7957e-07,0,-5.4955,0.0055443,1,0.041,5,0.041,0
-5.4835,0.24179,-9.6804e-07,0,-5.4835,0.0058137,1,0.042,5,0.042,0
-5.4716,0.24719,-1.0565e-06,0,-5.4716,0.0060831,1,0.043,5,0.043,0
-5.4596,0.25259,-1.145e-06,0,-5.4596,0.0063525,1,0.044,5,0.044,0
-5.4477,0.258,-1.2335e-06,0,-5.4477,0.006622,1,0.045,5,0.045,0
-5.4357,0.2634,-1.3219e-06,0,-5.4357,0.0068914,1,0.046,5,0.046,0
-5.4238,0.2688,-1.4104e-06,0,-5.4238,0.0071608,1,0.047,5,0.047,0
-5.4118,0.2742,-1.4989e-06,0,-5.4118,0.0074303,1,0.048,5,0.048,0
-5.3999,0.27961,-1.5874e-06,0,-5.3999,0.0076997,1,0.049,5,0.049,0
-5.3879,0.28501,-1.6758e-06,0,-5.3879,0.0079691,1,0.05,5,0.05,0
-5.376,0.29041,-1.7643e-06,0,-5.376,0.0082385,1,0.051,5,0.051,0
-5.364,0.29582,-1.8528e-06,0,-5.364,0.008508,1,0.052,5,0.052,0
-5.3521,0.30122,-1.9413e-06,0,-5.3521,0.0087774,1,0.053,5,0.053,0
-5.3401,0.30662,-2.0297e-06,0,-5.3401,0.0090468,1,0.054,5,0.054,0
-5.3282,0.31202,-2.1182e-06,0,-5.3282,0.0093163,1,0.055,5,0.055,0
-5.3162,0.31743,-2.2067e-06,0,-5.3162,0.0095857,1,0.056,5,0.056,0
-5.3043,0.32283,-2.2952e-06,0,-5.3043,0.0098551,1,0.057,5,0.057,0
-5.2923,0.32823,-2.3836e-06,0,-5.2923,0.010125,1,0.058,5,0.058,0
-5.2804,0.33364,-2.4721e-06,0,-5.2804,0.010394,1,0.059,5,0.059,0
-5.2684,0.33904,-2.5606e-06,0,-5.2684,0.010663,1,0.06,5,0.06,0
-5.2565,0.34444,-2.6491e-06,0,-5.2565,0.010933,1,0.061,5,0.061,0
-5.2445,0.34984,-2.7375e-06,0,-5.2445,0.011202,1,0.062,5,0.062,0
-5.2326,0.35512,-2.8308e-06,0,-5.2326,0.011531,1,0.063,5,0.063,0
-5.2206,0.36018,-2.9324e-06,0,-5.2206,0.011964,1,0.064,5,0.064,0
-5.2086,0.36523,-3.0341e-06,0,-5.2086,0.012398,1,0.065,5,0.065,0
-5.1967,0.37028,-3.1358e-06,0,-5.1967,0.012832,1,0.066,5,0.066,0
-5.1847,0.37534,-3.2374e-06,0,-5.1847,0.013265,1,0.067,5,0.067,0
-5.1728,0.38039,-3.3391e-06,0,-5.1728,0.013699,1,0.068,5,0.068,0
-5.1608,0.38545,-3.4408e-06,0,-5.1608,0.014132,1,0.069,5,0.069,0
-5.1489,0.3905,-3.5424e-06,0,-5.1489,0.014566,1,0.07,5,0.07,0
-5.1369,0.39556,-3.6441e-06,0,-5.1369,0.014999,1,0.071,5,0.071,0
-5.125,0.40061,-3.7457e-06,0,-5.125,0.015433,1,0.072,5,0.072,0
-5.113,0.40567,-3.8474e-06,0,-5.113,0.015866,1,0.073,5,0.073,0
-5.1011,0.41072,-3.9491e-06,0,-5.1011,0.0163,1,0.074,5,0.074,0
-5.0891,0.41578,-4.0507e-06,0,-5.0891,0.016733,1,0.075,5,0.075,0
-5.0772,0.42083,-4.1524e-06,0,-5.0772,0.017167,1,0.076,5,0.076,0
-5.0652,0.42588,-4.254e-06,0,-5.0652,0.0176,1,0.077,5,0.077,0
-5.0533,0.43094,-4.3557e-06,0,-5.0533,0.018034,1,0.078,5,0.078,0
-5.0413,0.43599,-4.4574e-06,0,-5.0413,0.018467,1,0.079,5,0.079,0
-5.0294,0.44105,-4.559e-06,0,-5.0294,0.018901,1,0.08,5,0.08,0
-5.0174,0.4461,-4.6607e-06,0,-5.0174,0.019334,1,0.081,5,0.081,0
-5.0055,0.45116,-4.7624e-06,0,-5.0055,0.019768,1,0.082,5,0.082,0
-4.9935,0.45621,-4.864e-06,0,-4.9935,0.020201,1,0.083,5,0.083,0
-4.9816,0.46127,-4.9657e-06,0,-4.9816,0.020635,1,0.084,5,0.084,0
-4.9696,0.46632,-5.0673e-06,0,-4.9696,0.021069,1,0.085,5,0.085,0
-4.9576,0.47138,-5.169e-06,0,-4.9576,0.021502,1,0.086,5,0.086,0
-4.9457,0.47643,-5.2707e-06,0,-4.9457,0.021936,1,0.087,5,0.087,0
-4.9337,0.48148,-5.3723e-06,0,-4.9337,0.022369,1,0.088,5,0.088,0
-4.9218,0.48654,-5.474e-06,0,-4.9218,0.022803,1,0.089,5,0.089,0
-4.9098,0.49159,-5.5756e-06,0,-4.9098,0.023236,1,0.09,5,0.09,0
-4.8979,0.49665,-5.6773e-06,0,-4.8979,0.02367,1,0.091,5,0.091,0
-4.8859,0.5017,-5.779e-06,0,-4.8859,0.024103,1,0.092,5,0.092,0
-4.874,0.50676,-5.8806e-06,0,-4.874,0.024537,1,0.093,5,0.093,0
-4.862,0.51181,-5.982e-06,0,-4.862,0.024973,1,0.094,5,0.094,0
-4.8501,0.51648,-6.065e-06,0,-4.8501,0.025559,1,0.095,5,0.095,0
-4.8381,0.52115,-6.148e-06,0,-4.8381,0.026145,1,0.096,5,0.096,0
-4.8262,0.52582,-6.231e-06,0,-4.8262,0.026731,1,0.097,5,0.097,0
-4.8142,0.5305,-6.314e-06,0,-4.8142,0.027316,1,0.098,5,0.098,0
-4.8022,0.53517,-6.3969e-06,0,-4.8022,0.027902,1,0.099,5,0.099,0
-4.7903,0.53984,-6.4799e-06,0,-4.7903,0.028488,1,0.1,5,0.1,0
-4.7783,0.54452,-6.5629e-06,0,-4.7783,0.029074,1,0.101,5,0.101,0
-4.7664,0.54919,-6.6459e-06,0,-4.7664,0.02966,1,0.102,5,0.102,0
-4.7544,0.55386,-6.7289e-06,0,-4.7544,0.030246,1,0.103,5,0.103,0
-4.7425,0.55854,-6.8119e-06,0,-4.7425,0.030832,1,0.104,5,0.104,0
-4.7305,0.56321,-6.8949e-06,0,-4.7305,0.031418,1,0.105,5,0.105,0
-4.7186,0.56788,-6.9778e-06,0,-4.7186,0.032004,1,0.106,5,0.106,0
-4.7066,0.57256,-7.0608e-06,0,-4.7066,0.03259,1,0.107,5,0.107,0
-4.6946,0.57723,-7.1438e-06,0,-4.6946,0.033176,1,0.108,5,0.108,0
-4.6827,0.5819,-7.2268e-06,0,-4.6827,0.033762,1,0.109,5,0.109,0
-4.6707,0.58657,-7.3098e-06,0,-4.6707,0.034348,1,0.11,5,0.11,0
-4.6588,0.59125,-7.3928e-06,0,-4.6588,0.034934,1,0.111,5,0.111,0
-4.6468,0.59592,-7.4758e-06,0,-4.6468,0.03552,1,0.112,5,0.112,0
-4.6349,0.60059,-7.5587e-06,0,-4.6349,0.036106,1,0.113,5,0.113,0
-4.6229,0.60527,-7.6417e-06,0,-4.6229,0.036692,1,0.114,5,0.114,0
-4.6109,0.60994,-7.7247e-06,0,-4.6109,0.037278,1,0.115,5,0.115,0
-4.599,0.61461,-7.8077e-06,0,-4.599,0.037864,1,0.116,5,0.116,0
-4.587,0.61929,-7.8907e-06,0,-4.587,0.03845,1,0.117,5,0.117,0
-4.5751,0.62396,-7.9737e-06,0,-4.5751,0.039036,1,0.118,5,0.118,0
-4.5631,0.62863,-8.0566e-06,0,-4.5631,0.039622,1,0.119,5,0.119,0
-4.5512,0.63331,-8.1396e-06,0,-4.5512,0.040208,1,0.12,5,0.12,0
-4.5392,0.63798,-8.2226e-06,0,-4.5392,0.040794,1,0.121,5,0.121,0
-4.5273,0.64265,-8.3056e-06,0,-4.5273,0.04138,1,0.122,5,0.122,0
-4.5153,0.64733,-8.3886e-06,0,-4.5153,0.041966,1,0.123,5,0.123,0
-4.5033,0.652,-8.4716e-06,0,-4.5033,0.042552,1,0.124,5,0.124,0
-4.4914,0.65667,-8.5546e-06,0,-4.4914,0.043138,1,0.125,5,0.125,0
-4.4794,0.6611,-8.5831e-06,0,-4.4794,0.043816,1,0.126,5,0.126,0
-4.4675,0.6654,-8.5831e-06,0,-4.4675,0.044543,1,0.127,5,0.127,0
-4.4555,0.6697,-8.5832e-06,0,-4.4555,0.04527,1,0.128,5,0.128,0
-4.4435,0.674,-8.5832e-06,0,-4.4435,0.045996,1,0.129,5,0.129,0
-4.4316,0.6783,-8.5832e-06,0,-4.4316,0.046723,1,0.13,5,0.13,0
-4.4196,0.68261,-8.5832e-06,0,-4.4196,0.04745,1,0.131,5,0.131,0
-4.4076,0.68691,-8.5833e-06,0,-4.4076,0.048177,1,0.132,5,0.132,0
-4.3957,0.69121,-8.5833e-06,0,-4.3957,0.048903,1,0.133,5,0.133,0
-4.3837,0.69551,-8.5833e-06,0,-4.3837,0.04963,1,0.134,5,0.134,0
-4.3718,0.69981,-8.5834e-06,0,-4.3718,0.050357,1,0.135,5,0.135,0
-4.3598,0.70411,-8.5834e-06,0,-4.3598,0.051083,1,0.136,5,0.136,0
-4.3478,0.70841,-8.5834e-06,0,-4.3478,0.05181,1,0.137,5,0.137,0
-4.3359,0.71271,-8.5835e-06,0,-4.3359,0.052537,1,0.138,5,0.138,0
-4.3239,0.71701,-8.5835e-06,0,-4.3239,0.053264,1,0.139,5,0.139,0
-4.3119,0.72131,-8.5835e-06,0,-4.3119,0.05399,1,0.14,5,0.14,0
-4.3,0.72561,-8.5835e-06,0,-4.3,0.054717,1,0.141,5,0.141,0
-4.288,0.72992,-8.5836e-06,0,-4.288,0.055444,1,0.142,5,0.142,0
-4.2761,0.73422,-8.5836e-06,0,-4.2761,0.05617,1,0.143,5,0.143,0
-4.2641,0.73852,-8.5836e-06,0,-4.2641,0.056897,1,0.144,5,0.144,0
-4.2521,0.74282,-8.5837e-06,0,-4.2521,0.057624,1,0.145,5,0.145,0
-4.2402,0.74712,-8.5837e-06,0,-4.2402,0.058351,1,0.146,5,0.146,0
-4.2282,0.75142,-8.5837e-06,0,-4.2282,0.059077,1,0.147,5,0.147,0
-4.2162,0.75572,-8.5838e-06,0,-4.2162,0.059804,1,0.148,5,0.148,0
