"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.302,0,0,0,-5.302,0,1,0,6,0,0
-5.2914,0.0045172,3.119e-06,0,-5.2914,0.00065228,1,0.001,6,0.001,0
-5.2809,0.0090344,6.2379e-06,0,-5.2809,0.0013046,1,0.002,6,0.002,0
-5.2703,0.013552,9.3569e-06,0,-5.2703,0.0019568,1,0.003,6,0.003,0
-5.2598,0.018069,1.2476e-05,0,-5.2598,0.0026091,1,0.004,6,0.004,0
-5.2492,0.022586,1.5595e-05,0,-5.2492,0.0032614,1,0.005,6,0.005,0
-5.2386,0.027103,1.8714e-05,0,-5.2386,0.0039137,1,0.006,6,0.006,0
-5.2281,0.03162,2.1833e-05,0,-5.2281,0.004566,1,0.007,6,0.007,0
-5.2175,0.036137,2.4952e-05,0,-5.2175,0.0052182,1,0.008,6,0.008,0
-5.2069,0.040655,2.8071e-05,0,-5.2069,0.0058705,1,0.009,6,0.009,0
-5.1964,0.045172,3.119e-05,0,-5.1964,0.0065228,1,0.01,6,0.01,0
-5.1858,0.049689,3.4309e-05,0,-5.1858,0.0071751,1,0.011,6,0.011,0
-5.1752,0.054206,3.7428e-05,0,-5.1752,0.0078273,1,0.012,6,0.012,0
-5.1647,0.058723,4.0547e-05,0,-5.1647,0.0084796,1,0.013,6,0.013,0
-5.1541,0.063241,4.3666e-05,0,-5.1541,0.0091319,1,0.014,6,0.014,0
-5.1435,0.067758,4.6784e-05,0,-5.1435,0.0097842,1,0.015,6,0.015,0
-5.133,0.072275,4.9903e-05,0,-5.133,0.010436,1,0.016,6,0.016,0
-5.1224,0.076792,5.3022e-05,0,-5.1224,0.011089,1,0.017,6,0.017,0
-5.1118,0.081309,5.6141e-05,0,-5.1118,0.011741,1,0.018,6,0.018,0
-5.1013,0.085826,5.926e-05,0,-5.1013,0.012393,1,0.019,6,0.019,0
-5.0907,0.090344,6.2379e-05,0,-5.0907,0.013046,1,0.02,6,0.02,0
-5.0801,0.094861,6.5498e-05,0,-5.0801,0.013698,1,0.021,6,0.021,0
-5.0696,0.099378,6.8617e-05,0,-5.0696,0.01435,1,0.022,6,0.022,0
-5.059,0.1039,7.1736e-05,0,-5.059,0.015002,1,0.023,6,0.023,0
-5.0484,0.10841,7.4855e-05,0,-5.0484,0.015655,1,0.024,6,0.024,0
-5.0379,0.11293,7.7974e-05,0,-5.0379,0.016307,1,0.025,6,0.025,0
-5.0273,0.11745,8.1093e-05,0,-5.0273,0.016959,1,0.026,6,0.026,0
-5.0167,0.12196,8.4212e-05,0,-5.0167,0.017612,1,0.027,6,0.027,0
-5.0062,0.12648,8.7331e-05,0,-5.0062,0.018264,1,0.028,6,0.028,0
-4.9956,0.131,9.045e-05,0,-4.9956,0.018916,1,0.029,6,0.029,0
-4.985,0.13552,9.3569e-05,0,-4.985,0.019568,1,0.03,6,0.03,0
-4.9745,0.14003,9.6688e-05,0,-4.9745,0.020221,1,0.031,6,0.031,0
-4.9639,0.14455,9.9807e-05,0,-4.9639,0.020873,1,0.032,6,0.032,0
-4.9534,0.14907,0.00010293,0,-4.9534,0.021525,1,0.033,6,0.033,0
-4.9428,0.15358,0.00010604,0,-4.9428,0.022177,1,0.034,6,0.034,0
-4.9322,0.1581,0.00010916,0,-4.9322,0.02283,1,0.035,6,0.035,0
-4.9217,0.16262,0.00011228,0,-4.9217,0.023482,1,0.036,6,0.036,0
-4.9111,0.16714,0.0001154,0,-4.9111,0.024134,1,0.037,6,0.037,0
-4.9005,0.17165,0.00011852,0,-4.9005,0.024787,1,0.038,6,0.038,0
-4.89,0.17617,0.00012164,0,-4.89,0.025439,1,0.039,6,0.039,0
-4.8794,0.18069,0.00012476,0,-4.8794,0.026091,1,0.04,6,0.04,0
-4.8688,0.1852,0.00012788,0,-4.8688,0.026743,1,0.041,6,0.041,0
-4.8583,0.18972,0.000131,0,-4.8583,0.027396,1,0.042,6,0.042,0
-4.8477,0.19424,0.00013412,0,-4.8477,0.028048,1,0.043,6,0.043,0
-4.8371,0.19876,0.00013723,0,-4.8371,0.0287,1,0.044,6,0.044,0
-4.8266,0.20327,0.00014035,0,-4.8266,0.029353,1,0.045,6,0.045,0
-4.816,0.20779,0.00014347,0,-4.816,0.030005,1,0.046,6,0.046,0
