"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.53519,0,0,0,0.53519,0,1,0,0.5,0,0
0.53335,-0.00050537,-5.4223e-06,0,0.53335,-2.6409e-05,1,0.001,0.5,0.001,0
0.5315,-0.0010107,-1.0845e-05,0,0.5315,-5.2819e-05,1,0.002,0.5,0.002,0
0.52966,-0.0015161,-1.6267e-05,0,0.52966,-7.9228e-05,1,0.003,0.5,0.003,0
0.52781,-0.0020215,-2.1689e-05,0,0.52781,-0.00010564,1,0.004,0.5,0.004,0
0.52597,-0.0025268,-2.7111e-05,0,0.52597,-0.00013205,1,0.005,0.5,0.005,0
0.52413,-0.0030322,-3.2534e-05,0,0.52413,-0.00015846,1,0.006,0.5,0.006,0
0.52228,-0.0035376,-3.7956e-05,0,0.52228,-0.00018487,1,0.007,0.5,0.007,0
0.52044,-0.004043,-4.3378e-05,0,0.52044,-0.00021128,1,0.008,0.5,0.008,0
0.51859,-0.0045483,-4.8801e-05,0,0.51859,-0.00023769,1,0.009,0.5,0.009,0
0.51675,-0.0050537,-5.4223e-05,0,0.51675,-0.00026409,1,0.01,0.5,0.01,0
0.5149,-0.0055591,-5.9645e-05,0,0.5149,-0.0002905,1,0.011,0.5,0.011,0
0.51306,-0.0060644,-6.5067e-05,0,0.51306,-0.00031691,1,0.012,0.5,0.012,0
0.51122,-0.0065698,-7.049e-05,0,0.51122,-0.00034332,1,0.013,0.5,0.013,0
0.50937,-0.0070752,-7.5912e-05,0,0.50937,-0.00036973,1,0.014,0.5,0.014,0
0.50753,-0.0075805,-8.1334e-05,0,0.50753,-0.00039614,1,0.015,0.5,0.015,0
0.50568,-0.0080859,-8.6757e-05,0,0.50568,-0.00042255,1,0.016,0.5,0.016,0
0.50384,-0.0085913,-9.2179e-05,0,0.50384,-0.00044896,1,0.017,0.5,0.017,0
0.50199,-0.0090967,-9.7601e-05,0,0.50199,-0.00047537,1,0.018,0.5,0.018,0
0.50015,-0.009602,-0.00010302,0,0.50015,-0.00050178,1,0.019,0.5,0.019,0
