"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.8026,0,0,0,-5.8026,0,1,0,6,0,0
-5.7898,0.0058586,7.4058e-05,0,-5.7898,0.0001485,1,0.001,6,0.001,0
-5.777,0.011717,0.00014812,0,-5.777,0.000297,1,0.002,6,0.002,0
-5.7642,0.017576,0.00022217,0,-5.7642,0.0004455,1,0.003,6,0.003,0
-5.7515,0.023435,0.00029623,0,-5.7515,0.000594,1,0.004,6,0.004,0
-5.7387,0.029293,0.00037029,0,-5.7387,0.00074249,1,0.005,6,0.005,0
-5.7259,0.035152,0.00044435,0,-5.7259,0.00089099,1,0.006,6,0.006,0
-5.7131,0.041011,0.00051841,0,-5.7131,0.0010395,1,0.007,6,0.007,0
-5.7003,0.046869,0.00059246,0,-5.7003,0.001188,1,0.008,6,0.008,0
-5.6876,0.052728,0.00066652,0,-5.6876,0.0013365,1,0.009,6,0.009,0
-5.6748,0.058586,0.00074058,0,-5.6748,0.001485,1,0.01,6,0.01,0
-5.662,0.064445,0.00081464,0,-5.662,0.0016335,1,0.011,6,0.011,0
-5.6492,0.070304,0.0008887,0,-5.6492,0.001782,1,0.012,6,0.012,0
-5.6364,0.076162,0.00096275,0,-5.6364,0.0019305,1,0.013,6,0.013,0
-5.6237,0.082021,0.0010368,0,-5.6237,0.002079,1,0.014,6,0.014,0
-5.6109,0.08788,0.0011109,0,-5.6109,0.0022275,1,0.015,6,0.015,0
-5.6013,0.093647,0.0011387,0,-5.6013,0.0023835,1,0.016,6,0.016,0
-5.5931,0.099375,0.0011469,0,-5.5931,0.0025427,1,0.017,6,0.017,0
-5.5848,0.1051,0.0011551,0,-5.5848,0.002702,1,0.018,6,0.018,0
-5.5766,0.11083,0.0011633,0,-5.5766,0.0028612,1,0.019,6,0.019,0
-5.5684,0.11656,0.0011715,0,-5.5684,0.0030204,1,0.02,6,0.02,0
-5.5601,0.12229,0.0011796,0,-5.5601,0.0031797,1,0.021,6,0.021,0
-5.5519,0.12802,0.0011878,0,-5.5519,0.0033389,1,0.022,6,0.022,0
-5.5436,0.13374,0.001196,0,-5.5436,0.0034982,1,0.023,6,0.023,0
-5.5354,0.13947,0.0012042,0,-5.5354,0.0036574,1,0.024,6,0.024,0
-5.5272,0.1452,0.0012124,0,-5.5272,0.0038166,1,0.025,6,0.025,0
-5.5189,0.15093,0.0012205,0,-5.5189,0.0039759,1,0.026,6,0.026,0
-5.5107,0.15666,0.0012287,0,-5.5107,0.0041351,1,0.027,6,0.027,0
-5.5025,0.16238,0.0012369,0,-5.5025,0.0042943,1,0.028,6,0.028,0
-5.4942,0.16811,0.0012451,0,-5.4942,0.0044536,1,0.029,6,0.029,0
-5.486,0.17384,0.0012533,0,-5.486,0.0046128,1,0.03,6,0.03,0
-5.4778,0.17957,0.0012614,0,-5.4778,0.004772,1,0.031,6,0.031,0
-5.4695,0.1853,0.0012696,0,-5.4695,0.0049313,1,0.032,6,0.032,0
-5.4613,0.19102,0.0012778,0,-5.4613,0.0050905,1,0.033,6,0.033,0
-5.453,0.19675,0.001286,0,-5.453,0.0052497,1,0.034,6,0.034,0
-5.4448,0.20248,0.0012942,0,-5.4448,0.005409,1,0.035,6,0.035,0
-5.4366,0.20821,0.0013024,0,-5.4366,0.0055682,1,0.036,6,0.036,0
-5.4283,0.21394,0.0013105,0,-5.4283,0.0057274,1,0.037,6,0.037,0
-5.4201,0.21966,0.0013187,0,-5.4201,0.0058867,1,0.038,6,0.038,0
-5.4119,0.22539,0.0013269,0,-5.4119,0.0060459,1,0.039,6,0.039,0
-5.4036,0.23112,0.0013351,0,-5.4036,0.0062051,1,0.04,6,0.04,0
-5.3954,0.23685,0.0013433,0,-5.3954,0.0063644,1,0.041,6,0.041,0
-5.3872,0.24258,0.0013514,0,-5.3872,0.0065236,1,0.042,6,0.042,0
-5.3789,0.2483,0.0013596,0,-5.3789,0.0066828,1,0.043,6,0.043,0
-5.3707,0.25403,0.0013678,0,-5.3707,0.0068421,1,0.044,6,0.044,0
-5.3625,0.25976,0.001376,0,-5.3625,0.0070013,1,0.045,6,0.045,0
-5.3542,0.26549,0.0013842,0,-5.3542,0.0071605,1,0.046,6,0.046,0
-5.346,0.27122,0.0013923,0,-5.346,0.0073198,1,0.047,6,0.047,0
-5.3377,0.27694,0.0014005,0,-5.3377,0.007479,1,0.048,6,0.048,0
-5.3295,0.28267,0.0014087,0,-5.3295,0.0076382,1,0.049,6,0.049,0
-5.3213,0.2884,0.0014169,0,-5.3213,0.0077975,1,0.05,6,0.05,0
-5.313,0.29413,0.0014251,0,-5.313,0.0079567,1,0.051,6,0.051,0
-5.3048,0.29986,0.0014332,0,-5.3048,0.008116,1,0.052,6,0.052,0
-5.2966,0.30558,0.0014414,0,-5.2966,0.0082752,1,0.053,6,0.053,0
-5.2882,0.31128,0.0014478,0,-5.2882,0.0084467,1,0.054,6,0.054,0
-5.2763,0.31622,0.0014135,0,-5.2763,0.0088936,1,0.055,6,0.055,0
-5.2644,0.32116,0.0013793,0,-5.2644,0.0093405,1,0.056,6,0.056,0
-5.2525,0.3261,0.001345,0,-5.2525,0.0097874,1,0.057,6,0.057,0
-5.2406,0.33104,0.0013107,0,-5.2406,0.010234,1,0.058,6,0.058,0
-5.2287,0.33598,0.0012765,0,-5.2287,0.010681,1,0.059,6,0.059,0
-5.2168,0.34092,0.0012422,0,-5.2168,0.011128,1,0.06,6,0.06,0
-5.2049,0.34587,0.0012079,0,-5.2049,0.011575,1,0.061,6,0.061,0
-5.193,0.35081,0.0011737,0,-5.193,0.012022,1,0.062,6,0.062,0
-5.1811,0.35575,0.0011394,0,-5.1811,0.012469,1,0.063,6,0.063,0
-5.1692,0.36069,0.0011051,0,-5.1692,0.012916,1,0.064,6,0.064,0
-5.1573,0.36563,0.0010709,0,-5.1573,0.013363,1,0.065,6,0.065,0
