"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.5099,0,0,0,-4.5099,0,1,0,6,0,0
-4.5007,0.0030159,5.2266e-06,0,-4.5007,0.0010091,1,0.001,6,0.001,0
-4.4915,0.0060317,1.0453e-05,0,-4.4915,0.0020183,1,0.002,6,0.002,0
-4.4823,0.0090475,1.568e-05,0,-4.4823,0.0030274,1,0.003,6,0.003,0
-4.4731,0.012063,2.0906e-05,0,-4.4731,0.0040365,1,0.004,6,0.004,0
-4.4639,0.015079,2.6133e-05,0,-4.4639,0.0050457,1,0.005,6,0.005,0
-4.4547,0.018095,3.136e-05,0,-4.4547,0.0060548,1,0.006,6,0.006,0
-4.4454,0.021111,3.6586e-05,0,-4.4454,0.0070639,1,0.007,6,0.007,0
-4.4362,0.024127,4.1813e-05,0,-4.4362,0.008073,1,0.008,6,0.008,0
-4.427,0.027143,4.7039e-05,0,-4.427,0.0090822,1,0.009,6,0.009,0
-4.4178,0.030158,5.2266e-05,0,-4.4178,0.010091,1,0.01,6,0.01,0
-4.4086,0.033174,5.7492e-05,0,-4.4086,0.0111,1,0.011,6,0.011,0
-4.3994,0.03619,6.2719e-05,0,-4.3994,0.01211,1,0.012,6,0.012,0
-4.3902,0.039206,6.7946e-05,0,-4.3902,0.013119,1,0.013,6,0.013,0
-4.381,0.042222,7.3172e-05,0,-4.381,0.014128,1,0.014,6,0.014,0
-4.3717,0.045238,7.8399e-05,0,-4.3717,0.015137,1,0.015,6,0.015,0
-4.3625,0.048254,8.3625e-05,0,-4.3625,0.016146,1,0.016,6,0.016,0
-4.3533,0.051269,8.8852e-05,0,-4.3533,0.017155,1,0.017,6,0.017,0
-4.3441,0.054285,9.4079e-05,0,-4.3441,0.018164,1,0.018,6,0.018,0
-4.3349,0.057301,9.9305e-05,0,-4.3349,0.019173,1,0.019,6,0.019,0
-4.3257,0.060317,0.00010453,0,-4.3257,0.020183,1,0.02,6,0.02,0
-4.3165,0.063333,0.00010976,0,-4.3165,0.021192,1,0.021,6,0.021,0
-4.3072,0.066349,0.00011498,0,-4.3072,0.022201,1,0.022,6,0.022,0
-4.298,0.069365,0.00012021,0,-4.298,0.02321,1,0.023,6,0.023,0
-4.2888,0.07238,0.00012544,0,-4.2888,0.024219,1,0.024,6,0.024,0
-4.2796,0.075396,0.00013066,0,-4.2796,0.025228,1,0.025,6,0.025,0
-4.2704,0.078412,0.00013589,0,-4.2704,0.026237,1,0.026,6,0.026,0
-4.2612,0.081428,0.00014112,0,-4.2612,0.027247,1,0.027,6,0.027,0
-4.252,0.084444,0.00014634,0,-4.252,0.028256,1,0.028,6,0.028,0
-4.2428,0.08746,0.00015157,0,-4.2428,0.029265,1,0.029,6,0.029,0
-4.2335,0.090475,0.0001568,0,-4.2335,0.030274,1,0.03,6,0.03,0
-4.2243,0.093491,0.00016202,0,-4.2243,0.031283,1,0.031,6,0.031,0
-4.2151,0.096507,0.00016725,0,-4.2151,0.032292,1,0.032,6,0.032,0
-4.2059,0.099523,0.00017248,0,-4.2059,0.033301,1,0.033,6,0.033,0
-4.1967,0.10254,0.0001777,0,-4.1967,0.03431,1,0.034,6,0.034,0
-4.1875,0.10555,0.00018293,0,-4.1875,0.03532,1,0.035,6,0.035,0
-4.1783,0.10857,0.00018816,0,-4.1783,0.036329,1,0.036,6,0.036,0
-4.1691,0.11159,0.00019338,0,-4.1691,0.037338,1,0.037,6,0.037,0
-4.1598,0.1146,0.00019861,0,-4.1598,0.038347,1,0.038,6,0.038,0
-4.1506,0.11762,0.00020384,0,-4.1506,0.039356,1,0.039,6,0.039,0
-4.1414,0.12063,0.00020906,0,-4.1414,0.040365,1,0.04,6,0.04,0
-4.1322,0.12365,0.00021429,0,-4.1322,0.041374,1,0.041,6,0.041,0
