"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.030282,2.7366,0,0,0.030282,0,1,0,8,0,0
0.031809,2.7173,0,0,0.031809,4.1682e-05,1,0.001,8,0.001,0
0.033337,2.698,0,0,0.033337,8.3363e-05,1,0.002,8,0.002,0
0.034865,2.6788,0,0,0.034865,0.00012504,1,0.003,8,0.003,0
0.036393,2.6595,0,0,0.036393,0.00016673,1,0.004,8,0.004,0
0.037921,2.6402,0,0,0.037921,0.00020841,1,0.005,8,0.005,0
0.039449,2.6209,0,0,0.039449,0.00025009,1,0.006,8,0.006,0
0.040976,2.6017,0,0,0.040976,0.00029177,1,0.007,8,0.007,0
0.042504,2.5824,0,0,0.042504,0.00033345,1,0.008,8,0.008,0
0.044032,2.5631,0,0,0.044032,0.00037513,1,0.009,8,0.009,0
0.04556,2.5439,0,0,0.04556,0.00041682,1,0.01,8,0.01,0
0.047088,2.5246,0,0,0.047088,0.0004585,1,0.011,8,0.011,0
0.048615,2.5053,0,0,0.048615,0.00050018,1,0.012,8,0.012,0
0.050143,2.486,0,0,0.050143,0.00054186,1,0.013,8,0.013,0
0.051671,2.4668,0,0,0.051671,0.00058354,1,0.014,8,0.014,0
0.053199,2.4475,0,0,0.053199,0.00062522,1,0.015,8,0.015,0
0.054727,2.4282,0,0,0.054727,0.00066691,1,0.016,8,0.016,0
0.056255,2.4089,0,0,0.056255,0.00070859,1,0.017,8,0.017,0
0.057782,2.3897,0,0,0.057782,0.00075027,1,0.018,8,0.018,0
0.05931,2.3704,0,0,0.05931,0.00079195,1,0.019,8,0.019,0
0.060838,2.3511,0,0,0.060838,0.00083363,1,0.02,8,0.02,0
0.062366,2.3318,0,0,0.062366,0.00087531,1,0.021,8,0.021,0
0.063894,2.3126,0,0,0.063894,0.000917,1,0.022,8,0.022,0
0.065422,2.2933,0,0,0.065422,0.00095868,1,0.023,8,0.023,0
0.066949,2.274,0,0,0.066949,0.0010004,1,0.024,8,0.024,0
0.068477,2.2547,0,0,0.068477,0.001042,1,0.025,8,0.025,0
0.070005,2.2355,0,0,0.070005,0.0010837,1,0.026,8,0.026,0
0.071533,2.2162,0,0,0.071533,0.0011254,1,0.027,8,0.027,0
0.073061,2.1969,0,0,0.073061,0.0011671,1,0.028,8,0.028,0
0.074588,2.1776,0,0,0.074588,0.0012088,1,0.029,8,0.029,0
0.076116,2.1584,0,0,0.076116,0.0012504,1,0.03,8,0.03,0
0.077644,2.1391,0,0,0.077644,0.0012921,1,0.031,8,0.031,0
0.079172,2.1198,0,0,0.079172,0.0013338,1,0.032,8,0.032,0
0.0807,2.1005,0,0,0.0807,0.0013755,1,0.033,8,0.033,0
0.08222,2.0791,0,0,0.08222,0.001417,1,0.034,8,0.034,0
0.083711,2.0498,0,0,0.083711,0.0014577,1,0.035,8,0.035,0
0.085203,2.0204,0,0,0.085203,0.0014984,1,0.036,8,0.036,0
0.086695,1.9911,0,0,0.086695,0.0015392,1,0.037,8,0.037,0
0.088186,1.9618,0,0,0.088186,0.0015799,1,0.038,8,0.038,0
0.089678,1.9325,0,0,0.089678,0.0016207,1,0.039,8,0.039,0
0.091169,1.9032,0,0,0.091169,0.0016614,1,0.04,8,0.04,0
0.092661,1.8738,0,0,0.092661,0.0017021,1,0.041,8,0.041,0
0.094153,1.8445,0,0,0.094153,0.0017429,1,0.042,8,0.042,0
0.09656,1.8431,0,0,0.09656,0.0018546,1,0.043,8,0.043,0
