"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","Points:0","Points:1","Points:2"
1,0,0,7.875,7.875,0.5,0,1,0
0,0,0,6.8524,6.8524,0.5,1.725,1,0
0,0,0,4.8213,4.8213,0.5,8.275,1,0
0,0,0,4.1234,4.1234,0.5,10,1,0
2.3091,0,0,0.036781,0.036781,0,10,0,0
1,0,0,4.1346,4.1346,0,0,0,0
0,0,0,28.893,28.893,0.5,0.059483,1,0
0,0,0,22.418,22.418,0.5,0.11897,1,0
0,0,0,17.135,17.135,0.5,0.17845,1,0
0,0,0,14.391,14.391,0.5,0.23793,1,0
0,0,0,12.436,12.436,0.5,0.29741,1,0
0,0,0,11.934,11.934,0.5,0.3569,1,0
0,0,0,10.686,10.686,0.5,0.41638,1,0
0,0,0,10.353,10.353,0.5,0.47586,1,0
0,0,0,9.085,9.085,0.5,0.53534,1,0
0,0,0,9.1762,9.1762,0.5,0.59483,1,0
0,0,0,8.6692,8.6692,0.5,0.65431,1,0
0,0,0,8.571,8.571,0.5,0.71379,1,0
0,0,0,7.921,7.921,0.5,0.77328,1,0
0,0,0,7.2546,7.2546,0.5,0.83276,1,0
0,0,0,8.2951,8.2951,0.5,0.89224,1,0
0,0,0,7.4211,7.4211,0.5,0.95172,1,0
0,0,0,6.837,6.837,0.5,1.0112,1,0
0,0,0,6.6323,6.6323,0.5,1.0707,1,0
0,0,0,6.5986,6.5986,0.5,1.1302,1,0
0,0,0,6.7413,6.7413,0.5,1.1897,1,0
0,0,0,6.5089,6.5089,0.5,1.2491,1,0
0,0,0,6.5086,6.5086,0.5,1.3086,1,0
0,0,0,6.4574,6.4574,0.5,1.3681,1,0
0,0,0,6.5429,6.5429,0.5,1.4276,1,0
0,0,0,5.9739,5.9739,0.5,1.4871,1,0
0,0,0,6.0677,6.0677,0.5,1.5466,1,0
0,0,0,5.7268,5.7268,0.5,1.606,1,0
0,0,0,5.9567,5.9567,0.5,1.6655,1,0
0,0,0,5.8947,5.8947,0.5,1.7845,1,0
0,0,0,6.3006,6.3006,0.5,1.8441,1,0
0,0,0,5.5735,5.5735,0.5,1.9036,1,0
