"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.013919,2.657,0,0,0.013919,0,1,0,17,0,0
0.015673,2.6474,0,0,0.015673,8.9864e-05,1,0.001,17,0.001,0
0.017428,2.6379,0,0,0.017428,0.00017973,1,0.002,17,0.002,0
0.019182,2.6284,0,0,0.019182,0.00026959,1,0.003,17,0.003,0
0.020936,2.6189,0,0,0.020936,0.00035945,1,0.004,17,0.004,0
0.02269,2.6094,0,0,0.02269,0.00044932,1,0.005,17,0.005,0
0.024444,2.5999,0,0,0.024444,0.00053918,1,0.006,17,0.006,0
0.026198,2.5903,0,0,0.026198,0.00062905,1,0.007,17,0.007,0
0.027952,2.5808,0,0,0.027952,0.00071891,1,0.008,17,0.008,0
0.029706,2.5713,0,0,0.029706,0.00080877,1,0.009,17,0.009,0
0.03146,2.5618,0,0,0.03146,0.00089864,1,0.01,17,0.01,0
0.033214,2.5523,0,0,0.033214,0.0009885,1,0.011,17,0.011,0
0.034968,2.5428,0,0,0.034968,0.0010784,1,0.012,17,0.012,0
0.036723,2.5333,0,0,0.036723,0.0011682,1,0.013,17,0.013,0
0.038477,2.5237,0,0,0.038477,0.0012581,1,0.014,17,0.014,0
0.040231,2.5142,0,0,0.040231,0.001348,1,0.015,17,0.015,0
0.041985,2.5047,0,0,0.041985,0.0014378,1,0.016,17,0.016,0
0.043739,2.4952,0,0,0.043739,0.0015277,1,0.017,17,0.017,0
0.045493,2.4857,0,0,0.045493,0.0016175,1,0.018,17,0.018,0
0.047247,2.4762,0,0,0.047247,0.0017074,1,0.019,17,0.019,0
0.049001,2.4666,0,0,0.049001,0.0017973,1,0.02,17,0.02,0
0.050755,2.4571,0,0,0.050755,0.0018871,1,0.021,17,0.021,0
0.052509,2.4476,0,0,0.052509,0.001977,1,0.022,17,0.022,0
0.054264,2.4381,0,0,0.054264,0.0020669,1,0.023,17,0.023,0
0.056018,2.4286,0,0,0.056018,0.0021567,1,0.024,17,0.024,0
0.057772,2.4191,0,0,0.057772,0.0022466,1,0.025,17,0.025,0
0.059526,2.4096,0,0,0.059526,0.0023365,1,0.026,17,0.026,0
0.06128,2.4,0,0,0.06128,0.0024263,1,0.027,17,0.027,0
0.063034,2.3905,0,0,0.063034,0.0025162,1,0.028,17,0.028,0
0.064788,2.381,0,0,0.064788,0.002606,1,0.029,17,0.029,0
0.066542,2.3715,0,0,0.066542,0.0026959,1,0.03,17,0.03,0
0.068296,2.362,0,0,0.068296,0.0027858,1,0.031,17,0.031,0
0.07005,2.3525,0,0,0.07005,0.0028756,1,0.032,17,0.032,0
0.071805,2.3429,0,0,0.071805,0.0029655,1,0.033,17,0.033,0
0.073559,2.3334,0,0,0.073559,0.0030554,1,0.034,17,0.034,0
0.075313,2.3239,0,0,0.075313,0.0031452,1,0.035,17,0.035,0
0.077067,2.3144,0,0,0.077067,0.0032351,1,0.036,17,0.036,0
0.078821,2.3049,0,0,0.078821,0.003325,1,0.037,17,0.037,0
0.080575,2.2954,0,0,0.080575,0.0034148,1,0.038,17,0.038,0
0.082329,2.2859,0,0,0.082329,0.0035047,1,0.039,17,0.039,0
0.084083,2.2763,0,0,0.084083,0.0035945,1,0.04,17,0.04,0
0.085837,2.2668,0,0,0.085837,0.0036844,1,0.041,17,0.041,0
0.087591,2.2573,0,0,0.087591,0.0037743,1,0.042,17,0.042,0
0.089345,2.2478,0,0,0.089345,0.0038641,1,0.043,17,0.043,0
0.0911,2.2383,0,0,0.0911,0.003954,1,0.044,17,0.044,0
0.092854,2.2288,0,0,0.092854,0.0040439,1,0.045,17,0.045,0
0.094608,2.2192,0,0,0.094608,0.0041337,1,0.046,17,0.046,0
0.096362,2.2097,0,0,0.096362,0.0042236,1,0.047,17,0.047,0
0.098116,2.2002,0,0,0.098116,0.0043135,1,0.048,17,0.048,0
0.09987,2.1907,0,0,0.09987,0.0044033,1,0.049,17,0.049,0
0.10162,2.1812,0,0,0.10162,0.0044932,1,0.05,17,0.05,0
0.10338,2.1717,0,0,0.10338,0.004583,1,0.051,17,0.051,0
0.10513,2.1622,0,0,0.10513,0.0046729,1,0.052,17,0.052,0
0.10689,2.1526,0,0,0.10689,0.0047628,1,0.053,17,0.053,0
0.10864,2.1431,0,0,0.10864,0.0048526,1,0.054,17,0.054,0
0.11039,2.1336,0,0,0.11039,0.0049425,1,0.055,17,0.055,0
0.11215,2.1241,0,0,0.11215,0.0050324,1,0.056,17,0.056,0
0.1139,2.1146,0,0,0.1139,0.0051222,1,0.057,17,0.057,0
0.11566,2.1051,0,0,0.11566,0.0052121,1,0.058,17,0.058,0
0.11741,2.0955,0,0,0.11741,0.005302,1,0.059,17,0.059,0
0.11917,2.086,0,0,0.11917,0.0053918,1,0.06,17,0.06,0
0.12092,2.0765,0,0,0.12092,0.0054817,1,0.061,17,0.061,0
0.12267,2.067,0,0,0.12267,0.0055716,1,0.062,17,0.062,0
0.12443,2.0575,0,0,0.12443,0.0056614,1,0.063,17,0.063,0
0.12618,2.048,0,0,0.12618,0.0057513,1,0.064,17,0.064,0
0.12794,2.0385,0,0,0.12794,0.0058411,1,0.065,17,0.065,0
0.12969,2.0289,0,0,0.12969,0.005931,1,0.066,17,0.066,0
0.13144,2.0194,0,0,0.13144,0.0060209,1,0.067,17,0.067,0
0.1332,2.0099,0,0,0.1332,0.0061107,1,0.068,17,0.068,0
0.13495,2.0004,0,0,0.13495,0.0062006,1,0.069,17,0.069,0
0.13671,1.9909,0,0,0.13671,0.0062905,1,0.07,17,0.07,0
0.13846,1.9814,0,0,0.13846,0.0063803,1,0.071,17,0.071,0
0.14021,1.9718,0,0,0.14021,0.0064702,1,0.072,17,0.072,0
0.14197,1.9623,0,0,0.14197,0.0065601,1,0.073,17,0.073,0
0.14372,1.9528,0,0,0.14372,0.0066499,1,0.074,17,0.074,0
0.14548,1.9433,0,0,0.14548,0.0067398,1,0.075,17,0.075,0
0.14723,1.9338,0,0,0.14723,0.0068296,1,0.076,17,0.076,0
0.14898,1.9243,0,0,0.14898,0.0069195,1,0.077,17,0.077,0
0.15074,1.9148,0,0,0.15074,0.0070094,1,0.078,17,0.078,0
0.15249,1.9052,0,0,0.15249,0.0070992,1,0.079,17,0.079,0
0.15425,1.8957,0,0,0.15425,0.0071891,1,0.08,17,0.08,0
0.156,1.8862,0,0,0.156,0.007279,1,0.081,17,0.081,0
0.15776,1.8767,0,0,0.15776,0.0073688,1,0.082,17,0.082,0
0.15951,1.8672,0,0,0.15951,0.0074587,1,0.083,17,0.083,0
0.16126,1.8577,0,0,0.16126,0.0075486,1,0.084,17,0.084,0
0.16302,1.8481,0,0,0.16302,0.0076384,1,0.085,17,0.085,0
0.16477,1.8386,0,0,0.16477,0.0077283,1,0.086,17,0.086,0
0.16653,1.8291,0,0,0.16653,0.0078181,1,0.087,17,0.087,0
0.16828,1.8196,0,0,0.16828,0.007908,1,0.088,17,0.088,0
0.17003,1.8101,0,0,0.17003,0.0079979,1,0.089,17,0.089,0
0.17179,1.8006,0,0,0.17179,0.0080877,1,0.09,17,0.09,0
0.17354,1.7911,0,0,0.17354,0.0081776,1,0.091,17,0.091,0
0.17521,1.7804,0,0,0.17521,0.0082631,1,0.092,17,0.092,0
0.17685,1.7695,0,0,0.17685,0.0083476,1,0.093,17,0.093,0
0.1785,1.7587,0,0,0.1785,0.0084321,1,0.094,17,0.094,0
0.18014,1.7478,0,0,0.18014,0.0085166,1,0.095,17,0.095,0
0.18179,1.7369,0,0,0.18179,0.0086011,1,0.096,17,0.096,0
0.18343,1.726,0,0,0.18343,0.0086856,1,0.097,17,0.097,0
0.18508,1.7152,0,0,0.18508,0.0087702,1,0.098,17,0.098,0
0.18672,1.7043,0,0,0.18672,0.0088547,1,0.099,17,0.099,0
0.18837,1.6934,0,0,0.18837,0.0089392,1,0.1,17,0.1,0
0.19001,1.6825,0,0,0.19001,0.0090237,1,0.101,17,0.101,0
0.19257,1.6791,0,0,0.19257,0.0091862,1,0.102,17,0.102,0
0.19588,1.6817,0,0,0.19588,0.0094135,1,0.103,17,0.103,0
0.19919,1.6844,0,0,0.19919,0.0096408,1,0.104,17,0.104,0
0.2025,1.6871,0,0,0.2025,0.0098681,1,0.105,17,0.105,0
0.20582,1.6897,0,0,0.20582,0.010095,1,0.106,17,0.106,0
0.20913,1.6924,0,0,0.20913,0.010323,1,0.107,17,0.107,0
0.21263,1.6941,0,0,0.21263,0.010607,1,0.108,17,0.108,0
0.2162,1.6956,0,0,0.2162,0.010913,1,0.109,17,0.109,0
0.21978,1.697,0,0,0.21978,0.011219,1,0.11,17,0.11,0
0.22335,1.6984,0,0,0.22335,0.011525,1,0.111,17,0.111,0
0.22692,1.6998,0,0,0.22692,0.011831,1,0.112,17,0.112,0
0.2305,1.7012,0,0,0.2305,0.012136,1,0.113,17,0.113,0
0.23407,1.7026,0,0,0.23407,0.012442,1,0.114,17,0.114,0
0.23764,1.704,0,0,0.23764,0.012748,1,0.115,17,0.115,0
0.24121,1.7054,0,0,0.24121,0.013054,1,0.116,17,0.116,0
0.24479,1.7069,0,0,0.24479,0.01336,1,0.117,17,0.117,0
0.24836,1.7083,0,0,0.24836,0.013666,1,0.118,17,0.118,0
0.25193,1.7097,0,0,0.25193,0.013972,1,0.119,17,0.119,0
0.25551,1.7111,0,0,0.25551,0.014278,1,0.12,17,0.12,0
0.25908,1.7125,0,0,0.25908,0.014584,1,0.121,17,0.121,0
0.26265,1.7139,0,0,0.26265,0.014889,1,0.122,17,0.122,0
0.26623,1.7153,0,0,0.26623,0.015195,1,0.123,17,0.123,0
0.2698,1.7168,0,0,0.2698,0.015501,1,0.124,17,0.124,0
0.27337,1.7182,0,0,0.27337,0.015807,1,0.125,17,0.125,0
0.27695,1.7196,0,0,0.27695,0.016113,1,0.126,17,0.126,0
0.28052,1.721,0,0,0.28052,0.016419,1,0.127,17,0.127,0
0.28409,1.7224,0,0,0.28409,0.016725,1,0.128,17,0.128,0
0.28767,1.7238,0,0,0.28767,0.017031,1,0.129,17,0.129,0
0.29124,1.7252,0,0,0.29124,0.017337,1,0.13,17,0.13,0
0.29481,1.7266,0,0,0.29481,0.017643,1,0.131,17,0.131,0
0.29839,1.7281,0,0,0.29839,0.017948,1,0.132,17,0.132,0
0.30196,1.7295,0,0,0.30196,0.018254,1,0.133,17,0.133,0
0.30553,1.7309,0,0,0.30553,0.01856,1,0.134,17,0.134,0
0.30911,1.7323,0,0,0.30911,0.018866,1,0.135,17,0.135,0
0.31268,1.7337,0,0,0.31268,0.019172,1,0.136,17,0.136,0
0.31625,1.7351,0,0,0.31625,0.019478,1,0.137,17,0.137,0
0.31983,1.7365,0,0,0.31983,0.019784,1,0.138,17,0.138,0
0.3234,1.738,0,0,0.3234,0.02009,1,0.139,17,0.139,0
0.32697,1.7394,0,0,0.32697,0.020396,1,0.14,17,0.14,0
0.33055,1.7408,0,0,0.33055,0.020701,1,0.141,17,0.141,0
0.33412,1.7422,0,0,0.33412,0.021007,1,0.142,17,0.142,0
0.33769,1.7436,0,0,0.33769,0.021313,1,0.143,17,0.143,0
0.34127,1.745,0,0,0.34127,0.021619,1,0.144,17,0.144,0
0.34484,1.7464,0,0,0.34484,0.021925,1,0.145,17,0.145,0
0.34841,1.7478,0,0,0.34841,0.022231,1,0.146,17,0.146,0
0.35199,1.7493,0,0,0.35199,0.022537,1,0.147,17,0.147,0
0.35556,1.7507,0,0,0.35556,0.022843,1,0.148,17,0.148,0
0.35913,1.7521,0,0,0.35913,0.023149,1,0.149,17,0.149,0
0.36271,1.7535,0,0,0.36271,0.023454,1,0.15,17,0.15,0
0.36628,1.7549,0,0,0.36628,0.02376,1,0.151,17,0.151,0
0.36985,1.7563,0,0,0.36985,0.024066,1,0.152,17,0.152,0
0.37343,1.7577,0,0,0.37343,0.024372,1,0.153,17,0.153,0
0.377,1.7592,0,0,0.377,0.024678,1,0.154,17,0.154,0
0.38057,1.7606,0,0,0.38057,0.024984,1,0.155,17,0.155,0
0.38414,1.762,0,0,0.38414,0.02529,1,0.156,17,0.156,0
0.38772,1.7634,0,0,0.38772,0.025596,1,0.157,17,0.157,0
0.39129,1.7648,0,0,0.39129,0.025902,1,0.158,17,0.158,0
0.39486,1.7662,0,0,0.39486,0.026208,1,0.159,17,0.159,0
0.39844,1.7676,0,0,0.39844,0.026513,1,0.16,17,0.16,0
0.40201,1.769,0,0,0.40201,0.026819,1,0.161,17,0.161,0
0.40558,1.7705,0,0,0.40558,0.027125,1,0.162,17,0.162,0
0.40916,1.7719,0,0,0.40916,0.027431,1,0.163,17,0.163,0
0.41273,1.7733,0,0,0.41273,0.027737,1,0.164,17,0.164,0
0.4163,1.7747,0,0,0.4163,0.028043,1,0.165,17,0.165,0
0.41988,1.7761,0,0,0.41988,0.028349,1,0.166,17,0.166,0
0.42345,1.7775,0,0,0.42345,0.028655,1,0.167,17,0.167,0
