"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.032613,2.6648,0,0,0.032613,0,1,0,9,0,0
0.03431,2.6479,0,0,0.03431,4.1933e-05,1,0.001,9,0.001,0
0.036007,2.631,0,0,0.036007,8.3866e-05,1,0.002,9,0.002,0
0.037704,2.6142,0,0,0.037704,0.0001258,1,0.003,9,0.003,0
0.039401,2.5973,0,0,0.039401,0.00016773,1,0.004,9,0.004,0
0.041098,2.5805,0,0,0.041098,0.00020966,1,0.005,9,0.005,0
0.042795,2.5636,0,0,0.042795,0.0002516,1,0.006,9,0.006,0
0.044492,2.5468,0,0,0.044492,0.00029353,1,0.007,9,0.007,0
0.046189,2.5299,0,0,0.046189,0.00033546,1,0.008,9,0.008,0
0.047886,2.513,0,0,0.047886,0.0003774,1,0.009,9,0.009,0
0.049583,2.4962,0,0,0.049583,0.00041933,1,0.01,9,0.01,0
0.05128,2.4793,0,0,0.05128,0.00046126,1,0.011,9,0.011,0
0.052977,2.4625,0,0,0.052977,0.00050319,1,0.012,9,0.012,0
0.054674,2.4456,0,0,0.054674,0.00054513,1,0.013,9,0.013,0
0.056371,2.4287,0,0,0.056371,0.00058706,1,0.014,9,0.014,0
0.058068,2.4119,0,0,0.058068,0.00062899,1,0.015,9,0.015,0
0.059765,2.395,0,0,0.059765,0.00067092,1,0.016,9,0.016,0
0.061462,2.3782,0,0,0.061462,0.00071286,1,0.017,9,0.017,0
0.063159,2.3613,0,0,0.063159,0.00075479,1,0.018,9,0.018,0
0.064856,2.3445,0,0,0.064856,0.00079672,1,0.019,9,0.019,0
0.066553,2.3276,0,0,0.066553,0.00083866,1,0.02,9,0.02,0
0.06825,2.3107,0,0,0.06825,0.00088059,1,0.021,9,0.021,0
0.069947,2.2939,0,0,0.069947,0.00092252,1,0.022,9,0.022,0
0.071665,2.2722,0,0,0.071665,0.00096337,1,0.023,9,0.023,0
0.073399,2.247,0,0,0.073399,0.0010034,1,0.024,9,0.024,0
0.075134,2.2219,0,0,0.075134,0.0010435,1,0.025,9,0.025,0
0.076868,2.1967,0,0,0.076868,0.0010836,1,0.026,9,0.026,0
0.078602,2.1716,0,0,0.078602,0.0011237,1,0.027,9,0.027,0
0.080336,2.1464,0,0,0.080336,0.0011637,1,0.028,9,0.028,0
0.082071,2.1213,0,0,0.082071,0.0012038,1,0.029,9,0.029,0
0.083805,2.0961,0,0,0.083805,0.0012439,1,0.03,9,0.03,0
0.085539,2.0709,0,0,0.085539,0.0012839,1,0.031,9,0.031,0
0.087273,2.0458,0,0,0.087273,0.001324,1,0.032,9,0.032,0
0.089007,2.0206,0,0,0.089007,0.0013641,1,0.033,9,0.033,0
0.090742,1.9955,0,0,0.090742,0.0014042,1,0.034,9,0.034,0
0.092476,1.9703,0,0,0.092476,0.0014442,1,0.035,9,0.035,0
0.09421,1.9452,0,0,0.09421,0.0014843,1,0.036,9,0.036,0
0.095944,1.92,0,0,0.095944,0.0015244,1,0.037,9,0.037,0
0.097679,1.8948,0,0,0.097679,0.0015644,1,0.038,9,0.038,0
0.099413,1.8697,0,0,0.099413,0.0016045,1,0.039,9,0.039,0
0.10115,1.8445,0,0,0.10115,0.0016446,1,0.04,9,0.04,0
0.10288,1.8194,0,0,0.10288,0.0016847,1,0.041,9,0.041,0
0.10462,1.7942,0,0,0.10462,0.0017247,1,0.042,9,0.042,0
0.10635,1.7691,0,0,0.10635,0.0017648,1,0.043,9,0.043,0
0.10871,1.7616,0,0,0.10871,0.001848,1,0.044,9,0.044,0
0.1115,1.7662,0,0,0.1115,0.0019609,1,0.045,9,0.045,0
0.11428,1.7709,0,0,0.11428,0.0020738,1,0.046,9,0.046,0
0.11707,1.7755,0,0,0.11707,0.0021867,1,0.047,9,0.047,0
0.11986,1.7802,0,0,0.11986,0.0022996,1,0.048,9,0.048,0
0.12265,1.7848,0,0,0.12265,0.0024125,1,0.049,9,0.049,0
0.12544,1.7895,0,0,0.12544,0.0025253,1,0.05,9,0.05,0
0.12822,1.7941,0,0,0.12822,0.0026382,1,0.051,9,0.051,0
0.13101,1.7988,0,0,0.13101,0.0027511,1,0.052,9,0.052,0
0.1338,1.8034,0,0,0.1338,0.002864,1,0.053,9,0.053,0
0.13659,1.8081,0,0,0.13659,0.0029769,1,0.054,9,0.054,0
0.13938,1.8127,0,0,0.13938,0.0030898,1,0.055,9,0.055,0
0.14216,1.8174,0,0,0.14216,0.0032026,1,0.056,9,0.056,0
0.14495,1.822,0,0,0.14495,0.0033155,1,0.057,9,0.057,0
0.14774,1.8267,0,0,0.14774,0.0034284,1,0.058,9,0.058,0
0.15053,1.8313,0,0,0.15053,0.0035413,1,0.059,9,0.059,0
0.15332,1.8359,0,0,0.15332,0.0036542,1,0.06,9,0.06,0
0.1561,1.8406,0,0,0.1561,0.0037671,1,0.061,9,0.061,0
0.15889,1.8452,0,0,0.15889,0.0038799,1,0.062,9,0.062,0
0.16168,1.8499,0,0,0.16168,0.0039928,1,0.063,9,0.063,0
0.16458,1.854,0,0,0.16458,0.0041273,1,0.064,9,0.064,0
0.1675,1.858,0,0,0.1675,0.0042649,1,0.065,9,0.065,0
0.17042,1.862,0,0,0.17042,0.0044025,1,0.066,9,0.066,0
0.17334,1.866,0,0,0.17334,0.0045401,1,0.067,9,0.067,0
0.17626,1.87,0,0,0.17626,0.0046777,1,0.068,9,0.068,0
0.17918,1.874,0,0,0.17918,0.0048153,1,0.069,9,0.069,0
0.1821,1.8779,0,0,0.1821,0.0049529,1,0.07,9,0.07,0
0.18502,1.8819,0,0,0.18502,0.0050905,1,0.071,9,0.071,0
0.18794,1.8859,0,0,0.18794,0.0052281,1,0.072,9,0.072,0
0.19086,1.8899,0,0,0.19086,0.0053657,1,0.073,9,0.073,0
0.19378,1.8939,0,0,0.19378,0.0055032,1,0.074,9,0.074,0
0.19671,1.8979,0,0,0.19671,0.0056408,1,0.075,9,0.075,0
0.19963,1.9019,0,0,0.19963,0.0057784,1,0.076,9,0.076,0
0.20255,1.9059,0,0,0.20255,0.005916,1,0.077,9,0.077,0
0.20547,1.9099,0,0,0.20547,0.0060536,1,0.078,9,0.078,0
0.20839,1.9139,0,0,0.20839,0.0061912,1,0.079,9,0.079,0
0.21131,1.9179,0,0,0.21131,0.0063288,1,0.08,9,0.08,0
0.21423,1.9219,0,0,0.21423,0.0064664,1,0.081,9,0.081,0
0.21715,1.9259,0,0,0.21715,0.006604,1,0.082,9,0.082,0
0.22007,1.9299,0,0,0.22007,0.0067416,1,0.083,9,0.083,0
0.22299,1.9339,0,0,0.22299,0.0068792,1,0.084,9,0.084,0
0.22591,1.9379,0,0,0.22591,0.0070168,1,0.085,9,0.085,0
0.22883,1.9419,0,0,0.22883,0.0071544,1,0.086,9,0.086,0
0.23175,1.9459,0,0,0.23175,0.007292,1,0.087,9,0.087,0
0.23459,1.9435,0,0,0.23459,0.0074921,1,0.088,9,0.088,0
0.23743,1.9407,0,0,0.23743,0.0076952,1,0.089,9,0.089,0
0.24027,1.938,0,0,0.24027,0.0078982,1,0.09,9,0.09,0
0.24311,1.9353,0,0,0.24311,0.0081013,1,0.091,9,0.091,0
0.24595,1.9326,0,0,0.24595,0.0083044,1,0.092,9,0.092,0
0.24879,1.9299,0,0,0.24879,0.0085074,1,0.093,9,0.093,0
0.25163,1.9271,0,0,0.25163,0.0087105,1,0.094,9,0.094,0
0.25448,1.9244,0,0,0.25448,0.0089136,1,0.095,9,0.095,0
0.25732,1.9217,0,0,0.25732,0.0091166,1,0.096,9,0.096,0
0.26016,1.919,0,0,0.26016,0.0093197,1,0.097,9,0.097,0
0.263,1.9163,0,0,0.263,0.0095228,1,0.098,9,0.098,0
0.26584,1.9135,0,0,0.26584,0.0097259,1,0.099,9,0.099,0
0.26868,1.9108,0,0,0.26868,0.0099289,1,0.1,9,0.1,0
0.27152,1.9081,0,0,0.27152,0.010132,1,0.101,9,0.101,0
0.27436,1.9054,0,0,0.27436,0.010335,1,0.102,9,0.102,0
0.2772,1.9026,0,0,0.2772,0.010538,1,0.103,9,0.103,0
0.28004,1.8999,0,0,0.28004,0.010741,1,0.104,9,0.104,0
0.28288,1.8972,0,0,0.28288,0.010944,1,0.105,9,0.105,0
0.28572,1.8945,0,0,0.28572,0.011147,1,0.106,9,0.106,0
0.28856,1.8918,0,0,0.28856,0.01135,1,0.107,9,0.107,0
0.2914,1.889,0,0,0.2914,0.011553,1,0.108,9,0.108,0
0.29424,1.8863,0,0,0.29424,0.011757,1,0.109,9,0.109,0
0.29709,1.8836,0,0,0.29709,0.01196,1,0.11,9,0.11,0
0.29993,1.8809,0,0,0.29993,0.012163,1,0.111,9,0.111,0
0.30277,1.8782,0,0,0.30277,0.012366,1,0.112,9,0.112,0
0.30561,1.8754,0,0,0.30561,0.012569,1,0.113,9,0.113,0
0.30845,1.8727,0,0,0.30845,0.012772,1,0.114,9,0.114,0
0.31129,1.87,0,0,0.31129,0.012975,1,0.115,9,0.115,0
0.31413,1.8673,0,0,0.31413,0.013178,1,0.116,9,0.116,0
0.31697,1.8646,0,0,0.31697,0.013381,1,0.117,9,0.117,0
0.31981,1.8618,0,0,0.31981,0.013584,1,0.118,9,0.118,0
0.32265,1.8591,0,0,0.32265,0.013787,1,0.119,9,0.119,0
0.32549,1.8564,0,0,0.32549,0.01399,1,0.12,9,0.12,0
0.32833,1.8537,0,0,0.32833,0.014193,1,0.121,9,0.121,0
0.33117,1.851,0,0,0.33117,0.014396,1,0.122,9,0.122,0
0.33401,1.8482,0,0,0.33401,0.0146,1,0.123,9,0.123,0
0.33686,1.8455,0,0,0.33686,0.014803,1,0.124,9,0.124,0
0.3397,1.8428,0,0,0.3397,0.015006,1,0.125,9,0.125,0
0.34254,1.8401,0,0,0.34254,0.015209,1,0.126,9,0.126,0
0.34538,1.8373,0,0,0.34538,0.015412,1,0.127,9,0.127,0
0.34822,1.8346,0,0,0.34822,0.015615,1,0.128,9,0.128,0
0.35106,1.8319,0,0,0.35106,0.015818,1,0.129,9,0.129,0
0.3539,1.8292,0,0,0.3539,0.016021,1,0.13,9,0.13,0
0.35684,1.8279,0,0,0.35684,0.016265,1,0.131,9,0.131,0
0.35979,1.8268,0,0,0.35979,0.016512,1,0.132,9,0.132,0
0.36273,1.8256,0,0,0.36273,0.016759,1,0.133,9,0.133,0
0.36568,1.8245,0,0,0.36568,0.017007,1,0.134,9,0.134,0
0.36863,1.8233,0,0,0.36863,0.017254,1,0.135,9,0.135,0
0.37157,1.8222,0,0,0.37157,0.017501,1,0.136,9,0.136,0
0.37452,1.8211,0,0,0.37452,0.017748,1,0.137,9,0.137,0
0.37747,1.8199,0,0,0.37747,0.017996,1,0.138,9,0.138,0
0.38042,1.8188,0,0,0.38042,0.018243,1,0.139,9,0.139,0
0.38336,1.8176,0,0,0.38336,0.01849,1,0.14,9,0.14,0
0.38631,1.8165,0,0,0.38631,0.018737,1,0.141,9,0.141,0
0.38929,1.8159,0,0,0.38929,0.018996,1,0.142,9,0.142,0
0.39234,1.8168,0,0,0.39234,0.019288,1,0.143,9,0.143,0
0.3954,1.8178,0,0,0.3954,0.01958,1,0.144,9,0.144,0
0.39846,1.8187,0,0,0.39846,0.019872,1,0.145,9,0.145,0
0.40152,1.8197,0,0,0.40152,0.020164,1,0.146,9,0.146,0
0.40457,1.8206,0,0,0.40457,0.020456,1,0.147,9,0.147,0
0.40763,1.8215,0,0,0.40763,0.020748,1,0.148,9,0.148,0
0.41069,1.8225,0,0,0.41069,0.02104,1,0.149,9,0.149,0
0.41374,1.8234,0,0,0.41374,0.021332,1,0.15,9,0.15,0
0.4168,1.8244,0,0,0.4168,0.021624,1,0.151,9,0.151,0
0.41986,1.8253,0,0,0.41986,0.021916,1,0.152,9,0.152,0
0.42292,1.8263,0,0,0.42292,0.022208,1,0.153,9,0.153,0
0.42597,1.8272,0,0,0.42597,0.0225,1,0.154,9,0.154,0
