"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.032589,2.6656,0,0,0.032589,0,1,0,9,0,0
0.049546,2.4967,0,0,0.049546,0.00041921,1,0.01,9,0.01,0
0.066503,2.3278,0,0,0.066503,0.00083842,1,0.02,9,0.02,0
0.083743,2.0959,0,0,0.083743,0.0012435,1,0.03,9,0.03,0
0.10107,1.8438,0,0,0.10107,0.0016441,1,0.04,9,0.04,0
0.12535,1.7887,0,0,0.12535,0.0025246,1,0.05,9,0.05,0
0.15321,1.8354,0,0,0.15321,0.0036532,1,0.06,9,0.06,0
0.18197,1.8775,0,0,0.18197,0.0049515,1,0.07,9,0.07,0
0.21115,1.9177,0,0,0.21115,0.0063271,1,0.08,9,0.08,0
0.24009,1.9379,0,0,0.24009,0.0078961,1,0.09,9,0.09,0
0.26848,1.9106,0,0,0.26848,0.0099262,1,0.1,9,0.1,0
0.29686,1.8833,0,0,0.29686,0.011956,1,0.11,9,0.11,0
0.32524,1.856,0,0,0.32524,0.013987,1,0.12,9,0.12,0
0.35363,1.8287,0,0,0.35363,0.016017,1,0.13,9,0.13,0
0.38306,1.8171,0,0,0.38306,0.018485,1,0.14,9,0.14,0
0.41341,1.823,0,0,0.41341,0.021326,1,0.15,9,0.15,0
0.44396,1.8326,0,0,0.44396,0.024246,1,0.16,9,0.16,0
0.4745,1.8422,0,0,0.4745,0.027166,1,0.17,9,0.17,0
0.50574,1.8409,0,0,0.50574,0.030429,1,0.18,9,0.18,0
0.53745,1.832,0,0,0.53745,0.033931,1,0.19,9,0.19,0
0.56938,1.825,0,0,0.56938,0.037492,1,0.2,9,0.2,0
0.60133,1.8184,0,0,0.60133,0.041064,1,0.21,9,0.21,0
0.63413,1.8126,0,0,0.63413,0.044989,1,0.22,9,0.22,0
0.66778,1.8076,0,0,0.66778,0.049273,1,0.23,9,0.23,0
0.70143,1.8027,0,0,0.70143,0.053558,1,0.24,9,0.24,0
0.73508,1.7978,0,0,0.73508,0.057842,1,0.25,9,0.25,0
0.76874,1.7929,0,0,0.76874,0.062129,1,0.26,9,0.26,0
0.80418,1.7848,0,0,0.80418,0.0671,1,0.27,9,0.27,0
0.83963,1.7768,0,0,0.83963,0.072073,1,0.28,9,0.28,0
0.87507,1.7687,0,0,0.87507,0.077045,1,0.29,9,0.29,0
0.91052,1.7607,0,0,0.91052,0.082017,1,0.3,9,0.3,0
0.94788,1.7483,0,0,0.94788,0.087546,1,0.31,9,0.31,0
0.98554,1.7353,0,0,0.98554,0.093161,1,0.32,9,0.32,0
1.0232,1.7222,0,0,1.0232,0.098776,1,0.33,9,0.33,0
1.0608,1.7092,0,0,1.0608,0.10439,1,0.34,9,0.34,0
1.0985,1.697,0,0,1.0985,0.11,1,0.35,9,0.35,0
1.1384,1.6856,0,0,1.1384,0.11616,1,0.36,9,0.36,0
1.1791,1.672,0,0,1.1791,0.12255,1,0.37,9,0.37,0
1.2198,1.659,0,0,1.2198,0.12892,1,0.38,9,0.38,0
1.2604,1.6466,0,0,1.2604,0.13529,1,0.39,9,0.39,0
1.3011,1.6342,0,0,1.3011,0.14165,1,0.4,9,0.4,0
1.3417,1.6218,0,0,1.3417,0.14801,1,0.41,9,0.41,0
1.3847,1.6082,0,0,1.3847,0.15487,1,0.42,9,0.42,0
1.4281,1.595,0,0,1.4281,0.1618,1,0.43,9,0.43,0
1.4715,1.5822,0,0,1.4715,0.16873,1,0.44,9,0.44,0
1.5149,1.5693,0,0,1.5149,0.17566,1,0.45,9,0.45,0
1.5586,1.5562,0,0,1.5586,0.18265,1,0.46,9,0.46,0
1.6042,1.5414,0,0,1.6042,0.18998,1,0.47,9,0.47,0
1.6498,1.5261,0,0,1.6498,0.19731,1,0.48,9,0.48,0
1.6954,1.5095,0,0,1.6954,0.20463,1,0.49,9,0.49,0
1.741,1.4928,0,0,1.741,0.21195,1,0.5,9,0.5,0
1.7876,1.4747,0,0,1.7876,0.21941,1,0.51,9,0.51,0
1.8351,1.4554,0,0,1.8351,0.227,1,0.52,9,0.52,0
1.8825,1.4361,0,0,1.8825,0.23459,1,0.53,9,0.53,0
1.93,1.4168,0,0,1.93,0.24218,1,0.54,9,0.54,0
1.9777,1.3966,0,0,1.9777,0.24979,1,0.55,9,0.55,0
2.0265,1.3757,0,0,2.0265,0.25751,1,0.56,9,0.56,0
2.0753,1.3547,0,0,2.0753,0.26524,1,0.57,9,0.57,0
2.1242,1.3337,0,0,2.1242,0.27297,1,0.58,9,0.58,0
2.1731,1.3127,0,0,2.1731,0.2807,1,0.59,9,0.59,0
2.2225,1.2901,0,0,2.2225,0.28842,1,0.6,9,0.6,0
2.2722,1.2666,0,0,2.2722,0.29615,1,0.61,9,0.61,0
2.3219,1.2432,0,0,2.3219,0.30387,1,0.62,9,0.62,0
2.3716,1.2197,0,0,2.3716,0.3116,1,0.63,9,0.63,0
2.4213,1.1962,0,0,2.4213,0.31932,1,0.64,9,0.64,0
2.4714,1.1714,0,0,2.4714,0.32689,1,0.65,9,0.65,0
2.5216,1.1464,0,0,2.5216,0.33443,1,0.66,9,0.66,0
2.5717,1.1213,0,0,2.5717,0.34197,1,0.67,9,0.67,0
2.6219,1.0963,0,0,2.6219,0.34952,1,0.68,9,0.68,0
2.672,1.0701,0,0,2.672,0.35696,1,0.69,9,0.69,0
2.722,1.0418,0,0,2.722,0.36422,1,0.7,9,0.7,0
2.772,1.0134,0,0,2.772,0.37147,1,0.71,9,0.71,0
2.822,0.9851,0,0,2.822,0.37873,1,0.72,9,0.72,0
2.872,0.95703,0,0,2.872,0.38592,1,0.73,9,0.73,0
2.9216,0.92793,0,0,2.9216,0.39277,1,0.74,9,0.74,0
2.9706,0.89663,0,0,2.9706,0.3993,1,0.75,9,0.75,0
3.0196,0.86532,0,0,3.0196,0.40582,1,0.76,9,0.76,0
3.0686,0.83478,0,0,3.0686,0.41239,1,0.77,9,0.77,0
3.1177,0.80446,0,0,3.1177,0.41897,1,0.78,9,0.78,0
3.1668,0.77413,0,0,3.1668,0.42556,1,0.79,9,0.79,0
3.2153,0.74473,0,0,3.2153,0.43177,1,0.8,9,0.8,0
3.2622,0.71112,0,0,3.2622,0.43712,1,0.81,9,0.81,0
3.309,0.6775,0,0,3.309,0.44248,1,0.82,9,0.82,0
3.3558,0.64388,0,0,3.3558,0.44784,1,0.83,9,0.83,0
3.4026,0.61027,0,0,3.4026,0.4532,1,0.84,9,0.84,0
3.4495,0.57665,0,0,3.4495,0.45856,1,0.85,9,0.85,0
3.4963,0.54304,0,0,3.4963,0.46391,1,0.86,9,0.86,0
3.5438,0.50796,0,0,3.5438,0.46861,1,0.87,9,0.87,0
3.5904,0.47274,0,0,3.5904,0.47218,1,0.88,9,0.88,0
3.6363,0.43695,0,0,3.6363,0.47576,1,0.89,9,0.89,0
3.6823,0.40115,0,0,3.6823,0.47933,1,0.9,9,0.9,0
3.7283,0.36536,0,0,3.7283,0.48291,1,0.91,9,0.91,0
3.7743,0.32956,0,0,3.7743,0.48649,1,0.92,9,0.92,0
3.8203,0.29376,0,0,3.8203,0.49007,1,0.93,9,0.93,0
3.8534,0.25314,0,0,3.8534,0.49246,1,0.94,9,0.94,0
3.8861,0.21093,0,0,3.8861,0.49444,1,0.95,9,0.95,0
3.9483,0.16736,0,0,3.9483,0.49585,1,0.96,9,0.96,0
4.0024,0.12423,0,0,4.0024,0.49717,1,0.97,9,0.97,0
4.0243,0.082817,0,0,4.0243,0.49811,1,0.98,9,0.98,0
4.0463,0.041409,0,0,4.0463,0.49906,1,0.99,9,0.99,0
4.0683,0,0,0,4.0683,0.5,1,1,9,1,0
