"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.1028,0,0,0,2.1028,0,1,0,0.5,0,0
1.9424,-0.016903,-0.0003054,0,1.9424,-0.00015667,1,0.01,0.5,0.01,0
1.7821,-0.033805,-0.0006108,0,1.7821,-0.00031334,1,0.02,0.5,0.02,0
1.7296,-0.049854,-0.0015961,0,1.7296,-0.00077253,1,0.03,0.5,0.03,0
1.7336,-0.065353,-0.0029618,0,1.7336,-0.0014023,1,0.04,0.5,0.04,0
1.7375,-0.080852,-0.0043275,0,1.7375,-0.002032,1,0.05,0.5,0.05,0
1.7549,-0.099529,-0.0058072,0,1.7549,-0.0028043,1,0.06,0.5,0.06,0
1.8196,-0.1213,-0.0076273,0,1.8196,-0.004067,1,0.07,0.5,0.07,0
1.8872,-0.143,-0.009734,0,1.8872,-0.0053345,1,0.08,0.5,0.08,0
1.9214,-0.16523,-0.01098,0,1.9214,-0.0068347,1,0.09,0.5,0.09,0
1.9122,-0.18811,-0.012257,0,1.9122,-0.0086312,1,0.1,0.5,0.1,0
1.87,-0.21117,-0.015459,0,1.87,-0.010601,1,0.11,0.5,0.11,0
1.7598,-0.23455,-0.0163,0,1.7598,-0.012882,1,0.12,0.5,0.12,0
1.6305,-0.25822,-0.016465,0,1.6305,-0.015221,1,0.13,0.5,0.13,0
1.3912,-0.27864,-0.018121,0,1.3912,-0.018009,1,0.14,0.5,0.14,0
1.1223,-0.29706,-0.018713,0,1.1223,-0.020908,1,0.15,0.5,0.15,0
0.83563,-0.31453,-0.017689,0,0.83563,-0.023871,1,0.16,0.5,0.16,0
0.46834,-0.33052,-0.01537,0,0.46834,-0.027165,1,0.17,0.5,0.17,0
0.098547,-0.34416,-0.013395,0,0.098547,-0.0305,1,0.18,0.5,0.18,0
-0.28152,-0.35188,-0.011895,0,-0.28152,-0.033963,1,0.19,0.5,0.19,0
-0.67369,-0.35434,-0.010513,0,-0.67369,-0.037556,1,0.2,0.5,0.2,0
-1.0659,-0.35681,-0.0091548,0,-1.0659,-0.041147,1,0.21,0.5,0.21,0
-1.4,-0.35584,-0.0082013,0,-1.4,-0.044686,1,0.22,0.5,0.22,0
-1.6723,-0.35126,-0.0069465,0,-1.6723,-0.048177,1,0.23,0.5,0.23,0
-1.9446,-0.34667,-0.0056917,0,-1.9446,-0.051668,1,0.24,0.5,0.24,0
-2.111,-0.33608,-0.004787,0,-2.111,-0.055087,1,0.25,0.5,0.25,0
-2.2554,-0.32504,-0.0037625,0,-2.2554,-0.058443,1,0.26,0.5,0.26,0
-2.322,-0.31417,-0.0023915,0,-2.322,-0.061604,1,0.27,0.5,0.27,0
-2.3491,-0.30352,-0.00098027,0,-2.3491,-0.0647,1,0.28,0.5,0.28,0
-2.3542,-0.29125,-0.00011882,0,-2.3542,-0.067686,1,0.29,0.5,0.29,0
-2.3256,-0.27649,-0.00017561,0,-2.3256,-0.070505,1,0.3,0.5,0.3,0
-2.2848,-0.26374,0.00068985,0,-2.2848,-0.073211,1,0.31,0.5,0.31,0
-2.2313,-0.25274,0.0029406,0,-2.2313,-0.075787,1,0.32,0.5,0.32,0
-2.1795,-0.24167,0.0038722,0,-2.1795,-0.078245,1,0.33,0.5,0.33,0
-2.1291,-0.23052,0.0037443,0,-2.1291,-0.08061,1,0.34,0.5,0.34,0
-2.0789,-0.21953,0.004111,0,-2.0789,-0.082933,1,0.35,0.5,0.35,0
-2.047,-0.2097,0.0051065,0,-2.047,-0.085025,1,0.36,0.5,0.36,0
-2.0149,-0.19984,0.0061923,0,-2.0149,-0.087104,1,0.37,0.5,0.37,0
-1.9939,-0.19005,0.0072731,0,-1.9939,-0.089029,1,0.38,0.5,0.38,0
-1.98,-0.18006,0.0084892,0,-1.98,-0.090865,1,0.39,0.5,0.39,0
-1.9739,-0.17095,0.009039,0,-1.9739,-0.092613,1,0.4,0.5,0.4,0
-1.9696,-0.16209,0.0095357,0,-1.9696,-0.094325,1,0.41,0.5,0.41,0
-1.9708,-0.15266,0.010905,0,-1.9708,-0.095858,1,0.42,0.5,0.42,0
-1.9724,-0.14257,0.01292,0,-1.9724,-0.097323,1,0.43,0.5,0.43,0
-1.9765,-0.13281,0.015103,0,-1.9765,-0.098704,1,0.44,0.5,0.44,0
-1.9805,-0.12355,0.016834,0,-1.9805,-0.10001,1,0.45,0.5,0.45,0
-1.9842,-0.11434,0.018105,0,-1.9842,-0.10118,1,0.46,0.5,0.46,0
-1.9882,-0.10488,0.018922,0,-1.9882,-0.10227,1,0.47,0.5,0.47,0
-1.9916,-0.094899,0.019702,0,-1.9916,-0.10328,1,0.48,0.5,0.48,0
-1.9943,-0.084222,0.020713,0,-1.9943,-0.10418,1,0.49,0.5,0.49,0
-1.9969,-0.073545,0.021725,0,-1.9969,-0.10509,1,0.5,0.5,0.5,0
-1.9979,-0.064875,0.02267,0,-1.9979,-0.10568,1,0.51,0.5,0.51,0
-1.9989,-0.056205,0.023614,0,-1.9989,-0.10626,1,0.52,0.5,0.52,0
-1.9999,-0.047535,0.024558,0,-1.9999,-0.10685,1,0.53,0.5,0.53,0
-2.0002,-0.037379,0.025977,0,-2.0002,-0.10725,1,0.54,0.5,0.54,0
-2.0001,-0.026228,0.027725,0,-2.0001,-0.10752,1,0.55,0.5,0.55,0
-2,-0.015076,0.029473,0,-2,-0.10779,1,0.56,0.5,0.56,0
-1.9996,-0.005017,0.030766,0,-1.9996,-0.10785,1,0.57,0.5,0.57,0
