"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.77267,0,0,0,0.77267,0,1,0,0.5,0,0
0.69445,-0.0063521,-1.3622e-05,0,0.69445,-6.2986e-05,1,0.01,0.5,0.01,0
0.61623,-0.012704,-2.7244e-05,0,0.61623,-0.00012597,1,0.02,0.5,0.02,0
0.56428,-0.017846,4.4061e-05,0,0.56428,-0.00028782,1,0.03,0.5,0.03,0
0.52575,-0.022278,0.00016175,0,0.52575,-0.00050532,1,0.04,0.5,0.04,0
0.48722,-0.02671,0.00027943,0,0.48722,-0.00072282,1,0.05,0.5,0.05,0
0.45496,-0.031709,0.00033436,0,0.45496,-0.00097404,1,0.06,0.5,0.06,0
0.43197,-0.036287,0.00030872,0,0.43197,-0.0013521,1,0.07,0.5,0.07,0
0.40883,-0.040799,0.00020364,0,0.40883,-0.0017327,1,0.08,0.5,0.08,0
0.38765,-0.04488,0.00022019,0,0.38765,-0.0021553,1,0.09,0.5,0.09,0
0.36888,-0.04845,0.00023193,0,0.36888,-0.0026336,1,0.1,0.5,0.1,0
0.35095,-0.052197,-3.0706e-05,0,0.35095,-0.0031479,1,0.11,0.5,0.11,0
0.33432,-0.056939,3.2605e-05,0,0.33432,-0.0037127,1,0.12,0.5,0.12,0
0.31817,-0.061761,0.00014136,0,0.31817,-0.0042908,1,0.13,0.5,0.13,0
0.30363,-0.065142,-8.7091e-06,0,0.30363,-0.004952,1,0.14,0.5,0.14,0
0.28929,-0.068301,-1.4045e-06,0,0.28929,-0.0056337,1,0.15,0.5,0.15,0
0.2751,-0.072132,0.0002246,0,0.2751,-0.0063311,1,0.16,0.5,0.16,0
0.26228,-0.077775,0.00056109,0,0.26228,-0.0071046,1,0.17,0.5,0.17,0
0.24934,-0.082435,0.00094763,0,0.24934,-0.0078955,1,0.18,0.5,0.18,0
0.2365,-0.086012,0.0013106,0,0.2365,-0.0087431,1,0.19,0.5,0.19,0
0.22405,-0.089707,0.0015374,0,0.22405,-0.0096503,1,0.2,0.5,0.2,0
0.2116,-0.093395,0.0017571,0,0.2116,-0.010557,1,0.21,0.5,0.21,0
0.19912,-0.097277,0.0020151,0,0.19912,-0.011516,1,0.22,0.5,0.22,0
0.18635,-0.10165,0.0025328,0,0.18635,-0.012528,1,0.23,0.5,0.23,0
0.17359,-0.10602,0.0030504,0,0.17359,-0.013541,1,0.24,0.5,0.24,0
0.15971,-0.11066,0.0032776,0,0.15971,-0.014664,1,0.25,0.5,0.25,0
0.14558,-0.11506,0.0038033,0,0.14558,-0.015795,1,0.26,0.5,0.26,0
0.1302,-0.11764,0.0046065,0,0.1302,-0.016985,1,0.27,0.5,0.27,0
0.11406,-0.11915,0.0050829,0,0.11406,-0.018224,1,0.28,0.5,0.28,0
0.097047,-0.12222,0.0060298,0,0.097047,-0.019492,1,0.29,0.5,0.29,0
0.078656,-0.12755,0.0076191,0,0.078656,-0.020807,1,0.3,0.5,0.3,0
0.058749,-0.13271,0.0087636,0,0.058749,-0.022169,1,0.31,0.5,0.31,0
0.03788,-0.13992,0.0095496,0,0.03788,-0.023554,1,0.32,0.5,0.32,0
0.014463,-0.14568,0.010843,0,0.014463,-0.02501,1,0.33,0.5,0.33,0
-0.010973,-0.15027,0.012541,0,-0.010973,-0.026523,1,0.34,0.5,0.34,0
-0.037286,-0.15487,0.013934,0,-0.037286,-0.028052,1,0.35,0.5,0.35,0
-0.068227,-0.15836,0.015427,0,-0.068227,-0.02968,1,0.36,0.5,0.36,0
-0.098819,-0.16191,0.016959,0,-0.098819,-0.031296,1,0.37,0.5,0.37,0
-0.13232,-0.1647,0.019202,0,-0.13232,-0.032951,1,0.38,0.5,0.38,0
