"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.90812,0,0,0,0.90812,0,1,0,0.5,0,0
0.81781,-0.007422,-2.003e-05,0,0.81781,-6.996e-05,1,0.01,0.5,0.01,0
0.72751,-0.014844,-4.006e-05,0,0.72751,-0.00013992,1,0.02,0.5,0.02,0
0.66748,-0.020786,3.9629e-05,0,0.66748,-0.00032644,1,0.03,0.5,0.03,0
0.62285,-0.025861,0.00017348,0,0.62285,-0.00057859,1,0.04,0.5,0.04,0
0.57821,-0.030937,0.00030733,0,0.57821,-0.00083074,1,0.05,0.5,0.05,0
0.54053,-0.036713,0.00036379,0,0.54053,-0.0011229,1,0.06,0.5,0.06,0
0.51227,-0.042254,0.00032425,0,0.51227,-0.0015648,1,0.07,0.5,0.07,0
0.48379,-0.047743,0.00019159,0,0.48379,-0.0020097,1,0.08,0.5,0.08,0
0.45717,-0.052923,0.00019232,0,0.45717,-0.0025037,1,0.09,0.5,0.09,0
0.43263,-0.057737,0.00018224,0,0.43263,-0.0030629,1,0.1,0.5,0.1,0
0.40839,-0.06251,-0.00014144,0,0.40839,-0.0036636,1,0.11,0.5,0.11,0
0.3851,-0.067339,-0.00010206,0,0.3851,-0.0043229,1,0.12,0.5,0.12,0
0.36193,-0.072137,-1.3676e-05,0,0.36193,-0.0049969,1,0.13,0.5,0.13,0
0.33975,-0.07648,-0.00025026,0,0.33975,-0.0057638,1,0.14,0.5,0.14,0
0.31774,-0.08064,-0.00032648,0,0.31774,-0.0065546,1,0.15,0.5,0.15,0
0.29575,-0.084922,-0.00017974,0,0.29575,-0.0073624,1,0.16,0.5,0.16,0
0.27432,-0.089792,1.5999e-05,0,0.27432,-0.0082513,1,0.17,0.5,0.17,0
0.25294,-0.094344,0.00027514,0,0.25294,-0.0091606,1,0.18,0.5,0.18,0
0.23159,-0.09846,0.000468,0,0.23159,-0.01013,1,0.19,0.5,0.19,0
0.2102,-0.10247,0.00042801,0,0.2102,-0.011159,1,0.2,0.5,0.2,0
0.18881,-0.10648,0.00038156,0,0.18881,-0.012187,1,0.21,0.5,0.21,0
0.16725,-0.11039,0.00031141,0,0.16725,-0.013266,1,0.22,0.5,0.22,0
0.14549,-0.11434,0.00047091,0,0.14549,-0.014399,1,0.23,0.5,0.23,0
0.12372,-0.1183,0.00063042,0,0.12372,-0.015532,1,0.24,0.5,0.24,0
0.10104,-0.12288,0.00030534,0,0.10104,-0.016768,1,0.25,0.5,0.25,0
0.078262,-0.12737,0.00027869,0,0.078262,-0.018015,1,0.26,0.5,0.26,0
0.054752,-0.13121,0.00043011,0,0.054752,-0.019317,1,0.27,0.5,0.27,0
0.030694,-0.13472,0.00014795,0,0.030694,-0.020659,1,0.28,0.5,0.28,0
0.0061896,-0.13864,0.00025682,0,0.0061896,-0.022027,1,0.29,0.5,0.29,0
-0.019009,-0.14321,0.00087309,0,-0.019009,-0.023435,1,0.3,0.5,0.3,0
-0.045188,-0.14724,0.0010334,0,-0.045188,-0.024893,1,0.31,0.5,0.31,0
-0.071481,-0.15063,0.00086571,0,-0.071481,-0.026357,1,0.32,0.5,0.32,0
-0.099375,-0.15442,0.00093934,0,-0.099375,-0.027888,1,0.33,0.5,0.33,0
-0.12855,-0.15854,0.0012055,0,-0.12855,-0.029474,1,0.34,0.5,0.34,0
-0.15776,-0.16252,0.0011622,0,-0.15776,-0.031059,1,0.35,0.5,0.35,0
-0.18975,-0.16599,0.0010693,0,-0.18975,-0.032737,1,0.36,0.5,0.36,0
-0.22148,-0.16942,0.0010317,0,-0.22148,-0.034403,1,0.37,0.5,0.37,0
-0.25469,-0.17305,0.0013182,0,-0.25469,-0.036107,1,0.38,0.5,0.38,0
-0.28879,-0.17668,0.0015749,0,-0.28879,-0.037833,1,0.39,0.5,0.39,0
-0.32602,-0.1804,0.0015647,0,-0.32602,-0.039649,1,0.4,0.5,0.4,0
-0.36354,-0.18414,0.0015926,0,-0.36354,-0.04147,1,0.41,0.5,0.41,0
-0.40313,-0.18697,0.0019956,0,-0.40313,-0.043319,1,0.42,0.5,0.42,0
-0.44287,-0.18921,0.0030169,0,-0.44287,-0.045163,1,0.43,0.5,0.43,0
-0.48693,-0.19198,0.0038502,0,-0.48693,-0.047107,1,0.44,0.5,0.44,0
-0.53081,-0.19505,0.0045309,0,-0.53081,-0.049032,1,0.45,0.5,0.45,0
-0.57807,-0.1978,0.0048453,0,-0.57807,-0.051015,1,0.46,0.5,0.46,0
-0.62629,-0.20026,0.0047622,0,-0.62629,-0.052995,1,0.47,0.5,0.47,0
-0.6767,-0.20243,0.0048154,0,-0.6767,-0.054999,1,0.48,0.5,0.48,0
-0.73098,-0.20419,0.0052501,0,-0.73098,-0.057067,1,0.49,0.5,0.49,0
-0.78526,-0.20595,0.0056849,0,-0.78526,-0.059135,1,0.5,0.5,0.5,0
-0.84554,-0.20664,0.0058431,0,-0.84554,-0.061208,1,0.51,0.5,0.51,0
-0.90583,-0.20733,0.0060012,0,-0.90583,-0.06328,1,0.52,0.5,0.52,0
-0.96611,-0.20802,0.0061594,0,-0.96611,-0.065352,1,0.53,0.5,0.53,0
-1.0309,-0.20771,0.0067396,0,-1.0309,-0.067423,1,0.54,0.5,0.54,0
-1.0985,-0.20671,0.007605,0,-1.0985,-0.069483,1,0.55,0.5,0.55,0
-1.166,-0.20572,0.0084703,0,-1.166,-0.071542,1,0.56,0.5,0.56,0
-1.2396,-0.20417,0.0089033,0,-1.2396,-0.073581,1,0.57,0.5,0.57,0
-1.3145,-0.20237,0.0093613,0,-1.3145,-0.075592,1,0.58,0.5,0.58,0
-1.3906,-0.20023,0.0098266,0,-1.3906,-0.077604,1,0.59,0.5,0.59,0
-1.4732,-0.1961,0.010297,0,-1.4732,-0.079595,1,0.6,0.5,0.6,0
-1.5559,-0.19155,0.01064,0,-1.5559,-0.081506,1,0.61,0.5,0.61,0
-1.6423,-0.187,0.011005,0,-1.6423,-0.083389,1,0.62,0.5,0.62,0
-1.7332,-0.18244,0.011397,0,-1.7332,-0.085238,1,0.63,0.5,0.63,0
-1.8246,-0.17716,0.012084,0,-1.8246,-0.087054,1,0.64,0.5,0.64,0
-1.9194,-0.16978,0.01257,0,-1.9194,-0.088788,1,0.65,0.5,0.65,0
-2.0197,-0.16013,0.011939,0,-2.0197,-0.090445,1,0.66,0.5,0.66,0
-2.1185,-0.15074,0.011779,0,-2.1185,-0.092046,1,0.67,0.5,0.67,0
-2.2239,-0.14008,0.012414,0,-2.2239,-0.093494,1,0.68,0.5,0.68,0
-2.3301,-0.12815,0.013742,0,-2.3301,-0.09478,1,0.69,0.5,0.69,0
-2.439,-0.11528,0.014365,0,-2.439,-0.095987,1,0.7,0.5,0.7,0
-2.5504,-0.10153,0.014367,0,-2.5504,-0.097116,1,0.71,0.5,0.71,0
-2.6658,-0.08581,0.01461,0,-2.6658,-0.098,1,0.72,0.5,0.72,0
-2.7834,-0.068294,0.014823,0,-2.7834,-0.098776,1,0.73,0.5,0.73,0
