"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.0495,0,0,0,2.0495,0,1,0,0,0.5,0
1.8803,-0.0008733,0.019469,0,1.8803,-0.00020783,1,0.01,0.01,0.5,0
1.7112,-0.0017466,0.038938,0,1.7112,-0.00041565,1,0.02,0.02,0.5,0
1.5922,-0.003793,0.053408,0,1.5922,-0.00089037,1,0.03,0.03,0.5,0
1.4979,-0.0065134,0.065019,0,1.4979,-0.0015162,1,0.04,0.04,0.5,0
1.4035,-0.0092338,0.07663,0,1.4035,-0.0021421,1,0.05,0.05,0.5,0
1.3131,-0.012699,0.090524,0,1.3131,-0.0029044,1,0.06,0.06,0.5,0
1.2326,-0.017319,0.10225,0,1.2326,-0.0039653,1,0.07,0.07,0.5,0
1.1533,-0.02209,0.11385,0,1.1533,-0.0050186,1,0.08,0.08,0.5,0
1.0712,-0.026743,0.12441,0,1.0712,-0.0062024,1,0.09,0.09,0.5,0
0.98923,-0.031586,0.13356,0,0.98923,-0.0075182,1,0.1,0.1,0.5,0
0.9138,-0.037265,0.14209,0,0.9138,-0.0088479,1,0.11,0.11,0.5,0
0.83166,-0.043026,0.15043,0,0.83166,-0.010371,1,0.12,0.12,0.5,0
0.75509,-0.048327,0.15743,0,0.75509,-0.011851,1,0.13,0.13,0.5,0
0.68255,-0.054528,0.16282,0,0.68255,-0.013425,1,0.14,0.14,0.5,0
0.60675,-0.061316,0.16748,0,0.60675,-0.015096,1,0.15,0.15,0.5,0
0.53062,-0.068106,0.17152,0,0.53062,-0.0168,1,0.16,0.16,0.5,0
0.46281,-0.074414,0.17462,0,0.46281,-0.018486,1,0.17,0.17,0.5,0
0.3914,-0.080498,0.17752,0,0.3914,-0.020264,1,0.18,0.18,0.5,0
0.31986,-0.086531,0.17954,0,0.31986,-0.022116,1,0.19,0.19,0.5,0
0.25532,-0.092931,0.18044,0,0.25532,-0.023906,1,0.2,0.2,0.5,0
0.1908,-0.099332,0.18135,0,0.1908,-0.025696,1,0.21,0.21,0.5,0
0.12974,-0.10558,0.181,0,0.12974,-0.027463,1,0.22,0.22,0.5,0
0.068211,-0.11174,0.1795,0,0.068211,-0.029294,1,0.23,0.23,0.5,0
0.0066804,-0.1179,0.178,0,0.0066804,-0.031124,1,0.24,0.24,0.5,0
-0.047926,-0.1237,0.17631,0,-0.047926,-0.032865,1,0.25,0.25,0.5,0
-0.10147,-0.12944,0.17459,0,-0.10147,-0.034592,1,0.26,0.26,0.5,0
-0.15495,-0.13531,0.17108,0,-0.15495,-0.03633,1,0.27,0.27,0.5,0
-0.20512,-0.14101,0.16719,0,-0.20512,-0.038002,1,0.28,0.28,0.5,0
-0.25629,-0.14581,0.1632,0,-0.25629,-0.039715,1,0.29,0.29,0.5,0
-0.30136,-0.15146,0.15811,0,-0.30136,-0.041285,1,0.3,0.3,0.5,0
-0.34599,-0.15658,0.15254,0,-0.34599,-0.042851,1,0.31,0.31,0.5,0
-0.38894,-0.16066,0.14704,0,-0.38894,-0.044373,1,0.32,0.32,0.5,0
-0.42823,-0.16436,0.14148,0,-0.42823,-0.045789,1,0.33,0.33,0.5,0
-0.46608,-0.16843,0.13505,0,-0.46608,-0.047171,1,0.34,0.34,0.5,0
-0.50394,-0.1725,0.12862,0,-0.50394,-0.048553,1,0.35,0.35,0.5,0
-0.53529,-0.17639,0.12217,0,-0.53529,-0.049749,1,0.36,0.36,0.5,0
-0.566,-0.17947,0.115,0,-0.566,-0.050905,1,0.37,0.37,0.5,0
-0.5986,-0.18274,0.10792,0,-0.5986,-0.05209,1,0.38,0.38,0.5,0
-0.62594,-0.18576,0.10002,0,-0.62594,-0.05313,1,0.39,0.39,0.5,0
-0.64971,-0.19,0.092754,0,-0.64971,-0.054053,1,0.4,0.4,0.5,0
-0.67474,-0.19363,0.084557,0,-0.67474,-0.054979,1,0.41,0.41,0.5,0
-0.6949,-0.19516,0.075924,0,-0.6949,-0.055754,1,0.42,0.42,0.5,0
-0.71312,-0.19608,0.067319,0,-0.71312,-0.056476,1,0.43,0.43,0.5,0
-0.72985,-0.19806,0.058845,0,-0.72985,-0.057102,1,0.44,0.44,0.5,0
-0.74593,-0.20057,0.050509,0,-0.74593,-0.057683,1,0.45,0.45,0.5,0
-0.75739,-0.20207,0.042066,0,-0.75739,-0.058115,1,0.46,0.46,0.5,0
-0.76739,-0.20325,0.033589,0,-0.76739,-0.0585,1,0.47,0.47,0.5,0
-0.77576,-0.20434,0.024112,0,-0.77576,-0.058792,1,0.48,0.48,0.5,0
-0.78051,-0.20514,0.014899,0,-0.78051,-0.058964,1,0.49,0.49,0.5,0
-0.78526,-0.20595,0.0056849,0,-0.78526,-0.059135,1,0.5,0.5,0.5,0
-0.786,-0.20569,-0.0034048,0,-0.786,-0.05909,1,0.51,0.51,0.5,0
-0.78675,-0.20544,-0.012495,0,-0.78675,-0.059044,1,0.52,0.52,0.5,0
-0.78318,-0.20542,-0.021733,0,-0.78318,-0.058878,1,0.53,0.53,0.5,0
-0.77615,-0.20528,-0.031189,0,-0.77615,-0.058592,1,0.54,0.54,0.5,0
-0.76825,-0.20471,-0.040698,0,-0.76825,-0.058251,1,0.55,0.55,0.5,0
-0.75742,-0.20344,-0.04938,0,-0.75742,-0.057801,1,0.56,0.56,0.5,0
-0.74264,-0.20304,-0.058612,0,-0.74264,-0.057221,1,0.57,0.57,0.5,0
-0.72786,-0.20263,-0.067844,0,-0.72786,-0.05664,1,0.58,0.58,0.5,0
-0.70732,-0.20032,-0.076236,0,-0.70732,-0.055866,1,0.59,0.59,0.5,0
-0.68602,-0.19742,-0.084612,0,-0.68602,-0.05505,1,0.6,0.6,0.5,0
-0.66474,-0.19452,-0.092991,0,-0.66474,-0.054234,1,0.61,0.61,0.5,0
-0.63735,-0.19234,-0.10138,0,-0.63735,-0.053229,1,0.62,0.62,0.5,0
