"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.2386,0,0,0,2.2386,0,1,0,0,0.5,0
2.0209,-0.00083626,0.017894,0,2.0209,-0.00017673,1,0.01,0.01,0.5,0
1.8031,-0.0016725,0.035787,0,1.8031,-0.00035346,1,0.02,0.02,0.5,0
1.6544,-0.0037126,0.050368,0,1.6544,-0.00081013,1,0.03,0.03,0.5,0
1.5406,-0.0064442,0.063052,0,1.5406,-0.0014254,1,0.04,0.04,0.5,0
1.4268,-0.0091758,0.075736,0,1.4268,-0.0020406,1,0.05,0.05,0.5,0
1.3224,-0.01267,0.090378,0,1.3224,-0.0027944,1,0.06,0.06,0.5,0
1.2393,-0.017363,0.10204,0,1.2393,-0.0038518,1,0.07,0.07,0.5,0
1.1577,-0.02221,0.11357,0,1.1577,-0.0049016,1,0.08,0.08,0.5,0
1.0742,-0.026934,0.12411,0,1.0742,-0.0060825,1,0.09,0.09,0.5,0
0.99197,-0.031839,0.13332,0,0.99197,-0.0073958,1,0.1,0.1,0.5,0
0.91643,-0.037573,0.14186,0,0.91643,-0.0087231,1,0.11,0.11,0.5,0
0.83442,-0.043375,0.15021,0,0.83442,-0.010244,1,0.12,0.12,0.5,0
0.75811,-0.048712,0.15722,0,0.75811,-0.011722,1,0.13,0.13,0.5,0
0.68592,-0.054951,0.16261,0,0.68592,-0.013294,1,0.14,0.14,0.5,0
0.61042,-0.061784,0.16726,0,0.61042,-0.014962,1,0.15,0.15,0.5,0
0.53454,-0.068618,0.17131,0,0.53454,-0.016665,1,0.16,0.16,0.5,0
0.46694,-0.07496,0.1744,0,0.46694,-0.018348,1,0.17,0.17,0.5,0
0.39566,-0.081077,0.1773,0,0.39566,-0.020124,1,0.18,0.18,0.5,0
0.32418,-0.087142,0.17931,0,0.32418,-0.021974,1,0.19,0.19,0.5,0
0.2597,-0.093564,0.18021,0,0.2597,-0.023762,1,0.2,0.2,0.5,0
0.19524,-0.099988,0.18111,0,0.19524,-0.025549,1,0.21,0.21,0.5,0
0.13423,-0.10626,0.18075,0,0.13423,-0.027314,1,0.22,0.22,0.5,0
0.072709,-0.11243,0.17924,0,0.072709,-0.029142,1,0.23,0.23,0.5,0
0.011184,-0.1186,0.17772,0,0.011184,-0.03097,1,0.24,0.24,0.5,0
-0.043379,-0.12442,0.17602,0,-0.043379,-0.032707,1,0.25,0.25,0.5,0
-0.096876,-0.13017,0.17429,0,-0.096876,-0.034431,1,0.26,0.26,0.5,0
-0.15033,-0.13604,0.17077,0,-0.15033,-0.036166,1,0.27,0.27,0.5,0
-0.20046,-0.14175,0.16686,0,-0.20046,-0.037835,1,0.28,0.28,0.5,0
-0.25158,-0.14655,0.16285,0,-0.25158,-0.039545,1,0.29,0.29,0.5,0
