"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.15971,0,0,0,-0.15971,0,1,0,0.5,0,0
-0.11527,0.001335,-9.4273e-05,0,-0.11527,1.9335e-05,1,0.01,0.5,0.01,0
-0.070823,0.00267,-0.00018855,0,-0.070823,3.867e-05,1,0.02,0.5,0.02,0
-0.033931,0.0031347,-0.0004984,0,-0.033931,6.6463e-05,1,0.03,0.5,0.03,0
-0.0011567,0.0030958,-0.00092961,0,-0.0011567,9.8929e-05,1,0.04,0.5,0.04,0
0.031618,0.0030569,-0.0013608,0,0.031618,0.00013139,1,0.05,0.5,0.05,0
0.061046,0.002768,-0.0018394,0,0.061046,0.0001565,1,0.06,0.5,0.06,0
0.08691,0.0014785,-0.0023922,0,0.08691,0.00017231,1,0.07,0.5,0.07,0
0.11308,0.00013913,-0.0029415,0,0.11308,0.00018947,1,0.08,0.5,0.08,0
0.1378,-0.0016462,-0.0034494,0,0.1378,0.00018947,1,0.09,0.5,0.09,0
0.16156,-0.0039672,-0.0039979,0,0.16156,0.00017098,1,0.1,0.5,0.1,0
0.18655,-0.0062116,-0.0047636,0,0.18655,0.00014508,1,0.11,0.5,0.11,0
0.20991,-0.0077846,-0.0055155,0,0.20991,8.3811e-05,1,0.12,0.5,0.12,0
0.23474,-0.0092717,-0.0061432,0,0.23474,2.2711e-05,1,0.13,0.5,0.13,0
0.26137,-0.012238,-0.0068957,0,0.26137,-8.8284e-05,1,0.14,0.5,0.14,0
0.2873,-0.015479,-0.0076229,0,0.2873,-0.00022041,1,0.15,0.5,0.15,0
0.31349,-0.018634,-0.0082424,0,0.31349,-0.00036866,1,0.16,0.5,0.16,0
0.3436,-0.022212,-0.0087247,0,0.3436,-0.00056945,1,0.17,0.5,0.17,0
0.37247,-0.026032,-0.0091123,0,0.37247,-0.00079731,1,0.18,0.5,0.18,0
0.40159,-0.030402,-0.0094479,0,0.40159,-0.00109,1,0.19,0.5,0.19,0
0.43355,-0.03521,-0.0098811,0,0.43355,-0.0014371,1,0.2,0.5,0.2,0
0.4655,-0.040017,-0.010318,0,0.4655,-0.001784,1,0.21,0.5,0.21,0
0.49842,-0.045347,-0.010538,0,0.49842,-0.0022061,1,0.22,0.5,0.22,0
0.53111,-0.051236,-0.010471,0,0.53111,-0.00271,1,0.23,0.5,0.23,0
0.56381,-0.057125,-0.010404,0,0.56381,-0.0032139,1,0.24,0.5,0.24,0
0.59572,-0.064966,-0.010502,0,0.59572,-0.0038638,1,0.25,0.5,0.25,0
