"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.29955,-0.29955,0,0.26266,0.26266,0.26266,0,-1.1981,-0.89866,0
-0.28092,-0.28092,0,0.30655,0.30655,0.30655,0.068565,-1.2378,-0.84277,0
-0.26551,-0.26551,0,0.33672,0.33672,0.33672,0.1242,-1.2687,-0.79654,0
-0.24797,-0.24797,0,0.3757,0.3757,0.3757,0.1863,-1.3017,-0.7439,0
-0.23685,-0.23685,0,0.401,0.401,0.401,0.22436,-1.32,-0.71054,0
-0.20716,-0.20716,0,0.4633,0.4633,0.4633,0.32368,-1.364,-0.62147,0
-0.1835,-0.1835,0,0.512,0.512,0.512,0.40086,-1.3943,-0.5505,0
-0.17259,-0.17259,0,0.53175,0.53175,0.53175,0.43591,-1.4068,-0.51776,0
-0.16227,-0.16227,0,0.54858,0.54858,0.54858,0.46844,-1.4169,-0.48682,0
-0.13406,-0.13406,0,0.58976,0.58976,0.58976,0.55688,-1.4425,-0.40217,0
-0.11464,-0.11464,0,0.6181,0.6181,0.6181,0.61718,-1.458,-0.34392,0
-0.093254,-0.093254,0,0.6454,0.6454,0.6454,0.68292,-1.4724,-0.27976,0
-0.065151,-0.065151,0,0.67324,0.67324,0.67324,0.76841,-1.4865,-0.19545,0
-0.058931,-0.058931,0,0.67758,0.67758,0.67758,0.78724,-1.489,-0.17679,0
-0.05224,-0.05224,0,0.68111,0.68111,0.68111,0.80739,-1.4909,-0.15672,0
-0.019186,-0.019186,0,0.69118,0.69118,0.69118,0.90676,-1.4973,-0.057559,0
0.021439,0.021439,0,0.68305,0.68305,0.68305,1.0286,-1.4966,0.064318,0
0.034985,0.034985,0,0.67651,0.67651,0.67651,1.0693,-1.4948,0.10495,0
0.043949,0.043949,0,0.67001,0.67001,0.67001,1.0963,-1.4925,0.13185,0
0.087054,0.087054,0,0.63321,0.63321,0.63321,1.2266,-1.4764,0.26116,0
0.094283,0.094283,0,0.62493,0.62493,0.62493,1.2487,-1.4723,0.28285,0
0.11664,0.11664,0,0.59206,0.59206,0.59206,1.3175,-1.4569,0.34993,0
0.13847,0.13847,0,0.55785,0.55785,0.55785,1.3854,-1.4392,0.41542,0
0.15389,0.15389,0,0.53279,0.53279,0.53279,1.4336,-1.4256,0.46167,0
0.18189,0.18189,0,0.47954,0.47954,0.47954,1.5231,-1.3947,0.54567,0
0.19494,0.19494,0,0.45625,0.45625,0.45625,1.5649,-1.38,0.58483,0
0.21449,0.21449,0,0.41778,0.41778,0.41778,1.6296,-1.3526,0.64347,0
0.23492,0.23492,0,0.37322,0.37322,0.37322,1.6981,-1.3221,0.70475,0
0.2506,0.2506,0,0.34013,0.34013,0.34013,1.7516,-1.2965,0.7518,0
0.26648,0.26648,0,0.30753,0.30753,0.30753,1.8075,-1.2673,0.79944,0
0.29227,0.29227,0,0.25552,0.25552,0.25552,1.8999,-1.2168,0.87681,0
0.29348,0.29348,0,0.25293,0.25293,0.25293,1.9043,-1.2143,0.88045,0
0.29395,0.29395,0,0.25187,0.25187,0.25187,1.9061,-1.2132,0.88184,0
0.29489,0.29489,0,0.25002,0.25002,0.25002,1.9096,-1.2111,0.88466,0
0.31799,0.31799,0,0.20191,0.20191,0.20191,1.9985,-1.1554,0.95398,0
0.32708,0.32708,0,0.18629,0.18629,0.18629,2.0348,-1.1316,0.98125,0
0.35307,0.35307,0,0.14139,0.14139,0.14139,2.1399,-1.0611,1.0592,0
0.35606,0.35606,0,0.13754,0.13754,0.13754,2.1525,-1.0522,1.0682,0
0.37998,0.37998,0,0.10116,0.10116,0.10116,2.2584,-0.97432,1.1399,0
0.38293,0.38293,0,0.097775,0.097775,0.097775,2.2722,-0.96372,1.1488,0
0.39974,0.39974,0,0.07564,0.07564,0.07564,2.3566,-0.89606,1.1992,0
0.41346,0.41346,0,0.059348,0.059348,0.059348,2.4272,-0.83862,1.2404,0
0.42352,0.42352,0,0.049991,0.049991,0.049991,2.4814,-0.79361,1.2706,0
0.43428,0.43428,0,0.040256,0.040256,0.040256,2.5423,-0.74207,1.3028,0
0.43945,0.43945,0,0.035219,0.035219,0.035219,2.5746,-0.71364,1.3183,0
0.4549,0.4549,0,0.02455,0.02455,0.02455,2.6798,-0.61926,1.3647,0
0.46814,0.46814,0,0.016135,0.016135,0.016135,2.782,-0.52504,1.4044,0
0.47037,0.47037,0,0.015015,0.015015,0.015015,2.8008,-0.50751,1.4111,0
0.47192,0.47192,0,0.014394,0.014394,0.014394,2.8159,-0.49313,1.4158,0
0.48094,0.48094,0,0.0096405,0.0096405,0.0096405,2.9111,-0.40187,1.4428,0
0.48578,0.48578,0,0.0071239,0.0071239,0.0071239,2.968,-0.34684,1.4573,0
0.49054,0.49054,0,0.0054958,0.0054958,0.0054958,3.0329,-0.28352,1.4716,0
0.49517,0.49517,0,0.0036101,0.0036101,0.0036101,3.115,-0.20263,1.4855,0
0.49607,0.49607,0,0.003311,0.003311,0.003311,3.1351,-0.18272,1.4882,0
0.49685,0.49685,0,0.0030622,0.0030622,0.0030622,3.1597,-0.15824,1.4906,0
0.49902,0.49902,0,0.001846,0.001846,0.001846,3.2585,-0.059614,1.4971,0
0.49883,0.49883,0,0.0011157,0.0011157,0.0011157,3.3854,0.067242,1.4965,0
0.4984,0.4984,0,0.00084201,0.00084201,0.00084201,3.4206,0.10247,1.4952,0
0.49765,0.49765,0,0.00069618,0.00069618,0.00069618,3.448,0.12975,1.4929,0
0.49236,0.49236,0,0.00036964,0.00036964,0.00036964,3.5766,0.25741,1.4771,0
0.49084,0.49084,0,0.00030086,0.00030086,0.00030086,3.6016,0.282,1.4725,0
0.48577,0.48577,0,0.00022529,0.00022529,0.00022529,3.6696,0.34825,1.4573,0
0.47975,0.47975,0,0.00013427,0.00013427,0.00013427,3.7391,0.41532,1.4392,0
0.47521,0.47521,0,0.00010885,0.00010885,0.00010885,3.7874,0.46167,1.4256,0
0.46489,0.46489,0,5.6436e-05,5.6436e-05,5.6436e-05,3.8769,0.54567,1.3947,0
0.46001,0.46001,0,4.5815e-05,4.5815e-05,4.5815e-05,3.9187,0.58483,1.38,0
0.45085,0.45085,0,3.6051e-05,3.6051e-05,3.6051e-05,3.9835,0.64347,1.3526,0
0.4407,0.4407,0,2.1788e-05,2.1788e-05,2.1788e-05,4.0519,0.70475,1.3221,0
0.43217,0.43217,0,1.2851e-05,1.2851e-05,1.2851e-05,4.1055,0.7518,1.2965,0
0.42243,0.42243,0,1.0814e-05,1.0814e-05,1.0814e-05,4.1614,0.79944,1.2673,0
0.40559,0.40559,0,4.8278e-06,4.8278e-06,4.8278e-06,4.2537,0.87681,1.2168,0
0.40475,0.40475,0,4.6328e-06,4.6328e-06,4.6328e-06,4.2582,0.88044,1.2143,0
0.40441,0.40441,0,4.4393e-06,4.4393e-06,4.4393e-06,4.2599,0.88183,1.2132,0
0.40353,0.40353,0,4.2774e-06,4.2774e-06,4.2774e-06,4.2643,0.88534,1.2106,0
0.3844,0.3844,0,1.5783e-06,1.5783e-06,1.5783e-06,4.3561,0.95699,1.1532,0
0.37744,0.37744,0,1.4045e-06,1.4045e-06,1.4045e-06,4.3879,0.98095,1.1323,0
0.3537,0.3537,0,1.9979e-07,1.9979e-07,1.9979e-07,4.4937,1.0592,1.0611,0
0.35072,0.35072,0,1.8311e-07,1.8311e-07,1.8311e-07,4.5064,1.0682,1.0522,0
