"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.29991,-0.29991,0,0.13702,0.13702,0.13702,0,-1.1998,-0.89973,0
-0.28786,-0.28786,0,0.19623,0.19623,0.19623,0.044715,-1.2261,-0.86357,0
-0.28324,-0.28324,0,0.21877,0.21877,0.21877,0.061695,-1.236,-0.84972,0
-0.28194,-0.28194,0,0.22578,0.22578,0.22578,0.066375,-1.2386,-0.84583,0
-0.26577,-0.26577,0,0.30773,0.30773,0.30773,0.12422,-1.2701,-0.79732,0
-0.26032,-0.26032,0,0.33751,0.33751,0.33751,0.14355,-1.2803,-0.78095,0
-0.25433,-0.25433,0,0.36793,0.36793,0.36793,0.16442,-1.291,-0.76299,0
-0.24791,-0.24791,0,0.40167,0.40167,0.40167,0.18679,-1.3024,-0.74372,0
-0.23713,-0.23713,0,0.4558,0.4558,0.4558,0.22374,-1.3202,-0.71138,0
-0.22617,-0.22617,0,0.50844,0.50844,0.50844,0.26086,-1.3375,-0.67851,0
-0.21129,-0.21129,0,0.57508,0.57508,0.57508,0.31054,-1.3592,-0.63386,0
-0.20719,-0.20719,0,0.59265,0.59265,0.59265,0.32411,-1.365,-0.62157,0
-0.19993,-0.19993,0,0.62154,0.62154,0.62154,0.34788,-1.3745,-0.59978,0
-0.18989,-0.18989,0,0.6609,0.6609,0.6609,0.38065,-1.3874,-0.56967,0
-0.18388,-0.18388,0,0.68271,0.68271,0.68271,0.40005,-1.3946,-0.55165,0
-0.17261,-0.17261,0,0.72135,0.72135,0.72135,0.4362,-1.4074,-0.51782,0
-0.16171,-0.16171,0,0.7557,0.7557,0.7557,0.4708,-1.4187,-0.48514,0
-0.15283,-0.15283,0,0.78281,0.78281,0.78281,0.49892,-1.4277,-0.45849,0
-0.14363,-0.14363,0,0.80921,0.80921,0.80921,0.52788,-1.4365,-0.43089,0
-0.13404,-0.13404,0,0.83376,0.83376,0.83376,0.55777,-1.4446,-0.40213,0
-0.1152,-0.1152,0,0.87912,0.87912,0.87912,0.61627,-1.4596,-0.34559,0
-0.11518,-0.11518,0,0.87915,0.87915,0.87915,0.61632,-1.4597,-0.34555,0
-0.095218,-0.095218,0,0.91725,0.91725,0.91725,0.67755,-1.4724,-0.28565,0
-0.09319,-0.09319,0,0.92088,0.92088,0.92088,0.68376,-1.4736,-0.27957,0
-0.088804,-0.088804,0,0.92757,0.92757,0.92757,0.69711,-1.4759,-0.26641,0
-0.075292,-0.075292,0,0.94751,0.94751,0.94751,0.7382,-1.4826,-0.22587,0
-0.065362,-0.065362,0,0.95977,0.95977,0.95977,0.7683,-1.4869,-0.19608,0
-0.058944,-0.058944,0,0.96683,0.96683,0.96683,0.7877,-1.4893,-0.17683,0
-0.052005,-0.052005,0,0.9729,0.9729,0.9729,0.80863,-1.4915,-0.15602,0
-0.039405,-0.039405,0,0.98236,0.98236,0.98236,0.84659,-1.495,-0.11821,0
-0.021115,-0.021115,0,0.99107,0.99107,0.99107,0.90158,-1.4985,-0.063346,0
-0.019304,-0.019304,0,0.99183,0.99183,0.99183,0.90702,-1.4988,-0.057912,0
-0.017831,-0.017831,0,0.99207,0.99207,0.99207,0.91144,-1.4989,-0.053493,0
0.0086618,0.0086618,0,0.9931,0.9931,0.9931,0.99092,-1.4994,0.025985,0
0.022117,0.022117,0,0.98897,0.98897,0.98897,1.0313,-1.4979,0.066352,0
0.034982,0.034982,0,0.98374,0.98374,0.98374,1.07,-1.4957,0.10495,0
0.043573,0.043573,0,0.97794,0.97794,0.97794,1.0958,-1.4937,0.13072,0
0.059139,0.059139,0,0.96499,0.96499,0.96499,1.1427,-1.4892,0.17742,0
0.069888,0.069888,0,0.9516,0.9516,0.9516,1.1753,-1.4847,0.20967,0
0.08712,0.08712,0,0.92829,0.92829,0.92829,1.2276,-1.4768,0.26136,0
0.09419,0.09419,0,0.91654,0.91654,0.91654,1.2492,-1.4729,0.28257,0
0.10236,0.10236,0,0.90155,0.90155,0.90155,1.2742,-1.4678,0.30707,0
0.11679,0.11679,0,0.87375,0.87375,0.87375,1.3185,-1.4585,0.35037,0
0.11686,0.11686,0,0.87361,0.87361,0.87361,1.3187,-1.4585,0.35058,0
0.1169,0.1169,0,0.87353,0.87353,0.87353,1.3188,-1.4584,0.3507,0
0.13578,0.13578,0,0.82908,0.82908,0.82908,1.3774,-1.4435,0.40733,0
0.13816,0.13816,0,0.82269,0.82269,0.82269,1.3848,-1.4414,0.41447,0
0.15404,0.15404,0,0.77817,0.77817,0.77817,1.4347,-1.4267,0.46212,0
0.15945,0.15945,0,0.76048,0.76048,0.76048,1.4518,-1.4211,0.47835,0
0.1748,0.1748,0,0.70909,0.70909,0.70909,1.5006,-1.405,0.52441,0
0.18154,0.18154,0,0.68234,0.68234,0.68234,1.5224,-1.397,0.54461,0
0.19505,0.19505,0,0.62787,0.62787,0.62787,1.566,-1.3808,0.58515,0
0.21573,0.21573,0,0.52774,0.52774,0.52774,1.634,-1.3531,0.6472,0
0.21642,0.21642,0,0.52438,0.52438,0.52438,1.6362,-1.3522,0.64925,0
0.21734,0.21734,0,0.51954,0.51954,0.51954,1.6393,-1.3508,0.65203,0
0.23514,0.23514,0,0.42337,0.42337,0.42337,1.6994,-1.3232,0.70542,0
0.24686,0.24686,0,0.35913,0.35913,0.35913,1.7394,-1.3043,0.74059,0
0.24881,0.24881,0,0.34783,0.34783,0.34783,1.7461,-1.301,0.74642,0
0.25043,0.25043,0,0.33895,0.33895,0.33895,1.7517,-1.2981,0.7513,0
0.2668,0.2668,0,0.24932,0.24932,0.24932,1.8093,-1.2679,0.80039,0
0.27612,0.27612,0,0.20057,0.20057,0.20057,1.8425,-1.2502,0.82836,0
0.28038,0.28038,0,0.18175,0.18175,0.18175,1.858,-1.2415,0.84115,0
0.29238,0.29238,0,0.13017,0.13017,0.13017,1.9016,-1.2167,0.87713,0
0.2935,0.2935,0,0.12514,0.12514,0.12514,1.9058,-1.2143,0.88051,0
0.29395,0.29395,0,0.1231,0.1231,0.1231,1.9075,-1.2133,0.88186,0
0.29485,0.29485,0,0.12008,0.12008,0.12008,1.9108,-1.2113,0.88454,0
0.30608,0.30608,0,0.080167,0.080167,0.080167,1.9532,-1.1856,0.91823,0
0.31322,0.31322,0,0.061361,0.061361,0.061361,1.9803,-1.1689,0.93967,0
0.3181,0.3181,0,0.048364,0.048364,0.048364,1.9993,-1.1568,0.9543,0
0.3275,0.3275,0,0.032196,0.032196,0.032196,2.0366,-1.1325,0.9825,0
0.33585,0.33585,0,0.019439,0.019439,0.019439,2.0699,-1.1105,1.0075,0
0.34165,0.34165,0,0.014258,0.014258,0.014258,2.0937,-1.0943,1.0249,0
0.35311,0.35311,0,0.0051861,0.0051861,0.0051861,2.1412,-1.0615,1.0593,0
0.35618,0.35618,0,0.0043973,0.0043973,0.0043973,2.1542,-1.0523,1.0686,0
0.36724,0.36724,0,0.0012919,0.0012919,0.0012919,2.2022,-1.0176,1.1017,0
0.36913,0.36913,0,0.0011076,0.0011076,0.0011076,2.2107,-1.0113,1.1074,0
0.38001,0.38001,0,3.4543e-06,3.4543e-06,3.4543e-06,2.2599,-0.97452,1.14,0
0.38308,0.38308,0,-1.1567e-05,-1.1567e-05,-1.1567e-05,2.2742,-0.96361,1.1492,0
0.39076,0.39076,0,-3.9641e-05,-3.9641e-05,-3.9641e-05,2.3111,-0.9347,1.1723,0
0.39613,0.39613,0,-3.2617e-05,-3.2617e-05,-3.2617e-05,2.3369,-0.91459,1.1884,0
0.4004,0.4004,0,-3.0828e-05,-3.0828e-05,-3.0828e-05,2.3583,-0.89738,1.2012,0
0.4111,0.4111,0,-9.9068e-07,-9.9068e-07,-9.9068e-07,2.4128,-0.85343,1.2333,0
0.41288,0.41288,0,3.1772e-06,3.1772e-06,3.1772e-06,2.4221,-0.84579,1.2386,0
0.4137,0.4137,0,5.3381e-06,5.3381e-06,5.3381e-06,2.4265,-0.84209,1.2411,0
0.42394,0.42394,0,1.075e-05,1.075e-05,1.075e-05,2.4832,-0.79453,1.2718,0
0.42723,0.42723,0,1.175e-05,1.175e-05,1.175e-05,2.5018,-0.77873,1.2817,0
0.43074,0.43074,0,1.1079e-05,1.1079e-05,1.1079e-05,2.5225,-0.76086,1.2922,0
0.43446,0.43446,0,9.8837e-06,9.8837e-06,9.8837e-06,2.5445,-0.74195,1.3034,0
0.43953,0.43953,0,8.6969e-06,8.6969e-06,8.6969e-06,2.576,-0.71437,1.3186,0
0.446,0.446,0,6.309e-06,6.309e-06,6.309e-06,2.6179,-0.67722,1.338,0
0.45219,0.45219,0,3.6791e-06,3.6791e-06,3.6791e-06,2.6601,-0.63928,1.3566,0
0.45528,0.45528,0,2.8026e-06,2.8026e-06,2.8026e-06,2.6821,-0.61941,1.3658,0
0.45908,0.45908,0,1.9147e-06,1.9147e-06,1.9147e-06,2.7108,-0.59302,1.3772,0
0.46329,0.46329,0,7.6793e-07,7.6793e-07,7.6793e-07,2.7431,-0.56333,1.3899,0
0.46817,0.46817,0,-2.0833e-07,-2.0833e-07,-2.0833e-07,2.7833,-0.5259,1.4045,0
0.47044,0.47044,0,-2.8298e-07,-2.8298e-07,-2.8298e-07,2.8028,-0.50755,1.4113,0
