"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
-1.3202,0.69988,0,-0.0021616,-0.0021616,-0.0021616,0,0.69988,1.3202,0
-1.3734,0.59402,0,0.16948,0.16948,0.16948,0.1185,0.59402,1.3734,0
-1.427,0.45256,0,0.055406,0.055406,0.055406,0.2698,0.45256,1.427,0
-1.4393,0.41561,0,0.03426,0.03426,0.03426,0.30871,0.41561,1.4393,0
-1.4464,0.39021,0,0.030386,0.030386,0.030386,0.33509,0.39021,1.4464,0
-1.4781,0.25547,0,-0.093656,-0.093656,-0.093656,0.4735,0.25547,1.4781,0
-1.4782,0.25496,0,-0.094232,-0.094232,-0.094232,0.47402,0.25496,1.4782,0
-1.4782,0.25477,0,-0.093959,-0.093959,-0.093959,0.47421,0.25477,1.4782,0
-1.4919,0.13017,0,-0.030818,-0.030818,-0.030818,0.59956,0.13017,1.4919,0
-1.4958,-0.0052754,0,0.080769,0.080769,0.080769,0.73507,-0.0052754,1.4958,0
-1.4952,-0.079801,0,0.1027,0.1027,0.1027,0.80959,-0.079801,1.4952,0
-1.4867,-0.16866,0,0.040327,0.040327,0.040327,0.89886,-0.16866,1.4867,0
-1.473,-0.26973,0,0.040844,0.040844,0.040844,1.0009,-0.26973,1.473,0
-1.4593,-0.33071,0,-0.017271,-0.017271,-0.017271,1.0633,-0.33071,1.4593,0
-1.4242,-0.46227,0,-0.090738,-0.090738,-0.090738,1.1995,-0.46227,1.4242,0
-1.3933,-0.54738,0,-0.29324,-0.29324,-0.29324,1.2901,-0.54738,1.3933,0
-1.3632,-0.6219,0,-0.11226,-0.11226,-0.11226,1.3704,-0.6219,1.3632,0
-1.3357,-0.67766,0,0.0063386,0.0063386,0.0063386,1.4326,-0.67766,1.3357,0
-1.2989,-0.74278,0,0.1056,0.1056,0.1056,1.5074,-0.74278,1.2989,0
-1.252,-0.82179,0,0.23939,0.23939,0.23939,1.5993,-0.82179,1.252,0
-1.2209,-0.86684,0,-0.068592,-0.068592,-0.068592,1.654,-0.86684,1.2209,0
-1.1697,-0.9322,0,-0.39187,-0.39187,-0.39187,1.737,-0.9322,1.1697,0
-1.0787,-1.042,0,0.25506,0.25506,0.25506,1.8797,-1.042,1.0787,0
-1.0769,-1.044,0,0.25632,0.25632,0.25632,1.8824,-1.044,1.0769,0
-1.0745,-1.0463,0,0.26264,0.26264,0.26264,1.8857,-1.0463,1.0745,0
-0.96484,-1.1446,0,0.12493,0.12493,0.12493,2.0329,-1.1446,0.96484,0
-0.89998,-1.1959,0,-0.20831,-0.20831,-0.20831,2.1156,-1.1959,0.89998,0
-0.80621,-1.2616,0,-0.2558,-0.2558,-0.2558,2.2302,-1.2616,0.80621,0
-0.75118,-1.2946,0,0.024312,0.024312,0.024312,2.2943,-1.2946,0.75118,0
-0.60181,-1.3723,0,0.083112,0.083112,0.083112,2.4626,-1.3723,0.60181,0
-0.58284,-1.3815,0,0.13702,0.13702,0.13702,2.4837,-1.3815,0.58284,0
-0.57648,-1.3843,0,0.10359,0.10359,0.10359,2.4907,-1.3843,0.57648,0
-0.52209,-1.4034,0,0.024851,0.024851,0.024851,2.5483,-1.4034,0.52209,0
-0.40738,-1.4428,0,-0.11962,-0.11962,-0.11962,2.6696,-1.4428,0.40738,0
-0.38535,-1.4484,0,-0.13842,-0.13842,-0.13842,2.6924,-1.4484,0.38535,0
-0.2549,-1.4757,0,0.13712,0.13712,0.13712,2.8256,-1.4757,0.2549,0
-0.11538,-1.4939,0,0.0035305,0.0035305,0.0035305,2.9663,-1.4939,0.11538,0
-0.088594,-1.4963,0,-0.02423,-0.02423,-0.02423,2.9932,-1.4963,0.088594,0
-0.066316,-1.4972,0,-0.032931,-0.032931,-0.032931,3.0155,-1.4972,0.066316,0
0.094744,-1.4949,0,-0.030882,-0.030882,-0.030882,3.1766,-1.4949,-0.094744,0
0.15889,-1.4887,0,-0.15401,-0.15401,-0.15401,3.2411,-1.4887,-0.15889,0
0.26168,-1.4741,0,-0.35383,-0.35383,-0.35383,3.3449,-1.4741,-0.26168,0
0.42344,-1.4385,0,0.2961,0.2961,0.2961,3.5105,-1.4385,-0.42344,0
0.429,-1.4371,0,0.31462,0.31462,0.31462,3.5162,-1.4371,-0.429,0
