"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
-1.3202,0.69988,0,0.00039513,0.00039513,0.00039513,0,0.69988,1.3202,0
-1.3734,0.59402,0,-5.7873e-05,-5.7873e-05,-5.7873e-05,0.1185,0.59402,1.3734,0
-1.427,0.45256,0,6.8012e-05,6.8012e-05,6.8012e-05,0.2698,0.45256,1.427,0
-1.4393,0.41561,0,0.00012391,0.00012391,0.00012391,0.30871,0.41561,1.4393,0
-1.4464,0.39021,0,0.00010071,0.00010071,0.00010071,0.33509,0.39021,1.4464,0
-1.4781,0.25547,0,8.7973e-05,8.7973e-05,8.7973e-05,0.4735,0.25547,1.4781,0
-1.4782,0.25496,0,8.6919e-05,8.6919e-05,8.6919e-05,0.47402,0.25496,1.4782,0
-1.4782,0.25477,0,8.7606e-05,8.7606e-05,8.7606e-05,0.47421,0.25477,1.4782,0
-1.4919,0.13017,0,0.00022993,0.00022993,0.00022993,0.59956,0.13017,1.4919,0
-1.4958,-0.0052754,0,-0.00035466,-0.00035466,-0.00035466,0.73507,-0.0052754,1.4958,0
-1.4952,-0.079801,0,-0.00044165,-0.00044165,-0.00044165,0.80959,-0.079801,1.4952,0
-1.4867,-0.16866,0,0.00044115,0.00044115,0.00044115,0.89886,-0.16866,1.4867,0
-1.473,-0.26973,0,0.0011014,0.0011014,0.0011014,1.0009,-0.26973,1.473,0
-1.4593,-0.33071,0,0.00094254,0.00094254,0.00094254,1.0633,-0.33071,1.4593,0
-1.4242,-0.46227,0,-0.00082182,-0.00082182,-0.00082182,1.1995,-0.46227,1.4242,0
-1.3933,-0.54738,0,0.00024928,0.00024928,0.00024928,1.2901,-0.54738,1.3933,0
-1.3632,-0.6219,0,-0.00043155,-0.00043155,-0.00043155,1.3704,-0.6219,1.3632,0
-1.3357,-0.67766,0,-0.0015537,-0.0015537,-0.0015537,1.4326,-0.67766,1.3357,0
-1.2989,-0.74278,0,9.6356e-05,9.6356e-05,9.6356e-05,1.5074,-0.74278,1.2989,0
-1.252,-0.82179,0,-0.00053442,-0.00053442,-0.00053442,1.5993,-0.82179,1.252,0
-1.2209,-0.86684,0,-0.00013108,-0.00013108,-0.00013108,1.654,-0.86684,1.2209,0
-1.1697,-0.9322,0,0.00074269,0.00074269,0.00074269,1.737,-0.9322,1.1697,0
-1.0787,-1.042,0,-1.1083e-05,-1.1083e-05,-1.1083e-05,1.8797,-1.042,1.0787,0
-1.0769,-1.044,0,8.5624e-06,8.5624e-06,8.5624e-06,1.8824,-1.044,1.0769,0
-1.0745,-1.0463,0,-2.264e-05,-2.264e-05,-2.264e-05,1.8857,-1.0463,1.0745,0
-0.96484,-1.1446,0,0.00038489,0.00038489,0.00038489,2.0329,-1.1446,0.96484,0
-0.89998,-1.1959,0,-0.00029322,-0.00029322,-0.00029322,2.1156,-1.1959,0.89998,0
-0.80621,-1.2616,0,-6.6911e-05,-6.6911e-05,-6.6911e-05,2.2302,-1.2616,0.80621,0
-0.75118,-1.2946,0,0.0014096,0.0014096,0.0014096,2.2943,-1.2946,0.75118,0
-0.60181,-1.3723,0,-0.0039503,-0.0039503,-0.0039503,2.4626,-1.3723,0.60181,0
-0.58284,-1.3815,0,-0.0043917,-0.0043917,-0.0043917,2.4837,-1.3815,0.58284,0
-0.57648,-1.3843,0,-0.0044805,-0.0044805,-0.0044805,2.4907,-1.3843,0.57648,0
-0.52209,-1.4034,0,-0.0011192,-0.0011192,-0.0011192,2.5483,-1.4034,0.52209,0
-0.40738,-1.4428,0,0.0054522,0.0054522,0.0054522,2.6696,-1.4428,0.40738,0
-0.38535,-1.4484,0,0.0053425,0.0053425,0.0053425,2.6924,-1.4484,0.38535,0
-0.2549,-1.4757,0,-0.0027639,-0.0027639,-0.0027639,2.8256,-1.4757,0.2549,0
-0.11538,-1.4939,0,0.0017054,0.0017054,0.0017054,2.9663,-1.4939,0.11538,0
-0.088594,-1.4963,0,0.0029985,0.0029985,0.0029985,2.9932,-1.4963,0.088594,0
-0.066316,-1.4972,0,0.002324,0.002324,0.002324,3.0155,-1.4972,0.066316,0
0.094744,-1.4949,0,-0.00080648,-0.00080648,-0.00080648,3.1766,-1.4949,-0.094744,0
0.15889,-1.4887,0,0.0013257,0.0013257,0.0013257,3.2411,-1.4887,-0.15889,0
0.26168,-1.4741,0,-0.002234,-0.002234,-0.002234,3.3449,-1.4741,-0.26168,0
0.42344,-1.4385,0,0.0064006,0.0064006,0.0064006,3.5105,-1.4385,-0.42344,0
0.429,-1.4371,0,0.0063604,0.0063604,0.0063604,3.5162,-1.4371,-0.429,0
0.43252,-1.436,0,0.0062913,0.0062913,0.0062913,3.5199,-1.436,-0.43252,0
0.57264,-1.3823,0,-0.0029352,-0.0029352,-0.0029352,3.67,-1.3823,-0.57264,0
0.67736,-1.3348,0,0.0011344,0.0011344,0.0011344,3.785,-1.3348,-0.67736,0
0.73275,-1.3053,0,0.0021332,0.0021332,0.0021332,3.8477,-1.3053,-0.73275,0
0.82667,-1.2473,0,0.0029156,0.0029156,0.0029156,3.9581,-1.2473,-0.82667,0
0.89505,-1.2011,0,0.0015472,0.0015472,0.0015472,4.0406,-1.2011,-0.89505,0
0.9975,-1.1146,0,0.0049665,0.0049665,0.0049665,4.1747,-1.1146,-0.9975,0
1.0549,-1.0649,0,0.0056657,0.0056657,0.0056657,4.2507,-1.0649,-1.0549,0
1.0694,-1.0505,0,0.0052044,0.0052044,0.0052044,4.2711,-1.0505,-1.0694,0
1.0938,-1.0225,0,0.0042375,0.0042375,0.0042375,4.3082,-1.0225,-1.0938,0
1.1936,-0.90391,0,-0.0011208,-0.0011208,-0.0011208,4.4632,-0.90391,-1.1936,0
1.2905,-0.76345,0,-0.011711,-0.011711,-0.011711,4.6338,-0.76345,-1.2905,0
1.2949,-0.75635,0,-0.011746,-0.011746,-0.011746,4.6422,-0.75635,-1.2949,0
1.2998,-0.74748,0,-0.0098553,-0.0098553,-0.0098553,4.6523,-0.74748,-1.2998,0
1.3547,-0.63822,0,0.0097535,0.0097535,0.0097535,4.7746,-0.63822,-1.3547,0
1.4065,-0.51884,0,0.0090994,0.0090994,0.0090994,4.9047,-0.51884,-1.4065,0
1.4105,-0.50841,0,0.01002,0.01002,0.01002,4.9159,-0.50841,-1.4105,0
1.4151,-0.49511,0,0.0077809,0.0077809,0.0077809,4.93,-0.49511,-1.4151,0
1.4559,-0.34544,0,-0.0041624,-0.0041624,-0.0041624,5.0851,-0.34544,-1.4559,0
1.4724,-0.25485,0,-0.001049,-0.001049,-0.001049,5.1772,-0.25485,-1.4724,0
1.4953,-0.081709,0,0.00656,0.00656,0.00656,5.3519,-0.081709,-1.4953,0
1.4976,-0.045546,0,0.0091112,0.0091112,0.0091112,5.3881,-0.045546,-1.4976,0
1.4967,0.0073993,0,0.0074076,0.0074076,0.0074076,5.441,0.0073993,-1.4967,0
1.4912,0.13457,0,0.0022175,0.0022175,0.0022175,5.5683,0.13457,-1.4912,0
1.4766,0.25286,0,-0.0072914,-0.0072914,-0.0072914,5.6875,0.25286,-1.4766,0
1.4705,0.29067,0,-0.0078489,-0.0078489,-0.0078489,5.7258,0.29067,-1.4705,0
1.4627,0.32326,0,-0.01273,-0.01273,-0.01273,5.7593,0.32326,-1.4627,0
1.4211,0.47038,0,-0.0088806,-0.0088806,-0.0088806,5.9122,0.47038,-1.4211,0
1.3894,0.55858,0,0.017458,0.017458,0.017458,6.006,0.55858,-1.3894,0
1.3551,0.63727,0,0.012045,0.012045,0.012045,6.0918,0.63727,-1.3551,0
1.3228,0.70335,0,-5.9058e-05,-5.9058e-05,-5.9058e-05,6.1654,0.70335,-1.3228,0
1.2671,0.79611,0,-0.0014312,-0.0014312,-0.0014312,6.2735,0.79611,-1.2671,0
1.2297,0.85407,0,-0.0065149,-0.0065149,-0.0065149,6.3425,0.85407,-1.2297,0
1.1859,0.91464,0,-0.01119,-0.01119,-0.01119,6.4172,0.91464,-1.1859,0
1.1417,0.9701,0,-0.023951,-0.023951,-0.023951,6.4882,0.9701,-1.1417,0
1.0571,1.0608,0,0.044094,0.044094,0.044094,6.6122,1.0608,-1.0571,0
1.0256,1.0927,0,0.068994,0.068994,0.068994,6.657,1.0927,-1.0256,0
1.0144,1.103,0,0.088199,0.088199,0.088199,6.6723,1.103,-1.0144,0
0.90153,1.1957,0,0.26678,0.26678,0.26678,6.8183,1.1957,-0.90153,0
0.86592,1.2244,0,0.32229,0.32229,0.32229,6.8641,1.2244,-0.86592,0
0.86122,1.2277,0,0.32985,0.32985,0.32985,6.8698,1.2277,-0.86122,0
0.72677,1.3085,0,0.56486,0.56486,0.56486,7.0266,1.3085,-0.72677,0
0.67355,1.3378,0,0.64659,0.64659,0.64659,7.0874,1.3378,-0.67355,0
0.56729,1.3861,0,0.74491,0.74491,0.74491,7.2041,1.3861,-0.56729,0
0.51045,1.4083,0,0.79404,0.79404,0.79404,7.2652,1.4083,-0.51045,0
0.37914,1.4482,0,0.92151,0.92151,0.92151,7.4024,1.4482,-0.37914,0
0.33253,1.4606,0,0.95004,0.95004,0.95004,7.4506,1.4606,-0.33253,0
0.27301,1.471,0,0.97091,0.97091,0.97091,7.511,1.471,-0.27301,0
0.15623,1.4892,0,1.0008,1.0008,1.0008,7.6292,1.4892,-0.15623,0
0.029462,1.495,0,0.97498,0.97498,0.97498,7.7561,1.495,-0.029462,0
-0.040681,1.4964,0,0.95013,0.95013,0.95013,7.8263,1.4964,0.040681,0
-0.081336,1.4956,0,0.9342,0.9342,0.9342,7.8669,1.4956,0.081336,0
-0.1981,1.4825,0,0.89822,0.89822,0.89822,7.9844,1.4825,0.1981,0
-0.26863,1.4743,0,0.86636,0.86636,0.86636,8.0555,1.4743,0.26863,0
-0.29807,1.4679,0,0.84709,0.84709,0.84709,8.0856,1.4679,0.29807,0
-0.45285,1.4279,0,0.68103,0.68103,0.68103,8.2455,1.4279,0.45285,0
-0.50927,1.4084,0,0.59707,0.59707,0.59707,8.3051,1.4084,0.50927,0
-0.59946,1.3724,0,0.45692,0.45692,0.45692,8.4022,1.3724,0.59946,0
-0.70395,1.3218,0,0.26303,0.26303,0.26303,8.5183,1.3218,0.70395,0
