"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
0.21756,1.0919,0,-0.028162,-0.028162,-0.028162,0,1.0919,-0.21756,0
0.034896,1.1166,0,-0.035673,-0.035673,-0.035673,0.18432,1.1166,-0.034896,0
-0.0024395,1.1159,0,-0.02018,-0.02018,-0.02018,0.22167,1.1159,0.0024395,0
-0.11483,1.1092,0,0.057838,0.057838,0.057838,0.33425,1.1092,0.11483,0
-0.17964,1.1001,0,0.025015,0.025015,0.025015,0.3997,1.1001,0.17964,0
-0.28887,1.0742,0,-0.020541,-0.020541,-0.020541,0.51195,1.0742,0.28887,0
-0.39061,1.0409,0,0.018136,0.018136,0.018136,0.619,1.0409,0.39061,0
-0.48069,1.003,0,-0.021301,-0.021301,-0.021301,0.71675,1.003,0.48069,0
-0.54685,0.97191,0,-0.10289,-0.10289,-0.10289,0.78986,0.97191,0.54685,0
-0.6532,0.90167,0,-0.035351,-0.035351,-0.035351,0.9173,0.90167,0.6532,0
-0.69192,0.87348,0,-0.010447,-0.010447,-0.010447,0.9652,0.87348,0.69192,0
-0.71994,0.8517,0,0.032296,0.032296,0.032296,1.0007,0.8517,0.71994,0
-0.79035,0.78338,0,0.20168,0.20168,0.20168,1.0988,0.78338,0.79035,0
-0.84995,0.72382,0,0.33694,0.33694,0.33694,1.1831,0.72382,0.84995,0
-0.88043,0.68379,0,0.40029,0.40029,0.40029,1.2334,0.68379,0.88043,0
-0.94787,0.58667,0,0.55088,0.55088,0.55088,1.3516,0.58667,0.94787,0
-1.0285,0.43807,0,0.75308,0.75308,0.75308,1.5207,0.43807,1.0285,0
-1.029,0.43695,0,0.75435,0.75435,0.75435,1.5219,0.43695,1.029,0
-1.0294,0.43605,0,0.75534,0.75534,0.75534,1.5229,0.43605,1.0294,0
-1.0753,0.2863,0,0.83611,0.83611,0.83611,1.6795,0.2863,1.0753,0
-1.0907,0.21559,0,0.82924,0.82924,0.82924,1.7519,0.21559,1.0907,0
