"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.9649,-1,0,0,-1.9649,0,1,0,5,0,0
-1.9652,-0.99795,0.00018208,0,-1.9652,-0.00095026,1,0.001,5,0.001,0
-1.9656,-0.99589,0.00036415,0,-1.9656,-0.0019005,1,0.002,5,0.002,0
-1.966,-0.99384,0.00054623,0,-1.966,-0.0028508,1,0.003,5,0.003,0
-1.9664,-0.99178,0.0007283,0,-1.9664,-0.003801,1,0.004,5,0.004,0
-1.9667,-0.98973,0.00091038,0,-1.9667,-0.0047513,1,0.005,5,0.005,0
-1.9671,-0.98767,0.0010925,0,-1.9671,-0.0057015,1,0.006,5,0.006,0
-1.9675,-0.98562,0.0012745,0,-1.9675,-0.0066518,1,0.007,5,0.007,0
-1.9678,-0.98356,0.0014566,0,-1.9678,-0.0076021,1,0.008,5,0.008,0
-1.9682,-0.98151,0.0016387,0,-1.9682,-0.0085523,1,0.009,5,0.009,0
-1.9686,-0.97945,0.0018208,0,-1.9686,-0.0095026,1,0.01,5,0.01,0
-1.969,-0.9774,0.0020028,0,-1.969,-0.010453,1,0.011,5,0.011,0
-1.9693,-0.97534,0.0021849,0,-1.9693,-0.011403,1,0.012,5,0.012,0
-1.9697,-0.97329,0.002367,0,-1.9697,-0.012353,1,0.013,5,0.013,0
-1.9701,-0.97123,0.0025491,0,-1.9701,-0.013304,1,0.014,5,0.014,0
-1.9705,-0.96918,0.0027311,0,-1.9705,-0.014254,1,0.015,5,0.015,0
-1.9708,-0.96712,0.0029132,0,-1.9708,-0.015204,1,0.016,5,0.016,0
-1.9712,-0.96507,0.0030953,0,-1.9712,-0.016154,1,0.017,5,0.017,0
-1.9716,-0.96301,0.0032774,0,-1.9716,-0.017105,1,0.018,5,0.018,0
-1.9719,-0.96096,0.0034594,0,-1.9719,-0.018055,1,0.019,5,0.019,0
-1.9723,-0.9589,0.0036415,0,-1.9723,-0.019005,1,0.02,5,0.02,0
-1.9727,-0.95685,0.0038236,0,-1.9727,-0.019955,1,0.021,5,0.021,0
-1.9731,-0.95479,0.0040057,0,-1.9731,-0.020906,1,0.022,5,0.022,0
-1.9734,-0.95274,0.0041877,0,-1.9734,-0.021856,1,0.023,5,0.023,0
-1.9738,-0.95068,0.0043698,0,-1.9738,-0.022806,1,0.024,5,0.024,0
-1.9742,-0.94863,0.0045519,0,-1.9742,-0.023756,1,0.025,5,0.025,0
-1.9746,-0.94657,0.004734,0,-1.9746,-0.024707,1,0.026,5,0.026,0
-1.9749,-0.94452,0.004916,0,-1.9749,-0.025657,1,0.027,5,0.027,0
-1.9753,-0.94246,0.0050981,0,-1.9753,-0.026607,1,0.028,5,0.028,0
-1.9757,-0.94041,0.0052802,0,-1.9757,-0.027557,1,0.029,5,0.029,0
-1.976,-0.93835,0.0054623,0,-1.976,-0.028508,1,0.03,5,0.03,0
-1.9764,-0.9363,0.0056444,0,-1.9764,-0.029458,1,0.031,5,0.031,0
-1.9768,-0.93424,0.0058264,0,-1.9768,-0.030408,1,0.032,5,0.032,0
-1.9772,-0.93219,0.0060085,0,-1.9772,-0.031358,1,0.033,5,0.033,0
-1.9775,-0.93013,0.0061906,0,-1.9775,-0.032309,1,0.034,5,0.034,0
-1.9779,-0.92808,0.0063727,0,-1.9779,-0.033259,1,0.035,5,0.035,0
-1.9783,-0.92602,0.0065547,0,-1.9783,-0.034209,1,0.036,5,0.036,0
-1.9787,-0.92397,0.0067368,0,-1.9787,-0.03516,1,0.037,5,0.037,0
-1.9832,-0.92208,0.0067696,0,-1.9832,-0.036095,1,0.038,5,0.038,0
-1.9884,-0.92023,0.0067739,0,-1.9884,-0.037028,1,0.039,5,0.039,0
-1.9937,-0.91837,0.0067782,0,-1.9937,-0.037961,1,0.04,5,0.04,0
-1.999,-0.91652,0.0067825,0,-1.999,-0.038894,1,0.041,5,0.041,0
-2.0043,-0.91466,0.0067868,0,-2.0043,-0.039826,1,0.042,5,0.042,0
-2.0095,-0.91281,0.0067911,0,-2.0095,-0.040759,1,0.043,5,0.043,0
-2.0148,-0.91096,0.0067954,0,-2.0148,-0.041692,1,0.044,5,0.044,0
-2.0201,-0.9091,0.0067997,0,-2.0201,-0.042625,1,0.045,5,0.045,0
-2.0254,-0.90725,0.0068039,0,-2.0254,-0.043558,1,0.046,5,0.046,0
-2.0307,-0.90539,0.0068082,0,-2.0307,-0.04449,1,0.047,5,0.047,0
-2.0359,-0.90354,0.0068125,0,-2.0359,-0.045423,1,0.048,5,0.048,0
-2.0412,-0.90169,0.0068168,0,-2.0412,-0.046356,1,0.049,5,0.049,0
-2.045,-0.89981,0.0067642,0,-2.045,-0.047269,1,0.05,5,0.05,0
-2.0444,-0.89788,0.006549,0,-2.0444,-0.048125,1,0.051,5,0.051,0
-2.0437,-0.89594,0.0063338,0,-2.0437,-0.048981,1,0.052,5,0.052,0
-2.0431,-0.89401,0.0061186,0,-2.0431,-0.049836,1,0.053,5,0.053,0
-2.0425,-0.89208,0.0059034,0,-2.0425,-0.050692,1,0.054,5,0.054,0
-2.0418,-0.89014,0.0056881,0,-2.0418,-0.051548,1,0.055,5,0.055,0
-2.0412,-0.88821,0.0054729,0,-2.0412,-0.052404,1,0.056,5,0.056,0
-2.0406,-0.88628,0.0052577,0,-2.0406,-0.05326,1,0.057,5,0.057,0
-2.04,-0.88434,0.0050425,0,-2.04,-0.054116,1,0.058,5,0.058,0
-2.0393,-0.88241,0.0048273,0,-2.0393,-0.054972,1,0.059,5,0.059,0
-2.0387,-0.88048,0.0046121,0,-2.0387,-0.055828,1,0.06,5,0.06,0
-2.0381,-0.87854,0.0043968,0,-2.0381,-0.056684,1,0.061,5,0.061,0
-2.0375,-0.87661,0.0041816,0,-2.0375,-0.05754,1,0.062,5,0.062,0
-2.0368,-0.87468,0.0039664,0,-2.0368,-0.058396,1,0.063,5,0.063,0
-2.0362,-0.87274,0.0037512,0,-2.0362,-0.059251,1,0.064,5,0.064,0
-2.0356,-0.87081,0.003536,0,-2.0356,-0.060107,1,0.065,5,0.065,0
-2.035,-0.86888,0.0033207,0,-2.035,-0.060963,1,0.066,5,0.066,0
-2.0343,-0.86694,0.0031055,0,-2.0343,-0.061819,1,0.067,5,0.067,0
-2.0337,-0.86501,0.0028903,0,-2.0337,-0.062675,1,0.068,5,0.068,0
-2.0331,-0.86308,0.0026751,0,-2.0331,-0.063531,1,0.069,5,0.069,0
-2.0324,-0.86114,0.0024599,0,-2.0324,-0.064387,1,0.07,5,0.07,0
-2.0318,-0.85921,0.0022447,0,-2.0318,-0.065243,1,0.071,5,0.071,0
-2.0312,-0.85728,0.0020294,0,-2.0312,-0.066099,1,0.072,5,0.072,0
-2.0306,-0.85534,0.0018142,0,-2.0306,-0.066955,1,0.073,5,0.073,0
-2.0299,-0.85341,0.001599,0,-2.0299,-0.067811,1,0.074,5,0.074,0
-2.0293,-0.85148,0.0013838,0,-2.0293,-0.068666,1,0.075,5,0.075,0
-2.0287,-0.84954,0.0011686,0,-2.0287,-0.069522,1,0.076,5,0.076,0
-2.0281,-0.84761,0.00095336,0,-2.0281,-0.070378,1,0.077,5,0.077,0
-2.0274,-0.84568,0.00073814,0,-2.0274,-0.071234,1,0.078,5,0.078,0
-2.0268,-0.84374,0.00052292,0,-2.0268,-0.07209,1,0.079,5,0.079,0
-2.0262,-0.84181,0.00030771,0,-2.0262,-0.072946,1,0.08,5,0.08,0
-2.0256,-0.83988,9.2488e-05,0,-2.0256,-0.073802,1,0.081,5,0.081,0
-2.0249,-0.83794,-0.00012273,0,-2.0249,-0.074658,1,0.082,5,0.082,0
-2.0243,-0.83601,-0.00033795,0,-2.0243,-0.075514,1,0.083,5,0.083,0
-2.0237,-0.83408,-0.00055316,0,-2.0237,-0.07637,1,0.084,5,0.084,0
-2.023,-0.83214,-0.00076838,0,-2.023,-0.077225,1,0.085,5,0.085,0
-2.0224,-0.83021,-0.0009836,0,-2.0224,-0.078081,1,0.086,5,0.086,0
-2.0218,-0.82828,-0.0011988,0,-2.0218,-0.078937,1,0.087,5,0.087,0
-2.0212,-0.82634,-0.001414,0,-2.0212,-0.079793,1,0.088,5,0.088,0
-2.0205,-0.82441,-0.0016293,0,-2.0205,-0.080649,1,0.089,5,0.089,0
-2.0199,-0.82248,-0.0018445,0,-2.0199,-0.081505,1,0.09,5,0.09,0
-2.0193,-0.82054,-0.0020597,0,-2.0193,-0.082361,1,0.091,5,0.091,0
-2.0187,-0.81861,-0.0022749,0,-2.0187,-0.083217,1,0.092,5,0.092,0
-2.018,-0.81668,-0.0024901,0,-2.018,-0.084073,1,0.093,5,0.093,0
-2.0174,-0.81474,-0.0027053,0,-2.0174,-0.084929,1,0.094,5,0.094,0
-2.0168,-0.81281,-0.0029206,0,-2.0168,-0.085785,1,0.095,5,0.095,0
-2.0162,-0.81088,-0.0031358,0,-2.0162,-0.08664,1,0.096,5,0.096,0
-2.0155,-0.80894,-0.003351,0,-2.0155,-0.087496,1,0.097,5,0.097,0
-2.0149,-0.80695,-0.0035135,0,-2.0149,-0.088344,1,0.098,5,0.098,0
-2.0143,-0.80461,-0.0034016,0,-2.0143,-0.089152,1,0.099,5,0.099,0
-2.0137,-0.80228,-0.0032896,0,-2.0137,-0.089959,1,0.1,5,0.1,0
-2.0132,-0.79995,-0.0031777,0,-2.0132,-0.090767,1,0.101,5,0.101,0
-2.0126,-0.79761,-0.0030657,0,-2.0126,-0.091574,1,0.102,5,0.102,0
-2.012,-0.79528,-0.0029537,0,-2.012,-0.092381,1,0.103,5,0.103,0
-2.0114,-0.79295,-0.0028418,0,-2.0114,-0.093189,1,0.104,5,0.104,0
-2.0108,-0.79061,-0.0027298,0,-2.0108,-0.093996,1,0.105,5,0.105,0
-2.0102,-0.78828,-0.0026179,0,-2.0102,-0.094804,1,0.106,5,0.106,0
-2.0096,-0.78594,-0.0025059,0,-2.0096,-0.095611,1,0.107,5,0.107,0
-2.0091,-0.78361,-0.002394,0,-2.0091,-0.096418,1,0.108,5,0.108,0
-2.0089,-0.78149,-0.0024184,0,-2.0089,-0.097153,1,0.109,5,0.109,0
