"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.5076,-1,0,0,-2.5076,0,1,0,5,0,0
-2.5071,-0.99739,0.00022876,0,-2.5071,-0.0009367,1,0.001,5,0.001,0
-2.5066,-0.99479,0.00045753,0,-2.5066,-0.0018734,1,0.002,5,0.002,0
-2.5061,-0.99218,0.00068629,0,-2.5061,-0.0028101,1,0.003,5,0.003,0
-2.5056,-0.98957,0.00091505,0,-2.5056,-0.0037468,1,0.004,5,0.004,0
-2.5051,-0.98696,0.0011438,0,-2.5051,-0.0046835,1,0.005,5,0.005,0
-2.5045,-0.98436,0.0013726,0,-2.5045,-0.0056202,1,0.006,5,0.006,0
-2.504,-0.98175,0.0016013,0,-2.504,-0.0065569,1,0.007,5,0.007,0
-2.5035,-0.97914,0.0018301,0,-2.5035,-0.0074936,1,0.008,5,0.008,0
-2.503,-0.97653,0.0020589,0,-2.503,-0.0084303,1,0.009,5,0.009,0
-2.5025,-0.97393,0.0022876,0,-2.5025,-0.009367,1,0.01,5,0.01,0
-2.502,-0.97132,0.0025164,0,-2.502,-0.010304,1,0.011,5,0.011,0
-2.5015,-0.96871,0.0027452,0,-2.5015,-0.01124,1,0.012,5,0.012,0
-2.501,-0.96611,0.0029739,0,-2.501,-0.012177,1,0.013,5,0.013,0
-2.5005,-0.9635,0.0032027,0,-2.5005,-0.013114,1,0.014,5,0.014,0
-2.5,-0.96089,0.0034314,0,-2.5,-0.01405,1,0.015,5,0.015,0
-2.4995,-0.95828,0.0036602,0,-2.4995,-0.014987,1,0.016,5,0.016,0
-2.4989,-0.95568,0.003889,0,-2.4989,-0.015924,1,0.017,5,0.017,0
-2.4984,-0.95307,0.0041177,0,-2.4984,-0.016861,1,0.018,5,0.018,0
-2.4979,-0.95046,0.0043465,0,-2.4979,-0.017797,1,0.019,5,0.019,0
-2.4974,-0.94785,0.0045753,0,-2.4974,-0.018734,1,0.02,5,0.02,0
-2.4969,-0.94525,0.004804,0,-2.4969,-0.019671,1,0.021,5,0.021,0
-2.4964,-0.94264,0.0050328,0,-2.4964,-0.020607,1,0.022,5,0.022,0
-2.4959,-0.94003,0.0052615,0,-2.4959,-0.021544,1,0.023,5,0.023,0
-2.4954,-0.93742,0.0054903,0,-2.4954,-0.022481,1,0.024,5,0.024,0
-2.4949,-0.93482,0.0057191,0,-2.4949,-0.023417,1,0.025,5,0.025,0
-2.4944,-0.93221,0.0059478,0,-2.4944,-0.024354,1,0.026,5,0.026,0
-2.4938,-0.9296,0.0061766,0,-2.4938,-0.025291,1,0.027,5,0.027,0
-2.4933,-0.927,0.0064054,0,-2.4933,-0.026228,1,0.028,5,0.028,0
-2.4928,-0.92439,0.0066341,0,-2.4928,-0.027164,1,0.029,5,0.029,0
-2.4923,-0.92178,0.0068629,0,-2.4923,-0.028101,1,0.03,5,0.03,0
-2.4918,-0.91917,0.0070916,0,-2.4918,-0.029038,1,0.031,5,0.031,0
-2.4913,-0.91657,0.0073204,0,-2.4913,-0.029974,1,0.032,5,0.032,0
-2.4908,-0.91396,0.0075492,0,-2.4908,-0.030911,1,0.033,5,0.033,0
-2.4903,-0.91135,0.0077779,0,-2.4903,-0.031848,1,0.034,5,0.034,0
-2.4898,-0.90874,0.0080067,0,-2.4898,-0.032784,1,0.035,5,0.035,0
-2.4893,-0.90614,0.0082355,0,-2.4893,-0.033721,1,0.036,5,0.036,0
-2.4888,-0.90353,0.0084642,0,-2.4888,-0.034658,1,0.037,5,0.037,0
-2.4933,-0.90115,0.0085046,0,-2.4933,-0.035576,1,0.038,5,0.038,0
-2.4988,-0.89881,0.0085091,0,-2.4988,-0.036491,1,0.039,5,0.039,0
-2.5044,-0.89647,0.0085136,0,-2.5044,-0.037406,1,0.04,5,0.04,0
-2.5099,-0.89414,0.0085181,0,-2.5099,-0.038321,1,0.041,5,0.041,0
-2.5154,-0.8918,0.0085226,0,-2.5154,-0.039235,1,0.042,5,0.042,0
-2.5209,-0.88946,0.0085271,0,-2.5209,-0.04015,1,0.043,5,0.043,0
-2.5265,-0.88712,0.0085316,0,-2.5265,-0.041065,1,0.044,5,0.044,0
-2.532,-0.88478,0.0085361,0,-2.532,-0.04198,1,0.045,5,0.045,0
-2.5375,-0.88245,0.0085406,0,-2.5375,-0.042895,1,0.046,5,0.046,0
-2.543,-0.88011,0.0085451,0,-2.543,-0.043809,1,0.047,5,0.047,0
-2.5486,-0.87777,0.0085496,0,-2.5486,-0.044724,1,0.048,5,0.048,0
-2.5541,-0.87543,0.0085541,0,-2.5541,-0.045639,1,0.049,5,0.049,0
-2.5575,-0.87309,0.008488,0,-2.5575,-0.046529,1,0.05,5,0.05,0
-2.555,-0.87072,0.0082201,0,-2.555,-0.047348,1,0.051,5,0.051,0
-2.5524,-0.86835,0.0079522,0,-2.5524,-0.048167,1,0.052,5,0.052,0
-2.5499,-0.86598,0.0076843,0,-2.5499,-0.048986,1,0.053,5,0.053,0
-2.5474,-0.86361,0.0074164,0,-2.5474,-0.049805,1,0.054,5,0.054,0
-2.5448,-0.86124,0.0071486,0,-2.5448,-0.050624,1,0.055,5,0.055,0
-2.5423,-0.85887,0.0068807,0,-2.5423,-0.051443,1,0.056,5,0.056,0
-2.5397,-0.8565,0.0066128,0,-2.5397,-0.052262,1,0.057,5,0.057,0
-2.5372,-0.85413,0.0063449,0,-2.5372,-0.053081,1,0.058,5,0.058,0
