"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.425,-1,0,0,-5.425,0,1,0,5,0,0
-5.4118,-0.94426,0.0046253,0,-5.4118,-0.0086488,1,0.01,5,0.01,0
-5.3985,-0.88852,0.0092507,0,-5.3985,-0.017298,1,0.02,5,0.02,0
-5.3853,-0.83278,0.013876,0,-5.3853,-0.025946,1,0.03,5,0.03,0
-5.394,-0.77888,0.017228,0,-5.394,-0.034463,1,0.04,5,0.04,0
-5.451,-0.7297,0.017226,0,-5.451,-0.042597,1,0.05,5,0.05,0
-5.2351,-0.68348,0.011874,0,-5.2351,-0.048807,1,0.06,5,0.06,0
-5.0191,-0.63725,0.006523,0,-5.0191,-0.055017,1,0.07,5,0.07,0
-4.8032,-0.59103,0.0011716,0,-4.8032,-0.061227,1,0.08,5,0.08,0
-4.5872,-0.54481,-0.0041798,0,-4.5872,-0.067437,1,0.09,5,0.09,0
-4.3715,-0.4972,-0.0079216,0,-4.3715,-0.073405,1,0.1,5,0.1,0
-4.1527,-0.44767,-0.00633,0,-4.1527,-0.07819,1,0.11,5,0.11,0
-3.918,-0.41154,-0.0069161,0,-3.918,-0.081641,1,0.12,5,0.12,0
-3.6837,-0.37531,-0.007328,0,-3.6837,-0.0851,1,0.13,5,0.13,0
-3.454,-0.33801,-0.0058368,0,-3.454,-0.088652,1,0.14,5,0.14,0
-3.2243,-0.30071,-0.0043456,0,-3.2243,-0.092204,1,0.15,5,0.15,0
-2.9946,-0.26341,-0.0028543,0,-2.9946,-0.095757,1,0.16,5,0.16,0
-2.778,-0.23821,-0.0028022,0,-2.778,-0.098029,1,0.17,5,0.17,0
-2.5651,-0.21644,-0.003157,0,-2.5651,-0.09994,1,0.18,5,0.18,0
-2.3553,-0.19527,-0.0025797,0,-2.3553,-0.10178,1,0.19,5,0.19,0
-2.1461,-0.17418,-0.0018632,0,-2.1461,-0.10362,1,0.2,5,0.2,0
-1.9368,-0.1531,-0.0011468,0,-1.9368,-0.10545,1,0.21,5,0.21,0
-1.7275,-0.13201,-0.0004303,0,-1.7275,-0.10728,1,0.22,5,0.22,0
-1.5638,-0.1164,-0.00054022,0,-1.5638,-0.1083,1,0.23,5,0.23,0
-1.4071,-0.10162,-0.00077721,0,-1.4071,-0.1092,1,0.24,5,0.24,0
-1.2505,-0.086845,-0.0010142,0,-1.2505,-0.11009,1,0.25,5,0.25,0
-1.0938,-0.072068,-0.0012512,0,-1.0938,-0.11098,1,0.26,5,0.26,0
-0.94564,-0.058478,-0.0014736,0,-0.94564,-0.1118,1,0.27,5,0.27,0
-0.84294,-0.051234,-0.0015824,0,-0.84294,-0.11223,1,0.28,5,0.28,0
-0.74025,-0.04399,-0.0016913,0,-0.74025,-0.11265,1,0.29,5,0.29,0
-0.63756,-0.036746,-0.0018001,0,-0.63756,-0.11308,1,0.3,5,0.3,0
-0.53487,-0.029502,-0.0019089,0,-0.53487,-0.1135,1,0.31,5,0.31,0
-0.46379,-0.025204,-0.0017371,0,-0.46379,-0.11375,1,0.32,5,0.32,0
-0.40445,-0.022001,-0.0014611,0,-0.40445,-0.11394,1,0.33,5,0.33,0
-0.34511,-0.018797,-0.0011851,0,-0.34511,-0.11413,1,0.34,5,0.34,0
-0.28578,-0.015593,-0.00090914,0,-0.28578,-0.11432,1,0.35,5,0.35,0
-0.22556,-0.012194,-0.00074958,0,-0.22556,-0.11451,1,0.36,5,0.36,0
-0.19296,-0.010342,-0.00069119,0,-0.19296,-0.11459,1,0.37,5,0.37,0
-0.16586,-0.0086391,-0.00072152,0,-0.16586,-0.11466,1,0.38,5,0.38,0
-0.13877,-0.0069362,-0.00075185,0,-0.13877,-0.11472,1,0.39,5,0.39,0
-0.11167,-0.0052333,-0.00078217,0,-0.11167,-0.11479,1,0.4,5,0.4,0
-0.084576,-0.0035304,-0.0008125,0,-0.084576,-0.11485,1,0.41,5,0.41,0
-0.067053,-0.0026195,-0.00079577,0,-0.067053,-0.11489,1,0.42,5,0.42,0
-0.053998,-0.0020747,-0.00075962,0,-0.053998,-0.11492,1,0.43,5,0.43,0
-0.045162,-0.0017685,-0.00078264,0,-0.045162,-0.11493,1,0.44,5,0.44,0
-0.036326,-0.0014622,-0.00080566,0,-0.036326,-0.11495,1,0.45,5,0.45,0
-0.02749,-0.0011559,-0.00082868,0,-0.02749,-0.11497,1,0.46,5,0.46,0
-0.019661,-0.00085747,-0.00084896,0,-0.019661,-0.11498,1,0.47,5,0.47,0
-0.018538,-0.00061081,-0.00085097,0,-0.018538,-0.11498,1,0.48,5,0.48,0
-0.017414,-0.00036415,-0.00085299,0,-0.017414,-0.11498,1,0.49,5,0.49,0
-0.016291,-0.00011748,-0.000855,0,-0.016291,-0.11499,1,0.5,5,0.5,0
-0.015168,0.00012918,-0.00085702,0,-0.015168,-0.11499,1,0.51,5,0.51,0
-0.01421,0.00037814,-0.00086641,0,-0.01421,-0.11499,1,0.52,5,0.52,0
-0.021747,0.00073468,-0.00094145,0,-0.021747,-0.11498,1,0.53,5,0.53,0
-0.030277,0.0011082,-0.0010342,0,-0.030277,-0.11497,1,0.54,5,0.54,0
-0.038806,0.0014816,-0.0011269,0,-0.038806,-0.11495,1,0.55,5,0.55,0
-0.047336,0.0018551,-0.0012196,0,-0.047336,-0.11494,1,0.56,5,0.56,0
-0.055865,0.0022286,-0.0013124,0,-0.055865,-0.11492,1,0.57,5,0.57,0
-0.064395,0.002602,-0.0014051,0,-0.064395,-0.11491,1,0.58,5,0.58,0
-0.08491,0.0038062,-0.0014774,0,-0.08491,-0.11487,1,0.59,5,0.59,0
-0.11,0.005327,-0.001542,0,-0.11,-0.11481,1,0.6,5,0.6,0
-0.13647,0.0068989,-0.0015624,0,-0.13647,-0.11474,1,0.61,5,0.61,0
-0.16879,0.008685,-0.0013974,0,-0.16879,-0.11467,1,0.62,5,0.62,0
-0.20111,0.010471,-0.0012325,0,-0.20111,-0.11459,1,0.63,5,0.63,0
-0.23342,0.012257,-0.0010676,0,-0.23342,-0.11451,1,0.64,5,0.64,0
-0.27743,0.014846,-0.0010248,0,-0.27743,-0.11438,1,0.65,5,0.65,0
-0.34147,0.01881,-0.0011914,0,-0.34147,-0.11418,1,0.66,5,0.66,0
-0.40551,0.022775,-0.001358,0,-0.40551,-0.11397,1,0.67,5,0.67,0
