"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.0136,-1,0,0,-2.0136,0,1,0,5,0,0
-2.0135,-0.99799,-3.526e-08,0,-2.0135,-0.00087431,1,0.001,5,0.001,0
-2.0135,-0.99598,-7.0519e-08,0,-2.0135,-0.0017486,1,0.002,5,0.002,0
-2.0135,-0.99396,-1.0578e-07,0,-2.0135,-0.0026229,1,0.003,5,0.003,0
-2.0135,-0.99195,-1.4104e-07,0,-2.0135,-0.0034972,1,0.004,5,0.004,0
-2.0134,-0.98994,-1.763e-07,0,-2.0134,-0.0043716,1,0.005,5,0.005,0
-2.0134,-0.98793,-2.1156e-07,0,-2.0134,-0.0052459,1,0.006,5,0.006,0
-2.0134,-0.98592,-2.4682e-07,0,-2.0134,-0.0061202,1,0.007,5,0.007,0
-2.0134,-0.9839,-2.8208e-07,0,-2.0134,-0.0069945,1,0.008,5,0.008,0
-2.0133,-0.98189,-3.1734e-07,0,-2.0133,-0.0078688,1,0.009,5,0.009,0
-2.0133,-0.97988,-3.526e-07,0,-2.0133,-0.0087431,1,0.01,5,0.01,0
-2.0133,-0.97787,-3.8786e-07,0,-2.0133,-0.0096174,1,0.011,5,0.011,0
-2.0133,-0.97586,-4.2312e-07,0,-2.0133,-0.010492,1,0.012,5,0.012,0
-2.0132,-0.97385,-4.5838e-07,0,-2.0132,-0.011366,1,0.013,5,0.013,0
-2.0132,-0.97183,-4.9364e-07,0,-2.0132,-0.01224,1,0.014,5,0.014,0
-2.0132,-0.96982,-5.2889e-07,0,-2.0132,-0.013115,1,0.015,5,0.015,0
-2.0132,-0.96781,-5.6415e-07,0,-2.0132,-0.013989,1,0.016,5,0.016,0
-2.0131,-0.9658,-5.9941e-07,0,-2.0131,-0.014863,1,0.017,5,0.017,0
-2.0131,-0.96379,-6.3467e-07,0,-2.0131,-0.015738,1,0.018,5,0.018,0
-2.0131,-0.96177,-6.6993e-07,0,-2.0131,-0.016612,1,0.019,5,0.019,0
-2.0131,-0.95976,-7.0519e-07,0,-2.0131,-0.017486,1,0.02,5,0.02,0
-2.013,-0.95775,-7.4045e-07,0,-2.013,-0.018361,1,0.021,5,0.021,0
-2.013,-0.95574,-7.7571e-07,0,-2.013,-0.019235,1,0.022,5,0.022,0
-2.013,-0.95373,-8.1097e-07,0,-2.013,-0.020109,1,0.023,5,0.023,0
-2.013,-0.95171,-8.4623e-07,0,-2.013,-0.020983,1,0.024,5,0.024,0
-2.0129,-0.9497,-8.8149e-07,0,-2.0129,-0.021858,1,0.025,5,0.025,0
-2.0129,-0.94769,-9.1675e-07,0,-2.0129,-0.022732,1,0.026,5,0.026,0
-2.0129,-0.94568,-9.5201e-07,0,-2.0129,-0.023606,1,0.027,5,0.027,0
-2.0129,-0.94367,-9.8727e-07,0,-2.0129,-0.024481,1,0.028,5,0.028,0
-2.0128,-0.94165,-1.0225e-06,0,-2.0128,-0.025355,1,0.029,5,0.029,0
-2.0128,-0.93964,-1.0578e-06,0,-2.0128,-0.026229,1,0.03,5,0.03,0
-2.0128,-0.93763,-1.093e-06,0,-2.0128,-0.027104,1,0.031,5,0.031,0
-2.0128,-0.93562,-1.1283e-06,0,-2.0128,-0.027978,1,0.032,5,0.032,0
-2.0127,-0.93361,-1.1636e-06,0,-2.0127,-0.028852,1,0.033,5,0.033,0
-2.0127,-0.9316,-1.1988e-06,0,-2.0127,-0.029727,1,0.034,5,0.034,0
-2.0127,-0.92958,-1.2341e-06,0,-2.0127,-0.030601,1,0.035,5,0.035,0
-2.0127,-0.92757,-1.2693e-06,0,-2.0127,-0.031475,1,0.036,5,0.036,0
-2.0126,-0.92556,-1.3046e-06,0,-2.0126,-0.03235,1,0.037,5,0.037,0
-2.0126,-0.92355,-1.3399e-06,0,-2.0126,-0.033224,1,0.038,5,0.038,0
-2.0126,-0.92154,-1.3751e-06,0,-2.0126,-0.034098,1,0.039,5,0.039,0
-2.0126,-0.91952,-1.4104e-06,0,-2.0126,-0.034972,1,0.04,5,0.04,0
-2.0125,-0.91751,-1.4456e-06,0,-2.0125,-0.035847,1,0.041,5,0.041,0
-2.0125,-0.9155,-1.4809e-06,0,-2.0125,-0.036721,1,0.042,5,0.042,0
-2.0125,-0.91349,-1.5162e-06,0,-2.0125,-0.037595,1,0.043,5,0.043,0
-2.0125,-0.91148,-1.5514e-06,0,-2.0125,-0.03847,1,0.044,5,0.044,0
-2.0124,-0.90946,-1.5867e-06,0,-2.0124,-0.039344,1,0.045,5,0.045,0
-2.0124,-0.90745,-1.6219e-06,0,-2.0124,-0.040218,1,0.046,5,0.046,0
-2.0124,-0.90544,-1.6572e-06,0,-2.0124,-0.041093,1,0.047,5,0.047,0
-2.0123,-0.90343,-1.6925e-06,0,-2.0123,-0.041967,1,0.048,5,0.048,0
-2.0123,-0.90142,-1.7277e-06,0,-2.0123,-0.042841,1,0.049,5,0.049,0
-2.0123,-0.8994,-1.763e-06,0,-2.0123,-0.043716,1,0.05,5,0.05,0
-2.0123,-0.89739,-1.7982e-06,0,-2.0123,-0.04459,1,0.051,5,0.051,0
-2.0122,-0.89538,-1.8335e-06,0,-2.0122,-0.045464,1,0.052,5,0.052,0
-2.0122,-0.89337,-1.8688e-06,0,-2.0122,-0.046339,1,0.053,5,0.053,0
-2.0122,-0.89136,-1.904e-06,0,-2.0122,-0.047213,1,0.054,5,0.054,0
-2.0122,-0.88934,-1.9393e-06,0,-2.0122,-0.048087,1,0.055,5,0.055,0
-2.0121,-0.88733,-1.9745e-06,0,-2.0121,-0.048961,1,0.056,5,0.056,0
-2.0121,-0.88532,-2.0098e-06,0,-2.0121,-0.049836,1,0.057,5,0.057,0
-2.0121,-0.88331,-2.0451e-06,0,-2.0121,-0.05071,1,0.058,5,0.058,0
-2.0121,-0.8813,-2.0803e-06,0,-2.0121,-0.051584,1,0.059,5,0.059,0
-2.012,-0.87929,-2.1156e-06,0,-2.012,-0.052459,1,0.06,5,0.06,0
-2.012,-0.87727,-2.1508e-06,0,-2.012,-0.053333,1,0.061,5,0.061,0
-2.012,-0.87526,-2.1861e-06,0,-2.012,-0.054207,1,0.062,5,0.062,0
-2.012,-0.87325,-2.2214e-06,0,-2.012,-0.055082,1,0.063,5,0.063,0
-2.0119,-0.87124,-2.2566e-06,0,-2.0119,-0.055956,1,0.064,5,0.064,0
-2.0119,-0.86923,-2.2919e-06,0,-2.0119,-0.05683,1,0.065,5,0.065,0
-2.0119,-0.86721,-2.3271e-06,0,-2.0119,-0.057705,1,0.066,5,0.066,0
-2.0119,-0.8652,-2.3624e-06,0,-2.0119,-0.058579,1,0.067,5,0.067,0
-2.0118,-0.86319,-2.3977e-06,0,-2.0118,-0.059453,1,0.068,5,0.068,0
-2.0118,-0.86118,-2.4329e-06,0,-2.0118,-0.060328,1,0.069,5,0.069,0
-2.0118,-0.85917,-2.4682e-06,0,-2.0118,-0.061202,1,0.07,5,0.07,0
-2.0118,-0.85715,-2.5034e-06,0,-2.0118,-0.062076,1,0.071,5,0.071,0
-2.0117,-0.85514,-2.5387e-06,0,-2.0117,-0.06295,1,0.072,5,0.072,0
-2.0117,-0.85313,-2.574e-06,0,-2.0117,-0.063825,1,0.073,5,0.073,0
-2.0117,-0.85112,-2.6092e-06,0,-2.0117,-0.064699,1,0.074,5,0.074,0
-2.0117,-0.84911,-2.6445e-06,0,-2.0117,-0.065573,1,0.075,5,0.075,0
-2.0116,-0.84709,-2.6797e-06,0,-2.0116,-0.066448,1,0.076,5,0.076,0
-2.0116,-0.84508,-2.715e-06,0,-2.0116,-0.067322,1,0.077,5,0.077,0
-2.0116,-0.84307,-2.7503e-06,0,-2.0116,-0.068196,1,0.078,5,0.078,0
-2.0116,-0.84106,-2.7855e-06,0,-2.0116,-0.069071,1,0.079,5,0.079,0
-2.0115,-0.83905,-2.8208e-06,0,-2.0115,-0.069945,1,0.08,5,0.08,0
-2.0115,-0.83704,-2.856e-06,0,-2.0115,-0.070819,1,0.081,5,0.081,0
-2.0115,-0.83502,-2.8913e-06,0,-2.0115,-0.071694,1,0.082,5,0.082,0
-2.0115,-0.83301,-2.9266e-06,0,-2.0115,-0.072568,1,0.083,5,0.083,0
-2.0114,-0.831,-2.9618e-06,0,-2.0114,-0.073442,1,0.084,5,0.084,0
-2.0114,-0.82899,-2.9971e-06,0,-2.0114,-0.074317,1,0.085,5,0.085,0
-2.0114,-0.82698,-3.0323e-06,0,-2.0114,-0.075191,1,0.086,5,0.086,0
-2.0114,-0.82496,-3.0676e-06,0,-2.0114,-0.076065,1,0.087,5,0.087,0
-2.0113,-0.82295,-3.1028e-06,0,-2.0113,-0.076939,1,0.088,5,0.088,0
-2.0113,-0.82094,-3.1381e-06,0,-2.0113,-0.077814,1,0.089,5,0.089,0
-2.0113,-0.81893,-3.1734e-06,0,-2.0113,-0.078688,1,0.09,5,0.09,0
-2.0113,-0.81692,-3.2086e-06,0,-2.0113,-0.079562,1,0.091,5,0.091,0
-2.0112,-0.8149,-3.2439e-06,0,-2.0112,-0.080437,1,0.092,5,0.092,0
-2.0112,-0.81289,-3.2791e-06,0,-2.0112,-0.081311,1,0.093,5,0.093,0
-2.0112,-0.81088,-3.3144e-06,0,-2.0112,-0.082185,1,0.094,5,0.094,0
-2.0111,-0.80887,-3.3497e-06,0,-2.0111,-0.08306,1,0.095,5,0.095,0
-2.0111,-0.80686,-3.3849e-06,0,-2.0111,-0.083934,1,0.096,5,0.096,0
-2.0111,-0.80484,-3.4202e-06,0,-2.0111,-0.084808,1,0.097,5,0.097,0
-2.0111,-0.80283,-3.4554e-06,0,-2.0111,-0.085683,1,0.098,5,0.098,0
-2.011,-0.80082,-3.4907e-06,0,-2.011,-0.086557,1,0.099,5,0.099,0
-2.011,-0.79881,-3.526e-06,0,-2.011,-0.087431,1,0.1,5,0.1,0
-2.011,-0.7968,-3.5612e-06,0,-2.011,-0.088306,1,0.101,5,0.101,0
-2.011,-0.79479,-3.5965e-06,0,-2.011,-0.08918,1,0.102,5,0.102,0
-2.0109,-0.79277,-3.6317e-06,0,-2.0109,-0.090054,1,0.103,5,0.103,0
-2.0109,-0.79076,-3.667e-06,0,-2.0109,-0.090928,1,0.104,5,0.104,0
-2.0109,-0.78875,-3.7023e-06,0,-2.0109,-0.091803,1,0.105,5,0.105,0
-2.0109,-0.78674,-3.7375e-06,0,-2.0109,-0.092677,1,0.106,5,0.106,0
-2.0108,-0.78473,-3.7728e-06,0,-2.0108,-0.093551,1,0.107,5,0.107,0
-2.0108,-0.78271,-3.808e-06,0,-2.0108,-0.094426,1,0.108,5,0.108,0
-2.0108,-0.7807,-3.8433e-06,0,-2.0108,-0.0953,1,0.109,5,0.109,0
-2.0108,-0.77869,-3.8786e-06,0,-2.0108,-0.096174,1,0.11,5,0.11,0
-2.0107,-0.77668,-3.9138e-06,0,-2.0107,-0.097049,1,0.111,5,0.111,0
-2.0107,-0.77467,-3.9491e-06,0,-2.0107,-0.097923,1,0.112,5,0.112,0
-2.0107,-0.77265,-3.9843e-06,0,-2.0107,-0.098797,1,0.113,5,0.113,0
-2.0107,-0.77064,-4.0196e-06,0,-2.0107,-0.099672,1,0.114,5,0.114,0
-2.0106,-0.76863,-4.0549e-06,0,-2.0106,-0.10055,1,0.115,5,0.115,0
-2.0106,-0.76662,-4.0901e-06,0,-2.0106,-0.10142,1,0.116,5,0.116,0
-2.0106,-0.76461,-4.1254e-06,0,-2.0106,-0.10229,1,0.117,5,0.117,0
-2.0106,-0.76259,-4.1606e-06,0,-2.0106,-0.10317,1,0.118,5,0.118,0
-2.0105,-0.76058,-4.1959e-06,0,-2.0105,-0.10404,1,0.119,5,0.119,0
-2.0105,-0.75857,-4.2312e-06,0,-2.0105,-0.10492,1,0.12,5,0.12,0
