"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.1535,-1,0,0,-2.1535,0,1,0,5,0,0
-2.1704,-0.97751,0.0019236,0,-2.1704,-0.0094596,1,0.01,5,0.01,0
-2.1873,-0.95503,0.0038472,0,-2.1873,-0.018919,1,0.02,5,0.02,0
-2.2042,-0.93254,0.0057707,0,-2.2042,-0.028379,1,0.03,5,0.03,0
-2.233,-0.91069,0.007177,0,-2.233,-0.037783,1,0.04,5,0.04,0
-2.2895,-0.8904,0.0072171,0,-2.2895,-0.047027,1,0.05,5,0.05,0
-2.2645,-0.86935,0.0049322,0,-2.2645,-0.055449,1,0.06,5,0.06,0
-2.2394,-0.84831,0.0026473,0,-2.2394,-0.063871,1,0.07,5,0.07,0
-2.2144,-0.82727,0.00036242,0,-2.2144,-0.072294,1,0.08,5,0.08,0
-2.1893,-0.80622,-0.0019225,0,-2.1893,-0.080716,1,0.09,5,0.09,0
-2.1661,-0.78427,-0.0034786,0,-2.1661,-0.089025,1,0.1,5,0.1,0
-2.151,-0.75959,-0.0026738,0,-2.151,-0.096758,1,0.11,5,0.11,0
-2.1408,-0.73747,-0.0030878,0,-2.1408,-0.10378,1,0.12,5,0.12,0
-2.1308,-0.71533,-0.0034004,0,-2.1308,-0.1108,1,0.13,5,0.13,0
-2.1222,-0.69305,-0.0026049,0,-2.1222,-0.11788,1,0.14,5,0.14,0
-2.1136,-0.67076,-0.0018093,0,-2.1136,-0.12495,1,0.15,5,0.15,0
-2.105,-0.64847,-0.0010137,0,-2.105,-0.13203,1,0.16,5,0.16,0
-2.0942,-0.62866,-0.00090577,0,-2.0942,-0.1382,1,0.17,5,0.17,0
-2.0829,-0.60954,-0.00099226,0,-2.0829,-0.14411,1,0.18,5,0.18,0
-2.0715,-0.59045,-0.00052135,0,-2.0715,-0.14996,1,0.19,5,0.19,0
-2.0602,-0.57136,3.2823e-05,0,-2.0602,-0.1558,1,0.2,5,0.2,0
-2.0489,-0.55227,0.00058699,0,-2.0489,-0.16164,1,0.21,5,0.21,0
-2.0375,-0.53319,0.0011412,0,-2.0375,-0.16748,1,0.22,5,0.22,0
-2.0254,-0.51247,0.00094604,0,-2.0254,-0.17241,1,0.23,5,0.23,0
-2.013,-0.49151,0.00063571,0,-2.013,-0.17719,1,0.24,5,0.24,0
-2.0007,-0.47055,0.00032537,0,-2.0007,-0.18197,1,0.25,5,0.25,0
-1.9884,-0.44959,1.5035e-05,0,-1.9884,-0.18676,1,0.26,5,0.26,0
-1.9761,-0.42872,-0.00034618,0,-1.9761,-0.1914,1,0.27,5,0.27,0
-1.9641,-0.40833,-0.00084887,0,-1.9641,-0.19526,1,0.28,5,0.28,0
-1.9521,-0.38795,-0.0013516,0,-1.9521,-0.19913,1,0.29,5,0.29,0
-1.9401,-0.36756,-0.0018543,0,-1.9401,-0.203,1,0.3,5,0.3,0
-1.928,-0.34718,-0.002357,0,-1.928,-0.20687,1,0.31,5,0.31,0
-1.917,-0.32899,-0.0016404,0,-1.917,-0.2101,1,0.32,5,0.32,0
-1.9064,-0.31161,-0.00047109,0,-1.9064,-0.21309,1,0.33,5,0.33,0
-1.8958,-0.29423,0.00069823,0,-1.8958,-0.21608,1,0.34,5,0.34,0
-1.8852,-0.27686,0.0018676,0,-1.8852,-0.21908,1,0.35,5,0.35,0
-1.8745,-0.25912,0.0024874,0,-1.8745,-0.22209,1,0.36,5,0.36,0
-1.8658,-0.23939,0.0021081,0,-1.8658,-0.2243,1,0.37,5,0.37,0
-1.8577,-0.21948,0.0011605,0,-1.8577,-0.22632,1,0.38,5,0.38,0
-1.8495,-0.19957,0.000213,0,-1.8495,-0.22834,1,0.39,5,0.39,0
-1.8414,-0.17966,-0.00073455,0,-1.8414,-0.23035,1,0.4,5,0.4,0
-1.8333,-0.15975,-0.0016821,0,-1.8333,-0.23237,1,0.41,5,0.41,0
-1.8269,-0.14193,-0.0019724,0,-1.8269,-0.2339,1,0.42,5,0.42,0
-1.8213,-0.12507,-0.0019335,0,-1.8213,-0.2352,1,0.43,5,0.43,0
-1.8168,-0.10844,-0.00090514,0,-1.8168,-0.2362,1,0.44,5,0.44,0
-1.8123,-0.091807,0.00012327,0,-1.8123,-0.23719,1,0.45,5,0.45,0
-1.8079,-0.075177,0.0011517,0,-1.8079,-0.23819,1,0.46,5,0.46,0
-1.8038,-0.058177,0.0021448,0,-1.8038,-0.23907,1,0.47,5,0.47,0
-1.8029,-0.038705,0.0029028,0,-1.8029,-0.23921,1,0.48,5,0.48,0
-1.802,-0.019234,0.0036609,0,-1.802,-0.23934,1,0.49,5,0.49,0
-1.8011,0.00023776,0.0044189,0,-1.8011,-0.23948,1,0.5,5,0.5,0
-1.8001,0.019709,0.005177,0,-1.8001,-0.23962,1,0.51,5,0.51,0
-1.7993,0.039624,0.005387,0,-1.7993,-0.23974,1,0.52,5,0.52,0
-1.8028,0.057408,0.0045932,0,-1.8028,-0.23886,1,0.53,5,0.53,0
-1.8066,0.074992,0.0034384,0,-1.8066,-0.2379,1,0.54,5,0.54,0
-1.8104,0.092575,0.0022836,0,-1.8104,-0.23694,1,0.55,5,0.55,0
-1.8142,0.11016,0.0011289,0,-1.8142,-0.23598,1,0.56,5,0.56,0
-1.818,0.12774,-2.5893e-05,0,-1.818,-0.23502,1,0.57,5,0.57,0
-1.8218,0.14532,-0.0011807,0,-1.8218,-0.23406,1,0.58,5,0.58,0
-1.8284,0.16294,-0.001404,0,-1.8284,-0.23239,1,0.59,5,0.59,0
-1.8361,0.18056,-0.0012721,0,-1.8361,-0.23045,1,0.6,5,0.6,0
-1.8439,0.19835,-0.00090288,0,-1.8439,-0.22846,1,0.61,5,0.61,0
-1.8524,0.21684,0.000463,0,-1.8524,-0.22627,1,0.62,5,0.62,0
-1.861,0.23533,0.0018289,0,-1.861,-0.22407,1,0.63,5,0.63,0
-1.8695,0.25382,0.0031948,0,-1.8695,-0.22187,1,0.64,5,0.64,0
-1.879,0.27307,0.0037672,0,-1.879,-0.21935,1,0.65,5,0.65,0
-1.8901,0.29363,0.0029793,0,-1.8901,-0.21628,1,0.66,5,0.66,0
-1.9012,0.31419,0.0021915,0,-1.9012,-0.2132,1,0.67,5,0.67,0
-1.9127,0.33338,0.00082319,0,-1.9127,-0.20998,1,0.68,5,0.68,0
-1.9246,0.35133,-0.0010665,0,-1.9246,-0.20664,1,0.69,5,0.69,0
-1.9367,0.36966,-0.0026463,0,-1.9367,-0.20311,1,0.7,5,0.7,0
-1.9493,0.38857,-0.0037413,0,-1.9493,-0.19929,1,0.71,5,0.71,0
-1.962,0.40869,-0.0037821,0,-1.962,-0.1953,1,0.72,5,0.72,0
-1.975,0.4309,-0.0019747,0,-1.975,-0.19102,1,0.73,5,0.73,0
-1.9879,0.45311,-0.00016742,0,-1.9879,-0.18673,1,0.74,5,0.74,0
-2.001,0.47344,0.00064273,0,-2.001,-0.18206,1,0.75,5,0.75,0
-2.0143,0.49247,0.00076175,0,-2.0143,-0.17712,1,0.76,5,0.76,0
-2.0275,0.51149,0.00088076,0,-2.0275,-0.17218,1,0.77,5,0.77,0
-2.0408,0.53052,0.00099977,0,-2.0408,-0.16724,1,0.78,5,0.78,0
-2.0531,0.54915,0.0011528,0,-2.0531,-0.16179,1,0.79,5,0.79,0
-2.0652,0.568,0.001305,0,-2.0652,-0.15614,1,0.8,5,0.8,0
-2.0768,0.58868,0.0013959,0,-2.0768,-0.1501,1,0.81,5,0.81,0
-2.0885,0.60937,0.0014868,0,-2.0885,-0.14407,1,0.82,5,0.82,0
-2.1001,0.63006,0.0015777,0,-2.1001,-0.13804,1,0.83,5,0.83,0
-2.111,0.65098,0.0015077,0,-2.111,-0.13183,1,0.84,5,0.84,0
-2.1187,0.67289,0.00077885,0,-2.1187,-0.12488,1,0.85,5,0.85,0
-2.1265,0.6948,5.0039e-05,0,-2.1265,-0.11794,1,0.86,5,0.86,0
-2.1342,0.71671,-0.00067877,0,-2.1342,-0.111,1,0.87,5,0.87,0
-2.1417,0.73843,-0.0010518,0,-2.1417,-0.10393,1,0.88,5,0.88,0
-2.1476,0.76005,-0.0012589,0,-2.1476,-0.096618,1,0.89,5,0.89,0
-2.147,0.78175,-0.0016725,0,-2.147,-0.088471,1,0.9,5,0.9,0
-2.1488,0.80357,-0.0015609,0,-2.1488,-0.080331,1,0.91,5,0.91,0
-2.1522,0.82546,-0.001113,0,-2.1522,-0.072196,1,0.92,5,0.92,0
-2.1556,0.84735,-0.00066511,0,-2.1556,-0.064061,1,0.93,5,0.93,0
-2.159,0.86924,-0.00021719,0,-2.159,-0.055926,1,0.94,5,0.94,0
-2.1644,0.89106,-0.00010435,0,-2.1644,-0.046825,1,0.95,5,0.95,0
-2.1705,0.91284,-8.3482e-05,0,-2.1705,-0.03746,1,0.96,5,0.96,0
-2.1765,0.93463,-6.2611e-05,0,-2.1765,-0.028095,1,0.97,5,0.97,0
-2.1825,0.95642,-4.1741e-05,0,-2.1825,-0.01873,1,0.98,5,0.98,0
-2.1885,0.97821,-2.087e-05,0,-2.1885,-0.0093651,1,0.99,5,0.99,0
-2.1945,1,0,0,-2.1945,0,1,1,5,1,0
