"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.0482,0,0,0.0084588,0,1,0,5,0,0
0,2.0482,-0.0019541,0,0.010231,0.020479,1,0.01,5,0.01,0
0,2.0481,-0.0039083,0,0.012004,0.040959,1,0.02,5,0.02,0
0,2.0481,-0.0058624,0,0.013776,0.061438,1,0.03,5,0.03,0
0,2.048,-0.0078166,0,0.015549,0.081918,1,0.04,5,0.04,0
0,2.048,-0.009714,0,0.017461,0.10242,1,0.05,5,0.05,0
0,2.0483,-0.01151,0,0.024682,0.12294,1,0.06,5,0.06,0
0,2.0486,-0.013515,0,0.032032,0.14341,1,0.07,5,0.07,0
0,2.0489,-0.01552,0,0.039382,0.16389,1,0.08,5,0.08,0
0,2.0492,-0.017524,0,0.046732,0.18436,1,0.09,5,0.09,0
0,2.0494,-0.019529,0,0.054082,0.20484,1,0.1,5,0.1,0
0,2.0491,-0.021244,0,0.071945,0.22535,1,0.11,5,0.11,0
0,2.0487,-0.022946,0,0.090305,0.24586,1,0.12,5,0.12,0
0,2.0483,-0.024648,0,0.10866,0.26637,1,0.13,5,0.13,0
0,2.048,-0.026478,0,0.12729,0.28686,1,0.14,5,0.14,0
0,2.048,-0.028742,0,0.14778,0.30727,1,0.15,5,0.15,0
0,2.0467,-0.030736,0,0.18997,0.32774,1,0.16,5,0.16,0
0,2.0454,-0.032729,0,0.23216,0.34821,1,0.17,5,0.17,0
0,2.044,-0.034722,0,0.27434,0.36867,1,0.18,5,0.18,0
0,2.0427,-0.036716,0,0.31653,0.38914,1,0.19,5,0.19,0
0,2.0414,-0.038762,0,0.35765,0.40961,1,0.2,5,0.2,0
0,2.038,-0.040248,0,0.43015,0.43,1,0.21,5,0.21,0
0,2.0326,-0.041485,0,0.5308,0.45025,1,0.22,5,0.22,0
0,2.0274,-0.042751,0,0.62797,0.47051,1,0.23,5,0.23,0
0,2.0222,-0.044017,0,0.72513,0.49077,1,0.24,5,0.24,0
0,2.017,-0.045283,0,0.8223,0.51103,1,0.25,5,0.25,0
0,2.0118,-0.046549,0,0.91946,0.53128,1,0.26,5,0.26,0
0,2.0054,-0.047963,0,1.031,0.55146,1,0.27,5,0.27,0
0,1.9952,-0.04952,0,1.1915,0.57135,1,0.28,5,0.28,0
0,1.9835,-0.049661,0,1.3821,0.59109,1,0.29,5,0.29,0
0,1.9718,-0.049801,0,1.5728,0.61082,1,0.3,5,0.3,0
0,1.9601,-0.049942,0,1.7634,0.63056,1,0.31,5,0.31,0
0,1.9468,-0.050243,0,1.9625,0.65022,1,0.32,5,0.32,0
0,1.9253,-0.051417,0,2.2073,0.66944,1,0.33,5,0.33,0
0,1.8974,-0.051544,0,2.4747,0.68839,1,0.34,5,0.34,0
0,1.8684,-0.051514,0,2.7456,0.7073,1,0.35,5,0.35,0
0,1.8395,-0.051484,0,3.0164,0.72621,1,0.36,5,0.36,0
0,1.8079,-0.051598,0,3.3306,0.74451,1,0.37,5,0.37,0
0,1.7729,-0.051893,0,3.6993,0.76203,1,0.38,5,0.38,0
0,1.7379,-0.052189,0,4.0679,0.77956,1,0.39,5,0.39,0
0,1.7029,-0.052484,0,4.4366,0.79708,1,0.4,5,0.4,0
0,1.6609,-0.051692,0,4.8209,0.81402,1,0.41,5,0.41,0
0,1.6006,-0.048047,0,5.2466,0.8294,1,0.42,5,0.42,0
0,1.5404,-0.044402,0,5.6723,0.84478,1,0.43,5,0.43,0
0,1.4801,-0.040757,0,6.098,0.86017,1,0.44,5,0.44,0
0,1.4199,-0.037112,0,6.5237,0.87555,1,0.45,5,0.45,0
0,1.3597,-0.033466,0,6.9494,0.89093,1,0.46,5,0.46,0
0,1.2923,-0.030092,0,7.3779,0.90483,1,0.47,5,0.47,0
0,1.2095,-0.027307,0,7.8124,0.91548,1,0.48,5,0.48,0
0,1.1268,-0.024522,0,8.2469,0.92613,1,0.49,5,0.49,0
0,1.044,-0.021737,0,8.6815,0.93678,1,0.5,5,0.5,0
0,0.96119,-0.018952,0,9.116,0.94743,1,0.51,5,0.51,0
0,0.87841,-0.016167,0,9.5506,0.95808,1,0.52,5,0.52,0
0,0.79562,-0.013382,0,9.9851,0.96873,1,0.53,5,0.53,0
0,0.70128,-0.010928,0,10.382,0.97705,1,0.54,5,0.54,0
0,0.58465,-0.0091103,0,10.705,0.98087,1,0.55,5,0.55,0
0,0.46803,-0.007293,0,11.029,0.98468,1,0.56,5,0.56,0
0,0.35141,-0.0054758,0,11.352,0.9885,1,0.57,5,0.57,0
0,0.23479,-0.0036585,0,11.676,0.99232,1,0.58,5,0.58,0
0,0.11817,-0.0018413,0,11.999,0.99613,1,0.59,5,0.59,0
0,0.0015422,-2.4032e-05,0,12.323,0.99995,1,0.6,5,0.6,0
nan,nan,nan,nan,nan,nan,0,0.61,5,0.61,0
nan,nan,nan,nan,nan,nan,0,0.62,5,0.62,0
nan,nan,nan,nan,nan,nan,0,0.63,5,0.63,0
nan,nan,nan,nan,nan,nan,0,0.64,5,0.64,0
nan,nan,nan,nan,nan,nan,0,0.65,5,0.65,0
nan,nan,nan,nan,nan,nan,0,0.66,5,0.66,0
nan,nan,nan,nan,nan,nan,0,0.67,5,0.67,0
nan,nan,nan,nan,nan,nan,0,0.68,5,0.68,0
nan,nan,nan,nan,nan,nan,0,0.69,5,0.69,0
nan,nan,nan,nan,nan,nan,0,0.7,5,0.7,0
nan,nan,nan,nan,nan,nan,0,0.71,5,0.71,0
nan,nan,nan,nan,nan,nan,0,0.72,5,0.72,0
nan,nan,nan,nan,nan,nan,0,0.73,5,0.73,0
nan,nan,nan,nan,nan,nan,0,0.74,5,0.74,0
nan,nan,nan,nan,nan,nan,0,0.75,5,0.75,0
nan,nan,nan,nan,nan,nan,0,0.76,5,0.76,0
nan,nan,nan,nan,nan,nan,0,0.77,5,0.77,0
nan,nan,nan,nan,nan,nan,0,0.78,5,0.78,0
nan,nan,nan,nan,nan,nan,0,0.79,5,0.79,0
nan,nan,nan,nan,nan,nan,0,0.8,5,0.8,0
nan,nan,nan,nan,nan,nan,0,0.81,5,0.81,0
nan,nan,nan,nan,nan,nan,0,0.82,5,0.82,0
nan,nan,nan,nan,nan,nan,0,0.83,5,0.83,0
nan,nan,nan,nan,nan,nan,0,0.84,5,0.84,0
nan,nan,nan,nan,nan,nan,0,0.85,5,0.85,0
nan,nan,nan,nan,nan,nan,0,0.86,5,0.86,0
nan,nan,nan,nan,nan,nan,0,0.87,5,0.87,0
nan,nan,nan,nan,nan,nan,0,0.88,5,0.88,0
nan,nan,nan,nan,nan,nan,0,0.89,5,0.89,0
