"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.044453,3.6432,0,0,1.511,0,1,0,5,0,0
0.049394,3.6306,-0.00089724,0,1.6219,0.036105,1,0.01,5,0.01,0
0.054335,3.6179,-0.0017945,0,1.7327,0.072209,1,0.02,5,0.02,0
0.059276,3.6053,-0.0026917,0,1.8436,0.10831,1,0.03,5,0.03,0
0.064218,3.5927,-0.003589,0,1.9544,0.14442,1,0.04,5,0.04,0
0.069159,3.58,-0.0044862,0,2.0653,0.18052,1,0.05,5,0.05,0
0.0741,3.5674,-0.0053834,0,2.1761,0.21663,1,0.06,5,0.06,0
0.079042,3.5548,-0.0062807,0,2.287,0.25273,1,0.07,5,0.07,0
0.084544,3.5367,-0.007265,0,2.413,0.28876,1,0.08,5,0.08,0
0.097646,3.5009,-0.0062316,0,2.7445,0.32333,1,0.09,5,0.09,0
0.11261,3.4658,-0.0071673,0,3.121,0.35768,1,0.1,5,0.1,0
0.12757,3.4307,-0.0081031,0,3.4975,0.39202,1,0.11,5,0.11,0
0.14253,3.3957,-0.0090388,0,3.874,0.42637,1,0.12,5,0.12,0
0.15749,3.3606,-0.0099746,0,4.2505,0.46071,1,0.13,5,0.13,0
0.17353,3.321,-0.0084701,0,4.6713,0.49465,1,0.14,5,0.14,0
0.19471,3.2599,0.0045754,0,5.3015,0.52668,1,0.15,5,0.15,0
0.21589,3.1988,0.017621,0,5.9317,0.55871,1,0.16,5,0.16,0
0.23705,3.1378,0.030483,0,6.5607,0.59075,1,0.17,5,0.17,0
0.26095,3.0582,0.030311,0,7.3271,0.62148,1,0.18,5,0.18,0
0.28627,2.9677,0.024291,0,8.1676,0.65137,1,0.19,5,0.19,0
0.31159,2.8772,0.018271,0,9.0081,0.68127,1,0.2,5,0.2,0
0.33746,2.7841,0.018236,0,9.8593,0.71043,1,0.21,5,0.21,0
0.36554,2.6808,0.0424,0,10.753,0.73658,1,0.22,5,0.22,0
0.39362,2.5776,0.066564,0,11.647,0.76274,1,0.23,5,0.23,0
0.42238,2.4555,0.080901,0,12.547,0.78813,1,0.24,5,0.24,0
0.45023,2.3222,0.082431,0,13.313,0.81205,1,0.25,5,0.25,0
0.47808,2.1889,0.083961,0,14.079,0.83598,1,0.26,5,0.26,0
0.50453,2.0335,0.076694,0,14.467,0.85597,1,0.27,5,0.27,0
0.53035,1.8682,0.065465,0,14.685,0.87418,1,0.28,5,0.28,0
0.55597,1.711,0.060932,0,14.862,0.89181,1,0.29,5,0.29,0
0.58122,1.568,0.068061,0,14.965,0.90843,1,0.3,5,0.3,0
0.60647,1.4249,0.07519,0,15.069,0.92505,1,0.31,5,0.31,0
0.62653,1.2803,0.086538,0,14.789,0.93807,1,0.32,5,0.32,0
0.64572,1.1354,0.098588,0,14.445,0.95049,1,0.33,5,0.33,0
0.66258,0.98926,0.095549,0,13.803,0.96019,1,0.34,5,0.34,0
0.67838,0.84253,0.085635,0,13.026,0.96865,1,0.35,5,0.35,0
0.69419,0.69581,0.075721,0,12.248,0.97711,1,0.36,5,0.36,0
0.70792,0.57964,0.068727,0,11.424,0.98401,1,0.37,5,0.37,0
0.71825,0.47376,0.061476,0,10.418,0.9882,1,0.38,5,0.38,0
0.72839,0.36839,0.054199,0,9.4014,0.99224,1,0.39,5,0.39,0
0.73853,0.26301,0.046922,0,8.3851,0.99628,1,0.4,5,0.4,0
0.74631,0.19598,0.039844,0,7.3052,0.99818,1,0.41,5,0.41,0
0.75337,0.14124,0.033,0,6.2034,0.99942,1,0.42,5,0.42,0
0.76044,0.086506,0.026156,0,5.1015,1.0007,1,0.43,5,0.43,0
0.76739,0.031678,0.0192,0,3.9956,1.0019,1,0.44,5,0.44,0
0.77139,0.0031474,0.013093,0,2.8509,1.0017,1,0.45,5,0.45,0
0.77589,-0.022904,0.0079451,0,1.7292,1.0014,1,0.46,5,0.46,0
0.7804,-0.048955,0.0027974,0,0.60749,1.0012,1,0.47,5,0.47,0
0.78207,-0.037784,0.0011045,0,-0.54308,1.0008,1,0.48,5,0.48,0
0.78363,-0.019414,0.00048702,0,-1.6769,1.0004,1,0.49,5,0.49,0
0.78526,-0.00056545,1.4185e-05,0,-2.8055,1,1,0.5,5,0.5,0
nan,nan,nan,nan,nan,nan,0,0.51,5,0.51,0
nan,nan,nan,nan,nan,nan,0,0.52,5,0.52,0
nan,nan,nan,nan,nan,nan,0,0.53,5,0.53,0
nan,nan,nan,nan,nan,nan,0,0.54,5,0.54,0
nan,nan,nan,nan,nan,nan,0,0.55,5,0.55,0
nan,nan,nan,nan,nan,nan,0,0.56,5,0.56,0
nan,nan,nan,nan,nan,nan,0,0.57,5,0.57,0
nan,nan,nan,nan,nan,nan,0,0.58,5,0.58,0
nan,nan,nan,nan,nan,nan,0,0.59,5,0.59,0
nan,nan,nan,nan,nan,nan,0,0.6,5,0.6,0
nan,nan,nan,nan,nan,nan,0,0.61,5,0.61,0
nan,nan,nan,nan,nan,nan,0,0.62,5,0.62,0
nan,nan,nan,nan,nan,nan,0,0.63,5,0.63,0
nan,nan,nan,nan,nan,nan,0,0.64,5,0.64,0
nan,nan,nan,nan,nan,nan,0,0.65,5,0.65,0
nan,nan,nan,nan,nan,nan,0,0.66,5,0.66,0
nan,nan,nan,nan,nan,nan,0,0.67,5,0.67,0
nan,nan,nan,nan,nan,nan,0,0.68,5,0.68,0
nan,nan,nan,nan,nan,nan,0,0.69,5,0.69,0
nan,nan,nan,nan,nan,nan,0,0.7,5,0.7,0
nan,nan,nan,nan,nan,nan,0,0.71,5,0.71,0
