"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.343,1.4984,0,0,0.343,0,1,0,6,0,0
0.35079,1.4961,-0.00031108,0,0.35079,0.014904,1,0.01,6,0.01,0
0.35859,1.4937,-0.00062217,0,0.35859,0.029808,1,0.02,6,0.02,0
0.36638,1.4914,-0.00093325,0,0.36638,0.044712,1,0.03,6,0.03,0
0.37417,1.4891,-0.0012443,0,0.37417,0.059616,1,0.04,6,0.04,0
0.38197,1.4867,-0.0015554,0,0.38197,0.07452,1,0.05,6,0.05,0
0.38976,1.4844,-0.0018665,0,0.38976,0.089424,1,0.06,6,0.06,0
0.39755,1.482,-0.0021776,0,0.39755,0.10433,1,0.07,6,0.07,0
0.40535,1.4797,-0.0024887,0,0.40535,0.11923,1,0.08,6,0.08,0
0.41314,1.4773,-0.0027998,0,0.41314,0.13414,1,0.09,6,0.09,0
0.42094,1.475,-0.0031108,0,0.42094,0.14904,1,0.1,6,0.1,0
0.43192,1.4711,-0.0036413,0,0.43192,0.16378,1,0.11,6,0.11,0
0.44514,1.4661,-0.0043256,0,0.44514,0.17841,1,0.12,6,0.12,0
0.45836,1.461,-0.00501,0,0.45836,0.19304,1,0.13,6,0.13,0
0.47473,1.4554,-0.0055228,0,0.47473,0.20749,1,0.14,6,0.14,0
0.49188,1.4495,-0.0059931,0,0.49188,0.2219,1,0.15,6,0.15,0
0.50903,1.4436,-0.0064635,0,0.50903,0.2363,1,0.16,6,0.16,0
0.52618,1.4378,-0.0069339,0,0.52618,0.25071,1,0.17,6,0.17,0
0.54332,1.4319,-0.0074043,0,0.54332,0.26511,1,0.18,6,0.18,0
0.56047,1.426,-0.0078746,0,0.56047,0.27952,1,0.19,6,0.19,0
0.57769,1.4202,-0.0083063,0,0.57769,0.29392,1,0.2,6,0.2,0
0.59703,1.4142,-0.0082736,0,0.59703,0.30816,1,0.21,6,0.21,0
0.62024,1.408,-0.0082438,0,0.62024,0.32205,1,0.22,6,0.22,0
0.64357,1.4013,-0.0077705,0,0.64357,0.33593,1,0.23,6,0.23,0
0.6669,1.3946,-0.0072971,0,0.6669,0.34981,1,0.24,6,0.24,0
0.69023,1.388,-0.0068238,0,0.69023,0.36369,1,0.25,6,0.25,0
0.71356,1.3813,-0.0063505,0,0.71356,0.37757,1,0.26,6,0.26,0
0.73689,1.3746,-0.0058771,0,0.73689,0.39145,1,0.27,6,0.27,0
0.76022,1.3679,-0.0054038,0,0.76022,0.40533,1,0.28,6,0.28,0
0.78355,1.3613,-0.0049304,0,0.78355,0.41921,1,0.29,6,0.29,0
0.81058,1.3534,-0.0051129,0,0.81058,0.43262,1,0.3,6,0.3,0
0.83802,1.3454,-0.0053682,0,0.83802,0.44599,1,0.31,6,0.31,0
0.86546,1.3374,-0.0056235,0,0.86546,0.45935,1,0.32,6,0.32,0
0.8929,1.3294,-0.0058788,0,0.8929,0.47272,1,0.33,6,0.33,0
0.92067,1.3209,-0.0061627,0,0.92067,0.48603,1,0.34,6,0.34,0
0.94961,1.311,-0.0065507,0,0.94961,0.49915,1,0.35,6,0.35,0
0.97856,1.301,-0.0069387,0,0.97856,0.51226,1,0.36,6,0.36,0
1.0075,1.291,-0.0073267,0,1.0075,0.52537,1,0.37,6,0.37,0
1.0373,1.2805,-0.0074815,0,1.0373,0.53827,1,0.38,6,0.38,0
1.069,1.2687,-0.0071435,0,1.069,0.55069,1,0.39,6,0.39,0
1.1006,1.2569,-0.0068055,0,1.1006,0.56312,1,0.4,6,0.4,0
1.1322,1.2451,-0.0064675,0,1.1322,0.57554,1,0.41,6,0.41,0
1.1639,1.2333,-0.0061294,0,1.1639,0.58797,1,0.42,6,0.42,0
1.1955,1.2215,-0.0057914,0,1.1955,0.60039,1,0.43,6,0.43,0
1.2271,1.2097,-0.0054534,0,1.2271,0.61281,1,0.44,6,0.44,0
1.2587,1.1978,-0.0052541,0,1.2587,0.62526,1,0.45,6,0.45,0
1.2923,1.1838,-0.0046491,0,1.2923,0.63673,1,0.46,6,0.46,0
1.3259,1.1698,-0.0042393,0,1.3259,0.64818,1,0.47,6,0.47,0
1.3596,1.1559,-0.0038294,0,1.3596,0.65963,1,0.48,6,0.48,0
1.3932,1.142,-0.0034195,0,1.3932,0.67108,1,0.49,6,0.49,0
1.4269,1.128,-0.0030097,0,1.4269,0.68253,1,0.5,6,0.5,0
1.4605,1.1141,-0.0025998,0,1.4605,0.69398,1,0.51,6,0.51,0
1.4942,1.1002,-0.00219,0,1.4942,0.70543,1,0.52,6,0.52,0
1.5278,1.0862,-0.0017801,0,1.5278,0.71688,1,0.53,6,0.53,0
1.5626,1.0692,-0.0033715,0,1.5626,0.72762,1,0.54,6,0.54,0
1.5977,1.0513,-0.0055676,0,1.5977,0.73815,1,0.55,6,0.55,0
1.6328,1.0334,-0.0077637,0,1.6328,0.74868,1,0.56,6,0.56,0
1.6678,1.0163,-0.0058059,0,1.6678,0.75843,1,0.57,6,0.57,0
1.7028,0.99931,-0.003512,0,1.7028,0.76811,1,0.58,6,0.58,0
1.7377,0.98228,-0.001218,0,1.7377,0.7778,1,0.59,6,0.59,0
1.7727,0.96525,0.0010759,0,1.7727,0.78748,1,0.6,6,0.6,0
1.8077,0.94833,0.0025353,0,1.8077,0.79714,1,0.61,6,0.61,0
1.843,0.93177,0.0012803,0,1.843,0.8067,1,0.62,6,0.62,0
1.8783,0.9152,2.5353e-05,0,1.8783,0.81625,1,0.63,6,0.63,0
1.9135,0.89864,-0.0012296,0,1.9135,0.82581,1,0.64,6,0.64,0
1.9488,0.88208,-0.0024846,0,1.9488,0.83537,1,0.65,6,0.65,0
1.9843,0.86298,-0.0039083,0,1.9843,0.84352,1,0.66,6,0.66,0
2.0198,0.8435,-0.0053566,0,2.0198,0.85147,1,0.67,6,0.67,0
2.0553,0.82402,-0.0068048,0,2.0553,0.85942,1,0.68,6,0.68,0
2.0908,0.80454,-0.008253,0,2.0908,0.86737,1,0.69,6,0.69,0
2.1264,0.78507,-0.0097013,0,2.1264,0.87532,1,0.7,6,0.7,0
2.1619,0.76559,-0.01115,0,2.1619,0.88327,1,0.71,6,0.71,0
2.1974,0.74572,-0.012263,0,2.1974,0.89118,1,0.72,6,0.72,0
2.2323,0.72252,-0.010537,0,2.2323,0.89875,1,0.73,6,0.73,0
2.2673,0.69933,-0.0088123,0,2.2673,0.90631,1,0.74,6,0.74,0
2.3039,0.67452,-0.0078106,0,2.3039,0.91305,1,0.75,6,0.75,0
2.3422,0.64815,-0.007514,0,2.3422,0.91898,1,0.76,6,0.76,0
2.3805,0.62178,-0.0072174,0,2.3805,0.92491,1,0.77,6,0.77,0
2.4187,0.5954,-0.0069208,0,2.4187,0.93083,1,0.78,6,0.78,0
2.457,0.56903,-0.0066242,0,2.457,0.93676,1,0.79,6,0.79,0
2.4953,0.54266,-0.0063276,0,2.4953,0.94269,1,0.8,6,0.8,0
2.5335,0.51629,-0.006031,0,2.5335,0.94861,1,0.81,6,0.81,0
2.5713,0.49148,-0.006014,0,2.5713,0.95449,1,0.82,6,0.82,0
2.604,0.46328,-0.0065503,0,2.604,0.95846,1,0.83,6,0.83,0
2.6367,0.43523,-0.0068277,0,2.6367,0.96233,1,0.84,6,0.84,0
2.6702,0.4082,-0.0063866,0,2.6702,0.96617,1,0.85,6,0.85,0
2.7037,0.38117,-0.0059455,0,2.7037,0.97001,1,0.86,6,0.86,0
2.7371,0.35414,-0.0055044,0,2.7371,0.97386,1,0.87,6,0.87,0
2.7706,0.32712,-0.0050633,0,2.7706,0.9777,1,0.88,6,0.88,0
2.8041,0.30009,-0.0046222,0,2.8041,0.98154,1,0.89,6,0.89,0
2.8376,0.27306,-0.0041811,0,2.8376,0.98539,1,0.9,6,0.9,0
2.8231,0.24566,-0.0038827,0,2.8231,0.98745,1,0.91,6,0.91,0
2.7898,0.21812,-0.0036402,0,2.7898,0.98881,1,0.92,6,0.92,0
2.7565,0.19058,-0.0033976,0,2.7565,0.99018,1,0.93,6,0.93,0
2.7232,0.16303,-0.0031551,0,2.7232,0.99154,1,0.94,6,0.94,0
2.6899,0.13549,-0.0029126,0,2.6899,0.99291,1,0.95,6,0.95,0
2.6566,0.10795,-0.00267,0,2.6566,0.99427,1,0.96,6,0.96,0
2.6233,0.080406,-0.0024275,0,2.6233,0.99564,1,0.97,6,0.97,0
2.5968,0.053976,-0.0017986,0,2.5968,0.99717,1,0.98,6,0.98,0
2.5719,0.027818,-0.0010751,0,2.5719,0.99874,1,0.99,6,0.99,0
2.5518,0,0,0,2.5518,1,1,1,6,1,0
