"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17715,1.4136,0,0,0.17715,0,1,0,10,0,0
0.17747,1.4118,-0.00011052,0,0.17747,0.014133,1,0.01,10,0.01,0
0.17863,1.41,-0.0002,0,0.17863,0.028247,1,0.02,10,0.02,0
0.18062,1.4082,-0.00026842,0,0.18062,0.042341,1,0.03,10,0.03,0
0.18344,1.4064,-0.00031578,0,0.18344,0.056417,1,0.04,10,0.04,0
0.18709,1.4046,-0.0003421,0,0.18709,0.070474,1,0.05,10,0.05,0
0.19158,1.4028,-0.00034736,0,0.19158,0.084511,1,0.06,10,0.06,0
0.19689,1.4011,-0.00033157,0,0.19689,0.09853,1,0.07,10,0.07,0
0.20304,1.3993,-0.00029473,0,0.20304,0.11253,1,0.08,10,0.08,0
0.21002,1.3975,-0.00023684,0,0.21002,0.12651,1,0.09,10,0.09,0
0.21783,1.3957,-0.00015789,0,0.21783,0.14047,1,0.1,10,0.1,0
0.22643,1.3932,-0.0001734,0,0.22643,0.15442,1,0.11,10,0.11,0
0.23586,1.3906,-0.00018247,0,0.23586,0.16834,1,0.12,10,0.12,0
0.24613,1.3881,-0.00018511,0,0.24613,0.18224,1,0.13,10,0.13,0
0.25725,1.3855,-0.00018131,0,0.25725,0.19611,1,0.14,10,0.14,0
0.2692,1.3829,-0.00017109,0,0.2692,0.20995,1,0.15,10,0.15,0
0.28199,1.3803,-0.00015443,0,0.28199,0.22377,1,0.16,10,0.16,0
0.29561,1.3778,-0.00013133,0,0.29561,0.23756,1,0.17,10,0.17,0
0.31008,1.3752,-0.00010181,0,0.31008,0.25132,1,0.18,10,0.18,0
0.32538,1.3726,-6.585e-05,0,0.32538,0.26505,1,0.19,10,0.19,0
0.34153,1.37,-2.3459e-05,0,0.34153,0.27876,1,0.2,10,0.2,0
0.35852,1.3659,-9.389e-05,0,0.35852,0.29245,1,0.21,10,0.21,0
0.37634,1.3617,-0.00014635,0,0.37634,0.30609,1,0.22,10,0.22,0
0.395,1.3575,-0.00018084,0,0.395,0.31969,1,0.23,10,0.23,0
0.41449,1.3533,-0.00019736,0,0.41449,0.33324,1,0.24,10,0.24,0
0.43481,1.349,-0.00019591,0,0.43481,0.34675,1,0.25,10,0.25,0
0.45596,1.3447,-0.00017649,0,0.45596,0.36022,1,0.26,10,0.26,0
0.47794,1.3404,-0.00013911,0,0.47794,0.37364,1,0.27,10,0.27,0
0.50076,1.336,-8.3747e-05,0,0.50076,0.38702,1,0.28,10,0.28,0
0.52441,1.3316,-1.0419e-05,0,0.52441,0.40036,1,0.29,10,0.29,0
0.54889,1.3272,8.0878e-05,0,0.54889,0.41365,1,0.3,10,0.3,0
0.5743,1.3207,-4.09e-05,0,0.5743,0.4269,1,0.31,10,0.31,0
0.60048,1.3143,-0.00013736,0,0.60048,0.44008,1,0.32,10,0.32,0
0.62741,1.3077,-0.0002085,0,0.62741,0.45319,1,0.33,10,0.33,0
0.65511,1.3011,-0.00025433,0,0.65511,0.46623,1,0.34,10,0.34,0
0.68356,1.2944,-0.00027484,0,0.68356,0.47921,1,0.35,10,0.35,0
0.71278,1.2876,-0.00027003,0,0.71278,0.49211,1,0.36,10,0.36,0
0.74276,1.2807,-0.0002399,0,0.74276,0.50495,1,0.37,10,0.37,0
0.77351,1.2738,-0.00018446,0,0.77351,0.51772,1,0.38,10,0.38,0
0.80501,1.2668,-0.00010369,0,0.80501,0.53041,1,0.39,10,0.39,0
0.83727,1.2597,2.3856e-06,0,0.83727,0.54304,1,0.4,10,0.4,0
0.87045,1.25,3.759e-05,0,0.87045,0.5556,1,0.41,10,0.41,0
