"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33111,1.4884,0,0,0.33111,0,1,0,6,0,0
0.33815,1.4862,-0.00029943,0,0.33815,0.014809,1,0.01,6,0.01,0
0.34519,1.4839,-0.00059885,0,0.34519,0.029617,1,0.02,6,0.02,0
0.35223,1.4816,-0.00089828,0,0.35223,0.044426,1,0.03,6,0.03,0
0.35927,1.4794,-0.0011977,0,0.35927,0.059235,1,0.04,6,0.04,0
0.36631,1.4771,-0.0014971,0,0.36631,0.074044,1,0.05,6,0.05,0
0.37335,1.4749,-0.0017966,0,0.37335,0.088852,1,0.06,6,0.06,0
0.38039,1.4726,-0.002096,0,0.38039,0.10366,1,0.07,6,0.07,0
0.38743,1.4703,-0.0023954,0,0.38743,0.11847,1,0.08,6,0.08,0
0.39447,1.4681,-0.0026948,0,0.39447,0.13328,1,0.09,6,0.09,0
0.40199,1.4656,-0.0030228,0,0.40199,0.14807,1,0.1,6,0.1,0
0.41478,1.4609,-0.0036651,0,0.41478,0.16261,1,0.11,6,0.11,0
0.42757,1.4562,-0.0043074,0,0.42757,0.17716,1,0.12,6,0.12,0
0.44036,1.4515,-0.0049496,0,0.44036,0.19171,1,0.13,6,0.13,0
0.45623,1.4461,-0.0054522,0,0.45623,0.20609,1,0.14,6,0.14,0
0.47292,1.4405,-0.0059174,0,0.47292,0.22042,1,0.15,6,0.15,0
0.48961,1.4349,-0.0063827,0,0.48961,0.23476,1,0.16,6,0.16,0
0.50631,1.4293,-0.0068479,0,0.50631,0.24909,1,0.17,6,0.17,0
0.523,1.4237,-0.0073131,0,0.523,0.26343,1,0.18,6,0.18,0
0.53971,1.418,-0.0077701,0,0.53971,0.27776,1,0.19,6,0.19,0
0.55747,1.4123,-0.007736,0,0.55747,0.29204,1,0.2,6,0.2,0
0.57772,1.4065,-0.0077298,0,0.57772,0.30611,1,0.21,6,0.21,0
0.60057,1.4006,-0.0077527,0,0.60057,0.31995,1,0.22,6,0.22,0
0.62344,1.3944,-0.0075992,0,0.62344,0.33379,1,0.23,6,0.23,0
0.64637,1.388,-0.0071435,0,0.64637,0.34761,1,0.24,6,0.24,0
0.66931,1.3816,-0.0066879,0,0.66931,0.36144,1,0.25,6,0.25,0
0.69224,1.3753,-0.0062322,0,0.69224,0.37527,1,0.26,6,0.26,0
0.71517,1.3689,-0.0057765,0,0.71517,0.3891,1,0.27,6,0.27,0
0.7381,1.3625,-0.0053208,0,0.7381,0.40293,1,0.28,6,0.28,0
0.76112,1.356,-0.0048801,0,0.76112,0.41675,1,0.29,6,0.29,0
0.78829,1.3482,-0.0051325,0,0.78829,0.43008,1,0.3,6,0.3,0
0.81547,1.3404,-0.0053848,0,0.81547,0.44341,1,0.31,6,0.31,0
0.84265,1.3326,-0.0056372,0,0.84265,0.45674,1,0.32,6,0.32,0
0.86982,1.3248,-0.0058895,0,0.86982,0.47007,1,0.33,6,0.33,0
0.89827,1.3153,-0.0062583,0,0.89827,0.48319,1,0.34,6,0.34,0
0.92688,1.3056,-0.0066418,0,0.92688,0.49628,1,0.35,6,0.35,0
