"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.013834,1.4934,0,0,0.013834,0,1,0,9.7,0,0
0.016851,1.4934,-1.7246e-05,0,0.016851,0.0014929,1,0.001,9.7,0.001,0
0.019446,1.4933,-3.4438e-05,0,0.019446,0.0029862,1,0.002,9.7,0.002,0
0.02204,1.4933,-5.163e-05,0,0.02204,0.0044794,1,0.003,9.7,0.003,0
0.024635,1.4932,-6.8822e-05,0,0.024635,0.0059727,1,0.004,9.7,0.004,0
0.027229,1.4932,-8.6014e-05,0,0.027229,0.0074659,1,0.005,9.7,0.005,0
0.029824,1.4931,-0.00010321,0,0.029824,0.0089592,1,0.006,9.7,0.006,0
0.032418,1.4931,-0.0001204,0,0.032418,0.010452,1,0.007,9.7,0.007,0
0.035013,1.493,-0.00013759,0,0.035013,0.011946,1,0.008,9.7,0.008,0
0.037607,1.493,-0.00015478,0,0.037607,0.013439,1,0.009,9.7,0.009,0
0.040202,1.4929,-0.00017197,0,0.040202,0.014932,1,0.01,9.7,0.01,0
0.042797,1.4929,-0.00018917,0,0.042797,0.016425,1,0.011,9.7,0.011,0
0.045391,1.4928,-0.00020636,0,0.045391,0.017919,1,0.012,9.7,0.012,0
0.047986,1.4927,-0.00022355,0,0.047986,0.019412,1,0.013,9.7,0.013,0
0.05058,1.4927,-0.00024074,0,0.05058,0.020905,1,0.014,9.7,0.014,0
0.053175,1.4926,-0.00025793,0,0.053175,0.022399,1,0.015,9.7,0.015,0
0.055769,1.4926,-0.00027513,0,0.055769,0.023892,1,0.016,9.7,0.016,0
0.058364,1.4925,-0.00029232,0,0.058364,0.025385,1,0.017,9.7,0.017,0
0.060958,1.4925,-0.00030951,0,0.060958,0.026878,1,0.018,9.7,0.018,0
0.063553,1.4924,-0.0003267,0,0.063553,0.028372,1,0.019,9.7,0.019,0
0.066148,1.4924,-0.00034389,0,0.066148,0.029865,1,0.02,9.7,0.02,0
0.068742,1.4923,-0.00036108,0,0.068742,0.031358,1,0.021,9.7,0.021,0
0.071337,1.4923,-0.00037828,0,0.071337,0.032851,1,0.022,9.7,0.022,0
0.073931,1.4922,-0.00039547,0,0.073931,0.034345,1,0.023,9.7,0.023,0
0.076526,1.4922,-0.00041266,0,0.076526,0.035838,1,0.024,9.7,0.024,0
