"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.42831,1.5041,0.00012509,0,0.42831,0,1,0,8,0,0
0.42847,1.5039,6.463e-05,0,0.42847,0.0015017,1,0.001,8,0.001,0
0.42863,1.5037,4.1668e-06,0,0.42863,0.0030035,1,0.002,8,0.002,0
0.42879,1.5035,-5.6297e-05,0,0.42879,0.0045052,1,0.003,8,0.003,0
0.42894,1.5033,-0.00011676,0,0.42894,0.0060069,1,0.004,8,0.004,0
0.4291,1.5032,-0.00017722,0,0.4291,0.0075087,1,0.005,8,0.005,0
0.42926,1.503,-0.00023769,0,0.42926,0.0090104,1,0.006,8,0.006,0
0.42942,1.5028,-0.00029815,0,0.42942,0.010512,1,0.007,8,0.007,0
0.42958,1.5026,-0.00035861,0,0.42958,0.012014,1,0.008,8,0.008,0
0.42973,1.5024,-0.00041908,0,0.42973,0.013516,1,0.009,8,0.009,0
0.42989,1.5022,-0.00047954,0,0.42989,0.015017,1,0.01,8,0.01,0
0.43005,1.5021,-0.00054,0,0.43005,0.016519,1,0.011,8,0.011,0
0.43021,1.5019,-0.00060047,0,0.43021,0.018021,1,0.012,8,0.012,0
0.43036,1.5017,-0.00066093,0,0.43036,0.019523,1,0.013,8,0.013,0
0.43052,1.5015,-0.00072139,0,0.43052,0.021024,1,0.014,8,0.014,0
0.43068,1.5013,-0.00078186,0,0.43068,0.022526,1,0.015,8,0.015,0
0.43084,1.5011,-0.00084232,0,0.43084,0.024028,1,0.016,8,0.016,0
0.43099,1.501,-0.00090278,0,0.43099,0.02553,1,0.017,8,0.017,0
0.43115,1.5008,-0.00096325,0,0.43115,0.027031,1,0.018,8,0.018,0
0.43131,1.5006,-0.0010237,0,0.43131,0.028533,1,0.019,8,0.019,0
0.43147,1.5004,-0.0010842,0,0.43147,0.030035,1,0.02,8,0.02,0
0.43162,1.5002,-0.0011446,0,0.43162,0.031536,1,0.021,8,0.021,0
0.43178,1.5,-0.0012051,0,0.43178,0.033038,1,0.022,8,0.022,0
0.43194,1.4999,-0.0012656,0,0.43194,0.03454,1,0.023,8,0.023,0
0.4321,1.4997,-0.001326,0,0.4321,0.036042,1,0.024,8,0.024,0
0.43226,1.4995,-0.0013865,0,0.43226,0.037543,1,0.025,8,0.025,0
0.43241,1.4993,-0.001447,0,0.43241,0.039045,1,0.026,8,0.026,0
0.43257,1.4991,-0.0015074,0,0.43257,0.040547,1,0.027,8,0.027,0
0.43273,1.4989,-0.0015679,0,0.43273,0.042049,1,0.028,8,0.028,0
0.43289,1.4988,-0.0016283,0,0.43289,0.04355,1,0.029,8,0.029,0
0.43304,1.4986,-0.0016888,0,0.43304,0.045052,1,0.03,8,0.03,0
0.4332,1.4984,-0.0017493,0,0.4332,0.046554,1,0.031,8,0.031,0
