"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.42865,1.5041,0.00012498,0,0.42865,0,1,0,8,0,0
0.42881,1.5039,6.4501e-05,0,0.42881,0.0015018,1,0.001,8,0.001,0
0.42896,1.5037,4.017e-06,0,0.42896,0.0030035,1,0.002,8,0.002,0
0.42912,1.5035,-5.6467e-05,0,0.42912,0.0045053,1,0.003,8,0.003,0
0.42928,1.5033,-0.00011695,0,0.42928,0.006007,1,0.004,8,0.004,0
0.42943,1.5032,-0.00017743,0,0.42943,0.0075088,1,0.005,8,0.005,0
0.42959,1.503,-0.00023792,0,0.42959,0.0090105,1,0.006,8,0.006,0
0.42975,1.5028,-0.0002984,0,0.42975,0.010512,1,0.007,8,0.007,0
0.42991,1.5026,-0.00035889,0,0.42991,0.012014,1,0.008,8,0.008,0
0.43006,1.5024,-0.00041937,0,0.43006,0.013516,1,0.009,8,0.009,0
0.43022,1.5022,-0.00047985,0,0.43022,0.015018,1,0.01,8,0.01,0
0.43038,1.5021,-0.00054034,0,0.43038,0.016519,1,0.011,8,0.011,0
0.43053,1.5019,-0.00060082,0,0.43053,0.018021,1,0.012,8,0.012,0
0.43069,1.5017,-0.00066131,0,0.43069,0.019523,1,0.013,8,0.013,0
0.43085,1.5015,-0.00072179,0,0.43085,0.021025,1,0.014,8,0.014,0
0.431,1.5013,-0.00078227,0,0.431,0.022526,1,0.015,8,0.015,0
0.43116,1.5011,-0.00084276,0,0.43116,0.024028,1,0.016,8,0.016,0
0.43132,1.501,-0.00090324,0,0.43132,0.02553,1,0.017,8,0.017,0
0.43147,1.5008,-0.00096373,0,0.43147,0.027032,1,0.018,8,0.018,0
0.43163,1.5006,-0.0010242,0,0.43163,0.028533,1,0.019,8,0.019,0
0.43179,1.5004,-0.0010847,0,0.43179,0.030035,1,0.02,8,0.02,0
0.43194,1.5002,-0.0011452,0,0.43194,0.031537,1,0.021,8,0.021,0
0.4321,1.5,-0.0012057,0,0.4321,0.033039,1,0.022,8,0.022,0
0.43226,1.4999,-0.0012661,0,0.43226,0.03454,1,0.023,8,0.023,0
0.43241,1.4997,-0.0013266,0,0.43241,0.036042,1,0.024,8,0.024,0
0.43257,1.4995,-0.0013871,0,0.43257,0.037544,1,0.025,8,0.025,0
0.43273,1.4993,-0.0014476,0,0.43273,0.039046,1,0.026,8,0.026,0
0.43288,1.4991,-0.0015081,0,0.43288,0.040547,1,0.027,8,0.027,0
0.43304,1.4989,-0.0015686,0,0.43304,0.042049,1,0.028,8,0.028,0
0.4332,1.4988,-0.001629,0,0.4332,0.043551,1,0.029,8,0.029,0
0.43336,1.4986,-0.0016895,0,0.43336,0.045053,1,0.03,8,0.03,0
0.43351,1.4984,-0.00175,0,0.43351,0.046554,1,0.031,8,0.031,0
0.43367,1.4982,-0.0018105,0,0.43367,0.048056,1,0.032,8,0.032,0
0.43383,1.498,-0.001871,0,0.43383,0.049558,1,0.033,8,0.033,0
0.43398,1.4978,-0.0019171,0,0.43398,0.05106,1,0.034,8,0.034,0
0.43413,1.4977,-0.0019114,0,0.43413,0.052563,1,0.035,8,0.035,0
0.43429,1.4975,-0.0019057,0,0.43429,0.054066,1,0.036,8,0.036,0
0.43444,1.4973,-0.0019,0,0.43444,0.055569,1,0.037,8,0.037,0
0.43459,1.4971,-0.0018944,0,0.43459,0.057072,1,0.038,8,0.038,0
0.43475,1.497,-0.0018887,0,0.43475,0.058575,1,0.039,8,0.039,0
0.4349,1.4968,-0.001883,0,0.4349,0.060078,1,0.04,8,0.04,0
0.43505,1.4966,-0.0018773,0,0.43505,0.061581,1,0.041,8,0.041,0
0.4352,1.4964,-0.0018716,0,0.4352,0.063084,1,0.042,8,0.042,0
0.43563,1.4959,-0.0018922,0,0.43563,0.064571,1,0.043,8,0.043,0
0.43609,1.4954,-0.0019159,0,0.43609,0.066055,1,0.044,8,0.044,0
0.43655,1.4949,-0.0019396,0,0.43655,0.06754,1,0.045,8,0.045,0
0.43701,1.4944,-0.0019633,0,0.43701,0.069024,1,0.046,8,0.046,0
0.43746,1.4939,-0.001987,0,0.43746,0.070508,1,0.047,8,0.047,0
0.43792,1.4934,-0.0020107,0,0.43792,0.071993,1,0.048,8,0.048,0
0.43838,1.4929,-0.0020344,0,0.43838,0.073477,1,0.049,8,0.049,0
0.43884,1.4924,-0.0020581,0,0.43884,0.074962,1,0.05,8,0.05,0
0.4393,1.4919,-0.0020818,0,0.4393,0.076446,1,0.051,8,0.051,0
0.43976,1.4913,-0.0021055,0,0.43976,0.077931,1,0.052,8,0.052,0
0.44022,1.4908,-0.0021292,0,0.44022,0.079415,1,0.053,8,0.053,0
0.44068,1.4903,-0.0021529,0,0.44068,0.0809,1,0.054,8,0.054,0
0.44113,1.4898,-0.0021766,0,0.44113,0.082384,1,0.055,8,0.055,0
0.44159,1.4893,-0.0022003,0,0.44159,0.083869,1,0.056,8,0.056,0
0.44205,1.4888,-0.002224,0,0.44205,0.085353,1,0.057,8,0.057,0
0.44251,1.4883,-0.0022477,0,0.44251,0.086838,1,0.058,8,0.058,0
0.44297,1.4878,-0.0022714,0,0.44297,0.088322,1,0.059,8,0.059,0
0.44343,1.4873,-0.0022951,0,0.44343,0.089807,1,0.06,8,0.06,0
0.44389,1.4867,-0.0023188,0,0.44389,0.091291,1,0.061,8,0.061,0
0.44434,1.4862,-0.0023425,0,0.44434,0.092776,1,0.062,8,0.062,0
0.4448,1.4857,-0.0023662,0,0.4448,0.09426,1,0.063,8,0.063,0
0.44526,1.4852,-0.0023899,0,0.44526,0.095745,1,0.064,8,0.064,0
0.44572,1.4847,-0.0024136,0,0.44572,0.097229,1,0.065,8,0.065,0
0.44618,1.4842,-0.0024373,0,0.44618,0.098714,1,0.066,8,0.066,0
0.44664,1.4837,-0.002461,0,0.44664,0.1002,1,0.067,8,0.067,0
0.44709,1.4832,-0.002483,0,0.44709,0.10168,1,0.068,8,0.068,0
0.44753,1.4827,-0.0024972,0,0.44753,0.10317,1,0.069,8,0.069,0
0.44796,1.4821,-0.0025115,0,0.44796,0.10465,1,0.07,8,0.07,0
0.44839,1.4816,-0.0025257,0,0.44839,0.10614,1,0.071,8,0.071,0
0.44883,1.4811,-0.0025399,0,0.44883,0.10762,1,0.072,8,0.072,0
0.44926,1.4806,-0.0025542,0,0.44926,0.10911,1,0.073,8,0.073,0
0.4497,1.4801,-0.0025684,0,0.4497,0.11059,1,0.074,8,0.074,0
0.45013,1.4796,-0.0025826,0,0.45013,0.11208,1,0.075,8,0.075,0
0.45057,1.4791,-0.0025969,0,0.45057,0.11356,1,0.076,8,0.076,0
0.451,1.4786,-0.0026111,0,0.451,0.11505,1,0.077,8,0.077,0
0.45143,1.4781,-0.0026253,0,0.45143,0.11653,1,0.078,8,0.078,0
0.45187,1.4776,-0.0026396,0,0.45187,0.11802,1,0.079,8,0.079,0
0.4523,1.4771,-0.0026538,0,0.4523,0.1195,1,0.08,8,0.08,0
0.45274,1.4766,-0.002668,0,0.45274,0.12099,1,0.081,8,0.081,0
0.45317,1.4761,-0.0026823,0,0.45317,0.12247,1,0.082,8,0.082,0
0.45361,1.4755,-0.0026965,0,0.45361,0.12396,1,0.083,8,0.083,0
