"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3909e-15,1.0942,0,0,1.3909e-15,0,1,0,8.5,0,0
6.2985e-15,1.0946,4.1248e-05,0,6.2985e-15,0.010952,1,0.01,8.5,0.01,0
1.07e-14,1.095,8.4954e-05,0,1.07e-14,0.021903,1,0.02,8.5,0.02,0
1.5101e-14,1.0953,0.00012866,0,1.5101e-14,0.032855,1,0.03,8.5,0.03,0
1.9502e-14,1.0957,0.00017237,0,1.9502e-14,0.043806,1,0.04,8.5,0.04,0
3.5677e-14,1.0958,0.00022041,0,3.5677e-14,0.054757,1,0.05,8.5,0.05,0
6.106e-14,1.0958,0.00027183,0,6.106e-14,0.065708,1,0.06,8.5,0.06,0
8.6444e-14,1.0957,0.00032326,0,8.6444e-14,0.076659,1,0.07,8.5,0.07,0
2.3466e-13,1.0954,0.00036521,0,2.3466e-13,0.087613,1,0.08,8.5,0.08,0
3.9175e-13,1.095,0.00040648,0,3.9175e-13,0.098566,1,0.09,8.5,0.09,0
1.1533e-12,1.095,0.00045578,0,1.1533e-12,0.10952,1,0.1,8.5,0.1,0
2.0001e-12,1.0951,0.00050622,0,2.0001e-12,0.12047,1,0.11,8.5,0.11,0
2.8468e-12,1.0952,0.00055666,0,2.8468e-12,0.13142,1,0.12,8.5,0.12,0
3.7021e-12,1.0952,0.00060724,0,3.7021e-12,0.14238,1,0.13,8.5,0.13,0
4.6763e-12,1.0954,0.00065977,0,4.6763e-12,0.15333,1,0.14,8.5,0.14,0
1.5719e-11,1.0953,0.00069727,0,1.5719e-11,0.16428,1,0.15,8.5,0.15,0
4.2793e-11,1.0953,0.00073637,0,4.2793e-11,0.17524,1,0.16,8.5,0.16,0
6.9867e-11,1.0953,0.00077548,0,6.9867e-11,0.18619,1,0.17,8.5,0.17,0
9.6941e-11,1.0953,0.00081458,0,9.6941e-11,0.19715,1,0.18,8.5,0.18,0
1.2402e-10,1.0953,0.00085368,0,1.2402e-10,0.2081,1,0.19,8.5,0.19,0
1.6579e-10,1.0953,0.00088331,0,1.6579e-10,0.21906,1,0.2,8.5,0.2,0
4.0577e-10,1.0954,0.00091215,0,4.0577e-10,0.23001,1,0.21,8.5,0.21,0
7.9015e-10,1.0954,0.00094526,0,7.9015e-10,0.24097,1,0.22,8.5,0.22,0
1.1745e-09,1.0955,0.00097836,0,1.1745e-09,0.25193,1,0.23,8.5,0.23,0
1.5589e-09,1.0955,0.0010115,0,1.5589e-09,0.26289,1,0.24,8.5,0.24,0
1.9433e-09,1.0956,0.0010446,0,1.9433e-09,0.27384,1,0.25,8.5,0.25,0
4.8423e-09,1.0957,0.0010796,0,4.8423e-09,0.2848,1,0.26,8.5,0.26,0
1.1629e-08,1.0958,0.0011103,0,1.1629e-08,0.29576,1,0.27,8.5,0.27,0
1.8417e-08,1.0959,0.001141,0,1.8417e-08,0.30672,1,0.28,8.5,0.28,0
2.5204e-08,1.096,0.0011717,0,2.5204e-08,0.31768,1,0.29,8.5,0.29,0
3.1991e-08,1.0961,0.0012024,0,3.1991e-08,0.32864,1,0.3,8.5,0.3,0
3.8778e-08,1.0962,0.0012331,0,3.8778e-08,0.3396,1,0.31,8.5,0.31,0
7.9735e-08,1.0963,0.0012657,0,7.9735e-08,0.35056,1,0.32,8.5,0.32,0
1.3545e-07,1.0963,0.0012997,0,1.3545e-07,0.36152,1,0.33,8.5,0.33,0
2.0813e-07,1.0963,0.0013354,0,2.0813e-07,0.37248,1,0.34,8.5,0.34,0
2.808e-07,1.0963,0.0013711,0,2.808e-07,0.38345,1,0.35,8.5,0.35,0
4.6417e-07,1.0963,0.0014002,0,4.6417e-07,0.39441,1,0.36,8.5,0.36,0
9.6856e-07,1.0964,0.00141,0,9.6856e-07,0.40538,1,0.37,8.5,0.37,0
1.473e-06,1.0965,0.0014199,0,1.473e-06,0.41634,1,0.38,8.5,0.38,0
1.9773e-06,1.0966,0.0014297,0,1.9773e-06,0.42731,1,0.39,8.5,0.39,0
2.4802e-06,1.0966,0.0014401,0,2.4802e-06,0.43827,1,0.4,8.5,0.4,0
6.5473e-06,1.0968,0.0014614,0,6.5473e-06,0.44924,1,0.41,8.5,0.41,0
1.1898e-05,1.0969,0.0014876,0,1.1898e-05,0.46021,1,0.42,8.5,0.42,0
1.7249e-05,1.097,0.0015138,0,1.7249e-05,0.47118,1,0.43,8.5,0.43,0
2.2599e-05,1.097,0.0015401,0,2.2599e-05,0.48215,1,0.44,8.5,0.44,0
2.795e-05,1.0971,0.0015663,0,2.795e-05,0.49312,1,0.45,8.5,0.45,0
4.4106e-05,1.0973,0.0015776,0,4.4106e-05,0.50409,1,0.46,8.5,0.46,0
7.5597e-05,1.0974,0.0015678,0,7.5597e-05,0.51506,1,0.47,8.5,0.47,0
0.00010709,1.0976,0.001558,0,0.00010709,0.52604,1,0.48,8.5,0.48,0
0.0001637,1.0976,0.0015673,0,0.0001637,0.53701,1,0.49,8.5,0.49,0
0.00022397,1.0975,0.0015793,0,0.00022397,0.54799,1,0.5,8.5,0.5,0
0.00039872,1.0975,0.0015914,0,0.00039872,0.55896,1,0.51,8.5,0.51,0
0.00072381,1.0977,0.0016033,0,0.00072381,0.56994,1,0.52,8.5,0.52,0
0.0010489,1.0978,0.0016153,0,0.0010489,0.58092,1,0.53,8.5,0.53,0
0.001374,1.0979,0.0016272,0,0.001374,0.5919,1,0.54,8.5,0.54,0
0.0016991,1.0981,0.0016391,0,0.0016991,0.60288,1,0.55,8.5,0.55,0
0.0033635,1.098,0.001579,0,0.0033635,0.61386,1,0.56,8.5,0.56,0
0.0054435,1.098,0.0015007,0,0.0054435,0.62484,1,0.57,8.5,0.57,0
0.0075236,1.098,0.0014225,0,0.0075236,0.63583,1,0.58,8.5,0.58,0
0.0096037,1.0979,0.0013443,0,0.0096037,0.64681,1,0.59,8.5,0.59,0
0.011684,1.0979,0.001266,0,0.011684,0.65779,1,0.6,8.5,0.6,0
0.013888,1.0978,0.0011914,0,0.013888,0.66877,1,0.61,8.5,0.61,0
0.020554,1.0978,0.0012475,0,0.020554,0.67975,1,0.62,8.5,0.62,0
0.030426,1.0976,0.0012564,0,0.030426,0.69074,1,0.63,8.5,0.63,0
0.044804,1.0974,0.0011988,0,0.044804,0.70172,1,0.64,8.5,0.64,0
0.059182,1.0972,0.0011413,0,0.059182,0.71269,1,0.65,8.5,0.65,0
0.074551,1.097,0.0010986,0,0.074551,0.72367,1,0.66,8.5,0.66,0
0.09066,1.0966,0.001067,0,0.09066,0.73464,1,0.67,8.5,0.67,0
0.12519,1.0952,0.0010701,0,0.12519,0.74558,1,0.68,8.5,0.68,0
0.18136,1.0927,0.0011081,0,0.18136,0.75649,1,0.69,8.5,0.69,0
0.23914,1.09,0.0011288,0,0.23914,0.76739,1,0.7,8.5,0.7,0
0.29691,1.0873,0.0011496,0,0.29691,0.77829,1,0.71,8.5,0.71,0
0.35468,1.0847,0.0011703,0,0.35468,0.7892,1,0.72,8.5,0.72,0
0.41246,1.082,0.0011911,0,0.41246,0.8001,1,0.73,8.5,0.73,0
0.52231,1.0767,0.0012673,0,0.52231,0.81086,1,0.74,8.5,0.74,0
0.67478,1.0692,0.001389,0,0.67478,0.8215,1,0.75,8.5,0.75,0
0.82726,1.0616,0.0015107,0,0.82726,0.83215,1,0.76,8.5,0.76,0
0.98282,1.0537,0.0015893,0,0.98282,0.84277,1,0.77,8.5,0.77,0
1.1512,1.0446,0.0014894,0,1.1512,0.85332,1,0.78,8.5,0.78,0
1.3195,1.0354,0.0013895,0,1.3195,0.86387,1,0.79,8.5,0.79,0
1.5579,1.0198,0.0013321,0,1.5579,0.87405,1,0.8,8.5,0.8,0
1.8746,0.99681,0.0013223,0,1.8746,0.88384,1,0.81,8.5,0.81,0
2.1914,0.97386,0.0013125,0,2.1914,0.89363,1,0.82,8.5,0.82,0
2.5118,0.94964,0.0010831,0,2.5118,0.90337,1,0.83,8.5,0.83,0
2.8355,0.92428,0.00065816,0,2.8355,0.91309,1,0.84,8.5,0.84,0
3.1964,0.89349,3.4865e-05,0,3.1964,0.92211,1,0.85,8.5,0.85,0
3.6091,0.85517,-0.00086419,0,3.6091,0.93017,1,0.86,8.5,0.86,0
4.0218,0.81685,-0.0017632,0,4.0218,0.93823,1,0.87,8.5,0.87,0
4.4345,0.77853,-0.0026623,0,4.4345,0.94629,1,0.88,8.5,0.88,0
4.8462,0.74038,-0.0035859,0,4.8462,0.95452,1,0.89,8.5,0.89,0
5.2565,0.69923,-0.004423,0,5.2565,0.96247,1,0.9,8.5,0.9,0
5.6392,0.63882,-0.0057007,0,5.6392,0.96838,1,0.91,8.5,0.91,0
5.9793,0.57116,-0.0087304,0,5.9793,0.97362,1,0.92,8.5,0.92,0
6.3194,0.5035,-0.01176,0,6.3194,0.97886,1,0.93,8.5,0.93,0
6.6594,0.43584,-0.01479,0,6.6594,0.9841,1,0.94,8.5,0.94,0
6.9995,0.36819,-0.017819,0,6.9995,0.98934,1,0.95,8.5,0.95,0
7.2127,0.29433,-0.01552,0,7.2127,0.99167,1,0.96,8.5,0.96,0
7.4164,0.22,-0.012824,0,7.4164,0.99377,1,0.97,8.5,0.97,0
7.6081,0.14598,-0.0096573,0,7.6081,0.99587,1,0.98,8.5,0.98,0
7.7573,0.072989,-0.0048286,0,7.7573,0.99793,1,0.99,8.5,0.99,0
7.9065,0,0,0,7.9065,1,1,1,8.5,1,0
