"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.5237e-11,1.0438,0,0,7.5237e-11,0,1,0,5,0,0
7.1396e-11,1.0439,6.5124e-06,0,7.1396e-11,0.010439,1,0.01,5,0.01,0
6.7554e-11,1.0439,1.3025e-05,0,6.7554e-11,0.020879,1,0.02,5,0.02,0
6.3713e-11,1.0439,1.9537e-05,0,6.3713e-11,0.031318,1,0.03,5,0.03,0
6.1558e-11,1.0439,2.6508e-05,0,6.1558e-11,0.041757,1,0.04,5,0.04,0
6.113e-11,1.0439,3.4562e-05,0,6.113e-11,0.052197,1,0.05,5,0.05,0
-3.4147e-11,1.0439,3.9902e-05,0,-3.4147e-11,0.062635,1,0.06,5,0.06,0
-1.2942e-10,1.0438,4.5242e-05,0,-1.2942e-10,0.073074,1,0.07,5,0.07,0
-2.247e-10,1.0438,5.0582e-05,0,-2.247e-10,0.083513,1,0.08,5,0.08,0
-3.1998e-10,1.0438,5.5923e-05,0,-3.1998e-10,0.093952,1,0.09,5,0.09,0
-3.8017e-10,1.0437,6.026e-05,0,-3.8017e-10,0.10439,1,0.1,5,0.1,0
-3.1357e-10,1.0437,6.2433e-05,0,-3.1357e-10,0.11483,1,0.11,5,0.11,0
-2.4903e-10,1.0437,7.0955e-05,0,-2.4903e-10,0.12527,1,0.12,5,0.12,0
-1.7158e-10,1.0437,7.9321e-05,0,-1.7158e-10,0.13571,1,0.13,5,0.13,0
4.7047e-11,1.0437,8.5989e-05,0,4.7047e-11,0.14615,1,0.14,5,0.14,0
2.6567e-10,1.0437,9.2657e-05,0,2.6567e-10,0.15659,1,0.15,5,0.15,0
4.8429e-10,1.0438,9.9324e-05,0,4.8429e-10,0.16702,1,0.16,5,0.16,0
-5.1548e-10,1.0438,0.00010875,0,-5.1548e-10,0.17746,1,0.17,5,0.17,0
-1.8598e-09,1.0438,0.00011895,0,-1.8598e-09,0.1879,1,0.18,5,0.18,0
-3.941e-09,1.0438,0.00012547,0,-3.941e-09,0.19834,1,0.19,5,0.19,0
-6.1324e-09,1.0438,0.00013143,0,-6.1324e-09,0.20878,1,0.2,5,0.2,0
-8.3237e-09,1.0438,0.0001374,0,-8.3237e-09,0.21922,1,0.21,5,0.21,0
-1.0515e-08,1.0438,0.00014336,0,-1.0515e-08,0.22966,1,0.22,5,0.22,0
-6.1553e-09,1.0438,0.0001443,0,-6.1553e-09,0.2401,1,0.23,5,0.23,0
-7.8838e-10,1.0439,0.00014446,0,-7.8838e-10,0.25054,1,0.24,5,0.24,0
4.5786e-09,1.0439,0.00014462,0,4.5786e-09,0.26097,1,0.25,5,0.25,0
9.9456e-09,1.0439,0.00014479,0,9.9456e-09,0.27141,1,0.26,5,0.26,0
1.6278e-08,1.0439,0.00014634,0,1.6278e-08,0.28185,1,0.27,5,0.27,0
3.6972e-08,1.0439,0.00015441,0,3.6972e-08,0.29229,1,0.28,5,0.28,0
5.7667e-08,1.0439,0.00016249,0,5.7667e-08,0.30273,1,0.29,5,0.29,0
7.8361e-08,1.0439,0.00017056,0,7.8361e-08,0.31317,1,0.3,5,0.3,0
9.9056e-08,1.0439,0.00017864,0,9.9056e-08,0.32361,1,0.31,5,0.31,0
1.1724e-07,1.0439,0.00019181,0,1.1724e-07,0.33405,1,0.32,5,0.32,0
1.3449e-07,1.0439,0.00020689,0,1.3449e-07,0.34448,1,0.33,5,0.33,0
1.5174e-07,1.0439,0.00022196,0,1.5174e-07,0.35492,1,0.34,5,0.34,0
1.6899e-07,1.0439,0.00023703,0,1.6899e-07,0.36536,1,0.35,5,0.35,0
