"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35866,1.4977,0,0,0.35866,0,1,0,9.5,0,0
0.36078,1.497,1.2089e-05,0,0.36078,0.0014071,1,0.001,9.5,0.001,0
0.36291,1.4964,2.4177e-05,0,0.36291,0.0028141,1,0.002,9.5,0.002,0
0.36504,1.4957,3.6266e-05,0,0.36504,0.0042212,1,0.003,9.5,0.003,0
0.36716,1.4951,4.8355e-05,0,0.36716,0.0056283,1,0.004,9.5,0.004,0
0.36929,1.4945,6.0444e-05,0,0.36929,0.0070354,1,0.005,9.5,0.005,0
0.37142,1.4938,7.2532e-05,0,0.37142,0.0084424,1,0.006,9.5,0.006,0
0.37355,1.4932,8.4621e-05,0,0.37355,0.0098495,1,0.007,9.5,0.007,0
0.37567,1.4926,9.671e-05,0,0.37567,0.011257,1,0.008,9.5,0.008,0
0.3778,1.4919,0.0001088,0,0.3778,0.012664,1,0.009,9.5,0.009,0
0.37993,1.4913,0.00012089,0,0.37993,0.014071,1,0.01,9.5,0.01,0
0.38205,1.4907,0.00013298,0,0.38205,0.015478,1,0.011,9.5,0.011,0
0.38418,1.49,0.00014506,0,0.38418,0.016885,1,0.012,9.5,0.012,0
0.38631,1.4894,0.00015715,0,0.38631,0.018292,1,0.013,9.5,0.013,0
0.38843,1.4888,0.00016924,0,0.38843,0.019699,1,0.014,9.5,0.014,0
0.39056,1.4881,0.00018133,0,0.39056,0.021106,1,0.015,9.5,0.015,0
0.39269,1.4875,0.00019342,0,0.39269,0.022513,1,0.016,9.5,0.016,0
0.39482,1.4869,0.00020551,0,0.39482,0.02392,1,0.017,9.5,0.017,0
0.39694,1.4862,0.0002176,0,0.39694,0.025327,1,0.018,9.5,0.018,0
0.39907,1.4856,0.00022969,0,0.39907,0.026734,1,0.019,9.5,0.019,0
0.4012,1.485,0.00024177,0,0.4012,0.028141,1,0.02,9.5,0.02,0
0.40332,1.4843,0.00025386,0,0.40332,0.029548,1,0.021,9.5,0.021,0
0.40545,1.4837,0.00026595,0,0.40545,0.030956,1,0.022,9.5,0.022,0
0.40758,1.4831,0.00027804,0,0.40758,0.032363,1,0.023,9.5,0.023,0
0.4097,1.4824,0.00029013,0,0.4097,0.03377,1,0.024,9.5,0.024,0
0.41183,1.4818,0.00030222,0,0.41183,0.035177,1,0.025,9.5,0.025,0
0.41396,1.4812,0.00031431,0,0.41396,0.036584,1,0.026,9.5,0.026,0
0.41609,1.4805,0.0003264,0,0.41609,0.037991,1,0.027,9.5,0.027,0
0.41821,1.4799,0.00033848,0,0.41821,0.039398,1,0.028,9.5,0.028,0
0.42034,1.4793,0.00035057,0,0.42034,0.040805,1,0.029,9.5,0.029,0
