"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.567,0,0,0,0.0011793,1,0,5,0,0
0.0032009,1.5663,-3.7088e-06,0,0.0015782,0.0010931,1,0.001,5,0.001,0
0.0064015,1.5657,-7.3858e-06,0,0.0031555,0.001009,1,0.002,5,0.002,0
0.0096016,1.565,-1.1031e-05,0,0.0047321,0.00092706,1,0.003,5,0.003,0
0.012801,1.5644,-1.4645e-05,0,0.0063078,0.00084724,1,0.004,5,0.004,0
0.016001,1.5637,-1.8227e-05,0,0.0078827,0.00076955,1,0.005,5,0.005,0
0.0192,1.5631,-2.1777e-05,0,0.0094569,0.00069399,1,0.006,5,0.006,0
0.022398,1.5624,-2.5296e-05,0,0.01103,0.00062055,1,0.007,5,0.007,0
0.025597,1.5618,-2.8783e-05,0,0.012603,0.00054924,1,0.008,5,0.008,0
0.028795,1.5611,-3.2238e-05,0,0.014174,0.00048006,1,0.009,5,0.009,0
0.031992,1.5604,-3.5662e-05,0,0.015745,0.000413,1,0.01,5,0.01,0
0.035189,1.5598,-3.9054e-05,0,0.017316,0.00034807,1,0.011,5,0.011,0
0.038386,1.5591,-4.2414e-05,0,0.018885,0.00028527,1,0.012,5,0.012,0
0.041582,1.5585,-4.5743e-05,0,0.020453,0.0002246,1,0.013,5,0.013,0
0.044778,1.5578,-4.904e-05,0,0.022021,0.00016605,1,0.014,5,0.014,0
0.047974,1.5571,-5.2305e-05,0,0.023588,0.00010963,1,0.015,5,0.015,0
0.051169,1.5565,-5.5539e-05,0,0.025154,5.5338e-05,1,0.016,5,0.016,0
0.054364,1.5558,-5.8741e-05,0,0.026719,3.1714e-06,1,0.017,5,0.017,0
0.057559,1.5551,-6.1911e-05,0,0.028284,-4.6868e-05,1,0.018,5,0.018,0
0.060753,1.5545,-6.505e-05,0,0.029848,-9.478e-05,1,0.019,5,0.019,0
0.063946,1.5538,-6.8157e-05,0,0.03141,-0.00014056,1,0.02,5,0.02,0
0.06714,1.5532,-7.1232e-05,0,0.032973,-0.00018422,1,0.021,5,0.021,0
0.070333,1.5525,-7.4275e-05,0,0.034534,-0.00022575,1,0.022,5,0.022,0
0.073525,1.5518,-7.7287e-05,0,0.036094,-0.00026516,1,0.023,5,0.023,0
0.076717,1.5512,-8.0267e-05,0,0.037654,-0.00030244,1,0.024,5,0.024,0
0.079909,1.5505,-8.3216e-05,0,0.039213,-0.00033759,1,0.025,5,0.025,0
0.083101,1.5498,-8.6133e-05,0,0.040771,-0.00037061,1,0.026,5,0.026,0
0.086292,1.5491,-8.9018e-05,0,0.042328,-0.0004015,1,0.027,5,0.027,0
0.089482,1.5485,-9.1871e-05,0,0.043885,-0.00043027,1,0.028,5,0.028,0
0.092673,1.5478,-9.4693e-05,0,0.04544,-0.00045691,1,0.029,5,0.029,0
0.095863,1.5471,-9.7483e-05,0,0.046995,-0.00048143,1,0.03,5,0.03,0
0.099052,1.5465,-0.00010024,0,0.048549,-0.00050382,1,0.031,5,0.031,0
0.10224,1.5458,-0.00010297,0,0.050102,-0.00052408,1,0.032,5,0.032,0
0.10543,1.5451,-0.00010566,0,0.051655,-0.00054221,1,0.033,5,0.033,0
0.10862,1.5444,-0.00010833,0,0.053207,-0.00055822,1,0.034,5,0.034,0
0.11181,1.5438,-0.00011096,0,0.054757,-0.0005721,1,0.035,5,0.035,0
0.11499,1.5431,-0.00011356,0,0.056307,-0.00058385,1,0.036,5,0.036,0
0.11818,1.5424,-0.00011613,0,0.057857,-0.00059348,1,0.037,5,0.037,0
0.12137,1.5417,-0.00011866,0,0.059405,-0.00060098,1,0.038,5,0.038,0
0.12456,1.541,-0.00012117,0,0.060953,-0.00060635,1,0.039,5,0.039,0
0.12774,1.5404,-0.00012364,0,0.0625,-0.00060959,1,0.04,5,0.04,0
0.13093,1.5397,-0.00012608,0,0.064046,-0.00061071,1,0.041,5,0.041,0
0.13411,1.539,-0.00012849,0,0.065591,-0.0006097,1,0.042,5,0.042,0
0.1373,1.5383,-0.00013087,0,0.067135,-0.00060656,1,0.043,5,0.043,0
0.14048,1.5376,-0.00013322,0,0.068679,-0.0006013,1,0.044,5,0.044,0
0.14367,1.537,-0.00013553,0,0.070222,-0.00059391,1,0.045,5,0.045,0
0.14685,1.5363,-0.00013782,0,0.071764,-0.00058439,1,0.046,5,0.046,0
0.15003,1.5356,-0.00014007,0,0.073305,-0.00057275,1,0.047,5,0.047,0
0.15322,1.5349,-0.00014229,0,0.074845,-0.00055898,1,0.048,5,0.048,0
0.1564,1.5342,-0.00014448,0,0.076385,-0.00054308,1,0.049,5,0.049,0
0.15958,1.5335,-0.00014663,0,0.077924,-0.00052505,1,0.05,5,0.05,0
0.16276,1.5329,-0.00014876,0,0.079462,-0.0005049,1,0.051,5,0.051,0
0.16595,1.5322,-0.00015085,0,0.080999,-0.00048262,1,0.052,5,0.052,0
0.16913,1.5315,-0.00015291,0,0.082535,-0.00045821,1,0.053,5,0.053,0
0.17231,1.5308,-0.00015494,0,0.084071,-0.00043168,1,0.054,5,0.054,0
