"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.4619,0,0,0,0,1,0,5,0,0
0.0025473,1.4618,-1.9864e-06,0,0.0025473,0.0014619,1,0.001,5,0.001,0
0.0050946,1.4617,-4.0962e-06,0,0.0050946,0.0029237,1,0.002,5,0.002,0
0.0076419,1.4616,-6.3294e-06,0,0.0076419,0.0043854,1,0.003,5,0.003,0
0.010189,1.4616,-8.6861e-06,0,0.010189,0.0058471,1,0.004,5,0.004,0
0.012737,1.4615,-1.1166e-05,0,0.012737,0.0073087,1,0.005,5,0.005,0
0.015284,1.4614,-1.377e-05,0,0.015284,0.0087702,1,0.006,5,0.006,0
0.017831,1.4614,-1.6497e-05,0,0.017831,0.010232,1,0.007,5,0.007,0
0.020379,1.4613,-1.9347e-05,0,0.020379,0.011693,1,0.008,5,0.008,0
0.022926,1.4612,-2.2321e-05,0,0.022926,0.013154,1,0.009,5,0.009,0
0.025474,1.4612,-2.5419e-05,0,0.025474,0.014616,1,0.01,5,0.01,0
0.028021,1.4611,-2.8639e-05,0,0.028021,0.016077,1,0.011,5,0.011,0
0.030569,1.461,-3.1984e-05,0,0.030569,0.017538,1,0.012,5,0.012,0
0.033116,1.461,-3.5451e-05,0,0.033116,0.018999,1,0.013,5,0.013,0
0.035664,1.4609,-3.9042e-05,0,0.035664,0.02046,1,0.014,5,0.014,0
0.038211,1.4609,-4.2757e-05,0,0.038211,0.021921,1,0.015,5,0.015,0
0.040759,1.4608,-4.6595e-05,0,0.040759,0.023382,1,0.016,5,0.016,0
0.043307,1.4607,-5.0556e-05,0,0.043307,0.024842,1,0.017,5,0.017,0
0.045854,1.4607,-5.4641e-05,0,0.045854,0.026303,1,0.018,5,0.018,0
0.048402,1.4606,-5.885e-05,0,0.048402,0.027764,1,0.019,5,0.019,0
0.05095,1.4606,-6.3181e-05,0,0.05095,0.029224,1,0.02,5,0.02,0
0.053497,1.4605,-6.7637e-05,0,0.053497,0.030684,1,0.021,5,0.021,0
0.056045,1.4604,-7.2215e-05,0,0.056045,0.032145,1,0.022,5,0.022,0
0.058593,1.4604,-7.6914e-05,0,0.058593,0.033605,1,0.023,5,0.023,0
0.061142,1.4603,-8.1728e-05,0,0.061142,0.035066,1,0.024,5,0.024,0
0.063691,1.4603,-8.6663e-05,0,0.063691,0.036527,1,0.025,5,0.025,0
0.06624,1.4602,-9.1722e-05,0,0.06624,0.037988,1,0.026,5,0.026,0
0.068788,1.4602,-9.6902e-05,0,0.068788,0.039448,1,0.027,5,0.027,0
0.071337,1.4601,-0.00010221,0,0.071337,0.040909,1,0.028,5,0.028,0
0.073886,1.4601,-0.00010763,0,0.073886,0.042369,1,0.029,5,0.029,0
0.076435,1.46,-0.00011318,0,0.076435,0.04383,1,0.03,5,0.03,0
0.078984,1.46,-0.00011885,0,0.078984,0.04529,1,0.031,5,0.031,0
0.081533,1.4599,-0.00012464,0,0.081533,0.04675,1,0.032,5,0.032,0
0.084082,1.4599,-0.00013056,0,0.084082,0.04821,1,0.033,5,0.033,0
0.086631,1.4598,-0.00014142,0,0.086631,0.04967,1,0.034,5,0.034,0
0.089179,1.4597,-0.00016242,0,0.089179,0.05113,1,0.035,5,0.035,0
0.091727,1.4596,-0.00018353,0,0.091727,0.052589,1,0.036,5,0.036,0
0.094275,1.4596,-0.00020475,0,0.094275,0.054049,1,0.037,5,0.037,0
0.096824,1.4595,-0.00022609,0,0.096824,0.055508,1,0.038,5,0.038,0
0.099372,1.4594,-0.00024755,0,0.099372,0.056967,1,0.039,5,0.039,0
0.10192,1.4593,-0.00026912,0,0.10192,0.058426,1,0.04,5,0.04,0
0.10447,1.4593,-0.0002908,0,0.10447,0.059885,1,0.041,5,0.041,0
