"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.42513,1.5022,0.00012696,0,0.42513,0,1,0,8,0,0
0.42529,1.502,6.8218e-05,0,0.42529,0.0015004,1,0.001,8,0.001,0
0.42545,1.5018,9.4768e-06,0,0.42545,0.0030007,1,0.002,8,0.002,0
0.42561,1.5016,-4.9264e-05,0,0.42561,0.0045011,1,0.003,8,0.003,0
0.42578,1.5014,-0.00010801,0,0.42578,0.0060014,1,0.004,8,0.004,0
0.42594,1.5013,-0.00016675,0,0.42594,0.0075018,1,0.005,8,0.005,0
0.4261,1.5011,-0.00022549,0,0.4261,0.0090022,1,0.006,8,0.006,0
0.42626,1.5009,-0.00028423,0,0.42626,0.010503,1,0.007,8,0.007,0
0.42643,1.5007,-0.00034297,0,0.42643,0.012003,1,0.008,8,0.008,0
0.42659,1.5005,-0.00040171,0,0.42659,0.013503,1,0.009,8,0.009,0
0.42675,1.5004,-0.00046045,0,0.42675,0.015004,1,0.01,8,0.01,0
0.42691,1.5002,-0.00051919,0,0.42691,0.016504,1,0.011,8,0.011,0
0.42708,1.5,-0.00057793,0,0.42708,0.018004,1,0.012,8,0.012,0
0.42724,1.4998,-0.00063668,0,0.42724,0.019505,1,0.013,8,0.013,0
0.4274,1.4996,-0.00069542,0,0.4274,0.021005,1,0.014,8,0.014,0
0.42756,1.4995,-0.00075416,0,0.42756,0.022505,1,0.015,8,0.015,0
0.42773,1.4993,-0.0008129,0,0.42773,0.024006,1,0.016,8,0.016,0
0.42789,1.4991,-0.00087164,0,0.42789,0.025506,1,0.017,8,0.017,0
0.42805,1.4989,-0.00093038,0,0.42805,0.027006,1,0.018,8,0.018,0
0.42821,1.4987,-0.00098912,0,0.42821,0.028507,1,0.019,8,0.019,0
0.42838,1.4986,-0.0010479,0,0.42838,0.030007,1,0.02,8,0.02,0
0.42854,1.4984,-0.0011066,0,0.42854,0.031508,1,0.021,8,0.021,0
0.4287,1.4982,-0.0011653,0,0.4287,0.033008,1,0.022,8,0.022,0
0.42886,1.498,-0.0012241,0,0.42886,0.034508,1,0.023,8,0.023,0
0.42903,1.4978,-0.0012828,0,0.42903,0.036009,1,0.024,8,0.024,0
0.42919,1.4977,-0.0013416,0,0.42919,0.037509,1,0.025,8,0.025,0
0.42935,1.4975,-0.0014003,0,0.42935,0.039009,1,0.026,8,0.026,0
0.42951,1.4973,-0.0014591,0,0.42951,0.04051,1,0.027,8,0.027,0
0.42968,1.4971,-0.0015178,0,0.42968,0.04201,1,0.028,8,0.028,0
0.42984,1.4969,-0.0015765,0,0.42984,0.04351,1,0.029,8,0.029,0
0.43,1.4968,-0.0016353,0,0.43,0.045011,1,0.03,8,0.03,0
0.43016,1.4966,-0.001694,0,0.43016,0.046511,1,0.031,8,0.031,0
0.43033,1.4964,-0.0017528,0,0.43033,0.048012,1,0.032,8,0.032,0
0.43049,1.4962,-0.0018115,0,0.43049,0.049512,1,0.033,8,0.033,0
0.43065,1.4961,-0.0018559,0,0.43065,0.051013,1,0.034,8,0.034,0
0.43081,1.4959,-0.0018487,0,0.43081,0.052514,1,0.035,8,0.035,0
0.43097,1.4957,-0.0018414,0,0.43097,0.054016,1,0.036,8,0.036,0
0.43113,1.4955,-0.0018342,0,0.43113,0.055517,1,0.037,8,0.037,0
0.43128,1.4954,-0.0018269,0,0.43128,0.057019,1,0.038,8,0.038,0
0.43144,1.4952,-0.0018197,0,0.43144,0.05852,1,0.039,8,0.039,0
0.4316,1.495,-0.0018124,0,0.4316,0.060022,1,0.04,8,0.04,0
0.43176,1.4949,-0.0018052,0,0.43176,0.061523,1,0.041,8,0.041,0
0.43192,1.4947,-0.001798,0,0.43192,0.063025,1,0.042,8,0.042,0
0.43235,1.4942,-0.001817,0,0.43235,0.06451,1,0.043,8,0.043,0
0.43281,1.4937,-0.0018393,0,0.43281,0.065993,1,0.044,8,0.044,0
0.43328,1.4932,-0.0018615,0,0.43328,0.067477,1,0.045,8,0.045,0
0.43374,1.4927,-0.0018837,0,0.43374,0.06896,1,0.046,8,0.046,0
0.4342,1.4922,-0.001906,0,0.4342,0.070443,1,0.047,8,0.047,0
0.43467,1.4917,-0.0019282,0,0.43467,0.071926,1,0.048,8,0.048,0
0.43513,1.4912,-0.0019505,0,0.43513,0.073409,1,0.049,8,0.049,0
0.43559,1.4907,-0.0019727,0,0.43559,0.074893,1,0.05,8,0.05,0
0.43606,1.4902,-0.001995,0,0.43606,0.076376,1,0.051,8,0.051,0
0.43652,1.4897,-0.0020172,0,0.43652,0.077859,1,0.052,8,0.052,0
0.43699,1.4892,-0.0020395,0,0.43699,0.079342,1,0.053,8,0.053,0
0.43745,1.4887,-0.0020617,0,0.43745,0.080825,1,0.054,8,0.054,0
0.43791,1.4882,-0.002084,0,0.43791,0.082308,1,0.055,8,0.055,0
0.43838,1.4877,-0.0021062,0,0.43838,0.083792,1,0.056,8,0.056,0
0.43884,1.4872,-0.0021284,0,0.43884,0.085275,1,0.057,8,0.057,0
0.4393,1.4867,-0.0021507,0,0.4393,0.086758,1,0.058,8,0.058,0
0.43977,1.4862,-0.0021729,0,0.43977,0.088241,1,0.059,8,0.059,0
0.44023,1.4856,-0.0021952,0,0.44023,0.089724,1,0.06,8,0.06,0
0.4407,1.4851,-0.0022174,0,0.4407,0.091208,1,0.061,8,0.061,0
0.44116,1.4846,-0.0022397,0,0.44116,0.092691,1,0.062,8,0.062,0
0.44162,1.4841,-0.0022619,0,0.44162,0.094174,1,0.063,8,0.063,0
0.44209,1.4836,-0.0022842,0,0.44209,0.095657,1,0.064,8,0.064,0
0.44255,1.4831,-0.0023064,0,0.44255,0.09714,1,0.065,8,0.065,0
0.44301,1.4826,-0.0023287,0,0.44301,0.098624,1,0.066,8,0.066,0
0.44348,1.4821,-0.0023509,0,0.44348,0.10011,1,0.067,8,0.067,0
0.44394,1.4816,-0.0023715,0,0.44394,0.10159,1,0.068,8,0.068,0
0.44438,1.4811,-0.0023843,0,0.44438,0.10307,1,0.069,8,0.069,0
0.44482,1.4806,-0.0023971,0,0.44482,0.10456,1,0.07,8,0.07,0
0.44526,1.4801,-0.0024099,0,0.44526,0.10604,1,0.071,8,0.071,0
0.4457,1.4796,-0.0024226,0,0.4457,0.10752,1,0.072,8,0.072,0
0.44614,1.4791,-0.0024354,0,0.44614,0.10901,1,0.073,8,0.073,0
0.44658,1.4786,-0.0024482,0,0.44658,0.11049,1,0.074,8,0.074,0
0.44702,1.4781,-0.002461,0,0.44702,0.11198,1,0.075,8,0.075,0
0.44746,1.4776,-0.0024738,0,0.44746,0.11346,1,0.076,8,0.076,0
0.4479,1.4771,-0.0024866,0,0.4479,0.11494,1,0.077,8,0.077,0
0.44834,1.4766,-0.0024994,0,0.44834,0.11643,1,0.078,8,0.078,0
0.44878,1.4761,-0.0025122,0,0.44878,0.11791,1,0.079,8,0.079,0
0.44922,1.4756,-0.002525,0,0.44922,0.11939,1,0.08,8,0.08,0
0.44966,1.4751,-0.0025378,0,0.44966,0.12088,1,0.081,8,0.081,0
0.4501,1.4746,-0.0025506,0,0.4501,0.12236,1,0.082,8,0.082,0
0.45053,1.4741,-0.0025634,0,0.45053,0.12384,1,0.083,8,0.083,0
0.45097,1.4736,-0.0025762,0,0.45097,0.12533,1,0.084,8,0.084,0
0.45141,1.4731,-0.002589,0,0.45141,0.12681,1,0.085,8,0.085,0
0.45185,1.4726,-0.0026018,0,0.45185,0.1283,1,0.086,8,0.086,0
0.45229,1.4721,-0.0026146,0,0.45229,0.12978,1,0.087,8,0.087,0
0.45273,1.4716,-0.0026274,0,0.45273,0.13126,1,0.088,8,0.088,0
0.45341,1.4711,-0.002631,0,0.45341,0.13273,1,0.089,8,0.089,0
0.45411,1.4706,-0.0026339,0,0.45411,0.1342,1,0.09,8,0.09,0
0.45481,1.4702,-0.0026367,0,0.45481,0.13567,1,0.091,8,0.091,0
0.45551,1.4697,-0.0026396,0,0.45551,0.13714,1,0.092,8,0.092,0
0.45621,1.4692,-0.0026424,0,0.45621,0.13861,1,0.093,8,0.093,0
0.45691,1.4687,-0.0026453,0,0.45691,0.14007,1,0.094,8,0.094,0
0.45785,1.4683,-0.0026566,0,0.45785,0.14153,1,0.095,8,0.095,0
0.45879,1.4679,-0.0026682,0,0.45879,0.14299,1,0.096,8,0.096,0
0.45974,1.4675,-0.0026798,0,0.45974,0.14445,1,0.097,8,0.097,0
0.46068,1.4671,-0.0026915,0,0.46068,0.14591,1,0.098,8,0.098,0
0.46163,1.4667,-0.0027031,0,0.46163,0.14737,1,0.099,8,0.099,0
0.46257,1.4663,-0.0027147,0,0.46257,0.14883,1,0.1,8,0.1,0
0.46352,1.4659,-0.0027264,0,0.46352,0.15029,1,0.101,8,0.101,0
0.46447,1.4655,-0.002738,0,0.46447,0.15175,1,0.102,8,0.102,0
0.46541,1.4651,-0.0027496,0,0.46541,0.15321,1,0.103,8,0.103,0
0.46636,1.4647,-0.0027612,0,0.46636,0.15466,1,0.104,8,0.104,0
0.4673,1.4643,-0.0027729,0,0.4673,0.15612,1,0.105,8,0.105,0
0.46825,1.4639,-0.0027845,0,0.46825,0.15758,1,0.106,8,0.106,0
0.46919,1.4635,-0.0027961,0,0.46919,0.15904,1,0.107,8,0.107,0
0.47014,1.4631,-0.0028078,0,0.47014,0.1605,1,0.108,8,0.108,0
0.47108,1.4627,-0.0028194,0,0.47108,0.16196,1,0.109,8,0.109,0
0.47203,1.4623,-0.002831,0,0.47203,0.16342,1,0.11,8,0.11,0
0.47297,1.4619,-0.0028426,0,0.47297,0.16488,1,0.111,8,0.111,0
0.47392,1.4615,-0.0028543,0,0.47392,0.16634,1,0.112,8,0.112,0
0.47487,1.4611,-0.0028659,0,0.47487,0.16779,1,0.113,8,0.113,0
0.47581,1.4607,-0.0028775,0,0.47581,0.16925,1,0.114,8,0.114,0
0.47676,1.4603,-0.0028892,0,0.47676,0.17071,1,0.115,8,0.115,0
0.4777,1.4599,-0.0029008,0,0.4777,0.17217,1,0.116,8,0.116,0
0.47865,1.4595,-0.0029124,0,0.47865,0.17363,1,0.117,8,0.117,0
0.47959,1.4591,-0.0029241,0,0.47959,0.17509,1,0.118,8,0.118,0
0.48054,1.4587,-0.0029357,0,0.48054,0.17655,1,0.119,8,0.119,0
0.48148,1.4583,-0.0029473,0,0.48148,0.17801,1,0.12,8,0.12,0
0.48243,1.4579,-0.0029589,0,0.48243,0.17947,1,0.121,8,0.121,0
0.48337,1.4575,-0.0029706,0,0.48337,0.18093,1,0.122,8,0.122,0
0.48432,1.4571,-0.0029822,0,0.48432,0.18238,1,0.123,8,0.123,0
0.48527,1.4567,-0.0029938,0,0.48527,0.18384,1,0.124,8,0.124,0
0.48621,1.4562,-0.0030055,0,0.48621,0.1853,1,0.125,8,0.125,0
0.48716,1.4558,-0.0030171,0,0.48716,0.18676,1,0.126,8,0.126,0
0.4881,1.4554,-0.0030287,0,0.4881,0.18822,1,0.127,8,0.127,0
