"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61778,1.5687,0,0,0.61778,0,1,0,5,0,0
0.62049,1.5653,-0.0004808,0,0.62049,0.015637,1,0.01,5,0.01,0
0.6232,1.5619,-0.00096161,0,0.6232,0.031274,1,0.02,5,0.02,0
0.62591,1.5585,-0.0014424,0,0.62591,0.046911,1,0.03,5,0.03,0
0.62881,1.555,-0.0017701,0,0.62881,0.062534,1,0.04,5,0.04,0
0.6323,1.5514,-0.0016931,0,0.6323,0.078113,1,0.05,5,0.05,0
0.63893,1.5444,-0.00092432,0,0.63893,0.093453,1,0.06,5,0.06,0
0.64557,1.5374,-0.00015554,0,0.64557,0.10879,1,0.07,5,0.07,0
0.65221,1.5304,0.00061324,0,0.65221,0.12413,1,0.08,5,0.08,0
0.65885,1.5234,0.001382,0,0.65885,0.13947,1,0.09,5,0.09,0
0.66605,1.5162,0.0019189,0,0.66605,0.15478,1,0.1,5,0.1,0
0.67585,1.5084,0.0017278,0,0.67585,0.16991,1,0.11,5,0.11,0
0.68822,1.5012,0.0020258,0,0.68822,0.18482,1,0.12,5,0.12,0
0.70057,1.4939,0.002289,0,0.70057,0.19973,1,0.13,5,0.13,0
0.71278,1.4868,0.0021732,0,0.71278,0.21465,1,0.14,5,0.14,0
0.72498,1.4796,0.0020574,0,0.72498,0.22957,1,0.15,5,0.15,0
0.73719,1.4724,0.0019416,0,0.73719,0.2445,1,0.16,5,0.16,0
0.75245,1.4652,0.0020457,0,0.75245,0.2591,1,0.17,5,0.17,0
0.76857,1.4579,0.002212,0,0.76857,0.27361,1,0.18,5,0.18,0
0.78501,1.4506,0.0021739,0,0.78501,0.2881,1,0.19,5,0.19,0
0.8015,1.4434,0.0021052,0,0.8015,0.30259,1,0.2,5,0.2,0
0.81799,1.4361,0.0020366,0,0.81799,0.31707,1,0.21,5,0.21,0
0.83449,1.4288,0.0019679,0,0.83449,0.33156,1,0.22,5,0.22,0
0.85353,1.42,0.0021917,0,0.85353,0.34568,1,0.23,5,0.23,0
0.87297,1.411,0.0024605,0,0.87297,0.35974,1,0.24,5,0.24,0
0.89241,1.4019,0.0027293,0,0.89241,0.37379,1,0.25,5,0.25,0
0.91185,1.3929,0.0029981,0,0.91185,0.38785,1,0.26,5,0.26,0
0.93161,1.3837,0.0033105,0,0.93161,0.40184,1,0.27,5,0.27,0
0.9532,1.3735,0.0037761,0,0.9532,0.41547,1,0.28,5,0.28,0
0.97479,1.3634,0.0042416,0,0.97479,0.4291,1,0.29,5,0.29,0
0.99638,1.3532,0.0047071,0,0.99638,0.44274,1,0.3,5,0.3,0
1.018,1.343,0.0051726,0,1.018,0.45637,1,0.31,5,0.31,0
1.0409,1.3331,0.0049299,0,1.0409,0.46966,1,0.32,5,0.32,0
1.0643,1.3232,0.0044242,0,1.0643,0.48283,1,0.33,5,0.33,0
1.0877,1.3133,0.0039184,0,1.0877,0.49599,1,0.34,5,0.34,0
1.1112,1.3034,0.0034127,0,1.1112,0.50916,1,0.35,5,0.35,0
