"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61842,1.5516,0,0,0.61842,0,1,0,8,0,0
0.61944,1.5512,-1.7772e-05,0,0.61944,0.0015297,1,0.001,8,0.001,0
0.62046,1.5508,-3.5545e-05,0,0.62046,0.0030594,1,0.002,8,0.002,0
0.62148,1.5504,-5.3317e-05,0,0.62148,0.004589,1,0.003,8,0.003,0
0.6225,1.55,-7.1089e-05,0,0.6225,0.0061187,1,0.004,8,0.004,0
0.62352,1.5496,-8.8861e-05,0,0.62352,0.0076484,1,0.005,8,0.005,0
0.62455,1.5492,-0.00010663,0,0.62455,0.0091781,1,0.006,8,0.006,0
0.62557,1.5488,-0.00012441,0,0.62557,0.010708,1,0.007,8,0.007,0
0.62659,1.5484,-0.00014218,0,0.62659,0.012237,1,0.008,8,0.008,0
0.62761,1.548,-0.00015995,0,0.62761,0.013767,1,0.009,8,0.009,0
0.62863,1.5476,-0.00017772,0,0.62863,0.015297,1,0.01,8,0.01,0
0.62965,1.5472,-0.00019549,0,0.62965,0.016826,1,0.011,8,0.011,0
0.63067,1.5468,-0.00021327,0,0.63067,0.018356,1,0.012,8,0.012,0
0.63169,1.5464,-0.00023104,0,0.63169,0.019886,1,0.013,8,0.013,0
0.63271,1.546,-0.00024881,0,0.63271,0.021416,1,0.014,8,0.014,0
0.63373,1.5456,-0.00026658,0,0.63373,0.022945,1,0.015,8,0.015,0
0.63475,1.5452,-0.00028436,0,0.63475,0.024475,1,0.016,8,0.016,0
0.63577,1.5448,-0.00030213,0,0.63577,0.026005,1,0.017,8,0.017,0
0.63679,1.5444,-0.0003199,0,0.63679,0.027534,1,0.018,8,0.018,0
0.63781,1.544,-0.00033767,0,0.63781,0.029064,1,0.019,8,0.019,0
0.63883,1.5436,-0.00035545,0,0.63883,0.030594,1,0.02,8,0.02,0
0.63985,1.5432,-0.00037322,0,0.63985,0.032123,1,0.021,8,0.021,0
0.64087,1.5428,-0.00039099,0,0.64087,0.033653,1,0.022,8,0.022,0
0.64189,1.5424,-0.00040876,0,0.64189,0.035183,1,0.023,8,0.023,0
0.64291,1.542,-0.00042653,0,0.64291,0.036712,1,0.024,8,0.024,0
0.64393,1.5416,-0.00044431,0,0.64393,0.038242,1,0.025,8,0.025,0
0.64495,1.5412,-0.00046208,0,0.64495,0.039772,1,0.026,8,0.026,0
0.64597,1.5408,-0.00047985,0,0.64597,0.041301,1,0.027,8,0.027,0
0.647,1.5404,-0.00049762,0,0.647,0.042831,1,0.028,8,0.028,0
0.64802,1.54,-0.0005154,0,0.64802,0.044361,1,0.029,8,0.029,0
0.64904,1.5396,-0.00053317,0,0.64904,0.04589,1,0.03,8,0.03,0
0.65006,1.5392,-0.00055094,0,0.65006,0.04742,1,0.031,8,0.031,0
0.65108,1.5388,-0.00056871,0,0.65108,0.04895,1,0.032,8,0.032,0
0.6521,1.5384,-0.00058648,0,0.6521,0.050479,1,0.033,8,0.033,0
0.65312,1.538,-0.00060426,0,0.65312,0.052009,1,0.034,8,0.034,0
0.65414,1.5376,-0.00062203,0,0.65414,0.053539,1,0.035,8,0.035,0
0.65516,1.5372,-0.0006398,0,0.65516,0.055068,1,0.036,8,0.036,0
0.65618,1.5368,-0.00065757,0,0.65618,0.056598,1,0.037,8,0.037,0
0.6572,1.5364,-0.00067535,0,0.6572,0.058128,1,0.038,8,0.038,0
0.65822,1.536,-0.00069312,0,0.65822,0.059658,1,0.039,8,0.039,0
0.65924,1.5357,-0.00071089,0,0.65924,0.061187,1,0.04,8,0.04,0
0.66026,1.5353,-0.00072866,0,0.66026,0.062717,1,0.041,8,0.041,0
0.66128,1.5349,-0.00074644,0,0.66128,0.064247,1,0.042,8,0.042,0
0.6623,1.5345,-0.00076421,0,0.6623,0.065776,1,0.043,8,0.043,0
0.66332,1.5341,-0.00078198,0,0.66332,0.067306,1,0.044,8,0.044,0
0.66434,1.5337,-0.00079975,0,0.66434,0.068836,1,0.045,8,0.045,0
0.66536,1.5333,-0.00081752,0,0.66536,0.070365,1,0.046,8,0.046,0
0.66638,1.5329,-0.0008353,0,0.66638,0.071895,1,0.047,8,0.047,0
0.6674,1.5325,-0.00085307,0,0.6674,0.073425,1,0.048,8,0.048,0
0.66843,1.5321,-0.00087084,0,0.66843,0.074954,1,0.049,8,0.049,0
0.66945,1.5317,-0.00088861,0,0.66945,0.076484,1,0.05,8,0.05,0
0.67047,1.5313,-0.00090639,0,0.67047,0.078014,1,0.051,8,0.051,0
0.67149,1.5309,-0.00092416,0,0.67149,0.079543,1,0.052,8,0.052,0
0.67251,1.5305,-0.00094193,0,0.67251,0.081073,1,0.053,8,0.053,0
0.67353,1.5301,-0.0009597,0,0.67353,0.082603,1,0.054,8,0.054,0
0.67455,1.5297,-0.00097747,0,0.67455,0.084132,1,0.055,8,0.055,0
0.67557,1.5293,-0.00099525,0,0.67557,0.085662,1,0.056,8,0.056,0
0.67659,1.5289,-0.001013,0,0.67659,0.087192,1,0.057,8,0.057,0
0.67761,1.5285,-0.0010308,0,0.67761,0.088721,1,0.058,8,0.058,0
0.67863,1.5281,-0.0010486,0,0.67863,0.090251,1,0.059,8,0.059,0
0.67965,1.5277,-0.0010663,0,0.67965,0.091781,1,0.06,8,0.06,0
0.68067,1.5273,-0.0010841,0,0.68067,0.09331,1,0.061,8,0.061,0
0.68169,1.5269,-0.0011019,0,0.68169,0.09484,1,0.062,8,0.062,0
0.68271,1.5265,-0.0011197,0,0.68271,0.09637,1,0.063,8,0.063,0
0.68373,1.5261,-0.0011374,0,0.68373,0.0979,1,0.064,8,0.064,0
0.68475,1.5257,-0.0011552,0,0.68475,0.099429,1,0.065,8,0.065,0
0.68577,1.5253,-0.001173,0,0.68577,0.10096,1,0.066,8,0.066,0
0.68679,1.5249,-0.0011907,0,0.68679,0.10249,1,0.067,8,0.067,0
0.68781,1.5245,-0.0012085,0,0.68781,0.10402,1,0.068,8,0.068,0
0.68883,1.5241,-0.0012263,0,0.68883,0.10555,1,0.069,8,0.069,0
0.68985,1.5237,-0.0012441,0,0.68985,0.10708,1,0.07,8,0.07,0
0.69088,1.5233,-0.0012618,0,0.69088,0.10861,1,0.071,8,0.071,0
0.6919,1.5229,-0.0012796,0,0.6919,0.11014,1,0.072,8,0.072,0
0.69292,1.5225,-0.0012974,0,0.69292,0.11167,1,0.073,8,0.073,0
0.69394,1.5221,-0.0013151,0,0.69394,0.1132,1,0.074,8,0.074,0
0.69496,1.5217,-0.0013329,0,0.69496,0.11473,1,0.075,8,0.075,0
0.69598,1.5213,-0.0013507,0,0.69598,0.11626,1,0.076,8,0.076,0
0.697,1.5209,-0.0013685,0,0.697,0.11779,1,0.077,8,0.077,0
0.69802,1.5205,-0.0013862,0,0.69802,0.11932,1,0.078,8,0.078,0
0.69904,1.5201,-0.001404,0,0.69904,0.12084,1,0.079,8,0.079,0
0.70006,1.5198,-0.0014218,0,0.70006,0.12237,1,0.08,8,0.08,0
0.70108,1.5194,-0.0014396,0,0.70108,0.1239,1,0.081,8,0.081,0
0.7021,1.519,-0.0014573,0,0.7021,0.12543,1,0.082,8,0.082,0
0.70312,1.5186,-0.0014751,0,0.70312,0.12696,1,0.083,8,0.083,0
0.70414,1.5182,-0.0014929,0,0.70414,0.12849,1,0.084,8,0.084,0
0.70516,1.5178,-0.0015106,0,0.70516,0.13002,1,0.085,8,0.085,0
0.70618,1.5174,-0.0015284,0,0.70618,0.13155,1,0.086,8,0.086,0
0.7072,1.517,-0.0015462,0,0.7072,0.13308,1,0.087,8,0.087,0
0.70822,1.5166,-0.001564,0,0.70822,0.13461,1,0.088,8,0.088,0
0.70924,1.5162,-0.0015817,0,0.70924,0.13614,1,0.089,8,0.089,0
0.71026,1.5158,-0.0015995,0,0.71026,0.13767,1,0.09,8,0.09,0
0.71128,1.5154,-0.0016173,0,0.71128,0.1392,1,0.091,8,0.091,0
0.71231,1.515,-0.001635,0,0.71231,0.14073,1,0.092,8,0.092,0
0.71333,1.5146,-0.0016528,0,0.71333,0.14226,1,0.093,8,0.093,0
0.71435,1.5142,-0.0016706,0,0.71435,0.14379,1,0.094,8,0.094,0
0.71537,1.5138,-0.0016884,0,0.71537,0.14532,1,0.095,8,0.095,0
0.71639,1.5134,-0.0017061,0,0.71639,0.14685,1,0.096,8,0.096,0
0.71741,1.513,-0.0017239,0,0.71741,0.14838,1,0.097,8,0.097,0
0.71843,1.5126,-0.0017417,0,0.71843,0.14991,1,0.098,8,0.098,0
0.71945,1.5122,-0.0017595,0,0.71945,0.15144,1,0.099,8,0.099,0
0.72047,1.5118,-0.0017772,0,0.72047,0.15297,1,0.1,8,0.1,0
0.72149,1.5114,-0.001795,0,0.72149,0.1545,1,0.101,8,0.101,0
0.72251,1.511,-0.0018128,0,0.72251,0.15603,1,0.102,8,0.102,0
0.72353,1.5106,-0.0018305,0,0.72353,0.15756,1,0.103,8,0.103,0
